activation	alpha	early_stopping	hidden_layer_sizes	learning_rate	max_iter	solver	mean_valid_accuracy	mean_valid_precision	mean_valid_auc
relu	0.01	True	(50, 50)	constant	1000	adam	0.8768946648426812	0.8708794539321106	0.8667097608274078
relu	0.001	True	(50, 50)	constant	500	adam	0.8768946648426812	0.8708794539321106	0.8667097608274078
relu	0.001	True	(50, 50)	invscaling	500	adam	0.8768946648426812	0.8708794539321106	0.8667097608274078
relu	0.001	True	(50, 50)	adaptive	1000	adam	0.8768946648426812	0.8708794539321106	0.8667097608274078
relu	0.001	True	(50, 50)	invscaling	1000	adam	0.8768946648426812	0.8708794539321106	0.8667097608274078
relu	0.01	True	(50, 50)	constant	500	adam	0.8768946648426812	0.8708794539321106	0.8667097608274078
relu	0.001	True	(50, 50)	constant	1000	adam	0.8768946648426812	0.8708794539321106	0.8667097608274078
relu	0.01	True	(50, 50)	adaptive	1000	adam	0.8768946648426812	0.8708794539321106	0.8667097608274078
relu	0.01	True	(50, 50)	invscaling	500	adam	0.8768946648426812	0.8708794539321106	0.8667097608274078
relu	0.01	True	(50, 50)	invscaling	1000	adam	0.8768946648426812	0.8708794539321106	0.8667097608274078
relu	0.01	True	(50, 50)	adaptive	500	adam	0.8768946648426812	0.8708794539321106	0.8667097608274078
relu	0.001	True	(50, 50)	adaptive	500	adam	0.8768946648426812	0.8708794539321106	0.8667097608274078
logistic	0.1	True	(100,)	constant	500	adam	0.8568809849521204	0.8704644096287222	0.8396272355095885
logistic	0.1	True	(100,)	constant	1000	adam	0.8568809849521204	0.8704644096287222	0.8396272355095885
logistic	0.1	True	(100,)	adaptive	1000	adam	0.8568809849521204	0.8704644096287222	0.8396272355095885
logistic	0.1	True	(100,)	adaptive	500	adam	0.8568809849521204	0.8704644096287222	0.8396272355095885
logistic	0.1	True	(100,)	invscaling	1000	adam	0.8568809849521204	0.8704644096287222	0.8396272355095885
logistic	0.1	True	(100,)	invscaling	500	adam	0.8568809849521204	0.8704644096287222	0.8396272355095885
relu	0.1	True	(50, 50)	constant	1000	adam	0.8745280437756497	0.868273564802265	0.8642587804352511
relu	0.1	True	(50, 50)	invscaling	1000	adam	0.8745280437756497	0.868273564802265	0.8642587804352511
relu	0.1	True	(50, 50)	adaptive	500	adam	0.8745280437756497	0.868273564802265	0.8642587804352511
relu	0.1	True	(50, 50)	invscaling	500	adam	0.8745280437756497	0.868273564802265	0.8642587804352511
relu	0.1	True	(50, 50)	adaptive	1000	adam	0.8745280437756497	0.868273564802265	0.8642587804352511
relu	0.1	True	(50, 50)	constant	500	adam	0.8745280437756497	0.868273564802265	0.8642587804352511
relu	0.1	True	(100, 100)	invscaling	500	lbfgs	0.8851846785225719	0.8672411273893721	0.8788763197586729
relu	0.1	True	(100, 100)	constant	500	lbfgs	0.8851846785225719	0.8672411273893721	0.8788763197586729
relu	0.1	True	(100, 100)	invscaling	1000	lbfgs	0.8851846785225719	0.8672411273893721	0.8788763197586729
relu	0.1	True	(100, 100)	adaptive	1000	lbfgs	0.8851846785225719	0.8672411273893721	0.8788763197586729
relu	0.1	True	(100, 100)	adaptive	500	lbfgs	0.8851846785225719	0.8672411273893721	0.8788763197586729
relu	0.1	True	(100, 100)	constant	1000	lbfgs	0.8851846785225719	0.8672411273893721	0.8788763197586729
logistic	0.001	True	(100,)	adaptive	500	adam	0.8545417236662105	0.8638208348117604	0.8376432880844646
logistic	0.001	True	(100,)	invscaling	1000	adam	0.8545417236662105	0.8638208348117604	0.8376432880844646
logistic	0.001	True	(100,)	invscaling	500	adam	0.8545417236662105	0.8638208348117604	0.8376432880844646
logistic	0.001	True	(100,)	adaptive	1000	adam	0.8545417236662105	0.8638208348117604	0.8376432880844646
logistic	0.001	True	(100,)	constant	1000	adam	0.8545417236662105	0.8638208348117604	0.8376432880844646
logistic	0.001	True	(100,)	constant	500	adam	0.8545417236662105	0.8638208348117604	0.8376432880844646
logistic	0.01	True	(100,)	adaptive	1000	adam	0.8510123119015047	0.8603170469329726	0.8337217194570135
logistic	0.01	True	(100,)	adaptive	500	adam	0.8510123119015047	0.8603170469329726	0.8337217194570135
logistic	0.01	True	(100,)	invscaling	1000	adam	0.8510123119015047	0.8603170469329726	0.8337217194570135
