activation	alpha	early_stopping	hidden_layer_sizes	learning_rate	max_iter	solver	mean_valid_accuracy	mean_valid_precision	mean_valid_auc
logistic	0.1	True	(100,)	adaptive	500	adam	0.922134238310709	0.9680994152046785	0.9080606758832565
logistic	0.1	True	(100,)	invscaling	1000	adam	0.922134238310709	0.9680994152046785	0.9080606758832565
logistic	0.1	True	(100,)	invscaling	500	adam	0.922134238310709	0.9680994152046785	0.9080606758832565
logistic	0.1	True	(100,)	constant	1000	adam	0.922134238310709	0.9680994152046785	0.9080606758832565
logistic	0.1	True	(100,)	constant	500	adam	0.922134238310709	0.9680994152046785	0.9080606758832565
logistic	0.1	True	(100,)	adaptive	1000	adam	0.922134238310709	0.9680994152046785	0.9080606758832565
relu	0.1	True	(100, 100)	invscaling	500	lbfgs	0.9688536953242834	0.9634996582365003	0.9674001536098311
relu	0.1	True	(100, 100)	constant	500	lbfgs	0.9688536953242834	0.9634996582365003	0.9674001536098311
relu	0.1	True	(100, 100)	constant	1000	lbfgs	0.9688536953242834	0.9634996582365003	0.9674001536098311
relu	0.1	True	(100, 100)	adaptive	1000	lbfgs	0.9688536953242834	0.9634996582365003	0.9674001536098311
relu	0.1	True	(100, 100)	adaptive	500	lbfgs	0.9688536953242834	0.9634996582365003	0.9674001536098311
relu	0.1	True	(100, 100)	invscaling	1000	lbfgs	0.9688536953242834	0.9634996582365003	0.9674001536098311
logistic	0.001	True	(100,)	invscaling	1000	adam	0.922134238310709	0.9634210526315788	0.9087749615975422
logistic	0.001	True	(100,)	invscaling	500	adam	0.922134238310709	0.9634210526315788	0.9087749615975422
logistic	0.001	True	(100,)	constant	1000	adam	0.922134238310709	0.9634210526315788	0.9087749615975422
logistic	0.01	True	(100,)	adaptive	1000	adam	0.9240950226244344	0.9634210526315788	0.9112749615975421
logistic	0.001	True	(100,)	constant	500	adam	0.922134238310709	0.9634210526315788	0.9087749615975422
logistic	0.01	True	(100,)	adaptive	500	adam	0.9240950226244344	0.9634210526315788	0.9112749615975421
logistic	0.01	True	(100,)	invscaling	1000	adam	0.9240950226244344	0.9634210526315788	0.9112749615975421
logistic	0.01	True	(100,)	invscaling	500	adam	0.9240950226244344	0.9634210526315788	0.9112749615975421
logistic	0.01	True	(100,)	constant	1000	adam	0.9240950226244344	0.9634210526315788	0.9112749615975421
logistic	0.01	True	(100,)	constant	500	adam	0.9240950226244344	0.9634210526315788	0.9112749615975421
logistic	0.001	True	(100,)	adaptive	500	adam	0.922134238310709	0.9634210526315788	0.9087749615975422
logistic	0.001	True	(100,)	adaptive	1000	adam	0.922134238310709	0.9634210526315788	0.9087749615975422
identity	0.1	True	(100, 100)	invscaling	1000	lbfgs	0.9592006033182503	0.9623204751007955	0.9555491551459292
identity	0.1	True	(100, 100)	constant	500	lbfgs	0.9592006033182503	0.9623204751007955	0.9555491551459292
identity	0.1	True	(100, 100)	constant	1000	lbfgs	0.9592006033182503	0.9623204751007955	0.9555491551459292
identity	0.1	True	(100, 100)	adaptive	1000	lbfgs	0.9592006033182503	0.9623204751007955	0.9555491551459292
identity	0.1	True	(100, 100)	invscaling	500	lbfgs	0.9592006033182503	0.9623204751007955	0.9555491551459292
identity	0.1	True	(100, 100)	adaptive	500	lbfgs	0.9592006033182503	0.9623204751007955	0.9555491551459292
identity	0.001	True	(100, 100)	adaptive	500	lbfgs	0.9572398190045248	0.9575836329955324	0.9539362519201229
identity	0.01	True	(100, 100)	adaptive	1000	lbfgs	0.9572398190045248	0.9575836329955324	0.9539362519201229
identity	0.01	True	(100, 100)	adaptive	500	lbfgs	0.9572398190045248	0.9575836329955324	0.9539362519201229
identity	0.01	True	(100, 100)	invscaling	1000	lbfgs	0.9572398190045248	0.9575836329955324	0.9539362519201229
identity	0.01	True	(100, 100)	constant	1000	lbfgs	0.9572398190045248	0.9575836329955324	0.9539362519201229
identity	0.01	True	(100, 100)	constant	500	lbfgs	0.9572398190045248	0.9575836329955324	0.9539362519201229
identity	0.01	True	(100, 100)	invscaling	500	lbfgs	0.9572398190045248	0.9575836329955324	0.9539362519201229
identity	0.001	True	(100, 100)	invscaling	1000	lbfgs	0.9572398190045248	0.9575836329955324	0.9539362519201229
identity	0.001	True	(100, 100)	invscaling	500	lbfgs	0.9572398190045248	0.9575836329955324	0.9539362519201229
identity	0.001	True	(100, 100)	constant	1000	lbfgs	0.9572398190045248	0.9575836329955324	0.9539362519201229
identity	0.001	True	(100, 100)	constant	500	lbfgs	0.9572398190045248	0.9575836329955324	0.9539362519201229
identity	0.001	True	(100, 100)	adaptive	1000	lbfgs	0.9572398190045248	0.9575836329955324	0.9539362519201229
relu	0.01	True	(100, 100)	invscaling	500	lbfgs	0.9552790346907993	0.9573204751007955	0.9514362519201228
relu	0.01	True	(100, 100)	constant	1000	lbfgs	0.9552790346907993	0.9573204751007955	0.9514362519201228
relu	0.01	True	(100, 100)	invscaling	1000	lbfgs	0.9552790346907993	0.9573204751007955	0.9514362519201228
relu	0.01	True	(100, 100)	adaptive	1000	lbfgs	0.9552790346907993	0.9573204751007955	0.9514362519201228
relu	0.01	True	(100, 100)	constant	500	lbfgs	0.9552790346907993	0.9573204751007955	0.9514362519201228
relu	0.01	True	(100, 100)	adaptive	500	lbfgs	0.9552790346907993	0.9573204751007955	0.9514362519201228
relu	0.001	True	(100, 100)	invscaling	1000	lbfgs	0.9533182503770739	0.9570280774399768	0.9489362519201228
tanh	0.01	True	(100, 100)	constant	500	lbfgs	0.9533182503770739	0.9570280774399768	0.948936251920123
relu	0.001	True	(100, 100)	constant	500	lbfgs	0.9533182503770739	0.9570280774399768	0.9489362519201228
tanh	0.001	True	(100, 100)	constant	500	lbfgs	0.9552413273001509	0.9570280774399768	0.9513172043010754
relu	0.001	True	(100, 100)	adaptive	500	lbfgs	0.9533182503770739	0.9570280774399768	0.9489362519201228
tanh	0.001	True	(100, 100)	constant	1000	lbfgs	0.9552413273001509	0.9570280774399768	0.9513172043010754
tanh	0.001	True	(100, 100)	invscaling	500	lbfgs	0.9552413273001509	0.9570280774399768	0.9513172043010754
tanh	0.001	True	(100, 100)	invscaling	1000	lbfgs	0.9552413273001509	0.9570280774399768	0.9513172043010754
