activation	alpha	early_stopping	hidden_layer_sizes	learning_rate	max_iter	solver	mean_valid_accuracy	mean_valid_precision	mean_valid_auc
relu	0.1	True	(50, 50)	adaptive	1000	lbfgs	0.9559397163120567	0.9447368421052632	0.9580175294558234
relu	0.1	True	(50, 50)	adaptive	500	lbfgs	0.9559397163120567	0.9447368421052632	0.9580175294558234
relu	0.1	True	(50, 50)	invscaling	1000	lbfgs	0.9559397163120567	0.9447368421052632	0.9580175294558234
relu	0.1	True	(50, 50)	invscaling	500	lbfgs	0.9559397163120567	0.9447368421052632	0.9580175294558234
relu	0.1	True	(50, 50)	constant	1000	lbfgs	0.9559397163120567	0.9447368421052632	0.9580175294558234
relu	0.1	True	(50, 50)	constant	500	lbfgs	0.9559397163120567	0.9447368421052632	0.9580175294558234
relu	0.001	True	(100,)	constant	500	lbfgs	0.95177304964539	0.9430645161290322	0.95380801140783
relu	0.001	True	(100,)	adaptive	500	lbfgs	0.95177304964539	0.9430645161290322	0.95380801140783
relu	0.001	True	(100,)	invscaling	1000	lbfgs	0.95177304964539	0.9430645161290322	0.95380801140783
relu	0.001	True	(100,)	invscaling	500	lbfgs	0.95177304964539	0.9430645161290322	0.95380801140783
relu	0.001	True	(100,)	constant	1000	lbfgs	0.95177304964539	0.9430645161290322	0.95380801140783
relu	0.001	True	(100,)	adaptive	1000	lbfgs	0.95177304964539	0.9430645161290322	0.95380801140783
relu	0.1	True	(50,)	adaptive	500	lbfgs	0.95177304964539	0.9407236842105263	0.9545692535937544
relu	0.1	True	(50,)	constant	500	lbfgs	0.95177304964539	0.9407236842105263	0.9545692535937544
relu	0.1	True	(50,)	constant	1000	lbfgs	0.95177304964539	0.9407236842105263	0.9545692535937544
relu	0.1	True	(50,)	adaptive	1000	lbfgs	0.95177304964539	0.9407236842105263	0.9545692535937544
relu	0.1	True	(50,)	invscaling	500	lbfgs	0.95177304964539	0.9407236842105263	0.9545692535937544
relu	0.1	True	(50,)	invscaling	1000	lbfgs	0.95177304964539	0.9407236842105263	0.9545692535937544
logistic	0.1	True	(100, 100)	adaptive	1000	lbfgs	0.9516843971631206	0.9394736842105262	0.9536002362227407
logistic	0.1	True	(100, 100)	invscaling	500	lbfgs	0.9516843971631206	0.9394736842105262	0.9536002362227407
logistic	0.1	True	(100, 100)	adaptive	500	lbfgs	0.9516843971631206	0.9394736842105262	0.9536002362227407
logistic	0.1	True	(100, 100)	invscaling	1000	lbfgs	0.9516843971631206	0.9394736842105262	0.9536002362227407
logistic	0.1	True	(100, 100)	constant	1000	lbfgs	0.9516843971631206	0.9394736842105262	0.9536002362227407
logistic	0.1	True	(100, 100)	constant	500	lbfgs	0.9516843971631206	0.9394736842105262	0.9536002362227407
relu	0.1	True	(100, 100)	adaptive	500	lbfgs	0.9518173758865249	0.9392822966507177	0.9554766946100883
relu	0.1	True	(100, 100)	invscaling	1000	lbfgs	0.9518173758865249	0.9392822966507177	0.9554766946100883
relu	0.1	True	(100, 100)	adaptive	1000	lbfgs	0.9518173758865249	0.9392822966507177	0.9554766946100883
relu	0.1	True	(100, 100)	constant	500	lbfgs	0.9518173758865249	0.9392822966507177	0.9554766946100883
relu	0.1	True	(100, 100)	constant	1000	lbfgs	0.9518173758865249	0.9392822966507177	0.9554766946100883
relu	0.1	True	(100, 100)	invscaling	500	lbfgs	0.9518173758865249	0.9392822966507177	0.9554766946100883
identity	0.01	True	(100,)	invscaling	1000	lbfgs	0.9432624113475179	0.9375382003395586	0.9439813614496011
