colsample_bytree	eval_metric	gamma	learning_rate	max_depth	min_child_weight	n_estimators	objective	subsample	mean_valid_accuracy	mean_valid_precision	mean_valid_auc
0.5	auc	0	0.01	4	1	600	binary:logitraw	0.5	0.9357549857549857	0.9800000000000001	0.9228409090909089
0.5	error	0	0.01	4	1	600	binary:logitraw	0.5	0.9357549857549857	0.9800000000000001	0.9228409090909089
0.5	error	0	0.01	6	1	600	binary:logitraw	0.5	0.9394586894586896	0.9800000000000001	0.9273863636363634
0.5	error	0	0.01	8	1	600	binary:logitraw	0.5	0.9394586894586896	0.9800000000000001	0.9273863636363634
0.5	auc	0	0.01	8	1	600	binary:logitraw	0.5	0.9394586894586896	0.9800000000000001	0.9273863636363634
0.5	auc	0	0.01	6	1	600	binary:logitraw	0.5	0.9394586894586896	0.9800000000000001	0.9273863636363634
0.5	auc	0	0.01	4	1	200	binary:logitraw	0.5	0.9091168091168091	0.9777777777777779	0.8892045454545455
0.5	auc	0	0.01	6	1	200	binary:logitraw	0.5	0.9054131054131055	0.9777777777777779	0.884659090909091
0.5	error	0	0.01	6	1	200	binary:logitraw	0.5	0.9054131054131055	0.9777777777777779	0.884659090909091
0.5	error	0	0.01	8	1	200	binary:logitraw	0.5	0.9054131054131055	0.9777777777777779	0.884659090909091
0.5	auc	0	0.01	8	1	200	binary:logitraw	0.5	0.9054131054131055	0.9777777777777779	0.884659090909091
0.5	error	0	0.01	4	1	200	binary:logitraw	0.5	0.9091168091168091	0.9777777777777779	0.8892045454545455
0.5	error	0	0.01	4	1	1000	binary:logitraw	0.5	0.9317663817663817	0.9718181818181819	0.9192613636363636
0.5	auc	0	0.01	4	1	1000	binary:logitraw	0.5	0.9317663817663817	0.9718181818181819	0.9192613636363636
0.5	auc	0	0.01	6	1	1000	binary:logitraw	0.5	0.9317663817663817	0.9718181818181819	0.9192613636363636
0.5	error	0	0.01	6	1	1000	binary:logitraw	0.5	0.9317663817663817	0.9718181818181819	0.9192613636363636
0.5	error	0	0.01	8	1	1000	binary:logitraw	0.5	0.9356125356125358	0.9718181818181819	0.9242613636363635
0.5	auc	0	0.01	8	1	1000	binary:logitraw	0.5	0.9356125356125358	0.9718181818181819	0.9242613636363635
1.0	error	0	0.01	4	1	600	binary:logitraw	0.5	0.9354700854700855	0.9700000000000001	0.9238068181818182
1.0	auc	0	0.01	4	1	1000	binary:logitraw	0.5	0.9316239316239316	0.9700000000000001	0.9188068181818181
1.0	auc	0	0.01	4	1	600	binary:logitraw	0.5	0.9354700854700855	0.9700000000000001	0.9238068181818182
1.0	error	0	0.01	6	1	600	binary:logitraw	0.5	0.9391737891737894	0.9700000000000001	0.9283522727272727
1.0	error	0	0.01	4	1	1000	binary:logitraw	0.5	0.9316239316239316	0.9700000000000001	0.9188068181818181
1.0	auc	0	0.01	6	1	600	binary:logitraw	0.5	0.9391737891737894	0.9700000000000001	0.9283522727272727
0.5	error	0	0.01	8	1	600	binary:logitraw	1.0	0.9394586894586896	0.9677777777777778	0.9288068181818183
0.5	auc	0	0.01	8	1	600	binary:logitraw	1.0	0.9394586894586896	0.9677777777777778	0.9288068181818183
0.5	auc	0	0.01	6	1	600	binary:logitraw	1.0	0.9394586894586896	0.9677777777777778	0.9288068181818183
0.5	error	0	0.01	6	1	600	binary:logitraw	1.0	0.9394586894586896	0.9677777777777778	0.9288068181818183
0.5	auc	0	0.2	8	1	200	binary:logitraw	0.5	0.9356125356125355	0.9634848484848485	0.9252272727272727
0.5	error	0	0.2	8	1	200	binary:logitraw	0.5	0.9356125356125355	0.9634848484848485	0.9252272727272727
1.0	auc	0	0.01	8	1	1000	binary:logitraw	0.5	0.9353276353276353	0.9627272727272727	0.9250189393939394
1.0	error	0	0.01	8	1	1000	binary:logitraw	0.5	0.9353276353276353	0.9627272727272727	0.9250189393939394
1.0	error	0	0.01	8	1	600	binary:logitraw	0.5	0.9391737891737891	0.9627272727272727	0.9300189393939393
1.0	auc	0	0.01	6	1	1000	binary:logitraw	0.5	0.9353276353276353	0.9627272727272727	0.9250189393939394
1.0	error	0	0.01	6	1	1000	binary:logitraw	0.5	0.9353276353276353	0.9627272727272727	0.9250189393939394
1.0	auc	0	0.01	8	1	600	binary:logitraw	0.5	0.9391737891737891	0.9627272727272727	0.9300189393939393
1.0	error	0	0.01	8	1	200	binary:logitraw	0.5	0.9088319088319089	0.9595959595959597	0.8916287878787881
1.0	auc	0	0.01	8	1	200	binary:logitraw	0.5	0.9088319088319089	0.9595959595959597	0.8916287878787881
1.0	error	0	0.01	4	1	200	binary:logitraw	0.5	0.9051282051282051	0.9595959595959597	0.8870833333333333
1.0	error	0	0.01	6	1	200	binary:logitraw	0.5	0.9088319088319089	0.9595959595959597	0.8916287878787881
