activation	alpha	early_stopping	hidden_layer_sizes	learning_rate	max_iter	solver	mean_valid_accuracy	mean_valid_precision	mean_valid_auc
logistic	0.01	True	(100,)	constant	1000	adam	0.9482568027210885	1.0	0.9357894736842105
logistic	0.01	True	(100, 100)	invscaling	1000	adam	0.93796768707483	1.0	0.9228947368421053
logistic	0.001	True	(100,)	adaptive	1000	adam	0.9482568027210885	1.0	0.9357894736842105
logistic	0.001	True	(100,)	adaptive	500	adam	0.9482568027210885	1.0	0.9357894736842105
logistic	0.1	True	(100,)	adaptive	500	adam	0.946173469387755	1.0	0.9331578947368421
logistic	0.01	True	(100,)	invscaling	1000	adam	0.9482568027210885	1.0	0.9357894736842105
logistic	0.001	True	(100,)	invscaling	1000	adam	0.9482568027210885	1.0	0.9357894736842105
logistic	0.001	True	(100,)	invscaling	500	adam	0.9482568027210885	1.0	0.9357894736842105
logistic	0.1	True	(100,)	adaptive	1000	adam	0.946173469387755	1.0	0.9331578947368421
logistic	0.001	True	(100,)	constant	1000	adam	0.9482568027210885	1.0	0.9357894736842105
logistic	0.001	True	(100,)	constant	500	adam	0.9482568027210885	1.0	0.9357894736842105
logistic	0.01	True	(100, 100)	adaptive	1000	adam	0.93796768707483	1.0	0.9228947368421053
logistic	0.01	True	(100, 100)	adaptive	500	adam	0.93796768707483	1.0	0.9228947368421053
logistic	0.1	True	(100, 100)	constant	500	adam	0.9420493197278912	1.0	0.9278947368421052
logistic	0.1	True	(100,)	invscaling	1000	adam	0.946173469387755	1.0	0.9331578947368421
logistic	0.1	True	(100, 100)	constant	1000	adam	0.9420493197278912	1.0	0.9278947368421052
logistic	0.01	True	(100, 100)	invscaling	500	adam	0.93796768707483	1.0	0.9228947368421053
logistic	0.1	True	(100, 100)	invscaling	500	adam	0.9420493197278912	1.0	0.9278947368421052
logistic	0.01	True	(100, 100)	constant	1000	adam	0.93796768707483	1.0	0.9228947368421053
logistic	0.1	True	(100, 100)	invscaling	1000	adam	0.9420493197278912	1.0	0.9278947368421052
logistic	0.1	True	(100, 100)	adaptive	500	adam	0.9420493197278912	1.0	0.9278947368421052
logistic	0.01	True	(100, 100)	constant	500	adam	0.93796768707483	1.0	0.9228947368421053
logistic	0.1	True	(100, 100)	adaptive	1000	adam	0.9420493197278912	1.0	0.9278947368421052
logistic	0.01	True	(100,)	adaptive	1000	adam	0.9482568027210885	1.0	0.9357894736842105
logistic	0.01	True	(100,)	constant	500	adam	0.9482568027210885	1.0	0.9357894736842105
logistic	0.01	True	(100,)	adaptive	500	adam	0.9482568027210885	1.0	0.9357894736842105
logistic	0.001	True	(100, 100)	constant	500	adam	0.93796768707483	1.0	0.9228947368421053
logistic	0.01	True	(100,)	invscaling	500	adam	0.9482568027210885	1.0	0.9357894736842105
logistic	0.001	True	(100, 100)	constant	1000	adam	0.93796768707483	1.0	0.9228947368421053
logistic	0.001	True	(100, 100)	invscaling	1000	adam	0.93796768707483	1.0	0.9228947368421053
logistic	0.001	True	(100, 100)	adaptive	500	adam	0.93796768707483	1.0	0.9228947368421053
logistic	0.1	True	(100,)	invscaling	500	adam	0.946173469387755	1.0	0.9331578947368421
logistic	0.001	True	(100, 100)	adaptive	1000	adam	0.93796768707483	1.0	0.9228947368421053
logistic	0.001	True	(100, 100)	invscaling	500	adam	0.93796768707483	1.0	0.9228947368421053
logistic	0.1	True	(100,)	constant	1000	adam	0.946173469387755	1.0	0.9331578947368421
logistic	0.1	True	(100,)	constant	500	adam	0.946173469387755	1.0	0.9331578947368421
tanh	0.1	True	(50, 50)	adaptive	500	lbfgs	0.9834608843537416	0.9949999999999999	0.9802495462794919
tanh	0.1	True	(50, 50)	constant	1000	lbfgs	0.9834608843537416	0.9949999999999999	0.9802495462794919
logistic	0.01	True	(100, 100)	constant	1000	lbfgs	0.9897108843537415	0.9949999999999999	0.9881442831215971
tanh	0.1	True	(50, 50)	invscaling	500	lbfgs	0.9834608843537416	0.9949999999999999	0.9802495462794919
tanh	0.1	True	(50, 50)	invscaling	1000	lbfgs	0.9834608843537416	0.9949999999999999	0.9802495462794919
tanh	0.1	True	(100, 100)	constant	500	lbfgs	0.9834608843537416	0.9949999999999999	0.9802495462794919
logistic	0.01	True	(100, 100)	constant	500	lbfgs	0.9897108843537415	0.9949999999999999	0.9881442831215971
tanh	0.1	True	(50, 50)	adaptive	1000	lbfgs	0.9834608843537416	0.9949999999999999	0.9802495462794919
logistic	0.01	True	(100, 100)	invscaling	500	lbfgs	0.9897108843537415	0.9949999999999999	0.9881442831215971
tanh	0.1	True	(100, 100)	invscaling	500	lbfgs	0.9834608843537416	0.9949999999999999	0.9802495462794919
tanh	0.1	True	(100, 100)	invscaling	1000	lbfgs	0.9834608843537416	0.9949999999999999	0.9802495462794919
tanh	0.1	True	(100, 100)	adaptive	500	lbfgs	0.9834608843537416	0.9949999999999999	0.9802495462794919
tanh	0.1	True	(100, 100)	adaptive	1000	lbfgs	0.9834608843537416	0.9949999999999999	0.9802495462794919
tanh	0.1	True	(50, 50)	constant	500	lbfgs	0.9834608843537416	0.9949999999999999	0.9802495462794919
logistic	0.01	True	(100, 100)	invscaling	1000	lbfgs	0.9897108843537415	0.9949999999999999	0.9881442831215971
identity	0.1	True	(50, 50)	adaptive	1000	lbfgs	0.9855442176870749	0.9949999999999999	0.9828811252268602
identity	0.1	True	(50,)	constant	500	lbfgs	0.9876275510204081	0.9949999999999999	0.9855127041742285
identity	0.1	True	(50,)	constant	1000	lbfgs	0.9876275510204081	0.9949999999999999	0.9855127041742285
identity	0.1	True	(50, 50)	adaptive	500	lbfgs	0.9855442176870749	0.9949999999999999	0.9828811252268602
logistic	0.01	True	(100, 100)	adaptive	500	lbfgs	0.9897108843537415	0.9949999999999999	0.9881442831215971
identity	0.1	True	(50, 50)	invscaling	1000	lbfgs	0.9855442176870749	0.9949999999999999	0.9828811252268602
identity	0.1	True	(50,)	invscaling	500	lbfgs	0.9876275510204081	0.9949999999999999	0.9855127041742285
logistic	0.01	True	(100, 100)	adaptive	1000	lbfgs	0.9897108843537415	0.9949999999999999	0.9881442831215971
identity	0.1	True	(50, 50)	invscaling	500	lbfgs	0.9855442176870749	0.9949999999999999	0.9828811252268602
identity	0.1	True	(50,)	invscaling	1000	lbfgs	0.9876275510204081	0.9949999999999999	0.9855127041742285
identity	0.1	True	(50,)	adaptive	500	lbfgs	0.9876275510204081	0.9949999999999999	0.9855127041742285
