C	gamma	kernel	mean_valid_accuracy	mean_valid_precision	mean_valid_auc
1.0	0.01	rbf	0.976923076923077	1.0	0.97
1.0	1.0	linear	0.9762820512820513	0.9833333333333334	0.972857142857143
1.0	100.0	linear	0.9762820512820513	0.9833333333333334	0.972857142857143
1.0	1000.0	linear	0.9762820512820513	0.9833333333333334	0.972857142857143
10.0	0.01	rbf	0.9762820512820513	0.9833333333333334	0.972857142857143
10.0	0.1	linear	0.9762820512820513	0.9833333333333334	0.972857142857143
10.0	1.0	linear	0.9762820512820513	0.9833333333333334	0.972857142857143
10.0	100.0	linear	0.9762820512820513	0.9833333333333334	0.972857142857143
10.0	1000.0	linear	0.9762820512820513	0.9833333333333334	0.972857142857143
100.0	0.01	linear	0.9762820512820513	0.9833333333333334	0.972857142857143
100.0	0.01	rbf	0.9762820512820513	0.9833333333333334	0.972857142857143
0.01	0.01	linear	0.9685897435897436	0.9833333333333334	0.9628571428571429
100.0	1.0	linear	0.9762820512820513	0.9833333333333334	0.972857142857143
100.0	100.0	linear	0.9762820512820513	0.9833333333333334	0.972857142857143
100.0	1000.0	linear	0.9762820512820513	0.9833333333333334	0.972857142857143
1000.0	0.01	linear	0.9762820512820513	0.9833333333333334	0.972857142857143
1000.0	0.01	rbf	0.9762820512820513	0.9833333333333334	0.972857142857143
1000.0	0.1	linear	0.9762820512820513	0.9833333333333334	0.972857142857143
1000.0	1.0	linear	0.9762820512820513	0.9833333333333334	0.972857142857143
1000.0	100.0	linear	0.9762820512820513	0.9833333333333334	0.972857142857143
1000.0	1000.0	linear	0.9762820512820513	0.9833333333333334	0.972857142857143
100.0	0.1	linear	0.9762820512820513	0.9833333333333334	0.972857142857143
10.0	0.01	linear	0.9762820512820513	0.9833333333333334	0.972857142857143
0.1	0.1	linear	0.9762820512820513	0.9833333333333334	0.972857142857143
0.01	1.0	linear	0.9685897435897436	0.9833333333333334	0.9628571428571429
1.0	0.1	linear	0.9762820512820513	0.9833333333333334	0.972857142857143
0.01	1000.0	linear	0.9685897435897436	0.9833333333333334	0.9628571428571429
0.1	1.0	linear	0.9762820512820513	0.9833333333333334	0.972857142857143
0.01	100.0	linear	0.9685897435897436	0.9833333333333334	0.9628571428571429
0.1	1000.0	linear	0.9762820512820513	0.9833333333333334	0.972857142857143
0.1	100.0	linear	0.9762820512820513	0.9833333333333334	0.972857142857143
1.0	0.01	linear	0.9762820512820513	0.9833333333333334	0.972857142857143
0.01	0.1	linear	0.9685897435897436	0.9833333333333334	0.9628571428571429
0.1	0.01	linear	0.9762820512820513	0.9833333333333334	0.972857142857143
1000.0	0.1	rbf	0.6474358974358975	0.6	0.5599999999999999
10.0	0.1	rbf	0.6474358974358975	0.6	0.5599999999999999
100.0	0.1	rbf	0.6474358974358975	0.6	0.5599999999999999
1000.0	1.0	rbf	0.5993589743589743	0.0	0.5
0.01	1000.0	rbf	0.5993589743589743	0.0	0.5
0.01	1.0	rbf	0.5993589743589743	0.0	0.5
0.01	0.1	rbf	0.5993589743589743	0.0	0.5
0.01	100.0	rbf	0.5993589743589743	0.0	0.5
1000.0	100.0	rbf	0.5993589743589743	0.0	0.5
100.0	1000.0	rbf	0.5993589743589743	0.0	0.5
100.0	100.0	rbf	0.5993589743589743	0.0	0.5
1.0	0.1	rbf	0.5993589743589743	0.0	0.5
100.0	1.0	rbf	0.5993589743589743	0.0	0.5
0.1	0.01	rbf	0.5993589743589743	0.0	0.5
0.1	0.1	rbf	0.5993589743589743	0.0	0.5
10.0	1000.0	rbf	0.5993589743589743	0.0	0.5
10.0	100.0	rbf	0.5993589743589743	0.0	0.5
0.1	1.0	rbf	0.5993589743589743	0.0	0.5
10.0	1.0	rbf	0.5993589743589743	0.0	0.5
0.1	100.0	rbf	0.5993589743589743	0.0	0.5
0.01	0.01	rbf	0.5993589743589743	0.0	0.5
1.0	1000.0	rbf	0.5993589743589743	0.0	0.5
0.1	1000.0	rbf	0.5993589743589743	0.0	0.5
1.0	100.0	rbf	0.5993589743589743	0.0	0.5
1.0	1.0	rbf	0.5993589743589743	0.0	0.5
1000.0	1000.0	rbf	0.5993589743589743	0.0	0.5
