max_depth	max_features	min_samples_leaf	min_samples_split	n_estimators	mean_valid_accuracy	mean_valid_precision	mean_valid_auc
12	log2	2	4	1000	0.9350877192982457	1.0	0.91875
12	log2	2	2	1000	0.9350877192982457	1.0	0.91875
12	log2	2	8	200	0.9350877192982457	1.0	0.91875
6	log2	2	2	200	0.9350877192982455	1.0	0.91875
12	log2	2	10	200	0.9403508771929825	1.0	0.925
6	log2	2	4	200	0.9350877192982455	1.0	0.91875
10	log2	2	4	600	0.9350877192982457	1.0	0.91875
10	log2	2	4	200	0.9350877192982455	1.0	0.91875
10	log2	2	2	600	0.9350877192982457	1.0	0.91875
10	log2	2	10	200	0.9403508771929825	1.0	0.925
10	log2	2	2	200	0.9350877192982455	1.0	0.91875
6	log2	8	2	1000	0.945906432748538	0.9888888888888889	0.9338474025974026
6	log2	8	2	600	0.945906432748538	0.9888888888888889	0.9338474025974026
8	log2	8	10	1000	0.945906432748538	0.9888888888888889	0.9338474025974026
12	sqrt	2	4	600	0.9514619883040936	0.9888888888888889	0.9409902597402597
10	log2	8	10	1000	0.945906432748538	0.9888888888888889	0.9338474025974026
12	sqrt	2	2	600	0.9514619883040936	0.9888888888888889	0.9409902597402597
6	log2	8	4	600	0.945906432748538	0.9888888888888889	0.9338474025974026
10	log2	8	10	600	0.945906432748538	0.9888888888888889	0.9338474025974026
10	log2	8	8	1000	0.945906432748538	0.9888888888888889	0.9338474025974026
10	log2	8	8	600	0.945906432748538	0.9888888888888889	0.9338474025974026
10	log2	8	4	1000	0.945906432748538	0.9888888888888889	0.9338474025974026
10	log2	8	4	600	0.945906432748538	0.9888888888888889	0.9338474025974026
8	sqrt	2	4	600	0.945906432748538	0.9888888888888889	0.9338474025974026
10	log2	8	2	1000	0.945906432748538	0.9888888888888889	0.9338474025974026
8	log2	8	10	600	0.945906432748538	0.9888888888888889	0.9338474025974026
8	log2	8	10	200	0.9403508771929825	0.9888888888888889	0.9267045454545455
6	log2	8	4	1000	0.945906432748538	0.9888888888888889	0.9338474025974026
6	log2	8	8	600	0.945906432748538	0.9888888888888889	0.9338474025974026
8	sqrt	2	2	1000	0.9406432748538011	0.9888888888888889	0.9275974025974026
8	sqrt	2	2	600	0.945906432748538	0.9888888888888889	0.9338474025974026
10	sqrt	4	2	200	0.9406432748538013	0.9888888888888889	0.9275974025974026
12	sqrt	4	4	200	0.9406432748538013	0.9888888888888889	0.9275974025974026
8	log2	8	2	1000	0.945906432748538	0.9888888888888889	0.9338474025974026
8	log2	8	4	200	0.9403508771929825	0.9888888888888889	0.9267045454545455
12	sqrt	4	8	200	0.9406432748538013	0.9888888888888889	0.9275974025974026
8	log2	8	4	600	0.945906432748538	0.9888888888888889	0.9338474025974026
8	log2	8	4	1000	0.945906432748538	0.9888888888888889	0.9338474025974026
8	log2	8	8	200	0.9403508771929825	0.9888888888888889	0.9267045454545455
8	log2	8	8	600	0.945906432748538	0.9888888888888889	0.9338474025974026
8	log2	8	2	600	0.945906432748538	0.9888888888888889	0.9338474025974026
12	sqrt	4	2	200	0.9406432748538013	0.9888888888888889	0.9275974025974026
8	log2	8	2	200	0.9403508771929825	0.9888888888888889	0.9267045454545455
6	log2	8	10	1000	0.945906432748538	0.9888888888888889	0.9338474025974026
6	log2	8	10	600	0.945906432748538	0.9888888888888889	0.9338474025974026
6	log2	8	8	1000	0.945906432748538	0.9888888888888889	0.9338474025974026
8	log2	8	8	1000	0.945906432748538	0.9888888888888889	0.9338474025974026
8	sqrt	2	4	1000	0.9406432748538011	0.9888888888888889	0.9275974025974026
10	log2	8	2	600	0.945906432748538	0.9888888888888889	0.9338474025974026
12	log2	8	2	1000	0.945906432748538	0.9888888888888889	0.9338474025974026
10	sqrt	2	2	600	0.9514619883040936	0.9888888888888889	0.9409902597402597
12	log2	8	4	600	0.945906432748538	0.9888888888888889	0.9338474025974026
10	sqrt	2	4	600	0.9514619883040936	0.9888888888888889	0.9409902597402597
12	log2	8	8	600	0.945906432748538	0.9888888888888889	0.9338474025974026
12	log2	8	8	1000	0.945906432748538	0.9888888888888889	0.9338474025974026
12	log2	8	10	600	0.945906432748538	0.9888888888888889	0.9338474025974026
12	log2	8	10	1000	0.945906432748538	0.9888888888888889	0.9338474025974026
10	sqrt	4	8	200	0.9406432748538013	0.9888888888888889	0.9275974025974026
12	log2	8	2	600	0.945906432748538	0.9888888888888889	0.9338474025974026
10	sqrt	4	4	200	0.9406432748538013	0.9888888888888889	0.9275974025974026
12	log2	8	4	1000	0.945906432748538	0.9888888888888889	0.9338474025974026
8	log2	2	4	200	0.9298245614035088	0.9875	0.9142045454545455
8	log2	4	10	1000	0.9406432748538011	0.9875	0.9275974025974026
8	log2	2	2	1000	0.9298245614035088	0.9875	0.9142045454545455
8	log2	2	2	600	0.9192982456140351	0.9875	0.9017045454545455
8	log2	4	2	600	0.9350877192982455	0.9875	0.9204545454545455
8	log2	2	4	600	0.9192982456140351	0.9875	0.9017045454545455
8	log2	2	4	1000	0.9298245614035088	0.9875	0.9142045454545455
8	log2	4	2	1000	0.9406432748538011	0.9875	0.9275974025974026
8	log2	2	8	600	0.9350877192982455	0.9875	0.9204545454545455
8	log2	2	8	1000	0.9350877192982455	0.9875	0.9204545454545455
8	log2	2	10	200	0.9350877192982455	0.9875	0.9204545454545455
8	log2	2	10	600	0.9350877192982455	0.9875	0.9204545454545455
8	log2	2	2	200	0.9298245614035088	0.9875	0.9142045454545455
10	log2	2	10	600	0.9350877192982455	0.9875	0.9204545454545455
10	log2	2	10	1000	0.9350877192982455	0.9875	0.9204545454545455
10	log2	4	4	200	0.9298245614035088	0.9875	0.9142045454545455
10	log2	4	10	1000	0.9350877192982455	0.9875	0.9204545454545455
10	log2	4	10	600	0.9350877192982455	0.9875	0.9204545454545455
10	log2	4	10	200	0.9298245614035088	0.9875	0.9142045454545455
10	log2	4	8	1000	0.9406432748538011	0.9875	0.9275974025974026
8	log2	4	4	600	0.9350877192982455	0.9875	0.9204545454545455
10	log2	4	8	600	0.9298245614035088	0.9875	0.9142045454545455
10	log2	4	8	200	0.9298245614035088	0.9875	0.9142045454545455
8	log2	4	4	1000	0.9406432748538011	0.9875	0.9275974025974026
10	log2	4	4	1000	0.9406432748538011	0.9875	0.9275974025974026
10	log2	4	4	600	0.9298245614035088	0.9875	0.9142045454545455
8	log2	4	8	200	0.9298245614035088	0.9875	0.9142045454545455
10	log2	4	2	200	0.9298245614035088	0.9875	0.9142045454545455
8	log2	4	8	600	0.9350877192982455	0.9875	0.9204545454545455
8	log2	4	8	1000	0.9406432748538011	0.9875	0.9275974025974026
8	log2	4	10	200	0.9298245614035088	0.9875	0.9142045454545455
12	sqrt	2	2	200	0.9409356725146198	0.9875	0.9284902597402598
10	log2	4	2	1000	0.9406432748538011	0.9875	0.9275974025974026
12	sqrt	2	2	1000	0.9350877192982457	0.9875	0.9204545454545455
12	sqrt	2	4	200	0.9409356725146198	0.9875	0.9284902597402598
10	log2	4	2	600	0.9298245614035088	0.9875	0.9142045454545455
12	sqrt	2	4	1000	0.9350877192982457	0.9875	0.9204545454545455
8	log2	4	10	600	0.9350877192982455	0.9875	0.9204545454545455
8	log2	4	4	200	0.9298245614035088	0.9875	0.9142045454545455
10	sqrt	2	2	200	0.9517543859649121	0.9875	0.9418831168831169
8	sqrt	2	4	200	0.9461988304093566	0.9875	0.9347402597402598
8	sqrt	2	2	200	0.9461988304093566	0.9875	0.9347402597402598
12	log2	2	8	1000	0.9350877192982455	0.9875	0.9204545454545455
12	log2	2	10	600	0.9350877192982455	0.9875	0.9204545454545455
12	log2	2	10	1000	0.9350877192982455	0.9875	0.9204545454545455
12	log2	4	2	200	0.9298245614035088	0.9875	0.9142045454545455
12	log2	4	2	600	0.9353801169590643	0.9875	0.9213474025974027
12	log2	4	2	1000	0.9353801169590643	0.9875	0.9213474025974027
12	log2	4	4	200	0.9298245614035088	0.9875	0.9142045454545455
12	log2	4	4	600	0.9353801169590643	0.9875	0.9213474025974027
12	log2	4	4	1000	0.9353801169590643	0.9875	0.9213474025974027
12	log2	4	8	200	0.9298245614035088	0.9875	0.9142045454545455
12	log2	4	8	600	0.9353801169590643	0.9875	0.9213474025974027
12	log2	4	8	1000	0.9353801169590643	0.9875	0.9213474025974027
12	log2	4	10	200	0.9298245614035088	0.9875	0.9142045454545455
12	log2	4	10	600	0.9298245614035088	0.9875	0.9142045454545455
12	log2	4	10	1000	0.9298245614035088	0.9875	0.9142045454545455
10	log2	2	8	200	0.9298245614035088	0.9875	0.9142045454545455
10	log2	2	4	1000	0.9298245614035088	0.9875	0.9142045454545455
10	log2	2	2	1000	0.9298245614035088	0.9875	0.9142045454545455
10	sqrt	2	2	1000	0.9406432748538013	0.9875	0.9275974025974026
10	sqrt	2	4	200	0.9517543859649121	0.9875	0.9418831168831169
10	sqrt	2	4	1000	0.9406432748538013	0.9875	0.9275974025974026
6	sqrt	2	4	1000	0.9350877192982457	0.9875	0.9204545454545455
6	sqrt	2	2	1000	0.9350877192982457	0.9875	0.9204545454545455
12	log2	2	8	600	0.9298245614035088	0.9875	0.9142045454545455
12	log2	2	4	600	0.9298245614035088	0.9875	0.9142045454545455
6	log2	2	2	600	0.9298245614035088	0.9875	0.9142045454545455
6	log2	4	4	600	0.9406432748538011	0.9875	0.9275974025974026
12	log2	2	2	200	0.9301169590643275	0.9875	0.9150974025974026
12	log2	2	2	600	0.9298245614035088	0.9875	0.9142045454545455
12	log2	2	4	200	0.9301169590643275	0.9875	0.9150974025974026
8	log2	4	2	200	0.9298245614035088	0.9875	0.9142045454545455
6	log2	4	10	1000	0.9406432748538011	0.9875	0.9275974025974026
6	log2	4	10	600	0.9406432748538011	0.9875	0.9275974025974026
6	log2	4	10	200	0.9298245614035088	0.9875	0.9142045454545455
6	log2	4	8	1000	0.9406432748538011	0.9875	0.9275974025974026
6	log2	4	8	600	0.9406432748538011	0.9875	0.9275974025974026
6	log2	4	8	200	0.9298245614035088	0.9875	0.9142045454545455
6	log2	2	2	1000	0.9298245614035088	0.9875	0.9142045454545455
6	log2	4	4	1000	0.9406432748538011	0.9875	0.9275974025974026
6	log2	4	4	200	0.9298245614035088	0.9875	0.9142045454545455
6	log2	4	2	1000	0.9406432748538011	0.9875	0.9275974025974026
6	log2	4	2	600	0.9406432748538011	0.9875	0.9275974025974026
6	log2	4	2	200	0.9298245614035088	0.9875	0.9142045454545455
10	log2	2	8	1000	0.9350877192982455	0.9875	0.9204545454545455
6	log2	2	10	200	0.9298245614035088	0.9875	0.9142045454545455
10	log2	2	8	600	0.9298245614035088	0.9875	0.9142045454545455
6	log2	2	8	600	0.9406432748538011	0.9875	0.9275974025974026
6	log2	2	8	200	0.9245614035087719	0.9875	0.9079545454545455
6	log2	2	4	1000	0.9298245614035088	0.9875	0.9142045454545455
6	log2	2	4	600	0.9298245614035088	0.9875	0.9142045454545455
8	log2	2	10	1000	0.9350877192982455	0.9875	0.9204545454545455
10	sqrt	4	8	600	0.9353801169590643	0.9800000000000001	0.9230519480519481
10	sqrt	4	4	600	0.9353801169590643	0.9800000000000001	0.9230519480519481
10	sqrt	4	2	600	0.9353801169590643	0.9800000000000001	0.9230519480519481
6	sqrt	4	8	200	0.9353801169590643	0.9800000000000001	0.9230519480519481
6	sqrt	4	4	1000	0.9301169590643275	0.9800000000000001	0.9168019480519481
6	log2	8	2	200	0.9406432748538011	0.9800000000000001	0.9293019480519481
6	log2	8	4	200	0.9406432748538011	0.9800000000000001	0.9293019480519481
6	log2	8	8	200	0.9406432748538011	0.9800000000000001	0.9293019480519481
6	log2	8	10	200	0.9406432748538011	0.9800000000000001	0.9293019480519481
12	log2	8	2	200	0.9350877192982455	0.9800000000000001	0.922159090909091
12	log2	8	4	200	0.9350877192982455	0.9800000000000001	0.922159090909091
12	log2	8	8	200	0.9350877192982455	0.9800000000000001	0.922159090909091
6	sqrt	4	8	1000	0.9301169590643275	0.9800000000000001	0.9168019480519481
6	sqrt	4	8	600	0.9353801169590643	0.9800000000000001	0.9230519480519481
10	log2	8	2	200	0.9350877192982455	0.9800000000000001	0.922159090909091
6	sqrt	4	4	600	0.9353801169590643	0.9800000000000001	0.9230519480519481
6	sqrt	4	4	200	0.9353801169590643	0.9800000000000001	0.9230519480519481
6	sqrt	4	2	1000	0.9301169590643275	0.9800000000000001	0.9168019480519481
6	sqrt	4	2	600	0.9353801169590643	0.9800000000000001	0.9230519480519481
6	sqrt	4	2	200	0.9353801169590643	0.9800000000000001	0.9230519480519481
12	log2	8	10	200	0.9350877192982455	0.9800000000000001	0.922159090909091
10	log2	8	10	200	0.9350877192982455	0.9800000000000001	0.922159090909091
10	log2	8	8	200	0.9350877192982455	0.9800000000000001	0.922159090909091
10	log2	8	4	200	0.9350877192982455	0.9800000000000001	0.922159090909091
6	log2	2	10	600	0.9353801169590643	0.9777777777777779	0.9230519480519481
6	log2	2	8	1000	0.9298245614035088	0.9777777777777779	0.915909090909091
8	log2	2	8	200	0.9245614035087719	0.9777777777777779	0.909659090909091
6	log2	2	10	1000	0.9298245614035088	0.9777777777777779	0.915909090909091
12	sqrt	4	10	1000	0.9242690058479532	0.9746031746031747	0.909659090909091
12	sqrt	4	10	200	0.9456140350877194	0.9746031746031747	0.9355519480519481
10	sqrt	4	2	1000	0.9242690058479532	0.9746031746031747	0.909659090909091
12	log2	10	8	1000	0.9403508771929825	0.9746031746031747	0.9293019480519481
12	log2	10	4	1000	0.9403508771929825	0.9746031746031747	0.9293019480519481
10	sqrt	4	4	1000	0.9242690058479532	0.9746031746031747	0.909659090909091
12	log2	10	2	1000	0.9403508771929825	0.9746031746031747	0.9293019480519481
10	log2	10	2	1000	0.9403508771929825	0.9746031746031747	0.9293019480519481
10	log2	10	4	1000	0.9403508771929825	0.9746031746031747	0.9293019480519481
10	log2	10	8	1000	0.9403508771929825	0.9746031746031747	0.9293019480519481
10	log2	10	10	1000	0.9403508771929825	0.9746031746031747	0.9293019480519481
12	sqrt	2	8	600	0.934795321637427	0.9746031746031747	0.922159090909091
12	sqrt	2	8	1000	0.934795321637427	0.9746031746031747	0.922159090909091
10	sqrt	4	8	1000	0.9242690058479532	0.9746031746031747	0.909659090909091
10	sqrt	4	10	1000	0.9298245614035088	0.9746031746031747	0.9168019480519481
12	sqrt	2	10	1000	0.934795321637427	0.9746031746031747	0.922159090909091
12	sqrt	4	2	600	0.9350877192982457	0.9746031746031747	0.9230519480519481
12	sqrt	4	4	600	0.9350877192982457	0.9746031746031747	0.9230519480519481
12	sqrt	4	4	1000	0.9242690058479532	0.9746031746031747	0.909659090909091
12	sqrt	4	8	600	0.9350877192982457	0.9746031746031747	0.9230519480519481
12	sqrt	4	8	1000	0.9242690058479532	0.9746031746031747	0.909659090909091
12	sqrt	4	2	1000	0.9242690058479532	0.9746031746031747	0.909659090909091
6	sqrt	2	2	200	0.9456140350877194	0.9746031746031747	0.9355519480519481
10	sqrt	2	10	1000	0.934795321637427	0.9746031746031747	0.922159090909091
8	log2	10	8	1000	0.9403508771929825	0.9746031746031747	0.9293019480519481
8	log2	10	2	1000	0.9403508771929825	0.9746031746031747	0.9293019480519481
8	sqrt	4	10	1000	0.9242690058479532	0.9746031746031747	0.909659090909091
8	sqrt	4	10	600	0.9350877192982457	0.9746031746031747	0.9230519480519481
8	sqrt	4	8	1000	0.9350877192982457	0.9746031746031747	0.9230519480519481
8	sqrt	4	8	600	0.9350877192982457	0.9746031746031747	0.9230519480519481
