colsample_bytree	eval_metric	gamma	learning_rate	max_depth	min_child_weight	n_estimators	objective	subsample	mean_valid_accuracy	mean_valid_precision	mean_valid_auc
0.5	auc	0	0.01	4	1	200	binary:logitraw	0.5	0.9362745098039216	1.0	0.9214285714285714
0.5	error	0	0.01	8	3	200	binary:logitraw	1.0	0.9539215686274509	1.0	0.9428571428571428
0.5	error	0	0.01	8	1	200	binary:logitraw	1.0	0.9594771241830065	1.0	0.95
0.5	error	0	0.01	8	1	600	binary:logitraw	0.5	0.9477124183006536	1.0	0.9357142857142857
0.5	error	0	0.01	8	1	600	binary:logitraw	1.0	0.9594771241830065	1.0	0.95
0.5	error	0	0.01	8	1	1000	binary:logitraw	0.5	0.9477124183006536	1.0	0.9357142857142857
0.5	error	0	0.01	8	1	1000	binary:logitraw	1.0	0.9594771241830065	1.0	0.95
0.5	error	0	0.01	8	3	200	binary:logitraw	0.5	0.930718954248366	1.0	0.9142857142857143
0.5	error	0	0.01	8	3	600	binary:logitraw	0.5	0.942156862745098	1.0	0.9285714285714286
0.5	error	0	0.01	6	3	1000	binary:logitraw	0.5	0.95359477124183	1.0	0.9428571428571428
0.5	error	0	0.01	8	3	1000	binary:logitraw	0.5	0.95359477124183	1.0	0.9428571428571428
0.5	error	0	0.2	4	1	200	binary:logitraw	1.0	0.9594771241830065	1.0	0.95
0.5	error	0	0.2	4	1	600	binary:logitraw	1.0	0.9594771241830065	1.0	0.95
0.5	error	0	0.2	4	1	1000	binary:logitraw	1.0	0.9594771241830065	1.0	0.95
0.5	error	0	0.2	6	1	200	binary:logitraw	1.0	0.9594771241830065	1.0	0.95
0.5	error	0	0.2	8	1	200	binary:logitraw	1.0	0.9594771241830065	1.0	0.95
0.5	error	0	0.01	8	1	200	binary:logitraw	0.5	0.942156862745098	1.0	0.9285714285714286
0.5	error	0	0.01	6	3	600	binary:logitraw	0.5	0.942156862745098	1.0	0.9285714285714286
0.5	error	0	0.01	4	1	200	binary:logitraw	0.5	0.9362745098039216	1.0	0.9214285714285714
0.5	error	0	0.01	4	3	1000	binary:logitraw	0.5	0.95359477124183	1.0	0.9428571428571428
0.5	error	0	0.01	4	1	600	binary:logitraw	1.0	0.9594771241830065	1.0	0.95
0.5	error	0	0.01	4	1	1000	binary:logitraw	0.5	0.9477124183006536	1.0	0.9357142857142857
0.5	error	0	0.01	4	1	1000	binary:logitraw	1.0	0.9594771241830065	1.0	0.95
0.5	error	0	0.01	4	3	200	binary:logitraw	0.5	0.930718954248366	1.0	0.9142857142857143
0.5	error	0	0.01	4	3	200	binary:logitraw	1.0	0.9539215686274509	1.0	0.9428571428571428
