activation	alpha	early_stopping	hidden_layer_sizes	learning_rate	max_iter	solver	mean_valid_accuracy	mean_valid_precision	mean_valid_auc
logistic	0.001	True	(100,)	invscaling	500	adam	0.956060606060606	1.0	0.95
logistic	0.001	True	(100,)	constant	500	adam	0.956060606060606	1.0	0.95
logistic	0.1	True	(100,)	invscaling	1000	adam	0.9386363636363635	1.0	0.9275
logistic	0.1	True	(100,)	adaptive	500	adam	0.9386363636363635	1.0	0.9275
logistic	0.1	True	(100,)	invscaling	500	adam	0.9386363636363635	1.0	0.9275
logistic	0.1	True	(100,)	adaptive	1000	adam	0.9386363636363635	1.0	0.9275
logistic	0.01	True	(100,)	adaptive	1000	adam	0.9477272727272726	1.0	0.9400000000000001
logistic	0.1	True	(100,)	constant	1000	adam	0.9386363636363635	1.0	0.9275
logistic	0.01	True	(100,)	invscaling	1000	adam	0.9477272727272726	1.0	0.9400000000000001
logistic	0.01	True	(100,)	invscaling	500	adam	0.9477272727272726	1.0	0.9400000000000001
logistic	0.1	True	(100,)	constant	500	adam	0.9386363636363635	1.0	0.9275
logistic	0.01	True	(100,)	constant	1000	adam	0.9477272727272726	1.0	0.9400000000000001
logistic	0.01	True	(100,)	adaptive	500	adam	0.9477272727272726	1.0	0.9400000000000001
logistic	0.001	True	(100,)	constant	1000	adam	0.956060606060606	1.0	0.95
logistic	0.001	True	(100,)	adaptive	1000	adam	0.956060606060606	1.0	0.95
logistic	0.01	True	(100,)	constant	500	adam	0.9477272727272726	1.0	0.9400000000000001
logistic	0.001	True	(100,)	invscaling	1000	adam	0.956060606060606	1.0	0.95
logistic	0.001	True	(100,)	adaptive	500	adam	0.956060606060606	1.0	0.95
logistic	0.01	True	(50, 50)	invscaling	1000	lbfgs	0.9825757575757577	0.9833333333333334	0.9816666666666667
logistic	0.01	True	(50, 50)	constant	1000	lbfgs	0.9825757575757577	0.9833333333333334	0.9816666666666667
logistic	0.01	True	(50, 50)	invscaling	500	lbfgs	0.9825757575757577	0.9833333333333334	0.9816666666666667
tanh	0.01	True	(50, 50)	invscaling	1000	lbfgs	0.9825757575757577	0.9833333333333334	0.9816666666666667
relu	0.001	True	(100,)	invscaling	500	lbfgs	0.965909090909091	0.9833333333333334	0.9616666666666667
tanh	0.1	True	(100, 100)	constant	1000	lbfgs	0.9825757575757577	0.9833333333333334	0.9816666666666667
relu	0.001	True	(100,)	invscaling	1000	lbfgs	0.965909090909091	0.9833333333333334	0.9616666666666667
identity	0.1	True	(50, 50)	invscaling	500	lbfgs	0.9825757575757577	0.9833333333333334	0.9816666666666667
relu	0.001	True	(100,)	constant	1000	lbfgs	0.965909090909091	0.9833333333333334	0.9616666666666667
relu	0.001	True	(100,)	adaptive	500	lbfgs	0.965909090909091	0.9833333333333334	0.9616666666666667
tanh	0.1	True	(100, 100)	constant	500	lbfgs	0.9825757575757577	0.9833333333333334	0.9816666666666667
relu	0.001	True	(100,)	adaptive	1000	lbfgs	0.965909090909091	0.9833333333333334	0.9616666666666667
relu	0.01	True	(100,)	adaptive	500	lbfgs	0.965909090909091	0.9833333333333334	0.9616666666666667
logistic	0.01	True	(50, 50)	adaptive	1000	lbfgs	0.9825757575757577	0.9833333333333334	0.9816666666666667
logistic	0.01	True	(100, 100)	constant	500	lbfgs	0.9825757575757577	0.9833333333333334	0.9816666666666667
tanh	0.1	True	(50, 50)	adaptive	1000	lbfgs	0.9825757575757577	0.9833333333333334	0.9816666666666667
logistic	0.01	True	(50, 50)	adaptive	500	lbfgs	0.9825757575757577	0.9833333333333334	0.9816666666666667
relu	0.001	True	(100,)	constant	500	lbfgs	0.965909090909091	0.9833333333333334	0.9616666666666667
tanh	0.1	True	(100, 100)	invscaling	500	lbfgs	0.9825757575757577	0.9833333333333334	0.9816666666666667
identity	0.01	True	(50, 50)	constant	500	lbfgs	0.9825757575757577	0.9833333333333334	0.9816666666666667
identity	0.01	True	(50, 50)	adaptive	1000	lbfgs	0.9825757575757577	0.9833333333333334	0.9816666666666667
identity	0.01	True	(50, 50)	adaptive	500	lbfgs	0.9825757575757577	0.9833333333333334	0.9816666666666667
