colsample_bytree	eval_metric	gamma	learning_rate	max_depth	min_child_weight	n_estimators	objective	subsample	mean_valid_accuracy	mean_valid_precision	mean_valid_auc
0.5	auc	0	0.01	4	1	200	binary:logitraw	0.5	0.9800000000000001	1.0	0.975
0.5	error	0	0.01	8	3	600	binary:logitraw	0.5	0.9519047619047619	1.0	0.9416666666666667
1.0	auc	0	0.01	4	1	600	binary:logitraw	0.5	0.9800000000000001	1.0	0.975
1.0	auc	0	0.01	4	1	1000	binary:logitraw	0.5	0.9800000000000001	1.0	0.975
1.0	auc	0	0.01	4	1	1000	binary:logitraw	1.0	0.9585714285714285	1.0	0.9466666666666667
1.0	auc	0	0.01	4	3	200	binary:logitraw	0.5	0.9519047619047619	1.0	0.9416666666666667
1.0	auc	0	0.01	4	3	600	binary:logitraw	0.5	0.9519047619047619	1.0	0.9416666666666667
1.0	auc	0	0.01	4	3	1000	binary:logitraw	0.5	0.9661904761904762	1.0	0.9583333333333334
1.0	auc	0	0.01	6	1	600	binary:logitraw	0.5	0.9800000000000001	1.0	0.975
1.0	auc	0	0.01	6	1	1000	binary:logitraw	0.5	0.9800000000000001	1.0	0.975
1.0	auc	0	0.01	6	1	1000	binary:logitraw	1.0	0.9585714285714285	1.0	0.9466666666666667
1.0	auc	0	0.01	6	3	200	binary:logitraw	0.5	0.9519047619047619	1.0	0.9416666666666667
1.0	auc	0	0.01	6	3	600	binary:logitraw	0.5	0.9519047619047619	1.0	0.9416666666666667
0.5	error	0	0.01	4	1	200	binary:logitraw	0.5	0.9800000000000001	1.0	0.975
1.0	auc	0	0.01	8	1	600	binary:logitraw	0.5	0.9800000000000001	1.0	0.975
1.0	auc	0	0.01	8	1	1000	binary:logitraw	0.5	0.9800000000000001	1.0	0.975
1.0	auc	0	0.01	8	1	1000	binary:logitraw	1.0	0.9585714285714285	1.0	0.9466666666666667
1.0	auc	0	0.01	8	3	200	binary:logitraw	0.5	0.9519047619047619	1.0	0.9416666666666667
1.0	auc	0	0.01	8	3	600	binary:logitraw	0.5	0.9519047619047619	1.0	0.9416666666666667
1.0	auc	0	0.01	8	3	1000	binary:logitraw	0.5	0.9661904761904762	1.0	0.9583333333333334
1.0	error	0	0.01	4	1	600	binary:logitraw	0.5	0.9800000000000001	1.0	0.975
0.5	error	0	0.01	8	3	1000	binary:logitraw	0.5	0.9519047619047619	1.0	0.9416666666666667
0.5	error	0	0.01	8	3	200	binary:logitraw	0.5	0.9376190476190477	1.0	0.9233333333333335
1.0	error	0	0.01	4	1	1000	binary:logitraw	1.0	0.9585714285714285	1.0	0.9466666666666667
0.5	error	0	0.01	8	1	1000	binary:logitraw	1.0	0.9728571428571428	1.0	0.9650000000000001
0.5	error	0	0.01	4	1	600	binary:logitraw	0.5	0.9800000000000001	1.0	0.975
0.5	error	0	0.01	4	1	600	binary:logitraw	1.0	0.9728571428571428	1.0	0.9650000000000001
0.5	error	0	0.01	4	1	1000	binary:logitraw	0.5	0.9800000000000001	1.0	0.975
0.5	error	0	0.01	4	1	1000	binary:logitraw	1.0	0.9728571428571428	1.0	0.9650000000000001
0.5	error	0	0.01	4	3	200	binary:logitraw	0.5	0.9376190476190477	1.0	0.9233333333333335
0.5	error	0	0.01	4	3	600	binary:logitraw	0.5	0.9519047619047619	1.0	0.9416666666666667
0.5	error	0	0.01	4	3	1000	binary:logitraw	0.5	0.9519047619047619	1.0	0.9416666666666667
0.5	error	0	0.01	6	1	200	binary:logitraw	0.5	0.9800000000000001	1.0	0.975
0.5	error	0	0.01	6	1	600	binary:logitraw	0.5	0.9800000000000001	1.0	0.975
0.5	error	0	0.01	6	1	600	binary:logitraw	1.0	0.9728571428571428	1.0	0.9650000000000001
0.5	error	0	0.01	6	1	1000	binary:logitraw	0.5	0.9800000000000001	1.0	0.975
0.5	error	0	0.01	6	1	1000	binary:logitraw	1.0	0.9728571428571428	1.0	0.9650000000000001
0.5	error	0	0.01	6	3	200	binary:logitraw	0.5	0.9376190476190477	1.0	0.9233333333333335
0.5	error	0	0.01	6	3	600	binary:logitraw	0.5	0.9519047619047619	1.0	0.9416666666666667
0.5	error	0	0.01	6	3	1000	binary:logitraw	0.5	0.9519047619047619	1.0	0.9416666666666667
0.5	error	0	0.01	8	1	200	binary:logitraw	0.5	0.9800000000000001	1.0	0.975
0.5	error	0	0.01	8	1	600	binary:logitraw	0.5	0.9800000000000001	1.0	0.975
0.5	error	0	0.01	8	1	600	binary:logitraw	1.0	0.9728571428571428	1.0	0.9650000000000001
0.5	error	0	0.01	8	1	1000	binary:logitraw	0.5	0.9800000000000001	1.0	0.975
1.0	error	0	0.01	4	1	1000	binary:logitraw	0.5	0.9800000000000001	1.0	0.975
1.0	auc	0	0.01	6	3	1000	binary:logitraw	0.5	0.9661904761904762	1.0	0.9583333333333334
1.0	error	0	0.01	4	3	200	binary:logitraw	0.5	0.9519047619047619	1.0	0.9416666666666667
1.0	error	0	0.01	4	3	600	binary:logitraw	0.5	0.9519047619047619	1.0	0.9416666666666667
0.5	auc	0	0.01	8	1	600	binary:logitraw	0.5	0.9800000000000001	1.0	0.975
0.5	auc	0	0.01	4	3	1000	binary:logitraw	0.5	0.9519047619047619	1.0	0.9416666666666667
1.0	error	0	0.01	8	3	600	binary:logitraw	0.5	0.9519047619047619	1.0	0.9416666666666667
0.5	auc	0	0.01	6	1	200	binary:logitraw	0.5	0.9800000000000001	1.0	0.975
1.0	error	0	0.01	8	3	200	binary:logitraw	0.5	0.9519047619047619	1.0	0.9416666666666667
0.5	auc	0	0.01	6	1	600	binary:logitraw	0.5	0.9800000000000001	1.0	0.975
0.5	auc	0	0.01	6	1	600	binary:logitraw	1.0	0.9728571428571428	1.0	0.9650000000000001
0.5	auc	0	0.01	6	1	1000	binary:logitraw	0.5	0.9800000000000001	1.0	0.975
0.5	auc	0	0.01	8	1	1000	binary:logitraw	1.0	0.9728571428571428	1.0	0.9650000000000001
0.5	auc	0	0.01	8	1	200	binary:logitraw	0.5	0.9800000000000001	1.0	0.975
0.5	auc	0	0.01	6	1	1000	binary:logitraw	1.0	0.9728571428571428	1.0	0.9650000000000001
1.0	error	0	0.01	8	1	600	binary:logitraw	0.5	0.9800000000000001	1.0	0.975
0.5	auc	0	0.01	6	3	1000	binary:logitraw	0.5	0.9519047619047619	1.0	0.9416666666666667
1.0	error	0	0.01	8	1	1000	binary:logitraw	0.5	0.9800000000000001	1.0	0.975
0.5	auc	0	0.01	6	3	600	binary:logitraw	0.5	0.9519047619047619	1.0	0.9416666666666667
1.0	error	0	0.01	8	1	1000	binary:logitraw	1.0	0.9585714285714285	1.0	0.9466666666666667
0.5	auc	0	0.01	8	1	600	binary:logitraw	1.0	0.9728571428571428	1.0	0.9650000000000001
0.5	auc	0	0.01	8	1	1000	binary:logitraw	0.5	0.9800000000000001	1.0	0.975
1.0	error	0	0.01	6	3	200	binary:logitraw	0.5	0.9519047619047619	1.0	0.9416666666666667
0.5	auc	0	0.01	8	3	200	binary:logitraw	0.5	0.9376190476190477	1.0	0.9233333333333335
0.5	auc	0	0.01	4	1	600	binary:logitraw	0.5	0.9800000000000001	1.0	0.975
0.5	auc	0	0.01	4	1	600	binary:logitraw	1.0	0.9728571428571428	1.0	0.9650000000000001
0.5	auc	0	0.01	4	1	1000	binary:logitraw	0.5	0.9800000000000001	1.0	0.975
1.0	error	0	0.01	4	3	1000	binary:logitraw	0.5	0.9661904761904762	1.0	0.9583333333333334
0.5	auc	0	0.01	4	1	1000	binary:logitraw	1.0	0.9728571428571428	1.0	0.9650000000000001
1.0	error	0	0.01	6	1	600	binary:logitraw	0.5	0.9800000000000001	1.0	0.975
1.0	error	0	0.01	6	1	1000	binary:logitraw	0.5	0.9800000000000001	1.0	0.975
1.0	error	0	0.01	6	1	1000	binary:logitraw	1.0	0.9585714285714285	1.0	0.9466666666666667
