activation	alpha	early_stopping	hidden_layer_sizes	learning_rate	max_iter	solver	mean_valid_accuracy	mean_valid_precision	mean_valid_auc
logistic	0.01	True	(100,)	invscaling	1000	adam	0.79	1.0	0.7375
logistic	0.01	True	(100,)	invscaling	500	adam	0.79	1.0	0.7375
logistic	0.1	True	(100,)	invscaling	500	adam	0.8099999999999999	1.0	0.7625
logistic	0.1	True	(100,)	invscaling	1000	adam	0.8099999999999999	1.0	0.7625
logistic	0.1	True	(100,)	adaptive	500	adam	0.8099999999999999	1.0	0.7625
logistic	0.1	True	(100,)	adaptive	1000	adam	0.8099999999999999	1.0	0.7625
logistic	0.01	True	(100,)	constant	500	adam	0.79	1.0	0.7375
logistic	0.01	True	(100,)	constant	1000	adam	0.79	1.0	0.7375
logistic	0.001	True	(100,)	adaptive	1000	adam	0.79	1.0	0.7375
logistic	0.1	True	(100,)	constant	500	adam	0.8099999999999999	1.0	0.7625
logistic	0.01	True	(100,)	adaptive	500	adam	0.79	1.0	0.7375
logistic	0.001	True	(100,)	adaptive	500	adam	0.79	1.0	0.7375
logistic	0.001	True	(100,)	invscaling	1000	adam	0.79	1.0	0.7375
logistic	0.001	True	(100,)	invscaling	500	adam	0.79	1.0	0.7375
logistic	0.001	True	(100,)	constant	1000	adam	0.79	1.0	0.7375
logistic	0.01	True	(100,)	adaptive	1000	adam	0.79	1.0	0.7375
logistic	0.1	True	(100,)	constant	1000	adam	0.8099999999999999	1.0	0.7625
logistic	0.001	True	(100,)	constant	500	adam	0.79	1.0	0.7375
relu	0.001	True	(50, 50)	constant	500	adam	0.8600000000000001	0.9800000000000001	0.8291666666666668
relu	0.001	True	(50, 50)	invscaling	500	adam	0.8600000000000001	0.9800000000000001	0.8291666666666668
relu	0.001	True	(50, 50)	constant	1000	adam	0.8600000000000001	0.9800000000000001	0.8291666666666668
relu	0.1	True	(50, 50)	invscaling	1000	adam	0.8600000000000001	0.9800000000000001	0.8291666666666668
tanh	0.001	True	(50, 50)	adaptive	1000	adam	0.8800000000000001	0.9800000000000001	0.8541666666666667
relu	0.1	True	(50, 50)	adaptive	500	adam	0.8600000000000001	0.9800000000000001	0.8291666666666668
relu	0.01	True	(50, 50)	invscaling	1000	adam	0.8600000000000001	0.9800000000000001	0.8291666666666668
relu	0.01	True	(50, 50)	constant	500	adam	0.8600000000000001	0.9800000000000001	0.8291666666666668
relu	0.1	True	(50, 50)	adaptive	1000	adam	0.8600000000000001	0.9800000000000001	0.8291666666666668
relu	0.01	True	(50, 50)	adaptive	500	adam	0.8600000000000001	0.9800000000000001	0.8291666666666668
relu	0.01	True	(50, 50)	adaptive	1000	adam	0.8600000000000001	0.9800000000000001	0.8291666666666668
tanh	0.001	True	(50, 50)	constant	500	adam	0.8800000000000001	0.9800000000000001	0.8541666666666667
