activation	alpha	early_stopping	hidden_layer_sizes	learning_rate	max_iter	solver	mean_valid_accuracy	mean_valid_precision	mean_valid_auc
relu	0.001	True	(50, 50)	constant	500	adam	0.8800000000000001	1.0	0.85
logistic	0.01	True	(100,)	adaptive	500	adam	0.9099999999999999	1.0	0.8875
logistic	0.001	True	(100,)	constant	500	adam	0.9099999999999999	1.0	0.8875
relu	0.001	True	(100, 100)	adaptive	500	adam	0.95	1.0	0.9375
relu	0.001	True	(100, 100)	invscaling	1000	adam	0.95	1.0	0.9375
relu	0.001	True	(100, 100)	invscaling	500	adam	0.95	1.0	0.9375
identity	0.1	True	(100,)	adaptive	1000	lbfgs	0.9800000000000001	1.0	0.975
relu	0.001	True	(100, 100)	constant	1000	adam	0.95	1.0	0.9375
identity	0.1	True	(100,)	adaptive	500	lbfgs	0.9800000000000001	1.0	0.975
logistic	0.1	True	(100,)	adaptive	500	adam	0.9200000000000002	1.0	0.9
relu	0.001	True	(100, 100)	constant	500	adam	0.95	1.0	0.9375
logistic	0.01	True	(100,)	adaptive	1000	lbfgs	0.99	1.0	0.9875
logistic	0.01	True	(100,)	adaptive	1000	adam	0.9099999999999999	1.0	0.8875
logistic	0.01	True	(100,)	adaptive	500	lbfgs	0.99	1.0	0.9875
logistic	0.01	True	(100,)	invscaling	1000	lbfgs	0.99	1.0	0.9875
relu	0.1	True	(100, 100)	constant	1000	lbfgs	0.9800000000000001	1.0	0.975
logistic	0.01	True	(100,)	invscaling	1000	adam	0.9099999999999999	1.0	0.8875
relu	0.1	True	(100, 100)	adaptive	1000	lbfgs	0.9800000000000001	1.0	0.975
logistic	0.01	True	(100,)	invscaling	500	lbfgs	0.99	1.0	0.9875
relu	0.1	True	(100, 100)	adaptive	1000	adam	0.95	1.0	0.9375
relu	0.1	True	(100, 100)	adaptive	500	lbfgs	0.9800000000000001	1.0	0.975
identity	0.1	True	(100,)	invscaling	1000	lbfgs	0.9800000000000001	1.0	0.975
relu	0.1	True	(100, 100)	adaptive	500	adam	0.95	1.0	0.9375
relu	0.1	True	(100, 100)	invscaling	1000	lbfgs	0.9800000000000001	1.0	0.975
relu	0.01	True	(100, 100)	constant	1000	adam	0.95	1.0	0.9375
relu	0.1	True	(100, 100)	invscaling	1000	adam	0.95	1.0	0.9375
relu	0.1	True	(100, 100)	invscaling	500	lbfgs	0.9800000000000001	1.0	0.975
logistic	0.01	True	(100,)	constant	1000	lbfgs	0.99	1.0	0.9875
logistic	0.001	True	(100,)	constant	1000	adam	0.9099999999999999	1.0	0.8875
logistic	0.001	True	(100,)	invscaling	500	adam	0.9099999999999999	1.0	0.8875
logistic	0.001	True	(100,)	invscaling	1000	adam	0.9099999999999999	1.0	0.8875
relu	0.001	True	(50, 50)	invscaling	1000	adam	0.8800000000000001	1.0	0.85
identity	0.1	True	(50,)	invscaling	1000	lbfgs	0.9800000000000001	1.0	0.975
relu	0.01	True	(100, 100)	constant	500	adam	0.95	1.0	0.9375
relu	0.01	True	(100, 100)	invscaling	500	adam	0.95	1.0	0.9375
relu	0.01	True	(50, 50)	adaptive	1000	adam	0.8800000000000001	1.0	0.85
identity	0.1	True	(50,)	invscaling	500	lbfgs	0.9800000000000001	1.0	0.975
identity	0.1	True	(50,)	constant	1000	lbfgs	0.9800000000000001	1.0	0.975
relu	0.01	True	(50, 50)	adaptive	500	adam	0.8800000000000001	1.0	0.85
identity	0.1	True	(50,)	adaptive	500	lbfgs	0.9800000000000001	1.0	0.975
relu	0.01	True	(50, 50)	invscaling	1000	adam	0.8800000000000001	1.0	0.85
identity	0.1	True	(100, 100)	constant	500	lbfgs	0.9800000000000001	1.0	0.975
relu	0.01	True	(100, 100)	invscaling	1000	adam	0.95	1.0	0.9375
relu	0.01	True	(50, 50)	invscaling	500	adam	0.8800000000000001	1.0	0.85
identity	0.1	True	(100, 100)	constant	1000	lbfgs	0.9800000000000001	1.0	0.975
relu	0.01	True	(50, 50)	constant	1000	adam	0.8800000000000001	1.0	0.85
identity	0.1	True	(100, 100)	invscaling	500	lbfgs	0.9800000000000001	1.0	0.975
relu	0.01	True	(50, 50)	constant	500	adam	0.8800000000000001	1.0	0.85
identity	0.1	True	(100, 100)	invscaling	1000	lbfgs	0.9800000000000001	1.0	0.975
relu	0.01	True	(100, 100)	adaptive	500	adam	0.95	1.0	0.9375
identity	0.1	True	(100, 100)	adaptive	500	lbfgs	0.9800000000000001	1.0	0.975
identity	0.1	True	(100, 100)	adaptive	1000	lbfgs	0.9800000000000001	1.0	0.975
identity	0.1	True	(50,)	constant	500	lbfgs	0.9800000000000001	1.0	0.975
relu	0.01	True	(100, 100)	adaptive	1000	adam	0.95	1.0	0.9375
logistic	0.001	True	(100,)	adaptive	1000	adam	0.9099999999999999	1.0	0.8875
relu	0.001	True	(100, 100)	adaptive	1000	adam	0.95	1.0	0.9375
logistic	0.001	True	(100,)	adaptive	500	adam	0.9099999999999999	1.0	0.8875
relu	0.1	True	(100, 100)	invscaling	500	adam	0.95	1.0	0.9375
logistic	0.01	True	(100,)	invscaling	500	adam	0.9099999999999999	1.0	0.8875
relu	0.001	True	(50, 50)	constant	1000	adam	0.8800000000000001	1.0	0.85
logistic	0.1	True	(100, 100)	adaptive	500	lbfgs	0.9800000000000001	1.0	0.975
relu	0.1	True	(100,)	invscaling	1000	lbfgs	0.9800000000000001	1.0	0.975
logistic	0.1	True	(50,)	constant	1000	lbfgs	0.9800000000000001	1.0	0.975
relu	0.1	True	(100, 100)	constant	1000	adam	0.95	1.0	0.9375
relu	0.1	True	(100,)	invscaling	500	lbfgs	0.9800000000000001	1.0	0.975
logistic	0.1	True	(100, 100)	constant	1000	lbfgs	0.9800000000000001	1.0	0.975
logistic	0.1	True	(50,)	invscaling	500	lbfgs	0.9800000000000001	1.0	0.975
relu	0.1	True	(100,)	constant	1000	lbfgs	0.9800000000000001	1.0	0.975
logistic	0.1	True	(100, 100)	constant	500	lbfgs	0.9800000000000001	1.0	0.975
logistic	0.1	True	(50,)	invscaling	1000	lbfgs	0.9800000000000001	1.0	0.975
relu	0.1	True	(100,)	constant	500	lbfgs	0.9800000000000001	1.0	0.975
logistic	0.1	True	(50,)	adaptive	500	lbfgs	0.9800000000000001	1.0	0.975
logistic	0.1	True	(50,)	adaptive	1000	lbfgs	0.9800000000000001	1.0	0.975
relu	0.1	True	(50,)	adaptive	1000	lbfgs	0.9800000000000001	1.0	0.975
logistic	0.1	True	(100,)	constant	500	adam	0.9200000000000002	1.0	0.9
identity	0.1	True	(100,)	invscaling	500	lbfgs	0.9800000000000001	1.0	0.975
relu	0.1	True	(50,)	adaptive	500	lbfgs	0.9800000000000001	1.0	0.975
logistic	0.1	True	(100,)	constant	1000	adam	0.9200000000000002	1.0	0.9
identity	0.1	True	(100,)	constant	1000	lbfgs	0.9800000000000001	1.0	0.975
relu	0.1	True	(50,)	invscaling	1000	lbfgs	0.9800000000000001	1.0	0.975
logistic	0.1	True	(100,)	invscaling	500	adam	0.9200000000000002	1.0	0.9
relu	0.1	True	(50,)	invscaling	500	lbfgs	0.9800000000000001	1.0	0.975
logistic	0.1	True	(100,)	adaptive	1000	adam	0.9200000000000002	1.0	0.9
identity	0.1	True	(100,)	constant	500	lbfgs	0.9800000000000001	1.0	0.975
relu	0.1	True	(50,)	constant	1000	lbfgs	0.9800000000000001	1.0	0.975
logistic	0.1	True	(100,)	invscaling	1000	adam	0.9200000000000002	1.0	0.9
identity	0.1	True	(50,)	adaptive	1000	lbfgs	0.9800000000000001	1.0	0.975
relu	0.1	True	(50,)	constant	500	lbfgs	0.9800000000000001	1.0	0.975
logistic	0.1	True	(100, 100)	invscaling	1000	lbfgs	0.9800000000000001	1.0	0.975
logistic	0.1	True	(100, 100)	invscaling	500	lbfgs	0.9800000000000001	1.0	0.975
relu	0.1	True	(100,)	adaptive	500	lbfgs	0.9800000000000001	1.0	0.975
relu	0.1	True	(50, 50)	adaptive	1000	adam	0.8800000000000001	1.0	0.85
