Source	Target	Total	G1	Train	Valid	Test
DUD-E	ABL1	446 (Active 208 | Inactive 238)	50 (Active 50)	264 (Active 106 | Inactive 158)	66 (Active 26 | Inactive 40)	66 (Active 26 | Inactive 40)
DUD-E	AKT1	771 (Active 338 | Inactive 433)	50 (Active 50)	481 (Active 192 | Inactive 289)	120 (Active 48 | Inactive 72)	120 (Active 48 | Inactive 72)
DUD-E	AKT2	237 (Active 124 | Inactive 113)	50 (Active 50)	125 (Active 50 | Inactive 75)	31 (Active 12 | Inactive 19)	31 (Active 12 | Inactive 19)
DUD-E	BRAF	351 (Active 170 | Inactive 181)	50 (Active 50)	201 (Active 80 | Inactive 121)	50 (Active 20 | Inactive 30)	50 (Active 20 | Inactive 30)
DUD-E	CDK2	1322 (Active 559 | Inactive 763)	50 (Active 50)	848 (Active 339 | Inactive 509)	212 (Active 85 | Inactive 127)	212 (Active 85 | Inactive 127)
DUD-E	CSF1R	330 (Active 162 | Inactive 168)	50 (Active 50)	186 (Active 74 | Inactive 112)	47 (Active 19 | Inactive 28)	47 (Active 19 | Inactive 28)
DUD-E	FAK1	189 (Active 105 | Inactive 84)	50 (Active 50)	93 (Active 37 | Inactive 56)	23 (Active 9 | Inactive 14)	23 (Active 9 | Inactive 14)
DUD-E	FGFR1	309 (Active 153 | Inactive 156)	50 (Active 50)	173 (Active 69 | Inactive 104)	43 (Active 17 | Inactive 26)	43 (Active 17 | Inactive 26)
DUD-E	IGF1R	344 (Active 168 | Inactive 176)	50 (Active 50)	196 (Active 78 | Inactive 118)	49 (Active 20 | Inactive 29)	49 (Active 20 | Inactive 29)
DUD-E	JAK2	218 (Active 117 | Inactive 101)	50 (Active 50)	112 (Active 45 | Inactive 67)	28 (Active 11 | Inactive 17)	28 (Active 11 | Inactive 17)
DUD-E	KIT	398 (Active 189 | Inactive 209)	50 (Active 50)	232 (Active 93 | Inactive 139)	58 (Active 23 | Inactive 35)	58 (Active 23 | Inactive 35)
DUD-E	KPCB	302 (Active 151 | Inactive 151)	50 (Active 50)	168 (Active 67 | Inactive 101)	42 (Active 17 | Inactive 25)	42 (Active 17 | Inactive 25)
DUD-E	MAPK2	202 (Active 111 | Inactive 91)	50 (Active 50)	102 (Active 41 | Inactive 61)	25 (Active 10 | Inactive 15)	25 (Active 10 | Inactive 15)
DUD-E	MET	344 (Active 168 | Inactive 176)	50 (Active 50)	196 (Active 78 | Inactive 118)	49 (Active 20 | Inactive 29)	49 (Active 20 | Inactive 29)
DUD-E	MK10	206 (Active 112 | Inactive 94)	50 (Active 50)	104 (Active 42 | Inactive 62)	26 (Active 10 | Inactive 16)	26 (Active 10 | Inactive 16)
DUD-E	MP2K1	262 (Active 135 | Inactive 127)	50 (Active 50)	142 (Active 57 | Inactive 85)	35 (Active 14 | Inactive 21)	35 (Active 14 | Inactive 21)
DUD-E	PLK1	220 (Active 118 | Inactive 102)	50 (Active 50)	114 (Active 46 | Inactive 68)	28 (Active 11 | Inactive 17)	28 (Active 11 | Inactive 17)
DUD-E	ROCK1	200 (Active 110 | Inactive 90)	50 (Active 50)	100 (Active 40 | Inactive 60)	25 (Active 10 | Inactive 15)	25 (Active 10 | Inactive 15)
DUD-E	VGFR2	1127 (Active 481 | Inactive 646)	50 (Active 50)	717 (Active 287 | Inactive 430)	180 (Active 72 | Inactive 108)	180 (Active 72 | Inactive 108)
DUD-E	WEE1	201 (Active 110 | Inactive 91)	50 (Active 50)	101 (Active 40 | Inactive 61)	25 (Active 10 | Inactive 15)	25 (Active 10 | Inactive 15)
