activation	alpha	early_stopping	hidden_layer_sizes	learning_rate	max_iter	solver	mean_valid_accuracy	mean_valid_precision	mean_valid_auc
logistic	0.01	True	(100, 100)	adaptive	500	adam	0.8788461538461536	0.9680659670164917	0.8655678978692471
logistic	0.001	True	(100, 100)	adaptive	1000	adam	0.8846153846153847	0.9680659670164917	0.8721884512289311
logistic	0.001	True	(100, 100)	invscaling	500	adam	0.8846153846153847	0.9680659670164917	0.8721884512289311
logistic	0.01	True	(100, 100)	adaptive	1000	adam	0.8788461538461536	0.9680659670164917	0.8655678978692471
logistic	0.001	True	(100, 100)	invscaling	1000	adam	0.8846153846153847	0.9680659670164917	0.8721884512289311
logistic	0.001	True	(100, 100)	adaptive	500	adam	0.8846153846153847	0.9680659670164917	0.8721884512289311
logistic	0.001	True	(100, 100)	constant	500	adam	0.8846153846153847	0.9680659670164917	0.8721884512289311
logistic	0.001	True	(100, 100)	constant	1000	adam	0.8846153846153847	0.9680659670164917	0.8721884512289311
logistic	0.01	True	(100, 100)	constant	500	adam	0.8788461538461536	0.9680659670164917	0.8655678978692471
logistic	0.01	True	(100, 100)	constant	1000	adam	0.8788461538461536	0.9680659670164917	0.8655678978692471
logistic	0.01	True	(100, 100)	invscaling	500	adam	0.8788461538461536	0.9680659670164917	0.8655678978692471
logistic	0.01	True	(100, 100)	invscaling	1000	adam	0.8788461538461536	0.9680659670164917	0.8655678978692471
logistic	0.001	True	(50, 50)	invscaling	500	adam	0.9134615384615383	0.9661067193675891	0.9047455817545774
logistic	0.01	True	(50, 50)	adaptive	1000	adam	0.9134615384615383	0.9661067193675891	0.9047455817545774
logistic	0.001	True	(50, 50)	invscaling	1000	adam	0.9134615384615383	0.9661067193675891	0.9047455817545774
logistic	0.01	True	(50, 50)	constant	500	adam	0.9134615384615383	0.9661067193675891	0.9047455817545774
logistic	0.01	True	(50, 50)	invscaling	1000	adam	0.9134615384615383	0.9661067193675891	0.9047455817545774
logistic	0.001	True	(50, 50)	adaptive	1000	adam	0.9134615384615383	0.9661067193675891	0.9047455817545774
logistic	0.001	True	(50, 50)	constant	1000	adam	0.9134615384615383	0.9661067193675891	0.9047455817545774
logistic	0.01	True	(50, 50)	invscaling	500	adam	0.9134615384615383	0.9661067193675891	0.9047455817545774
logistic	0.001	True	(50, 50)	constant	500	adam	0.9134615384615383	0.9661067193675891	0.9047455817545774
logistic	0.01	True	(50, 50)	constant	1000	adam	0.9134615384615383	0.9661067193675891	0.9047455817545774
logistic	0.001	True	(50, 50)	adaptive	500	adam	0.9134615384615383	0.9661067193675891	0.9047455817545774
logistic	0.01	True	(50, 50)	adaptive	500	adam	0.9134615384615383	0.9661067193675891	0.9047455817545774
logistic	0.1	True	(100, 100)	adaptive	1000	adam	0.8846153846153845	0.9646176911544229	0.872934669029122
logistic	0.1	True	(100, 100)	constant	500	adam	0.8846153846153845	0.9646176911544229	0.872934669029122
logistic	0.1	True	(100, 100)	invscaling	1000	adam	0.8846153846153845	0.9646176911544229	0.872934669029122
logistic	0.1	True	(100, 100)	adaptive	500	adam	0.8846153846153845	0.9646176911544229	0.872934669029122
logistic	0.1	True	(100, 100)	constant	1000	adam	0.8846153846153845	0.9646176911544229	0.872934669029122
logistic	0.1	True	(100, 100)	invscaling	500	adam	0.8846153846153845	0.9646176911544229	0.872934669029122
logistic	0.1	True	(50, 50)	adaptive	1000	adam	0.9192307692307692	0.9581067193675891	0.9126166462223434
logistic	0.1	True	(50, 50)	adaptive	500	adam	0.9192307692307692	0.9581067193675891	0.9126166462223434
logistic	0.1	True	(50, 50)	invscaling	1000	adam	0.9192307692307692	0.9581067193675891	0.9126166462223434
logistic	0.1	True	(50, 50)	constant	1000	adam	0.9192307692307692	0.9581067193675891	0.9126166462223434
logistic	0.1	True	(50, 50)	constant	500	adam	0.9192307692307692	0.9581067193675891	0.9126166462223434
logistic	0.1	True	(50, 50)	invscaling	500	adam	0.9192307692307692	0.9581067193675891	0.9126166462223434
logistic	0.1	True	(50,)	adaptive	1000	adam	0.9115384615384615	0.9484817115251898	0.9045431829539776
logistic	0.1	True	(50,)	adaptive	500	adam	0.9115384615384615	0.9484817115251898	0.9045431829539776
logistic	0.1	True	(50,)	invscaling	1000	adam	0.9115384615384615	0.9484817115251898	0.9045431829539776
logistic	0.1	True	(50,)	invscaling	500	adam	0.9115384615384615	0.9484817115251898	0.9045431829539776
logistic	0.1	True	(50,)	constant	1000	adam	0.9115384615384615	0.9484817115251898	0.9045431829539776
logistic	0.1	True	(50,)	constant	500	adam	0.9115384615384615	0.9484817115251898	0.9045431829539776
logistic	0.01	True	(100,)	invscaling	1000	adam	0.9096153846153845	0.948409090909091	0.902630502930353
logistic	0.001	True	(100,)	adaptive	500	adam	0.9096153846153845	0.948409090909091	0.902630502930353
logistic	0.001	True	(100,)	adaptive	1000	adam	0.9096153846153845	0.948409090909091	0.902630502930353
logistic	0.001	True	(100,)	invscaling	1000	adam	0.9096153846153845	0.948409090909091	0.902630502930353
logistic	0.01	True	(100,)	constant	500	adam	0.9096153846153845	0.948409090909091	0.902630502930353
logistic	0.001	True	(100,)	invscaling	500	adam	0.9096153846153845	0.948409090909091	0.902630502930353
logistic	0.01	True	(100,)	constant	1000	adam	0.9096153846153845	0.948409090909091	0.902630502930353
logistic	0.01	True	(100,)	invscaling	500	adam	0.9096153846153845	0.948409090909091	0.902630502930353
logistic	0.001	True	(100,)	constant	1000	adam	0.9096153846153845	0.948409090909091	0.902630502930353
logistic	0.01	True	(100,)	adaptive	500	adam	0.9096153846153845	0.948409090909091	0.902630502930353
logistic	0.001	True	(100,)	constant	500	adam	0.9096153846153845	0.948409090909091	0.902630502930353
logistic	0.01	True	(100,)	adaptive	1000	adam	0.9096153846153845	0.948409090909091	0.902630502930353
logistic	0.1	True	(100,)	invscaling	500	adam	0.9019230769230768	0.9419444444444445	0.8942444686747535
logistic	0.1	True	(100,)	invscaling	1000	adam	0.9019230769230768	0.9419444444444445	0.8942444686747535
logistic	0.1	True	(100,)	adaptive	500	adam	0.9019230769230768	0.9419444444444445	0.8942444686747535
logistic	0.1	True	(100,)	adaptive	1000	adam	0.9019230769230768	0.9419444444444445	0.8942444686747535
logistic	0.1	True	(100,)	constant	500	adam	0.9019230769230768	0.9419444444444445	0.8942444686747535
logistic	0.1	True	(100,)	constant	1000	adam	0.9019230769230768	0.9419444444444445	0.8942444686747535
logistic	0.01	True	(50,)	constant	500	adam	0.9096153846153847	0.939496204278813	0.9033262913997546
logistic	0.01	True	(50,)	constant	1000	adam	0.9096153846153847	0.939496204278813	0.9033262913997546
logistic	0.01	True	(50,)	adaptive	1000	adam	0.9096153846153847	0.939496204278813	0.9033262913997546
logistic	0.01	True	(50,)	adaptive	500	adam	0.9096153846153847	0.939496204278813	0.9033262913997546
logistic	0.01	True	(50,)	invscaling	1000	adam	0.9096153846153847	0.939496204278813	0.9033262913997546
logistic	0.01	True	(50,)	invscaling	500	adam	0.9096153846153847	0.939496204278813	0.9033262913997546
logistic	0.001	True	(50,)	constant	500	adam	0.9096153846153847	0.939496204278813	0.9033262913997546
logistic	0.001	True	(50,)	constant	1000	adam	0.9096153846153847	0.939496204278813	0.9033262913997546
logistic	0.001	True	(50,)	invscaling	500	adam	0.9096153846153847	0.939496204278813	0.9033262913997546
logistic	0.001	True	(50,)	adaptive	1000	adam	0.9096153846153847	0.939496204278813	0.9033262913997546
logistic	0.001	True	(50,)	invscaling	1000	adam	0.9096153846153847	0.939496204278813	0.9033262913997546
logistic	0.001	True	(50,)	adaptive	500	adam	0.9096153846153847	0.939496204278813	0.9033262913997546
logistic	0.001	True	(100, 100)	invscaling	500	lbfgs	0.9384615384615385	0.9373615967365968	0.9386204624960248
logistic	0.001	True	(100, 100)	constant	1000	lbfgs	0.9384615384615385	0.9373615967365968	0.9386204624960248
logistic	0.001	True	(100, 100)	constant	500	lbfgs	0.9384615384615385	0.9373615967365968	0.9386204624960248
logistic	0.001	True	(100, 100)	invscaling	1000	lbfgs	0.9384615384615385	0.9373615967365968	0.9386204624960248
logistic	0.001	True	(100, 100)	adaptive	1000	lbfgs	0.9384615384615385	0.9373615967365968	0.9386204624960248
logistic	0.001	True	(100, 100)	adaptive	500	lbfgs	0.9384615384615385	0.9373615967365968	0.9386204624960248
relu	0.01	True	(50, 50)	constant	500	lbfgs	0.9346153846153845	0.9347586553945251	0.934722411521512
relu	0.01	True	(50, 50)	invscaling	500	lbfgs	0.9346153846153845	0.9347586553945251	0.934722411521512
relu	0.01	True	(50, 50)	constant	1000	lbfgs	0.9346153846153845	0.9347586553945251	0.934722411521512
relu	0.01	True	(50, 50)	invscaling	1000	lbfgs	0.9346153846153845	0.9347586553945251	0.934722411521512
relu	0.01	True	(50, 50)	adaptive	500	lbfgs	0.9346153846153845	0.9347586553945251	0.934722411521512
relu	0.01	True	(50, 50)	adaptive	1000	lbfgs	0.9346153846153845	0.9347586553945251	0.934722411521512
relu	0.001	True	(50, 50)	adaptive	1000	lbfgs	0.9346153846153845	0.9347586553945251	0.934722411521512
relu	0.001	True	(50, 50)	adaptive	500	lbfgs	0.9346153846153845	0.9347586553945251	0.934722411521512
relu	0.001	True	(50, 50)	invscaling	1000	lbfgs	0.9346153846153845	0.9347586553945251	0.934722411521512
relu	0.001	True	(50, 50)	invscaling	500	lbfgs	0.9346153846153845	0.9347586553945251	0.934722411521512
relu	0.001	True	(50, 50)	constant	1000	lbfgs	0.9346153846153845	0.9347586553945251	0.934722411521512
relu	0.001	True	(50, 50)	constant	500	lbfgs	0.9346153846153845	0.9347586553945251	0.934722411521512
relu	0.1	True	(50, 50)	invscaling	500	adam	0.9115384615384615	0.9309563624781015	0.9074203807187315
relu	0.1	True	(50, 50)	adaptive	500	adam	0.9115384615384615	0.9309563624781015	0.9074203807187315
relu	0.01	True	(50, 50)	adaptive	1000	adam	0.9096153846153847	0.9309563624781015	0.9051476534460041
relu	0.01	True	(50, 50)	invscaling	1000	adam	0.9096153846153847	0.9309563624781015	0.9051476534460041
relu	0.1	True	(50, 50)	adaptive	1000	adam	0.9115384615384615	0.9309563624781015	0.9074203807187315
relu	0.01	True	(50, 50)	invscaling	500	adam	0.9096153846153847	0.9309563624781015	0.9051476534460041
relu	0.01	True	(50, 50)	constant	1000	adam	0.9096153846153847	0.9309563624781015	0.9051476534460041
relu	0.01	True	(50, 50)	constant	500	adam	0.9096153846153847	0.9309563624781015	0.9051476534460041
relu	0.1	True	(50, 50)	constant	1000	adam	0.9115384615384615	0.9309563624781015	0.9074203807187315
relu	0.01	True	(50, 50)	adaptive	500	adam	0.9096153846153847	0.9309563624781015	0.9051476534460041
relu	0.1	True	(50, 50)	constant	500	adam	0.9115384615384615	0.9309563624781015	0.9074203807187315
relu	0.001	True	(50, 50)	adaptive	1000	adam	0.9096153846153847	0.9309563624781015	0.9051476534460041
relu	0.1	True	(50, 50)	invscaling	1000	adam	0.9115384615384615	0.9309563624781015	0.9074203807187315
relu	0.001	True	(50, 50)	adaptive	500	adam	0.9096153846153847	0.9309563624781015	0.9051476534460041
relu	0.001	True	(50, 50)	constant	1000	adam	0.9096153846153847	0.9309563624781015	0.9051476534460041
relu	0.001	True	(50, 50)	constant	500	adam	0.9096153846153847	0.9309563624781015	0.9051476534460041
relu	0.001	True	(50, 50)	invscaling	500	adam	0.9096153846153847	0.9309563624781015	0.9051476534460041
relu	0.001	True	(50, 50)	invscaling	1000	adam	0.9096153846153847	0.9309563624781015	0.9051476534460041
relu	0.01	True	(100, 100)	constant	500	adam	0.9096153846153845	0.9298745232646836	0.905798010085866
relu	0.01	True	(100, 100)	constant	1000	adam	0.9096153846153845	0.9298745232646836	0.905798010085866
relu	0.01	True	(100, 100)	invscaling	500	adam	0.9096153846153845	0.9298745232646836	0.905798010085866
relu	0.01	True	(100, 100)	adaptive	500	adam	0.9096153846153845	0.9298745232646836	0.905798010085866
relu	0.01	True	(100, 100)	invscaling	1000	adam	0.9096153846153845	0.9298745232646836	0.905798010085866
relu	0.01	True	(100, 100)	adaptive	1000	adam	0.9096153846153845	0.9298745232646836	0.905798010085866
relu	0.1	True	(50, 50)	constant	1000	lbfgs	0.9365384615384615	0.9290326452935149	0.9369537958293581
relu	0.1	True	(50, 50)	adaptive	500	lbfgs	0.9365384615384615	0.9290326452935149	0.9369537958293581
relu	0.1	True	(50, 50)	invscaling	1000	lbfgs	0.9365384615384615	0.9290326452935149	0.9369537958293581
relu	0.1	True	(50, 50)	invscaling	500	lbfgs	0.9365384615384615	0.9290326452935149	0.9369537958293581
relu	0.1	True	(50, 50)	constant	500	lbfgs	0.9365384615384615	0.9290326452935149	0.9369537958293581
relu	0.1	True	(50, 50)	adaptive	1000	lbfgs	0.9365384615384615	0.9290326452935149	0.9369537958293581
relu	0.1	True	(100,)	constant	1000	lbfgs	0.9307692307692307	0.9273757763975157	0.9308979601108536
relu	0.1	True	(100,)	constant	500	lbfgs	0.9307692307692307	0.9273757763975157	0.9308979601108536
relu	0.1	True	(100,)	invscaling	1000	lbfgs	0.9307692307692307	0.9273757763975157	0.9308979601108536
relu	0.1	True	(100,)	adaptive	500	lbfgs	0.9307692307692307	0.9273757763975157	0.9308979601108536
relu	0.1	True	(100,)	adaptive	1000	lbfgs	0.9307692307692307	0.9273757763975157	0.9308979601108536
relu	0.1	True	(100,)	invscaling	500	lbfgs	0.9307692307692307	0.9273757763975157	0.9308979601108536
relu	0.1	True	(100, 100)	invscaling	1000	adam	0.9076923076923077	0.9264899078800681	0.9041313434191995
relu	0.001	True	(100, 100)	constant	1000	adam	0.9076923076923077	0.9264899078800681	0.9041313434191995
relu	0.1	True	(100, 100)	adaptive	1000	adam	0.9076923076923077	0.9264899078800681	0.9041313434191995
relu	0.1	True	(100, 100)	adaptive	500	adam	0.9076923076923077	0.9264899078800681	0.9041313434191995
relu	0.001	True	(100, 100)	constant	500	adam	0.9076923076923077	0.9264899078800681	0.9041313434191995
relu	0.1	True	(100, 100)	constant	500	adam	0.9076923076923077	0.9264899078800681	0.9041313434191995
relu	0.001	True	(100, 100)	invscaling	1000	adam	0.9076923076923077	0.9264899078800681	0.9041313434191995
