C	gamma	kernel	mean_valid_accuracy	mean_valid_precision	mean_valid_auc
1.0	0.01	rbf	0.8934782608695653	0.9741176470588236	0.8579365280594997
10.0	0.01	rbf	0.9	0.9607843137254901	0.8697456051386073
1000.0	0.01	rbf	0.9	0.9607843137254901	0.8697456051386073
100.0	0.01	rbf	0.9	0.9607843137254901	0.8697456051386073
0.01	0.01	linear	0.9347826086956523	0.9276180647697675	0.9285966024340772
0.01	0.1	linear	0.9347826086956523	0.9276180647697675	0.9285966024340772
0.01	1.0	linear	0.9347826086956523	0.9276180647697675	0.9285966024340772
0.01	100.0	linear	0.9347826086956523	0.9276180647697675	0.9285966024340772
0.01	1000.0	linear	0.9347826086956523	0.9276180647697675	0.9285966024340772
100.0	0.1	linear	0.9304347826086957	0.9163889503169689	0.9251483265720081
10.0	0.1	linear	0.9304347826086957	0.9163889503169689	0.9251483265720081
10.0	1.0	linear	0.9304347826086957	0.9163889503169689	0.9251483265720081
10.0	100.0	linear	0.9304347826086957	0.9163889503169689	0.9251483265720081
10.0	1000.0	linear	0.9304347826086957	0.9163889503169689	0.9251483265720081
100.0	0.01	linear	0.9304347826086957	0.9163889503169689	0.9251483265720081
100.0	1000.0	linear	0.9304347826086957	0.9163889503169689	0.9251483265720081
100.0	1.0	linear	0.9304347826086957	0.9163889503169689	0.9251483265720081
100.0	100.0	linear	0.9304347826086957	0.9163889503169689	0.9251483265720081
1.0	100.0	linear	0.9304347826086957	0.9163889503169689	0.9251483265720081
1000.0	0.01	linear	0.9304347826086957	0.9163889503169689	0.9251483265720081
1000.0	0.1	linear	0.9304347826086957	0.9163889503169689	0.9251483265720081
1000.0	1.0	linear	0.9304347826086957	0.9163889503169689	0.9251483265720081
1000.0	100.0	linear	0.9304347826086957	0.9163889503169689	0.9251483265720081
1000.0	1000.0	linear	0.9304347826086957	0.9163889503169689	0.9251483265720081
1.0	1000.0	linear	0.9304347826086957	0.9163889503169689	0.9251483265720081
10.0	0.01	linear	0.9304347826086957	0.9163889503169689	0.9251483265720081
0.1	1000.0	linear	0.9304347826086957	0.9163889503169689	0.9251483265720081
1.0	1.0	linear	0.9304347826086957	0.9163889503169689	0.9251483265720081
0.1	1.0	linear	0.9304347826086957	0.9163889503169689	0.9251483265720081
0.1	0.1	linear	0.9304347826086957	0.9163889503169689	0.9251483265720081
1.0	0.1	linear	0.9304347826086957	0.9163889503169689	0.9251483265720081
0.1	100.0	linear	0.9304347826086957	0.9163889503169689	0.9251483265720081
1.0	0.01	linear	0.9304347826086957	0.9163889503169689	0.9251483265720081
0.1	0.01	linear	0.9304347826086957	0.9163889503169689	0.9251483265720081
1.0	1.0	rbf	0.6391304347826088	0.0	0.5
100.0	1000.0	rbf	0.6391304347826088	0.0	0.5
0.1	0.01	rbf	0.6391304347826088	0.0	0.5
1000.0	0.1	rbf	0.6391304347826088	0.0	0.5
0.01	1000.0	rbf	0.6391304347826088	0.0	0.5
0.1	0.1	rbf	0.6391304347826088	0.0	0.5
0.01	100.0	rbf	0.6391304347826088	0.0	0.5
1000.0	1.0	rbf	0.6391304347826088	0.0	0.5
0.01	1.0	rbf	0.6391304347826088	0.0	0.5
1000.0	100.0	rbf	0.6391304347826088	0.0	0.5
0.01	0.1	rbf	0.6391304347826088	0.0	0.5
100.0	100.0	rbf	0.6391304347826088	0.0	0.5
100.0	0.1	rbf	0.6391304347826088	0.0	0.5
100.0	1.0	rbf	0.6391304347826088	0.0	0.5
1.0	100.0	rbf	0.6391304347826088	0.0	0.5
0.1	1.0	rbf	0.6391304347826088	0.0	0.5
0.1	100.0	rbf	0.6391304347826088	0.0	0.5
10.0	1000.0	rbf	0.6391304347826088	0.0	0.5
10.0	100.0	rbf	0.6391304347826088	0.0	0.5
0.1	1000.0	rbf	0.6391304347826088	0.0	0.5
10.0	1.0	rbf	0.6391304347826088	0.0	0.5
10.0	0.1	rbf	0.6391304347826088	0.0	0.5
1.0	0.1	rbf	0.6391304347826088	0.0	0.5
0.01	0.01	rbf	0.6391304347826088	0.0	0.5
1.0	1000.0	rbf	0.6391304347826088	0.0	0.5
1000.0	1000.0	rbf	0.6391304347826088	0.0	0.5
