activation	alpha	early_stopping	hidden_layer_sizes	learning_rate	max_iter	solver	mean_valid_accuracy	mean_valid_precision	mean_valid_auc
logistic	0.1	True	(100,)	invscaling	500	adam	0.8891304347826086	0.975	0.8493788032454361
logistic	0.1	True	(100,)	constant	500	adam	0.8891304347826086	0.975	0.8493788032454361
logistic	0.01	True	(100,)	invscaling	500	adam	0.8891304347826086	0.975	0.8493788032454361
logistic	0.01	True	(100,)	invscaling	1000	adam	0.8891304347826086	0.975	0.8493788032454361
logistic	0.01	True	(100,)	adaptive	500	adam	0.8891304347826086	0.975	0.8493788032454361
logistic	0.01	True	(100,)	adaptive	1000	adam	0.8891304347826086	0.975	0.8493788032454361
logistic	0.1	True	(100,)	adaptive	1000	adam	0.8891304347826086	0.975	0.8493788032454361
logistic	0.1	True	(100,)	adaptive	500	adam	0.8891304347826086	0.975	0.8493788032454361
logistic	0.1	True	(100,)	invscaling	1000	adam	0.8891304347826086	0.975	0.8493788032454361
logistic	0.01	True	(100,)	constant	500	adam	0.8891304347826086	0.975	0.8493788032454361
logistic	0.1	True	(100,)	constant	1000	adam	0.8891304347826086	0.975	0.8493788032454361
logistic	0.01	True	(100,)	constant	1000	adam	0.8891304347826086	0.975	0.8493788032454361
logistic	0.001	True	(100,)	constant	1000	adam	0.8891304347826086	0.975	0.8493788032454361
logistic	0.001	True	(100,)	invscaling	500	adam	0.8891304347826086	0.975	0.8493788032454361
logistic	0.001	True	(100,)	invscaling	1000	adam	0.8891304347826086	0.975	0.8493788032454361
logistic	0.001	True	(100,)	adaptive	500	adam	0.8891304347826086	0.975	0.8493788032454361
logistic	0.001	True	(100,)	adaptive	1000	adam	0.8891304347826086	0.975	0.8493788032454361
logistic	0.001	True	(100,)	constant	500	adam	0.8891304347826086	0.975	0.8493788032454361
logistic	0.001	True	(100, 100)	adaptive	500	adam	0.893478260869565	0.9733333333333334	0.8585446247464503
logistic	0.001	True	(100, 100)	constant	500	adam	0.893478260869565	0.9733333333333334	0.8585446247464503
logistic	0.001	True	(100, 100)	invscaling	1000	adam	0.893478260869565	0.9733333333333334	0.8585446247464503
logistic	0.001	True	(100, 100)	invscaling	500	adam	0.893478260869565	0.9733333333333334	0.8585446247464503
logistic	0.001	True	(100, 100)	adaptive	1000	adam	0.893478260869565	0.9733333333333334	0.8585446247464503
logistic	0.001	True	(100, 100)	constant	1000	adam	0.893478260869565	0.9733333333333334	0.8585446247464503
logistic	0.001	True	(50,)	adaptive	1000	adam	0.8891304347826086	0.9666666666666666	0.8518128803245435
logistic	0.001	True	(50,)	constant	500	adam	0.8891304347826086	0.9666666666666666	0.8518128803245435
logistic	0.001	True	(50,)	constant	1000	adam	0.8891304347826086	0.9666666666666666	0.8518128803245435
logistic	0.001	True	(50,)	invscaling	1000	adam	0.8891304347826086	0.9666666666666666	0.8518128803245435
logistic	0.001	True	(50,)	adaptive	500	adam	0.8891304347826086	0.9666666666666666	0.8518128803245435
logistic	0.001	True	(50,)	invscaling	500	adam	0.8891304347826086	0.9666666666666666	0.8518128803245435
logistic	0.1	True	(50,)	constant	500	adam	0.8891304347826088	0.9666666666666666	0.8518128803245435
logistic	0.1	True	(50,)	adaptive	500	adam	0.8891304347826088	0.9666666666666666	0.8518128803245435
logistic	0.01	True	(50,)	adaptive	500	adam	0.8891304347826086	0.9666666666666666	0.8518128803245435
logistic	0.01	True	(50,)	invscaling	1000	adam	0.8891304347826086	0.9666666666666666	0.8518128803245435
logistic	0.01	True	(50,)	invscaling	500	adam	0.8891304347826086	0.9666666666666666	0.8518128803245435
logistic	0.01	True	(50,)	constant	1000	adam	0.8891304347826086	0.9666666666666666	0.8518128803245435
logistic	0.01	True	(50,)	constant	500	adam	0.8891304347826086	0.9666666666666666	0.8518128803245435
logistic	0.1	True	(50,)	adaptive	1000	adam	0.8891304347826088	0.9666666666666666	0.8518128803245435
logistic	0.01	True	(50,)	adaptive	1000	adam	0.8891304347826086	0.9666666666666666	0.8518128803245435
logistic	0.1	True	(50,)	invscaling	1000	adam	0.8891304347826088	0.9666666666666666	0.8518128803245435
logistic	0.1	True	(50,)	invscaling	500	adam	0.8891304347826088	0.9666666666666666	0.8518128803245435
logistic	0.1	True	(50,)	constant	1000	adam	0.8891304347826088	0.9666666666666666	0.8518128803245435
relu	0.001	True	(100,)	constant	1000	adam	0.9456521739130433	0.9569852941176471	0.9346796822177147
relu	0.001	True	(100,)	adaptive	1000	adam	0.9456521739130433	0.9569852941176471	0.9346796822177147
relu	0.001	True	(100,)	adaptive	500	adam	0.9456521739130433	0.9569852941176471	0.9346796822177147
relu	0.001	True	(100,)	invscaling	1000	adam	0.9456521739130433	0.9569852941176471	0.9346796822177147
relu	0.001	True	(100,)	invscaling	500	adam	0.9456521739130433	0.9569852941176471	0.9346796822177147
relu	0.01	True	(100,)	constant	1000	adam	0.9456521739130433	0.9569852941176471	0.9346796822177147
relu	0.001	True	(100,)	constant	500	adam	0.9456521739130433	0.9569852941176471	0.9346796822177147
relu	0.01	True	(100,)	adaptive	1000	adam	0.9456521739130433	0.9569852941176471	0.9346796822177147
relu	0.01	True	(100,)	adaptive	500	adam	0.9456521739130433	0.9569852941176471	0.9346796822177147
relu	0.01	True	(100,)	invscaling	1000	adam	0.9456521739130433	0.9569852941176471	0.9346796822177147
relu	0.01	True	(100,)	invscaling	500	adam	0.9456521739130433	0.9569852941176471	0.9346796822177147
relu	0.01	True	(100,)	constant	500	adam	0.9456521739130433	0.9569852941176471	0.9346796822177147
relu	0.1	True	(100,)	constant	1000	adam	0.9456521739130433	0.9569852941176471	0.9346796822177147
relu	0.1	True	(100,)	constant	500	adam	0.9456521739130433	0.9569852941176471	0.9346796822177147
relu	0.1	True	(100,)	invscaling	500	adam	0.9456521739130433	0.9569852941176471	0.9346796822177147
relu	0.1	True	(100,)	invscaling	1000	adam	0.9456521739130433	0.9569852941176471	0.9346796822177147
relu	0.1	True	(100,)	adaptive	500	adam	0.9456521739130433	0.9569852941176471	0.9346796822177147
relu	0.1	True	(100,)	adaptive	1000	adam	0.9456521739130433	0.9569852941176471	0.9346796822177147
identity	0.01	True	(50, 50)	constant	1000	adam	0.9369565217391302	0.9566563467492261	0.9237643678160922
identity	0.001	True	(50, 50)	adaptive	1000	adam	0.9369565217391302	0.9566563467492261	0.9237643678160922
identity	0.001	True	(50, 50)	adaptive	500	adam	0.9369565217391302	0.9566563467492261	0.9237643678160922
identity	0.001	True	(50, 50)	invscaling	1000	adam	0.9369565217391302	0.9566563467492261	0.9237643678160922
identity	0.001	True	(50, 50)	invscaling	500	adam	0.9369565217391302	0.9566563467492261	0.9237643678160922
identity	0.001	True	(50, 50)	constant	1000	adam	0.9369565217391302	0.9566563467492261	0.9237643678160922
identity	0.001	True	(50, 50)	constant	500	adam	0.9369565217391302	0.9566563467492261	0.9237643678160922
identity	0.01	True	(50, 50)	adaptive	500	adam	0.9369565217391302	0.9566563467492261	0.9237643678160922
identity	0.01	True	(50, 50)	invscaling	1000	adam	0.9369565217391302	0.9566563467492261	0.9237643678160922
identity	0.01	True	(50, 50)	invscaling	500	adam	0.9369565217391302	0.9566563467492261	0.9237643678160922
identity	0.01	True	(50, 50)	adaptive	1000	adam	0.9369565217391302	0.9566563467492261	0.9237643678160922
identity	0.01	True	(50, 50)	constant	500	adam	0.9369565217391302	0.9566563467492261	0.9237643678160922
tanh	0.001	True	(50, 50)	constant	1000	adam	0.9326086956521739	0.9529411764705882	0.9178820148749154
tanh	0.001	True	(50, 50)	invscaling	500	adam	0.9326086956521739	0.9529411764705882	0.9178820148749154
tanh	0.01	True	(50, 50)	invscaling	500	adam	0.9326086956521739	0.9529411764705882	0.9178820148749154
tanh	0.1	True	(50, 50)	adaptive	1000	adam	0.9326086956521739	0.9529411764705882	0.9178820148749154
tanh	0.1	True	(50, 50)	constant	1000	adam	0.9326086956521739	0.9529411764705882	0.9178820148749154
tanh	0.01	True	(50, 50)	constant	1000	adam	0.9326086956521739	0.9529411764705882	0.9178820148749154
tanh	0.01	True	(50, 50)	constant	500	adam	0.9326086956521739	0.9529411764705882	0.9178820148749154
tanh	0.001	True	(50, 50)	invscaling	1000	adam	0.9326086956521739	0.9529411764705882	0.9178820148749154
tanh	0.001	True	(50, 50)	adaptive	500	adam	0.9326086956521739	0.9529411764705882	0.9178820148749154
tanh	0.01	True	(50, 50)	invscaling	1000	adam	0.9326086956521739	0.9529411764705882	0.9178820148749154
tanh	0.1	True	(50, 50)	adaptive	500	adam	0.9326086956521739	0.9529411764705882	0.9178820148749154
tanh	0.1	True	(50, 50)	invscaling	500	adam	0.9326086956521739	0.9529411764705882	0.9178820148749154
tanh	0.01	True	(50, 50)	adaptive	500	adam	0.9326086956521739	0.9529411764705882	0.9178820148749154
tanh	0.001	True	(50, 50)	constant	500	adam	0.9326086956521739	0.9529411764705882	0.9178820148749154
tanh	0.01	True	(50, 50)	adaptive	1000	adam	0.9326086956521739	0.9529411764705882	0.9178820148749154
tanh	0.1	True	(50, 50)	constant	500	adam	0.9326086956521739	0.9529411764705882	0.9178820148749154
tanh	0.001	True	(50, 50)	adaptive	1000	adam	0.9326086956521739	0.9529411764705882	0.9178820148749154
tanh	0.1	True	(50, 50)	invscaling	1000	adam	0.9326086956521739	0.9529411764705882	0.9178820148749154
identity	0.1	True	(50, 50)	constant	500	adam	0.9347826086956521	0.9514275885792914	0.9220977011494254
identity	0.1	True	(50, 50)	adaptive	1000	adam	0.9347826086956521	0.9514275885792914	0.9220977011494254
identity	0.1	True	(50, 50)	adaptive	500	adam	0.9347826086956521	0.9514275885792914	0.9220977011494254
identity	0.1	True	(50, 50)	invscaling	1000	adam	0.9347826086956521	0.9514275885792914	0.9220977011494254
identity	0.1	True	(50, 50)	invscaling	500	adam	0.9347826086956521	0.9514275885792914	0.9220977011494254
identity	0.1	True	(50, 50)	constant	1000	adam	0.9347826086956521	0.9514275885792914	0.9220977011494254
relu	0.01	True	(100, 100)	invscaling	500	adam	0.9369565217391305	0.9473447712418303	0.9250388776200135
relu	0.01	True	(100, 100)	adaptive	500	adam	0.9369565217391305	0.9473447712418303	0.9250388776200135
relu	0.01	True	(100, 100)	adaptive	1000	adam	0.9369565217391305	0.9473447712418303	0.9250388776200135
relu	0.01	True	(100, 100)	constant	1000	adam	0.9369565217391305	0.9473447712418303	0.9250388776200135
relu	0.01	True	(100, 100)	constant	500	adam	0.9369565217391305	0.9473447712418303	0.9250388776200135
relu	0.01	True	(100, 100)	invscaling	1000	adam	0.9369565217391305	0.9473447712418303	0.9250388776200135
relu	0.1	True	(100, 100)	constant	500	adam	0.9369565217391305	0.9473447712418303	0.9250388776200135
relu	0.1	True	(100, 100)	adaptive	1000	adam	0.9369565217391305	0.9473447712418303	0.9250388776200135
relu	0.001	True	(100, 100)	adaptive	1000	adam	0.9369565217391305	0.9473447712418303	0.9250388776200135
relu	0.001	True	(100, 100)	adaptive	500	adam	0.9369565217391305	0.9473447712418303	0.9250388776200135
relu	0.1	True	(100, 100)	adaptive	500	adam	0.9369565217391305	0.9473447712418303	0.9250388776200135
relu	0.001	True	(100, 100)	invscaling	1000	adam	0.9369565217391305	0.9473447712418303	0.9250388776200135
relu	0.1	True	(100, 100)	invscaling	1000	adam	0.9369565217391305	0.9473447712418303	0.9250388776200135
relu	0.001	True	(100, 100)	invscaling	500	adam	0.9369565217391305	0.9473447712418303	0.9250388776200135
relu	0.1	True	(100, 100)	invscaling	500	adam	0.9369565217391305	0.9473447712418303	0.9250388776200135
relu	0.001	True	(100, 100)	constant	1000	adam	0.9369565217391305	0.9473447712418303	0.9250388776200135
relu	0.1	True	(100, 100)	constant	1000	adam	0.9369565217391305	0.9473447712418303	0.9250388776200135
relu	0.001	True	(100, 100)	constant	500	adam	0.9369565217391305	0.9473447712418303	0.9250388776200135
relu	0.01	True	(50, 50)	adaptive	1000	adam	0.923913043478261	0.9455065359477125	0.9073918187964841
relu	0.01	True	(50, 50)	adaptive	500	adam	0.923913043478261	0.9455065359477125	0.9073918187964841
relu	0.01	True	(50, 50)	invscaling	1000	adam	0.923913043478261	0.9455065359477125	0.9073918187964841
relu	0.01	True	(50, 50)	constant	500	adam	0.923913043478261	0.9455065359477125	0.9073918187964841
relu	0.01	True	(50, 50)	invscaling	500	adam	0.923913043478261	0.9455065359477125	0.9073918187964841
relu	0.01	True	(50, 50)	constant	1000	adam	0.923913043478261	0.9455065359477125	0.9073918187964841
relu	0.1	True	(100, 100)	invscaling	500	lbfgs	0.9456521739130436	0.9404992260061921	0.9394789553752535
relu	0.1	True	(100, 100)	constant	1000	lbfgs	0.9456521739130436	0.9404992260061921	0.9394789553752535
relu	0.1	True	(100, 100)	invscaling	1000	lbfgs	0.9456521739130436	0.9404992260061921	0.9394789553752535
relu	0.1	True	(100, 100)	constant	500	lbfgs	0.9456521739130436	0.9404992260061921	0.9394789553752535
relu	0.1	True	(100, 100)	adaptive	500	lbfgs	0.9456521739130436	0.9404992260061921	0.9394789553752535
relu	0.1	True	(100, 100)	adaptive	1000	lbfgs	0.9456521739130436	0.9404992260061921	0.9394789553752535
logistic	0.1	True	(100,)	constant	500	lbfgs	0.9456521739130436	0.9401493930905696	0.9406385226504396
logistic	0.1	True	(100,)	invscaling	1000	lbfgs	0.9456521739130436	0.9401493930905696	0.9406385226504396
logistic	0.1	True	(100,)	constant	1000	lbfgs	0.9456521739130436	0.9401493930905696	0.9406385226504396
logistic	0.1	True	(100,)	invscaling	500	lbfgs	0.9456521739130436	0.9401493930905696	0.9406385226504396
logistic	0.1	True	(100,)	adaptive	500	lbfgs	0.9456521739130436	0.9401493930905696	0.9406385226504396
logistic	0.1	True	(100,)	adaptive	1000	lbfgs	0.9456521739130436	0.9401493930905696	0.9406385226504396
logistic	0.1	True	(50,)	invscaling	1000	lbfgs	0.9391304347826088	0.938328173374613	0.9318724645030425
logistic	0.1	True	(50,)	invscaling	500	lbfgs	0.9391304347826088	0.938328173374613	0.9318724645030425
logistic	0.1	True	(50,)	constant	1000	lbfgs	0.9391304347826088	0.938328173374613	0.9318724645030425
logistic	0.1	True	(50,)	constant	500	lbfgs	0.9391304347826088	0.938328173374613	0.9318724645030425
logistic	0.1	True	(50,)	adaptive	500	lbfgs	0.9391304347826088	0.938328173374613	0.9318724645030425
