max_depth	max_features	min_samples_leaf	min_samples_split	n_estimators	mean_valid_accuracy	mean_valid_precision	mean_valid_auc
12	log2	2	4	1000	0.9341765873015874	0.9525496355496355	0.9289861289861289
12	log2	2	2	1000	0.9341765873015874	0.9525496355496355	0.9289861289861289
12	sqrt	2	2	200	0.9326140873015873	0.9495796738382944	0.9273898898898899
12	sqrt	2	4	200	0.9326140873015873	0.9495796738382944	0.9273898898898899
12	sqrt	2	4	1000	0.9341765873015874	0.9467582417582416	0.9297422422422421
12	sqrt	2	2	1000	0.9341765873015874	0.9467582417582416	0.9297422422422421
12	sqrt	2	2	600	0.9326388888888889	0.9467093034679241	0.9279565279565279
12	sqrt	2	4	600	0.9326388888888889	0.9467093034679241	0.9279565279565279
12	log2	2	4	600	0.9310515873015873	0.9451023871458654	0.9262083512083512
12	log2	2	2	600	0.9310515873015873	0.9451023871458654	0.9262083512083512
10	log2	2	2	600	0.9294642857142857	0.9447603033037815	0.9243564993564993
10	log2	2	4	600	0.9294642857142857	0.9447603033037815	0.9243564993564993
12	sqrt	2	8	600	0.9310763888888889	0.9423159375745582	0.9266051766051767
10	sqrt	2	2	1000	0.9279265873015874	0.9421723204331899	0.9229390104390104
10	sqrt	2	4	1000	0.9279265873015874	0.9421723204331899	0.9229390104390104
10	log2	2	4	1000	0.9326388888888889	0.9421649669670659	0.9285607035607036
10	log2	2	2	1000	0.9326388888888889	0.9421649669670659	0.9285607035607036
10	sqrt	2	2	600	0.9263392857142858	0.9420184742793438	0.9210871585871585
10	sqrt	2	4	600	0.9263392857142858	0.9420184742793438	0.9210871585871585
10	log2	2	4	200	0.9294642857142857	0.9419706959706959	0.9247908622908623
10	log2	2	2	200	0.9294642857142857	0.9419706959706959	0.9247908622908623
10	log2	2	10	600	0.9326636904761905	0.9417152847152848	0.9285607035607036
12	log2	2	8	600	0.9326388888888889	0.9416041204062193	0.9285607035607036
12	log2	2	4	200	0.9310515873015873	0.9412877492877494	0.9266427141427143
12	log2	2	2	200	0.9310515873015873	0.9412877492877494	0.9266427141427143
10	sqrt	2	2	200	0.9248015873015873	0.9409528587354673	0.9193389818389818
10	sqrt	2	4	200	0.9248015873015873	0.9409528587354673	0.9193389818389818
12	log2	2	10	1000	0.9326388888888889	0.9384826042412249	0.9289575289575289
12	log2	4	2	600	0.9263640873015874	0.9382750669153193	0.9216823966823966
12	log2	4	4	600	0.9263640873015874	0.9382750669153193	0.9216823966823966
12	log2	4	8	600	0.9263640873015874	0.9382750669153193	0.9216823966823966
12	log2	2	10	600	0.9326636904761905	0.9381027941462724	0.9290236665236666
12	log2	2	8	1000	0.9279265873015874	0.9377826883261665	0.9234681109681109
10	log2	2	10	1000	0.9310763888888889	0.9377579665600655	0.9271718146718146
8	log2	2	2	600	0.9232142857142858	0.9374835164835165	0.9179125554125553
8	log2	2	4	600	0.9232142857142858	0.9374835164835165	0.9179125554125553
12	sqrt	4	4	600	0.9232638888888889	0.9373143620497443	0.9179500929500929
12	sqrt	4	2	600	0.9232638888888889	0.9373143620497443	0.9179500929500929
12	sqrt	4	8	600	0.9232638888888889	0.9373143620497443	0.9179500929500929
8	log2	2	2	200	0.9232142857142858	0.9369383659818442	0.9179876304876304
8	log2	2	4	200	0.9232142857142858	0.9369383659818442	0.9179876304876304
10	log2	2	8	1000	0.929513888888889	0.9351748493884925	0.9257918632918634
8	sqrt	2	8	600	0.9216269841269842	0.9350650828431938	0.916457528957529
12	sqrt	4	8	200	0.9248015873015873	0.9350406719717064	0.9201326326326326
12	sqrt	4	2	200	0.9248015873015873	0.9350406719717064	0.9201326326326326
12	sqrt	4	4	200	0.9248015873015873	0.9350406719717064	0.9201326326326326
10	log2	2	10	200	0.9263640873015874	0.9347992383960125	0.9221453596453596
12	sqrt	2	8	1000	0.9263888888888889	0.9346347781542683	0.9220130845130846
12	log2	4	8	1000	0.9263888888888889	0.9345406719717065	0.9221167596167597
12	log2	4	4	1000	0.9263888888888889	0.9345406719717065	0.9221167596167597
12	log2	4	2	1000	0.9263888888888889	0.9345406719717065	0.9221167596167597
8	log2	2	8	1000	0.9248015873015873	0.9343786156372362	0.9202273702273702
8	sqrt	2	4	200	0.9200644841269842	0.9339891778774838	0.914634277134277
8	sqrt	2	2	200	0.9200644841269842	0.9339891778774838	0.914634277134277
10	log2	2	8	600	0.9247767857142858	0.9336288421723203	0.9202649077649078
12	sqrt	2	8	200	0.9263392857142858	0.9327904018076433	0.9223437723437723
10	sqrt	2	8	200	0.9216517857142857	0.932106049539333	0.9169204919204919
12	log2	2	8	200	0.9294394841269842	0.931934065934066	0.926179751179751
12	sqrt	2	10	200	0.9247767857142858	0.9318658308208534	0.9205955955955956
12	sqrt	2	10	600	0.9248015873015873	0.931654482587766	0.9205955955955956
12	log2	4	10	200	0.9232638888888889	0.9316472681773258	0.9188760188760188
8	sqrt	2	10	200	0.9200892857142857	0.9315750990083824	0.9151723151723152
10	sqrt	2	8	600	0.9263888888888889	0.9312546840133047	0.9224760474760476
10	log2	4	2	1000	0.9232142857142858	0.9312448155574818	0.9188760188760188
10	log2	4	8	1000	0.9232142857142858	0.9312448155574818	0.9188760188760188
10	log2	4	4	1000	0.9232142857142858	0.9312448155574818	0.9188760188760188
12	sqrt	4	10	600	0.9232390873015873	0.931180123613407	0.9188098813098813
8	sqrt	2	4	600	0.9248015873015873	0.9311599511599511	0.9206241956241955
8	sqrt	2	2	600	0.9248015873015873	0.9311599511599511	0.9206241956241955
12	sqrt	2	10	1000	0.9216517857142857	0.9310522623303733	0.9169580294580296
8	log2	2	4	1000	0.9247767857142858	0.9310201465201466	0.920661733161733
8	log2	2	2	1000	0.9247767857142858	0.9310201465201466	0.920661733161733
12	log2	4	10	1000	0.9216765873015873	0.9306736823895745	0.9170903045903046
8	log2	2	10	1000	0.9232142857142858	0.9306227807951946	0.9189135564135563
12	sqrt	4	4	1000	0.9185267857142858	0.9301737784953679	0.9133204633204635
