max_depth	max_features	min_samples_leaf	min_samples_split	n_estimators	mean_valid_accuracy	mean_valid_precision	mean_valid_auc
10	log2	2	8	1000	0.9374863387978142	0.949702623463493	0.9300292792792794
8	log2	2	2	600	0.9391256830601092	0.9467498797498799	0.9328070570570572
8	log2	2	4	600	0.9391256830601092	0.9467498797498799	0.9328070570570572
10	log2	2	8	600	0.9374863387978142	0.9465687203295898	0.9307237237237238
8	log2	2	2	1000	0.9358469945355191	0.9465334295334296	0.9286403903903905
8	log2	2	4	1000	0.9358469945355191	0.9465334295334296	0.9286403903903905
10	sqrt	4	2	1000	0.9375683060109289	0.9464494844929628	0.9307237237237238
10	sqrt	4	8	1000	0.9375683060109289	0.9464494844929628	0.9307237237237238
10	sqrt	4	4	1000	0.9375683060109289	0.9464494844929628	0.9307237237237238
8	log2	2	8	1000	0.9325683060109288	0.9461358198966895	0.9244737237237238
8	log2	2	8	600	0.9341803278688523	0.9461141748750445	0.926557057057057
8	log2	2	10	1000	0.9325409836065572	0.9461141748750445	0.9244737237237237
10	log2	2	4	1000	0.9391530054644808	0.9459500354717747	0.9328445945945946
10	log2	2	2	1000	0.9391530054644808	0.9459500354717747	0.9328445945945946
10	sqrt	4	10	200	0.9325409836065575	0.945873068155677	0.9244737237237237
12	log2	2	2	200	0.9375409836065571	0.9457725245768724	0.9308070570570571
12	log2	2	4	200	0.9375409836065571	0.9457725245768724	0.9308070570570571
10	log2	2	4	600	0.9391530054644809	0.94533465085639	0.932927927927928
10	log2	2	2	600	0.9391530054644809	0.94533465085639	0.932927927927928
8	log2	2	10	600	0.9358196721311476	0.9430302587911283	0.9293348348348349
10	sqrt	2	2	1000	0.940846994535519	0.9430137607963696	0.9356223723723724
10	sqrt	2	4	1000	0.940846994535519	0.9430137607963696	0.9356223723723724
12	sqrt	2	4	600	0.9375409836065571	0.9428326013760797	0.9314557057057057
12	sqrt	2	4	1000	0.9375409836065571	0.9428326013760797	0.9314557057057057
12	sqrt	2	2	1000	0.9375409836065571	0.9428326013760797	0.9314557057057057
12	sqrt	2	2	600	0.9375409836065571	0.9428326013760797	0.9314557057057057
10	sqrt	4	10	1000	0.9359016393442621	0.9426161511596295	0.9293348348348349
6	sqrt	2	10	200	0.9342349726775956	0.9425189367798064	0.9272515015015015
10	sqrt	4	10	600	0.9342349726775956	0.9424185227011315	0.9272515015015015
12	sqrt	4	10	200	0.9358743169398906	0.9424185227011315	0.9293348348348347
6	sqrt	2	8	600	0.934262295081967	0.9423997009431793	0.9272515015015015
12	log2	2	4	1000	0.934207650273224	0.9423016395842483	0.927289039039039
12	log2	2	2	1000	0.934207650273224	0.9423016395842483	0.927289039039039
10	log2	2	8	200	0.934207650273224	0.9420851893677981	0.9272515015015015
8	sqrt	4	4	1000	0.9342349726775956	0.9420232657841353	0.927289039039039
8	sqrt	4	8	1000	0.9342349726775956	0.9420232657841353	0.927289039039039
8	sqrt	4	2	1000	0.9342349726775956	0.9420232657841353	0.927289039039039
