activation	alpha	early_stopping	hidden_layer_sizes	learning_rate	max_iter	solver	mean_valid_accuracy	mean_valid_precision	mean_valid_auc
logistic	0.1	True	(100,)	adaptive	1000	adam	0.860273224043716	0.9216935347261435	0.8361696696696697
logistic	0.1	True	(100,)	constant	500	adam	0.860273224043716	0.9216935347261435	0.8361696696696697
logistic	0.1	True	(100,)	constant	1000	adam	0.860273224043716	0.9216935347261435	0.8361696696696697
logistic	0.1	True	(100,)	invscaling	500	adam	0.860273224043716	0.9216935347261435	0.8361696696696697
logistic	0.1	True	(100,)	invscaling	1000	adam	0.860273224043716	0.9216935347261435	0.8361696696696697
logistic	0.1	True	(100,)	adaptive	500	adam	0.860273224043716	0.9216935347261435	0.8361696696696697
logistic	0.01	True	(100,)	constant	1000	adam	0.8586612021857924	0.918719696969697	0.8348183183183183
logistic	0.001	True	(100,)	invscaling	1000	adam	0.8586612021857924	0.918719696969697	0.8348183183183183
logistic	0.001	True	(100,)	adaptive	500	adam	0.8586612021857924	0.918719696969697	0.8348183183183183
logistic	0.001	True	(100,)	adaptive	1000	adam	0.8586612021857924	0.918719696969697	0.8348183183183183
logistic	0.001	True	(100,)	constant	500	adam	0.8586612021857924	0.918719696969697	0.8348183183183183
logistic	0.01	True	(100,)	adaptive	1000	adam	0.8586612021857924	0.918719696969697	0.8348183183183183
logistic	0.01	True	(100,)	adaptive	500	adam	0.8586612021857924	0.918719696969697	0.8348183183183183
logistic	0.01	True	(100,)	invscaling	500	adam	0.8586612021857924	0.918719696969697	0.8348183183183183
logistic	0.01	True	(100,)	invscaling	1000	adam	0.8586612021857924	0.918719696969697	0.8348183183183183
logistic	0.01	True	(100,)	constant	500	adam	0.8586612021857924	0.918719696969697	0.8348183183183183
logistic	0.001	True	(100,)	constant	1000	adam	0.8586612021857924	0.918719696969697	0.8348183183183183
logistic	0.001	True	(100,)	invscaling	500	adam	0.8586612021857924	0.918719696969697	0.8348183183183183
relu	0.01	True	(50,)	adaptive	1000	lbfgs	0.924398907103825	0.9085226827145867	0.9212349849849849
relu	0.01	True	(50,)	adaptive	500	lbfgs	0.924398907103825	0.9085226827145867	0.9212349849849849
relu	0.01	True	(50,)	invscaling	1000	lbfgs	0.924398907103825	0.9085226827145867	0.9212349849849849
relu	0.01	True	(50,)	invscaling	500	lbfgs	0.924398907103825	0.9085226827145867	0.9212349849849849
relu	0.01	True	(50,)	constant	500	lbfgs	0.924398907103825	0.9085226827145867	0.9212349849849849
relu	0.01	True	(50,)	constant	1000	lbfgs	0.924398907103825	0.9085226827145867	0.9212349849849849
relu	0.001	True	(50,)	invscaling	1000	lbfgs	0.9162021857923497	0.9032172014780709	0.9117627627627627
relu	0.001	True	(50,)	adaptive	500	lbfgs	0.9162021857923497	0.9032172014780709	0.9117627627627627
relu	0.001	True	(50,)	constant	500	lbfgs	0.9162021857923497	0.9032172014780709	0.9117627627627627
relu	0.001	True	(50,)	constant	1000	lbfgs	0.9162021857923497	0.9032172014780709	0.9117627627627627
relu	0.001	True	(50,)	invscaling	500	lbfgs	0.9162021857923497	0.9032172014780709	0.9117627627627627
relu	0.001	True	(50,)	adaptive	1000	lbfgs	0.9162021857923497	0.9032172014780709	0.9117627627627627
logistic	0.1	True	(50,)	adaptive	500	lbfgs	0.9095901639344263	0.901878010878011	0.9035045045045045
logistic	0.1	True	(50,)	constant	500	lbfgs	0.9095901639344263	0.901878010878011	0.9035045045045045
logistic	0.1	True	(50,)	adaptive	1000	lbfgs	0.9095901639344263	0.901878010878011	0.9035045045045045
logistic	0.1	True	(50,)	invscaling	1000	lbfgs	0.9095901639344263	0.901878010878011	0.9035045045045045
logistic	0.1	True	(50,)	invscaling	500	lbfgs	0.9095901639344263	0.901878010878011	0.9035045045045045
logistic	0.1	True	(50,)	constant	1000	lbfgs	0.9095901639344263	0.901878010878011	0.9035045045045045
tanh	0.01	True	(100, 100)	invscaling	1000	lbfgs	0.9193442622950819	0.9018520670540306	0.9169474474474475
tanh	0.01	True	(100, 100)	adaptive	1000	lbfgs	0.9193442622950819	0.9018520670540306	0.9169474474474475
tanh	0.01	True	(100, 100)	invscaling	500	lbfgs	0.9193442622950819	0.9018520670540306	0.9169474474474475
tanh	0.01	True	(100, 100)	constant	500	lbfgs	0.9193442622950819	0.9018520670540306	0.9169474474474475
tanh	0.01	True	(100, 100)	constant	1000	lbfgs	0.9193442622950819	0.9018520670540306	0.9169474474474475
tanh	0.01	True	(100, 100)	adaptive	500	lbfgs	0.9193442622950819	0.9018520670540306	0.9169474474474475
logistic	0.1	True	(50,)	invscaling	500	adam	0.883224043715847	0.9016979839805928	0.8702184684684685
logistic	0.1	True	(50,)	invscaling	1000	adam	0.883224043715847	0.9016979839805928	0.8702184684684685
logistic	0.1	True	(50,)	constant	1000	adam	0.883224043715847	0.9016979839805928	0.8702184684684685
logistic	0.1	True	(50,)	adaptive	1000	adam	0.883224043715847	0.9016979839805928	0.8702184684684685
