activation	alpha	early_stopping	hidden_layer_sizes	learning_rate	max_iter	solver	mean_valid_accuracy	mean_valid_precision	mean_valid_auc
logistic	0.1	True	(50,)	constant	500	adam	0.8444041137326073	0.8963595498928317	0.8060737685737684
logistic	0.01	True	(50,)	adaptive	1000	adam	0.8444041137326073	0.8963595498928317	0.8060737685737684
logistic	0.1	True	(50,)	invscaling	1000	adam	0.8444041137326073	0.8963595498928317	0.8060737685737684
logistic	0.1	True	(50,)	adaptive	500	adam	0.8444041137326073	0.8963595498928317	0.8060737685737684
logistic	0.1	True	(50,)	adaptive	1000	adam	0.8444041137326073	0.8963595498928317	0.8060737685737684
logistic	0.001	True	(50,)	adaptive	1000	adam	0.8444041137326073	0.8963595498928317	0.8060737685737684
logistic	0.001	True	(50,)	adaptive	500	adam	0.8444041137326073	0.8963595498928317	0.8060737685737684
logistic	0.001	True	(50,)	invscaling	1000	adam	0.8444041137326073	0.8963595498928317	0.8060737685737684
logistic	0.001	True	(50,)	invscaling	500	adam	0.8444041137326073	0.8963595498928317	0.8060737685737684
logistic	0.001	True	(50,)	constant	1000	adam	0.8444041137326073	0.8963595498928317	0.8060737685737684
logistic	0.001	True	(50,)	constant	500	adam	0.8444041137326073	0.8963595498928317	0.8060737685737684
logistic	0.01	True	(50,)	adaptive	500	adam	0.8444041137326073	0.8963595498928317	0.8060737685737684
logistic	0.1	True	(50,)	constant	1000	adam	0.8444041137326073	0.8963595498928317	0.8060737685737684
logistic	0.01	True	(50,)	invscaling	1000	adam	0.8444041137326073	0.8963595498928317	0.8060737685737684
logistic	0.01	True	(50,)	invscaling	500	adam	0.8444041137326073	0.8963595498928317	0.8060737685737684
logistic	0.01	True	(50,)	constant	1000	adam	0.8444041137326073	0.8963595498928317	0.8060737685737684
logistic	0.01	True	(50,)	constant	500	adam	0.8444041137326073	0.8963595498928317	0.8060737685737684
logistic	0.1	True	(50,)	invscaling	500	adam	0.8444041137326073	0.8963595498928317	0.8060737685737684
logistic	0.1	True	(100, 100)	adaptive	1000	adam	0.8824561403508773	0.8935181369198396	0.8610686985686987
logistic	0.1	True	(100, 100)	constant	500	adam	0.8824561403508773	0.8935181369198396	0.8610686985686987
logistic	0.1	True	(100, 100)	adaptive	500	adam	0.8824561403508773	0.8935181369198396	0.8610686985686987
