activation	alpha	early_stopping	hidden_layer_sizes	learning_rate	max_iter	solver	mean_valid_accuracy	mean_valid_precision	mean_valid_auc
logistic	0.1	True	(100,)	adaptive	1000	adam	0.9170296430732003	0.9324197147881359	0.9004972504972505
logistic	0.1	True	(100,)	adaptive	500	adam	0.9170296430732003	0.9324197147881359	0.9004972504972505
logistic	0.1	True	(100,)	invscaling	1000	adam	0.9170296430732003	0.9324197147881359	0.9004972504972505
logistic	0.1	True	(100,)	invscaling	500	adam	0.9170296430732003	0.9324197147881359	0.9004972504972505
logistic	0.1	True	(100,)	constant	500	adam	0.9170296430732003	0.9324197147881359	0.9004972504972505
logistic	0.1	True	(100,)	constant	1000	adam	0.9170296430732003	0.9324197147881359	0.9004972504972505
relu	0.01	True	(100, 100)	adaptive	1000	adam	0.936085904416213	0.9277128427128426	0.9280556530556531
relu	0.001	True	(100, 100)	constant	500	adam	0.936085904416213	0.9277128427128426	0.9280556530556531
relu	0.01	True	(100, 100)	adaptive	500	adam	0.936085904416213	0.9277128427128426	0.9280556530556531
relu	0.01	True	(100, 100)	invscaling	500	adam	0.936085904416213	0.9277128427128426	0.9280556530556531
relu	0.001	True	(100, 100)	constant	1000	adam	0.936085904416213	0.9277128427128426	0.9280556530556531
relu	0.1	True	(100, 100)	constant	500	adam	0.936085904416213	0.9277128427128426	0.9280556530556531
relu	0.01	True	(100, 100)	constant	1000	adam	0.936085904416213	0.9277128427128426	0.9280556530556531
relu	0.001	True	(100, 100)	invscaling	500	adam	0.936085904416213	0.9277128427128426	0.9280556530556531
relu	0.1	True	(100, 100)	constant	1000	adam	0.936085904416213	0.9277128427128426	0.9280556530556531
relu	0.01	True	(100, 100)	invscaling	1000	adam	0.936085904416213	0.9277128427128426	0.9280556530556531
relu	0.001	True	(100, 100)	invscaling	1000	adam	0.936085904416213	0.9277128427128426	0.9280556530556531
relu	0.1	True	(100, 100)	adaptive	500	adam	0.936085904416213	0.9277128427128426	0.9280556530556531
relu	0.001	True	(100, 100)	adaptive	1000	adam	0.936085904416213	0.9277128427128426	0.9280556530556531
relu	0.01	True	(100, 100)	constant	500	adam	0.936085904416213	0.9277128427128426	0.9280556530556531
relu	0.001	True	(100, 100)	adaptive	500	adam	0.936085904416213	0.9277128427128426	0.9280556530556531
relu	0.1	True	(100, 100)	adaptive	1000	adam	0.936085904416213	0.9277128427128426	0.9280556530556531
relu	0.1	True	(100, 100)	invscaling	1000	adam	0.936085904416213	0.9277128427128426	0.9280556530556531
relu	0.1	True	(100, 100)	invscaling	500	adam	0.936085904416213	0.9277128427128426	0.9280556530556531
logistic	0.001	True	(100,)	adaptive	1000	adam	0.9170296430732003	0.9274197147881358	0.901489313989314
logistic	0.01	True	(100,)	invscaling	500	adam	0.9170296430732003	0.9274197147881358	0.901489313989314
logistic	0.01	True	(100,)	adaptive	1000	adam	0.9170296430732003	0.9274197147881358	0.901489313989314
logistic	0.01	True	(100,)	constant	1000	adam	0.9170296430732003	0.9274197147881358	0.901489313989314
logistic	0.001	True	(100,)	adaptive	500	adam	0.9170296430732003	0.9274197147881358	0.901489313989314
logistic	0.001	True	(100,)	constant	500	adam	0.9170296430732003	0.9274197147881358	0.901489313989314
logistic	0.01	True	(100,)	invscaling	1000	adam	0.9170296430732003	0.9274197147881358	0.901489313989314
logistic	0.001	True	(100,)	invscaling	1000	adam	0.9170296430732003	0.9274197147881358	0.901489313989314
logistic	0.001	True	(100,)	invscaling	500	adam	0.9170296430732003	0.9274197147881358	0.901489313989314
logistic	0.01	True	(100,)	adaptive	500	adam	0.9170296430732003	0.9274197147881358	0.901489313989314
logistic	0.01	True	(100,)	constant	500	adam	0.9170296430732003	0.9274197147881358	0.901489313989314
logistic	0.001	True	(100,)	constant	1000	adam	0.9170296430732003	0.9274197147881358	0.901489313989314
logistic	0.1	True	(100, 100)	constant	500	adam	0.930852994555354	0.9243255866940074	0.9218341718341717
logistic	0.1	True	(100, 100)	adaptive	1000	adam	0.930852994555354	0.9243255866940074	0.9218341718341717
logistic	0.1	True	(100, 100)	invscaling	1000	adam	0.930852994555354	0.9243255866940074	0.9218341718341717
logistic	0.1	True	(100, 100)	invscaling	500	adam	0.930852994555354	0.9243255866940074	0.9218341718341717
logistic	0.1	True	(100, 100)	adaptive	500	adam	0.930852994555354	0.9243255866940074	0.9218341718341717
logistic	0.1	True	(100, 100)	constant	1000	adam	0.930852994555354	0.9243255866940074	0.9218341718341717
logistic	0.001	True	(100, 100)	invscaling	1000	adam	0.9204476709013913	0.9165800865800865	0.9095325845325846
logistic	0.001	True	(100, 100)	adaptive	500	adam	0.9204476709013913	0.9165800865800865	0.9095325845325846
logistic	0.001	True	(100, 100)	invscaling	500	adam	0.9204476709013913	0.9165800865800865	0.9095325845325846
logistic	0.01	True	(100, 100)	adaptive	500	adam	0.9204476709013913	0.9165800865800865	0.9095325845325846
logistic	0.01	True	(100, 100)	adaptive	1000	adam	0.9204476709013913	0.9165800865800865	0.9095325845325846
logistic	0.01	True	(100, 100)	invscaling	500	adam	0.9204476709013913	0.9165800865800865	0.9095325845325846
logistic	0.01	True	(100, 100)	constant	1000	adam	0.9204476709013913	0.9165800865800865	0.9095325845325846
logistic	0.001	True	(100, 100)	constant	1000	adam	0.9204476709013913	0.9165800865800865	0.9095325845325846
logistic	0.01	True	(100, 100)	invscaling	1000	adam	0.9204476709013913	0.9165800865800865	0.9095325845325846
logistic	0.001	True	(100, 100)	constant	500	adam	0.9204476709013913	0.9165800865800865	0.9095325845325846
logistic	0.01	True	(100, 100)	constant	500	adam	0.9204476709013913	0.9165800865800865	0.9095325845325846
logistic	0.001	True	(100, 100)	adaptive	1000	adam	0.9204476709013913	0.9165800865800865	0.9095325845325846
relu	0.001	True	(100, 100)	adaptive	500	lbfgs	0.9378100423472475	0.9156115189158667	0.9341177216177214
relu	0.001	True	(100, 100)	invscaling	500	lbfgs	0.9378100423472475	0.9156115189158667	0.9341177216177214
relu	0.001	True	(100, 100)	invscaling	1000	lbfgs	0.9378100423472475	0.9156115189158667	0.9341177216177214
relu	0.01	True	(100, 100)	adaptive	1000	lbfgs	0.9378100423472475	0.9156115189158667	0.9341177216177214
relu	0.01	True	(100, 100)	invscaling	500	lbfgs	0.9378100423472475	0.9156115189158667	0.9341177216177214
relu	0.01	True	(100, 100)	constant	500	lbfgs	0.9378100423472475	0.9156115189158667	0.9341177216177214
relu	0.001	True	(100, 100)	adaptive	1000	lbfgs	0.9378100423472475	0.9156115189158667	0.9341177216177214
relu	0.01	True	(100, 100)	adaptive	500	lbfgs	0.9378100423472475	0.9156115189158667	0.9341177216177214
relu	0.001	True	(100, 100)	constant	1000	lbfgs	0.9378100423472475	0.9156115189158667	0.9341177216177214
relu	0.01	True	(100, 100)	invscaling	1000	lbfgs	0.9378100423472475	0.9156115189158667	0.9341177216177214
relu	0.01	True	(100, 100)	constant	1000	lbfgs	0.9378100423472475	0.9156115189158667	0.9341177216177214
relu	0.001	True	(100, 100)	constant	500	lbfgs	0.9378100423472475	0.9156115189158667	0.9341177216177214
relu	0.1	True	(50,)	adaptive	1000	lbfgs	0.941167574107683	0.9064613212874082	0.9407223782223783
relu	0.1	True	(50,)	constant	500	lbfgs	0.941167574107683	0.9064613212874082	0.9407223782223783
relu	0.1	True	(50,)	constant	1000	lbfgs	0.941167574107683	0.9064613212874082	0.9407223782223783
relu	0.1	True	(50,)	adaptive	500	lbfgs	0.941167574107683	0.9064613212874082	0.9407223782223783
relu	0.1	True	(50,)	invscaling	1000	lbfgs	0.941167574107683	0.9064613212874082	0.9407223782223783
relu	0.1	True	(50,)	invscaling	500	lbfgs	0.941167574107683	0.9064613212874082	0.9407223782223783
relu	0.01	True	(100,)	constant	1000	adam	0.9221415607985479	0.9030755082700163	0.9149648024648025
relu	0.01	True	(100,)	invscaling	500	adam	0.9221415607985479	0.9030755082700163	0.9149648024648025
relu	0.01	True	(100,)	constant	500	adam	0.9221415607985479	0.9030755082700163	0.9149648024648025
relu	0.01	True	(100,)	invscaling	1000	adam	0.9221415607985479	0.9030755082700163	0.9149648024648025
relu	0.01	True	(100,)	adaptive	500	adam	0.9221415607985479	0.9030755082700163	0.9149648024648025
relu	0.01	True	(100,)	adaptive	1000	adam	0.9221415607985479	0.9030755082700163	0.9149648024648025
relu	0.001	True	(100,)	constant	1000	adam	0.9221415607985479	0.9030755082700163	0.9149648024648025
relu	0.001	True	(100,)	constant	500	adam	0.9221415607985479	0.9030755082700163	0.9149648024648025
relu	0.001	True	(100,)	adaptive	1000	adam	0.9221415607985479	0.9030755082700163	0.9149648024648025
relu	0.001	True	(100,)	adaptive	500	adam	0.9221415607985479	0.9030755082700163	0.9149648024648025
relu	0.001	True	(100,)	invscaling	500	adam	0.9221415607985479	0.9030755082700163	0.9149648024648025
relu	0.001	True	(100,)	invscaling	1000	adam	0.9221415607985479	0.9030755082700163	0.9149648024648025
tanh	0.1	True	(100,)	adaptive	1000	lbfgs	0.9272534785238961	0.8995668519123898	0.9239084864084866
tanh	0.1	True	(100,)	adaptive	500	lbfgs	0.9272534785238961	0.8995668519123898	0.9239084864084866
tanh	0.1	True	(100,)	invscaling	1000	lbfgs	0.9272534785238961	0.8995668519123898	0.9239084864084866
tanh	0.1	True	(100,)	invscaling	500	lbfgs	0.9272534785238961	0.8995668519123898	0.9239084864084866
tanh	0.1	True	(100,)	constant	1000	lbfgs	0.9272534785238961	0.8995668519123898	0.9239084864084866
tanh	0.1	True	(100,)	constant	500	lbfgs	0.9272534785238961	0.8995668519123898	0.9239084864084866
relu	0.01	True	(100, 100)	adaptive	500	sgd	0.8807017543859649	0.8991104934796887	0.8569532194532193
relu	0.1	True	(100, 100)	adaptive	1000	sgd	0.8807017543859649	0.8991104934796887	0.8569532194532193
relu	0.001	True	(100, 100)	adaptive	500	sgd	0.8807017543859649	0.8991104934796887	0.8569532194532193
relu	0.001	True	(100, 100)	adaptive	1000	sgd	0.8807017543859649	0.8991104934796887	0.8569532194532193
relu	0.01	True	(100, 100)	adaptive	1000	sgd	0.8807017543859649	0.8991104934796887	0.8569532194532193
relu	0.1	True	(100, 100)	adaptive	500	sgd	0.8807017543859649	0.8991104934796887	0.8569532194532193
relu	0.1	True	(100,)	constant	500	adam	0.9186932849364791	0.8982593010853881	0.9112324987324987
relu	0.1	True	(100,)	constant	1000	adam	0.9186932849364791	0.8982593010853881	0.9112324987324987
relu	0.1	True	(100,)	invscaling	500	adam	0.9186932849364791	0.8982593010853881	0.9112324987324987
relu	0.1	True	(100,)	invscaling	1000	adam	0.9186932849364791	0.8982593010853881	0.9112324987324987
relu	0.1	True	(100,)	adaptive	500	adam	0.9186932849364791	0.8982593010853881	0.9112324987324987
relu	0.1	True	(100,)	adaptive	1000	adam	0.9186932849364791	0.8982593010853881	0.9112324987324987
logistic	0.1	True	(50, 50)	constant	500	lbfgs	0.9186327888687236	0.8957240730284208	0.9129251004251003
logistic	0.1	True	(50, 50)	invscaling	1000	lbfgs	0.9186327888687236	0.8957240730284208	0.9129251004251003
logistic	0.1	True	(50, 50)	constant	1000	lbfgs	0.9186327888687236	0.8957240730284208	0.9129251004251003
logistic	0.1	True	(50, 50)	invscaling	500	lbfgs	0.9186327888687236	0.8957240730284208	0.9129251004251003
logistic	0.1	True	(50, 50)	adaptive	500	lbfgs	0.9186327888687236	0.8957240730284208	0.9129251004251003
logistic	0.1	True	(50, 50)	adaptive	1000	lbfgs	0.9186327888687236	0.8957240730284208	0.9129251004251003
relu	0.001	True	(50, 50)	adaptive	500	adam	0.9049606775559589	0.8955916966328864	0.89243447993448
relu	0.001	True	(50, 50)	adaptive	1000	adam	0.9049606775559589	0.8955916966328864	0.89243447993448
relu	0.001	True	(50, 50)	invscaling	1000	adam	0.9049606775559589	0.8955916966328864	0.89243447993448
relu	0.001	True	(50, 50)	invscaling	500	adam	0.9049606775559589	0.8955916966328864	0.89243447993448
relu	0.001	True	(50, 50)	constant	1000	adam	0.9049606775559589	0.8955916966328864	0.89243447993448
relu	0.001	True	(50, 50)	constant	500	adam	0.9049606775559589	0.8955916966328864	0.89243447993448
relu	0.01	True	(50, 50)	invscaling	1000	adam	0.9049606775559589	0.8955916966328864	0.89243447993448
relu	0.01	True	(50, 50)	adaptive	1000	adam	0.9049606775559589	0.8955916966328864	0.89243447993448
relu	0.01	True	(50, 50)	adaptive	500	adam	0.9049606775559589	0.8955916966328864	0.89243447993448
relu	0.01	True	(50, 50)	constant	500	adam	0.9049606775559589	0.8955916966328864	0.89243447993448
relu	0.01	True	(50, 50)	invscaling	500	adam	0.9049606775559589	0.8955916966328864	0.89243447993448
relu	0.01	True	(50, 50)	constant	1000	adam	0.9049606775559589	0.8955916966328864	0.89243447993448
relu	0.1	True	(100, 100)	constant	500	lbfgs	0.9255293405928615	0.8929002446828533	0.9224489099489098
relu	0.1	True	(100, 100)	constant	1000	lbfgs	0.9255293405928615	0.8929002446828533	0.9224489099489098
relu	0.1	True	(100, 100)	invscaling	500	lbfgs	0.9255293405928615	0.8929002446828533	0.9224489099489098
relu	0.1	True	(100, 100)	adaptive	1000	lbfgs	0.9255293405928615	0.8929002446828533	0.9224489099489098
relu	0.1	True	(100, 100)	adaptive	500	lbfgs	0.9255293405928615	0.8929002446828533	0.9224489099489098
relu	0.1	True	(100, 100)	invscaling	1000	lbfgs	0.9255293405928615	0.8929002446828533	0.9224489099489098
tanh	0.1	True	(50,)	invscaling	500	lbfgs	0.9238354506957046	0.8925574063617543	0.9201430326430327
tanh	0.1	True	(50,)	invscaling	1000	lbfgs	0.9238354506957046	0.8925574063617543	0.9201430326430327
tanh	0.1	True	(50,)	adaptive	500	lbfgs	0.9238354506957046	0.8925574063617543	0.9201430326430327
tanh	0.1	True	(50,)	constant	500	lbfgs	0.9238354506957046	0.8925574063617543	0.9201430326430327
tanh	0.1	True	(50,)	adaptive	1000	lbfgs	0.9238354506957046	0.8925574063617543	0.9201430326430327
tanh	0.1	True	(50,)	constant	1000	lbfgs	0.9238354506957046	0.8925574063617543	0.9201430326430327
relu	0.1	True	(50, 50)	invscaling	500	lbfgs	0.9239261947973383	0.8921409749670618	0.9193674193674193
relu	0.1	True	(50, 50)	constant	500	lbfgs	0.9239261947973383	0.8921409749670618	0.9193674193674193
relu	0.1	True	(50, 50)	invscaling	1000	lbfgs	0.9239261947973383	0.8921409749670618	0.9193674193674193
relu	0.1	True	(50, 50)	adaptive	1000	lbfgs	0.9239261947973383	0.8921409749670618	0.9193674193674193
relu	0.1	True	(50, 50)	constant	1000	lbfgs	0.9239261947973383	0.8921409749670618	0.9193674193674193
