C	gamma	kernel	mean_valid_accuracy	mean_valid_precision	mean_valid_auc
1.0	0.1	rbf	0.7231397459165155	0.9888888888888889	0.6252344877344876
10.0	0.1	rbf	0.7404416212946159	0.9672979797979797	0.6506703131703132
100.0	0.1	rbf	0.7404416212946159	0.9672979797979797	0.6506703131703132
1000.0	0.1	rbf	0.7404416212946159	0.9672979797979797	0.6506703131703132
1.0	0.01	rbf	0.9446763460375076	0.9495994432722121	0.935554873054873
0.01	0.01	linear	0.930852994555354	0.948968253968254	0.9159856284856284
0.01	0.1	linear	0.930852994555354	0.948968253968254	0.9159856284856284
0.01	1.0	linear	0.930852994555354	0.948968253968254	0.9159856284856284
0.01	100.0	linear	0.930852994555354	0.948968253968254	0.9159856284856284
0.01	1000.0	linear	0.930852994555354	0.948968253968254	0.9159856284856284
10.0	0.01	rbf	0.946400483968542	0.9251595787888693	0.9438550563550564
1000.0	0.01	rbf	0.9377495462794918	0.9124379525889823	0.9349640224640223
100.0	0.01	rbf	0.9377495462794918	0.9124379525889823	0.9349640224640223
0.1	0.01	linear	0.9274047186932849	0.9116336691531199	0.9208947583947584
0.1	1000.0	linear	0.9274047186932849	0.9116336691531199	0.9208947583947584
0.1	0.1	linear	0.9274047186932849	0.9116336691531199	0.9208947583947584
0.1	100.0	linear	0.9274047186932849	0.9116336691531199	0.9208947583947584
0.1	1.0	linear	0.9274047186932849	0.9116336691531199	0.9208947583947584
100.0	1000.0	linear	0.9222020568663037	0.8896565673075971	0.9187166062166062
10.0	0.1	linear	0.9222020568663037	0.8896565673075971	0.9187166062166062
100.0	100.0	linear	0.9222020568663037	0.8896565673075971	0.9187166062166062
100.0	1.0	linear	0.9222020568663037	0.8896565673075971	0.9187166062166062
1000.0	0.01	linear	0.9222020568663037	0.8896565673075971	0.9187166062166062
1000.0	1.0	linear	0.9222020568663037	0.8896565673075971	0.9187166062166062
1000.0	100.0	linear	0.9222020568663037	0.8896565673075971	0.9187166062166062
100.0	0.1	linear	0.9222020568663037	0.8896565673075971	0.9187166062166062
100.0	0.01	linear	0.9222020568663037	0.8896565673075971	0.9187166062166062
10.0	1000.0	linear	0.9222020568663037	0.8896565673075971	0.9187166062166062
10.0	100.0	linear	0.9222020568663037	0.8896565673075971	0.9187166062166062
10.0	1.0	linear	0.9222020568663037	0.8896565673075971	0.9187166062166062
1000.0	1000.0	linear	0.9222020568663037	0.8896565673075971	0.9187166062166062
1000.0	0.1	linear	0.9222020568663037	0.8896565673075971	0.9187166062166062
10.0	0.01	linear	0.9222020568663037	0.8896565673075971	0.9187166062166062
1.0	1000.0	linear	0.9222020568663037	0.8896565673075971	0.9187166062166062
1.0	100.0	linear	0.9222020568663037	0.8896565673075971	0.9187166062166062
1.0	1.0	linear	0.9222020568663037	0.8896565673075971	0.9187166062166062
1.0	0.1	linear	0.9222020568663037	0.8896565673075971	0.9187166062166062
1.0	0.01	linear	0.9222020568663037	0.8896565673075971	0.9187166062166062
0.1	0.01	rbf	0.645341802782819	0.6	0.5186147186147185
0.01	0.01	rbf	0.6314882032667877	0.0	0.5
100.0	1000.0	rbf	0.6314882032667877	0.0	0.5
0.01	0.1	rbf	0.6314882032667877	0.0	0.5
1000.0	100.0	rbf	0.6314882032667877	0.0	0.5
0.01	1.0	rbf	0.6314882032667877	0.0	0.5
1000.0	1.0	rbf	0.6314882032667877	0.0	0.5
0.01	100.0	rbf	0.6314882032667877	0.0	0.5
0.01	1000.0	rbf	0.6314882032667877	0.0	0.5
0.1	0.1	rbf	0.6314882032667877	0.0	0.5
0.1	1.0	rbf	0.6314882032667877	0.0	0.5
0.1	1000.0	rbf	0.6314882032667877	0.0	0.5
0.1	100.0	rbf	0.6314882032667877	0.0	0.5
100.0	100.0	rbf	0.6314882032667877	0.0	0.5
1.0	1000.0	rbf	0.6314882032667877	0.0	0.5
100.0	1.0	rbf	0.6314882032667877	0.0	0.5
1.0	1.0	rbf	0.6314882032667877	0.0	0.5
10.0	1000.0	rbf	0.6314882032667877	0.0	0.5
1.0	100.0	rbf	0.6314882032667877	0.0	0.5
10.0	100.0	rbf	0.6314882032667877	0.0	0.5
10.0	1.0	rbf	0.6314882032667877	0.0	0.5
1000.0	1000.0	rbf	0.6314882032667877	0.0	0.5
