colsample_bytree	eval_metric	gamma	learning_rate	max_depth	min_child_weight	n_estimators	objective	subsample	mean_valid_accuracy	mean_valid_precision	mean_valid_auc
0.5	auc	0	0.01	6	3	200	binary:logitraw	0.5	0.9169993950393224	0.9556268121283601	0.8952785577785578
0.5	error	0	0.01	6	3	200	binary:logitraw	0.5	0.9169993950393224	0.9556268121283601	0.8952785577785578
0.5	auc	0	0.01	6	1	200	binary:logitraw	0.5	0.9187537810042347	0.954875730994152	0.8975512850512851
0.5	error	0	0.01	6	1	200	binary:logitraw	0.5	0.9187537810042347	0.954875730994152	0.8975512850512851
0.5	auc	0	0.01	6	3	600	binary:logitraw	0.5	0.9412280701754387	0.9544235588972431	0.9291710541710542
0.5	error	0	0.01	6	3	600	binary:logitraw	0.5	0.9412280701754387	0.9544235588972431	0.9291710541710542
0.5	auc	0	0.01	8	1	200	binary:logitraw	0.5	0.9204779189352692	0.95171802054155	0.9008160758160757
0.5	error	0	0.01	8	1	200	binary:logitraw	0.5	0.9204779189352692	0.95171802054155	0.9008160758160757
0.5	auc	0	0.01	8	3	200	binary:logitraw	0.5	0.9152450090744102	0.950656051894442	0.8938896688896689
0.5	error	0	0.01	8	3	200	binary:logitraw	0.5	0.9152450090744102	0.950656051894442	0.8938896688896689
0.5	auc	0	0.01	4	1	600	binary:logitraw	0.5	0.9325468844525104	0.9492606516290728	0.9181876681876682
0.5	error	0	0.01	4	1	600	binary:logitraw	0.5	0.9325468844525104	0.9492606516290728	0.9181876681876682
0.5	error	0	0.01	8	3	600	binary:logitraw	0.5	0.9394736842105263	0.948968253968254	0.9277821652821652
0.5	auc	0	0.01	8	3	600	binary:logitraw	0.5	0.9394736842105263	0.948968253968254	0.9277821652821652
0.5	auc	0	0.01	4	1	1000	binary:logitraw	0.5	0.9394131881427705	0.9465265436318067	0.928595316095316
0.5	error	0	0.01	4	1	1000	binary:logitraw	0.5	0.9394131881427705	0.9465265436318067	0.928595316095316
1.0	auc	0	0.01	4	3	600	binary:logitraw	0.5	0.9325771324863883	0.9452859421280474	0.9192504192504192
1.0	error	0	0.01	4	3	600	binary:logitraw	0.5	0.9325771324863883	0.9452859421280474	0.9192504192504192
1.0	error	0	0.01	8	3	600	binary:logitraw	0.5	0.9308529945553538	0.9452859421280474	0.916869466869467
1.0	auc	0	0.01	8	3	600	binary:logitraw	0.5	0.9308529945553538	0.9452859421280474	0.916869466869467
0.5	error	0	0.01	6	1	600	binary:logitraw	0.5	0.9342407743496672	0.9451480975165186	0.9215606840606843
0.5	auc	0	0.01	6	1	600	binary:logitraw	0.5	0.9342407743496672	0.9451480975165186	0.9215606840606843
1.0	error	0	0.01	6	3	600	binary:logitraw	0.5	0.9326073805202661	0.9450506701536451	0.9192504192504192
1.0	auc	0	0.01	6	3	600	binary:logitraw	0.5	0.9326073805202661	0.9450506701536451	0.9192504192504192
0.5	error	0	0.01	4	3	200	binary:logitraw	0.5	0.9032062915910467	0.9441073271413829	0.8786855036855037
0.5	auc	0	0.01	4	3	200	binary:logitraw	0.5	0.9032062915910467	0.9441073271413829	0.8786855036855037
0.5	auc	0	0.01	8	1	200	binary:logitraw	1.0	0.9290986085904416	0.9437050960735173	0.9147800397800397
0.5	error	0	0.01	8	1	200	binary:logitraw	1.0	0.9290986085904416	0.9437050960735173	0.9147800397800397
