max_depth	max_features	min_samples_leaf	min_samples_split	n_estimators	mean_valid_accuracy	mean_valid_precision	mean_valid_auc
10	log2	4	8	1000	0.9319299652499332	0.9605415499533146	0.9242507507507508
10	log2	4	4	1000	0.9319299652499332	0.9605415499533146	0.9242507507507508
10	log2	4	2	1000	0.9319299652499332	0.9605415499533146	0.9242507507507508
8	log2	4	10	1000	0.9273055332798718	0.9598077412783296	0.9187702702702701
12	log2	4	8	1000	0.930793905372895	0.9577637721755368	0.9232882882882884
12	log2	4	4	1000	0.930793905372895	0.9577637721755368	0.9232882882882884
12	log2	4	2	1000	0.930793905372895	0.9577637721755368	0.9232882882882884
8	log2	2	4	1000	0.9272921678695536	0.9563017838714434	0.9194729729729729
8	log2	2	2	1000	0.9272921678695536	0.9563017838714434	0.9194729729729729
8	log2	4	10	600	0.924993317294841	0.9561235307520137	0.9167327327327328
8	log2	4	4	1000	0.9273188986901898	0.9561235307520137	0.9195105105105107
8	log2	4	8	1000	0.9273188986901898	0.9561235307520137	0.9195105105105107
8	log2	4	2	1000	0.9273188986901898	0.9561235307520137	0.9195105105105107
8	log2	2	8	1000	0.9272921678695536	0.9559133923839805	0.9194354354354353
8	sqrt	4	8	200	0.9330793905372896	0.9557593307593308	0.9263798798798797
8	sqrt	4	4	200	0.9330793905372896	0.9557593307593308	0.9263798798798797
8	sqrt	4	2	200	0.9330793905372896	0.9557593307593308	0.9263798798798797
10	log2	2	8	1000	0.9307805399625769	0.9556752971458854	0.9236396396396398
10	log2	2	8	600	0.9331194867682437	0.9556752971458854	0.9264174174174172
8	log2	2	8	600	0.9284683239775461	0.9549859943977591	0.9212132132132134
8	log2	2	10	600	0.928454958567228	0.9544580909286792	0.9211756756756756
12	log2	4	2	600	0.9319433306602513	0.9542199956905838	0.9253798798798798
12	log2	4	4	600	0.9319433306602513	0.9542199956905838	0.9253798798798798
12	log2	4	8	600	0.9319433306602513	0.9542199956905838	0.9253798798798798
10	log2	4	4	600	0.9273188986901898	0.9541359620771386	0.9198618618618617
10	log2	4	2	600	0.9273188986901898	0.9541359620771386	0.9198618618618617
