activation	alpha	early_stopping	hidden_layer_sizes	learning_rate	max_iter	solver	mean_valid_accuracy	mean_valid_precision	mean_valid_auc
logistic	0.1	True	(100, 100)	adaptive	1000	adam	0.8934738955823294	0.9139971981366447	0.8818734402852051
logistic	0.1	True	(100, 100)	adaptive	500	adam	0.8934738955823294	0.9139971981366447	0.8818734402852051
logistic	0.1	True	(100, 100)	invscaling	1000	adam	0.8934738955823294	0.9139971981366447	0.8818734402852051
logistic	0.1	True	(100, 100)	invscaling	500	adam	0.8934738955823294	0.9139971981366447	0.8818734402852051
logistic	0.1	True	(100, 100)	constant	1000	adam	0.8934738955823294	0.9139971981366447	0.8818734402852051
logistic	0.1	True	(100, 100)	constant	500	adam	0.8934738955823294	0.9139971981366447	0.8818734402852051
relu	0.1	True	(100,)	constant	500	adam	0.9186603557085486	0.913896978708963	0.9135828877005349
relu	0.1	True	(100,)	adaptive	1000	adam	0.9186603557085486	0.913896978708963	0.9135828877005349
relu	0.1	True	(100,)	adaptive	500	adam	0.9186603557085486	0.913896978708963	0.9135828877005349
relu	0.1	True	(100,)	invscaling	1000	adam	0.9186603557085486	0.913896978708963	0.9135828877005349
relu	0.1	True	(100,)	invscaling	500	adam	0.9186603557085486	0.913896978708963	0.9135828877005349
relu	0.1	True	(100,)	constant	1000	adam	0.9186603557085486	0.913896978708963	0.9135828877005349
logistic	0.001	True	(50, 50)	invscaling	1000	adam	0.8982644865174987	0.911774176442558	0.8858039215686275
logistic	0.001	True	(50, 50)	adaptive	1000	adam	0.8982644865174987	0.911774176442558	0.8858039215686275
logistic	0.001	True	(50, 50)	adaptive	500	adam	0.8982644865174987	0.911774176442558	0.8858039215686275
logistic	0.001	True	(50, 50)	constant	500	adam	0.8982644865174987	0.911774176442558	0.8858039215686275
logistic	0.01	True	(50, 50)	adaptive	1000	adam	0.8982644865174987	0.911774176442558	0.8858039215686275
logistic	0.01	True	(50, 50)	adaptive	500	adam	0.8982644865174987	0.911774176442558	0.8858039215686275
logistic	0.01	True	(50, 50)	constant	500	adam	0.8982644865174987	0.911774176442558	0.8858039215686275
logistic	0.001	True	(50, 50)	invscaling	500	adam	0.8982644865174987	0.911774176442558	0.8858039215686275
logistic	0.01	True	(50, 50)	constant	1000	adam	0.8982644865174987	0.911774176442558	0.8858039215686275
logistic	0.01	True	(50, 50)	invscaling	1000	adam	0.8982644865174987	0.911774176442558	0.8858039215686275
logistic	0.01	True	(50, 50)	invscaling	500	adam	0.8982644865174987	0.911774176442558	0.8858039215686275
logistic	0.001	True	(50, 50)	constant	1000	adam	0.8982644865174987	0.911774176442558	0.8858039215686275
logistic	0.1	True	(100,)	adaptive	1000	adam	0.9055651176133104	0.9115294424980023	0.8963511586452763
logistic	0.1	True	(100,)	adaptive	500	adam	0.9055651176133104	0.9115294424980023	0.8963511586452763
logistic	0.1	True	(100,)	invscaling	1000	adam	0.9055651176133104	0.9115294424980023	0.8963511586452763
logistic	0.1	True	(100,)	invscaling	500	adam	0.9055651176133104	0.9115294424980023	0.8963511586452763
logistic	0.1	True	(100,)	constant	1000	adam	0.9055651176133104	0.9115294424980023	0.8963511586452763
logistic	0.1	True	(100,)	constant	500	adam	0.9055651176133104	0.9115294424980023	0.8963511586452763
relu	0.001	True	(100,)	adaptive	500	adam	0.9174698795180725	0.9114366612486456	0.9125828877005349
relu	0.001	True	(100,)	constant	500	adam	0.9174698795180725	0.9114366612486456	0.9125828877005349
relu	0.001	True	(100,)	invscaling	1000	adam	0.9174698795180725	0.9114366612486456	0.9125828877005349
relu	0.001	True	(100,)	constant	1000	adam	0.9174698795180725	0.9114366612486456	0.9125828877005349
relu	0.01	True	(100,)	invscaling	500	adam	0.9174698795180725	0.9114366612486456	0.9125828877005349
relu	0.001	True	(100,)	invscaling	500	adam	0.9174698795180725	0.9114366612486456	0.9125828877005349
relu	0.001	True	(100,)	adaptive	1000	adam	0.9174698795180725	0.9114366612486456	0.9125828877005349
relu	0.01	True	(100,)	constant	1000	adam	0.9174698795180725	0.9114366612486456	0.9125828877005349
relu	0.01	True	(100,)	constant	500	adam	0.9174698795180725	0.9114366612486456	0.9125828877005349
relu	0.01	True	(100,)	invscaling	1000	adam	0.9174698795180725	0.9114366612486456	0.9125828877005349
relu	0.01	True	(100,)	adaptive	500	adam	0.9174698795180725	0.9114366612486456	0.9125828877005349
relu	0.01	True	(100,)	adaptive	1000	adam	0.9174698795180725	0.9114366612486456	0.9125828877005349
logistic	0.001	True	(100,)	invscaling	500	adam	0.9031554790590937	0.9112293675857357	0.8933208556149733
logistic	0.001	True	(100,)	adaptive	1000	adam	0.9031554790590937	0.9112293675857357	0.8933208556149733
logistic	0.01	True	(100,)	adaptive	1000	adam	0.9031554790590937	0.9112293675857357	0.8933208556149733
logistic	0.01	True	(100,)	adaptive	500	adam	0.9031554790590937	0.9112293675857357	0.8933208556149733
logistic	0.001	True	(100,)	constant	500	adam	0.9031554790590937	0.9112293675857357	0.8933208556149733
logistic	0.01	True	(100,)	invscaling	500	adam	0.9031554790590937	0.9112293675857357	0.8933208556149733
logistic	0.001	True	(100,)	constant	1000	adam	0.9031554790590937	0.9112293675857357	0.8933208556149733
logistic	0.01	True	(100,)	invscaling	1000	adam	0.9031554790590937	0.9112293675857357	0.8933208556149733
logistic	0.01	True	(100,)	constant	1000	adam	0.9031554790590937	0.9112293675857357	0.8933208556149733
logistic	0.001	True	(100,)	adaptive	500	adam	0.9031554790590937	0.9112293675857357	0.8933208556149733
logistic	0.01	True	(100,)	constant	500	adam	0.9031554790590937	0.9112293675857357	0.8933208556149733
logistic	0.001	True	(100,)	invscaling	1000	adam	0.9031554790590937	0.9112293675857357	0.8933208556149733
logistic	0.01	True	(100, 100)	adaptive	1000	adam	0.891092943201377	0.9104734282601928	0.879873440285205
logistic	0.01	True	(100, 100)	constant	1000	adam	0.891092943201377	0.9104734282601928	0.879873440285205
logistic	0.01	True	(100, 100)	invscaling	1000	adam	0.891092943201377	0.9104734282601928	0.879873440285205
logistic	0.01	True	(100, 100)	adaptive	500	adam	0.891092943201377	0.9104734282601928	0.879873440285205
logistic	0.01	True	(100, 100)	invscaling	500	adam	0.891092943201377	0.9104734282601928	0.879873440285205
logistic	0.01	True	(100, 100)	constant	500	adam	0.891092943201377	0.9104734282601928	0.879873440285205
logistic	0.1	True	(50, 50)	adaptive	1000	adam	0.8982931726907631	0.9082711032273044	0.8867896613190732
logistic	0.1	True	(50, 50)	adaptive	500	adam	0.8982931726907631	0.9082711032273044	0.8867896613190732
logistic	0.1	True	(50, 50)	invscaling	1000	adam	0.8982931726907631	0.9082711032273044	0.8867896613190732
logistic	0.1	True	(50, 50)	invscaling	500	adam	0.8982931726907631	0.9082711032273044	0.8867896613190732
logistic	0.1	True	(50, 50)	constant	1000	adam	0.8982931726907631	0.9082711032273044	0.8867896613190732
logistic	0.1	True	(50, 50)	constant	500	adam	0.8982931726907631	0.9082711032273044	0.8867896613190732
logistic	0.001	True	(50,)	invscaling	500	adam	0.8971026965002868	0.9075674971852505	0.8863048128342246
logistic	0.001	True	(50,)	constant	500	adam	0.8971026965002868	0.9075674971852505	0.8863048128342246
logistic	0.001	True	(50,)	adaptive	1000	adam	0.8971026965002868	0.9075674971852505	0.8863048128342246
logistic	0.001	True	(50,)	invscaling	1000	adam	0.8971026965002868	0.9075674971852505	0.8863048128342246
logistic	0.001	True	(50,)	constant	1000	adam	0.8971026965002868	0.9075674971852505	0.8863048128342246
logistic	0.001	True	(50,)	adaptive	500	adam	0.8971026965002868	0.9075674971852505	0.8863048128342246
logistic	0.001	True	(100, 100)	constant	500	adam	0.8898881239242685	0.9070251523981241	0.878873440285205
logistic	0.001	True	(100, 100)	invscaling	500	adam	0.8898881239242685	0.9070251523981241	0.878873440285205
logistic	0.001	True	(100, 100)	constant	1000	adam	0.8898881239242685	0.9070251523981241	0.878873440285205
logistic	0.001	True	(100, 100)	invscaling	1000	adam	0.8898881239242685	0.9070251523981241	0.878873440285205
logistic	0.001	True	(100, 100)	adaptive	1000	adam	0.8898881239242685	0.9070251523981241	0.878873440285205
logistic	0.001	True	(100, 100)	adaptive	500	adam	0.8898881239242685	0.9070251523981241	0.878873440285205
logistic	0.01	True	(50,)	invscaling	500	adam	0.8983075157773953	0.90581868955409	0.8883351158645277
logistic	0.01	True	(50,)	constant	1000	adam	0.8983075157773953	0.90581868955409	0.8883351158645277
logistic	0.01	True	(50,)	constant	500	adam	0.8983075157773953	0.90581868955409	0.8883351158645277
logistic	0.01	True	(50,)	invscaling	1000	adam	0.8983075157773953	0.90581868955409	0.8883351158645277
logistic	0.01	True	(50,)	adaptive	500	adam	0.8983075157773953	0.90581868955409	0.8883351158645277
logistic	0.01	True	(50,)	adaptive	1000	adam	0.8983075157773953	0.90581868955409	0.8883351158645277
relu	0.001	True	(100, 100)	constant	500	lbfgs	0.918689041881813	0.9019800245615464	0.9165846702317291
relu	0.001	True	(100, 100)	constant	1000	lbfgs	0.918689041881813	0.9019800245615464	0.9165846702317291
relu	0.001	True	(100, 100)	invscaling	500	lbfgs	0.918689041881813	0.9019800245615464	0.9165846702317291
relu	0.001	True	(100, 100)	invscaling	1000	lbfgs	0.918689041881813	0.9019800245615464	0.9165846702317291
relu	0.001	True	(100, 100)	adaptive	500	lbfgs	0.918689041881813	0.9019800245615464	0.9165846702317291
relu	0.001	True	(100, 100)	adaptive	1000	lbfgs	0.918689041881813	0.9019800245615464	0.9165846702317291
logistic	0.1	True	(50,)	adaptive	1000	adam	0.8947217441193345	0.9017028355311151	0.8847754010695187
logistic	0.1	True	(50,)	adaptive	500	adam	0.8947217441193345	0.9017028355311151	0.8847754010695187
logistic	0.1	True	(50,)	invscaling	1000	adam	0.8947217441193345	0.9017028355311151	0.8847754010695187
logistic	0.1	True	(50,)	invscaling	500	adam	0.8947217441193345	0.9017028355311151	0.8847754010695187
logistic	0.1	True	(50,)	constant	500	adam	0.8947217441193345	0.9017028355311151	0.8847754010695187
logistic	0.1	True	(50,)	constant	1000	adam	0.8947217441193345	0.9017028355311151	0.8847754010695187
relu	0.01	True	(100, 100)	constant	500	lbfgs	0.9174985656913369	0.9016959336524554	0.9151140819964351
relu	0.01	True	(100, 100)	adaptive	1000	lbfgs	0.9174985656913369	0.9016959336524554	0.9151140819964351
relu	0.01	True	(100, 100)	constant	1000	lbfgs	0.9174985656913369	0.9016959336524554	0.9151140819964351
relu	0.01	True	(100, 100)	invscaling	500	lbfgs	0.9174985656913369	0.9016959336524554	0.9151140819964351
relu	0.01	True	(100, 100)	invscaling	1000	lbfgs	0.9174985656913369	0.9016959336524554	0.9151140819964351
relu	0.01	True	(100, 100)	adaptive	500	lbfgs	0.9174985656913369	0.9016959336524554	0.9151140819964351
relu	0.01	True	(100, 100)	constant	1000	adam	0.9043029259896729	0.9009192385237664	0.8966488413547238
relu	0.01	True	(100, 100)	invscaling	500	adam	0.9043029259896729	0.9009192385237664	0.8966488413547238
relu	0.01	True	(100, 100)	invscaling	1000	adam	0.9043029259896729	0.9009192385237664	0.8966488413547238
relu	0.01	True	(100, 100)	adaptive	500	adam	0.9043029259896729	0.9009192385237664	0.8966488413547238
relu	0.01	True	(100, 100)	adaptive	1000	adam	0.9043029259896729	0.9009192385237664	0.8966488413547238
relu	0.01	True	(100, 100)	constant	500	adam	0.9043029259896729	0.9009192385237664	0.8966488413547238
relu	0.1	True	(100, 100)	adaptive	500	adam	0.9030981067125644	0.900651858844622	0.8951336898395722
relu	0.001	True	(100, 100)	invscaling	1000	adam	0.9031124497991968	0.900651858844622	0.8951782531194296
relu	0.1	True	(100, 100)	invscaling	500	adam	0.9030981067125644	0.900651858844622	0.8951336898395722
relu	0.001	True	(100, 100)	adaptive	1000	adam	0.9031124497991968	0.900651858844622	0.8951782531194296
relu	0.001	True	(100, 100)	adaptive	500	adam	0.9031124497991968	0.900651858844622	0.8951782531194296
