C	gamma	kernel	mean_valid_accuracy	mean_valid_precision	mean_valid_auc
1.0	0.01	rbf	0.6826592082616179	0.9684090909090909	0.6047985739750447
10.0	0.01	rbf	0.7149598393574298	0.95625	0.6460249554367201
1000.0	0.01	rbf	0.7149598393574298	0.95625	0.6460249554367201
100.0	0.01	rbf	0.7149598393574298	0.95625	0.6460249554367201
0.01	0.01	linear	0.9175702811244978	0.8976923095156826	0.9162727272727272
0.01	0.1	linear	0.9175702811244978	0.8976923095156826	0.9162727272727272
0.01	1.0	linear	0.9175702811244978	0.8976923095156826	0.9162727272727272
0.01	100.0	linear	0.9175702811244978	0.8976923095156826	0.9162727272727272
0.01	1000.0	linear	0.9175702811244978	0.8976923095156826	0.9162727272727272
100.0	0.1	linear	0.8923694779116467	0.870480703096559	0.8887985739750446
10.0	0.1	linear	0.8923694779116467	0.870480703096559	0.8887985739750446
10.0	1.0	linear	0.8923694779116467	0.870480703096559	0.8887985739750446
10.0	100.0	linear	0.8923694779116467	0.870480703096559	0.8887985739750446
10.0	1000.0	linear	0.8923694779116467	0.870480703096559	0.8887985739750446
100.0	0.01	linear	0.8923694779116467	0.870480703096559	0.8887985739750446
100.0	1000.0	linear	0.8923694779116467	0.870480703096559	0.8887985739750446
100.0	1.0	linear	0.8923694779116467	0.870480703096559	0.8887985739750446
100.0	100.0	linear	0.8923694779116467	0.870480703096559	0.8887985739750446
1.0	100.0	linear	0.8923694779116467	0.870480703096559	0.8887985739750446
1000.0	0.01	linear	0.8923694779116467	0.870480703096559	0.8887985739750446
1000.0	0.1	linear	0.8923694779116467	0.870480703096559	0.8887985739750446
1000.0	1.0	linear	0.8923694779116467	0.870480703096559	0.8887985739750446
1000.0	100.0	linear	0.8923694779116467	0.870480703096559	0.8887985739750446
1000.0	1000.0	linear	0.8923694779116467	0.870480703096559	0.8887985739750446
1.0	1000.0	linear	0.8923694779116467	0.870480703096559	0.8887985739750446
10.0	0.01	linear	0.8923694779116467	0.870480703096559	0.8887985739750446
1.0	1.0	linear	0.8923694779116467	0.870480703096559	0.8887985739750446
1.0	0.1	linear	0.8923694779116467	0.870480703096559	0.8887985739750446
1.0	0.01	linear	0.8923694779116467	0.870480703096559	0.8887985739750446
0.1	1000.0	linear	0.89245553643144	0.8698753049606939	0.8903440285204992
0.1	1.0	linear	0.89245553643144	0.8698753049606939	0.8903440285204992
0.1	0.1	linear	0.89245553643144	0.8698753049606939	0.8903440285204992
0.1	100.0	linear	0.89245553643144	0.8698753049606939	0.8903440285204992
0.1	0.01	linear	0.89245553643144	0.8698753049606939	0.8903440285204992
1.0	1.0	rbf	0.6000143430866324	0.0	0.5
100.0	1000.0	rbf	0.6000143430866324	0.0	0.5
0.1	0.01	rbf	0.6000143430866324	0.0	0.5
1000.0	0.1	rbf	0.6000143430866324	0.0	0.5
0.01	1000.0	rbf	0.6000143430866324	0.0	0.5
0.1	0.1	rbf	0.6000143430866324	0.0	0.5
0.01	100.0	rbf	0.6000143430866324	0.0	0.5
1000.0	1.0	rbf	0.6000143430866324	0.0	0.5
0.01	1.0	rbf	0.6000143430866324	0.0	0.5
1000.0	100.0	rbf	0.6000143430866324	0.0	0.5
0.01	0.1	rbf	0.6000143430866324	0.0	0.5
100.0	100.0	rbf	0.6000143430866324	0.0	0.5
100.0	0.1	rbf	0.6000143430866324	0.0	0.5
100.0	1.0	rbf	0.6000143430866324	0.0	0.5
1.0	100.0	rbf	0.6000143430866324	0.0	0.5
0.1	1.0	rbf	0.6000143430866324	0.0	0.5
0.1	100.0	rbf	0.6000143430866324	0.0	0.5
10.0	1000.0	rbf	0.6000143430866324	0.0	0.5
10.0	100.0	rbf	0.6000143430866324	0.0	0.5
0.1	1000.0	rbf	0.6000143430866324	0.0	0.5
10.0	1.0	rbf	0.6000143430866324	0.0	0.5
10.0	0.1	rbf	0.6000143430866324	0.0	0.5
1.0	0.1	rbf	0.6000143430866324	0.0	0.5
0.01	0.01	rbf	0.6000143430866324	0.0	0.5
1.0	1000.0	rbf	0.6000143430866324	0.0	0.5
1000.0	1000.0	rbf	0.6000143430866324	0.0	0.5
