activation	alpha	early_stopping	hidden_layer_sizes	learning_rate	max_iter	solver	mean_valid_accuracy	mean_valid_precision	mean_valid_auc
logistic	0.001	True	(100,)	adaptive	500	adam	0.8719162363740678	0.9254241310022733	0.8501871657754011
logistic	0.01	True	(100,)	adaptive	500	adam	0.8719162363740678	0.9254241310022733	0.8501871657754011
logistic	0.001	True	(100,)	constant	1000	adam	0.8719162363740678	0.9254241310022733	0.8501871657754011
logistic	0.001	True	(100,)	invscaling	500	adam	0.8719162363740678	0.9254241310022733	0.8501871657754011
logistic	0.001	True	(100,)	invscaling	1000	adam	0.8719162363740678	0.9254241310022733	0.8501871657754011
logistic	0.001	True	(100,)	adaptive	1000	adam	0.8719162363740678	0.9254241310022733	0.8501871657754011
logistic	0.01	True	(100,)	adaptive	1000	adam	0.8719162363740678	0.9254241310022733	0.8501871657754011
logistic	0.001	True	(100,)	constant	500	adam	0.8719162363740678	0.9254241310022733	0.8501871657754011
logistic	0.01	True	(100,)	invscaling	1000	adam	0.8719162363740678	0.9254241310022733	0.8501871657754011
logistic	0.01	True	(100,)	invscaling	500	adam	0.8719162363740678	0.9254241310022733	0.8501871657754011
logistic	0.01	True	(100,)	constant	1000	adam	0.8719162363740678	0.9254241310022733	0.8501871657754011
logistic	0.01	True	(100,)	constant	500	adam	0.8719162363740678	0.9254241310022733	0.8501871657754011
logistic	0.1	True	(100,)	adaptive	500	adam	0.8731210556511761	0.9209831829384602	0.8527326203208556
logistic	0.1	True	(100,)	adaptive	1000	adam	0.8731210556511761	0.9209831829384602	0.8527326203208556
logistic	0.1	True	(100,)	invscaling	500	adam	0.8731210556511761	0.9209831829384602	0.8527326203208556
logistic	0.1	True	(100,)	invscaling	1000	adam	0.8731210556511761	0.9209831829384602	0.8527326203208556
logistic	0.1	True	(100,)	constant	1000	adam	0.8731210556511761	0.9209831829384602	0.8527326203208556
logistic	0.1	True	(100,)	constant	500	adam	0.8731210556511761	0.9209831829384602	0.8527326203208556
logistic	0.1	True	(50,)	invscaling	1000	adam	0.8743258749282846	0.9022367010826082	0.8578039215686275
logistic	0.1	True	(50,)	constant	1000	adam	0.8743258749282846	0.9022367010826082	0.8578039215686275
logistic	0.1	True	(50,)	invscaling	500	adam	0.8743258749282846	0.9022367010826082	0.8578039215686275
logistic	0.1	True	(50,)	constant	500	adam	0.8743258749282846	0.9022367010826082	0.8578039215686275
logistic	0.1	True	(50,)	adaptive	500	adam	0.8743258749282846	0.9022367010826082	0.8578039215686275
