colsample_bytree	eval_metric	gamma	learning_rate	max_depth	min_child_weight	n_estimators	objective	subsample	mean_valid_accuracy	mean_valid_precision	mean_valid_auc
0.5	error	0	0.01	8	3	200	binary:logitraw	0.5	0.8995840504876649	0.9543575533661741	0.8818360071301248
0.5	auc	0	0.01	8	3	200	binary:logitraw	0.5	0.8995840504876649	0.9543575533661741	0.8818360071301248
0.5	auc	0	0.01	6	3	200	binary:logitraw	0.5	0.8983935742971886	0.9539880952380952	0.8803654188948306
0.5	error	0	0.01	6	3	200	binary:logitraw	0.5	0.8983935742971886	0.9539880952380952	0.8803654188948306
0.5	error	0	0.01	6	1	200	binary:logitraw	0.5	0.9067555938037865	0.952522449869224	0.8912192513368984
0.5	auc	0	0.01	6	1	200	binary:logitraw	0.5	0.9067555938037865	0.952522449869224	0.8912192513368984
0.5	auc	0	0.01	8	1	200	binary:logitraw	0.5	0.9091652323580034	0.9493204898446834	0.8947201426024958
0.5	error	0	0.01	8	1	200	binary:logitraw	0.5	0.9091652323580034	0.9493204898446834	0.8947201426024958
0.5	error	0	0.01	4	1	200	binary:logitraw	0.5	0.8935886402753871	0.9477976190476189	0.8753796791443851
0.5	auc	0	0.01	4	1	200	binary:logitraw	0.5	0.8935886402753871	0.9477976190476189	0.8753796791443851
0.5	auc	0	0.01	4	3	200	binary:logitraw	0.5	0.8899885255306941	0.9461964624559501	0.8709679144385027
0.5	error	0	0.01	4	3	200	binary:logitraw	0.5	0.8899885255306941	0.9461964624559501	0.8709679144385027
0.5	auc	0	0.01	6	1	1000	binary:logitraw	1.0	0.9295037292025243	0.944382798573975	0.9216221033868092
0.5	error	0	0.01	6	1	1000	binary:logitraw	1.0	0.9295037292025243	0.944382798573975	0.9216221033868092
0.5	auc	0	0.01	8	1	600	binary:logitraw	0.5	0.9175415949512334	0.9439147777509846	0.9066488413547237
0.5	error	0	0.01	8	1	600	binary:logitraw	0.5	0.9175415949512334	0.9439147777509846	0.9066488413547237
0.5	auc	0	0.01	4	1	200	binary:logitraw	1.0	0.9031411359724613	0.9438992042440318	0.8882638146167559
0.5	error	0	0.01	4	1	200	binary:logitraw	1.0	0.9031411359724613	0.9438992042440318	0.8882638146167559
0.5	auc	0	0.01	8	3	600	binary:logitraw	0.5	0.9127366609294318	0.9438929926809433	0.9006327985739748
0.5	error	0	0.01	8	3	600	binary:logitraw	0.5	0.9127366609294318	0.9438929926809433	0.9006327985739748
0.5	error	0	0.01	6	1	600	binary:logitraw	1.0	0.9271084337349397	0.9437417729329495	0.9186363636363637
0.5	auc	0	0.01	6	1	600	binary:logitraw	1.0	0.9271084337349397	0.9437417729329495	0.9186363636363637
0.5	auc	0	0.01	8	1	600	binary:logitraw	1.0	0.9247131382673551	0.943067009100291	0.915650623885918
0.5	error	0	0.01	8	1	600	binary:logitraw	1.0	0.9247131382673551	0.943067009100291	0.915650623885918
0.5	auc	0	0.01	6	1	600	binary:logitraw	0.5	0.9175415949512334	0.9415933491795562	0.9071194295900178
0.5	error	0	0.01	6	1	600	binary:logitraw	0.5	0.9175415949512334	0.9415933491795562	0.9071194295900178
0.5	auc	0	0.01	6	3	200	binary:logitraw	1.0	0.9043746414228341	0.9415060959545694	0.8902941176470589
0.5	error	0	0.01	6	3	200	binary:logitraw	1.0	0.9043746414228341	0.9415060959545694	0.8902941176470589
0.5	error	0	0.01	8	3	600	binary:logitraw	1.0	0.9223321858864028	0.9408639070530551	0.913180035650624
0.5	auc	0	0.01	8	3	600	binary:logitraw	1.0	0.9223321858864028	0.9408639070530551	0.913180035650624
0.5	auc	0	0.01	8	1	200	binary:logitraw	1.0	0.917512908777969	0.9397927221127687	0.9071194295900179
0.5	error	0	0.01	8	1	200	binary:logitraw	1.0	0.917512908777969	0.9397927221127687	0.9071194295900179
0.5	error	0	0.01	8	3	200	binary:logitraw	1.0	0.9103557085484795	0.9394861418707359	0.898162210338681
0.5	auc	0	0.01	8	3	200	binary:logitraw	1.0	0.9103557085484795	0.9394861418707359	0.898162210338681
0.5	error	0	0.01	6	3	600	binary:logitraw	0.5	0.9103557085484795	0.9394841607721116	0.8982067736185382
0.5	auc	0	0.01	6	3	600	binary:logitraw	0.5	0.9103557085484795	0.9394841607721116	0.8982067736185382
0.5	auc	0	0.01	6	1	1000	binary:logitraw	0.5	0.9223321858864028	0.9389651440513509	0.9136060606060606
0.5	error	0	0.01	6	1	1000	binary:logitraw	0.5	0.9223321858864028	0.9389651440513509	0.9136060606060606
0.5	error	0	0.01	4	3	200	binary:logitraw	1.0	0.8971744119334479	0.9386968833373757	0.881336898395722
0.5	auc	0	0.01	4	3	200	binary:logitraw	1.0	0.8971744119334479	0.9386968833373757	0.881336898395722
