C	gamma	kernel	mean_valid_accuracy	mean_valid_precision	mean_valid_auc
0.1	0.01	rbf	0.6887263339070568	1.0	0.610873440285205
1.0	0.01	rbf	0.9295037292025242	0.9442882607588491	0.9221818181818182
100.0	0.1	rbf	0.6982214572576019	0.9390984015984017	0.6261105169340462
10.0	0.1	rbf	0.6982214572576019	0.9390984015984017	0.6261105169340462
1000.0	0.1	rbf	0.6982214572576019	0.9390984015984017	0.6261105169340462
0.01	0.01	linear	0.9174985656913368	0.9336254227969955	0.9086399286987522
0.01	0.1	linear	0.9174985656913368	0.9336254227969955	0.9086399286987522
0.01	1.0	linear	0.9174985656913368	0.9336254227969955	0.9086399286987522
0.01	100.0	linear	0.9174985656913368	0.9336254227969955	0.9086399286987522
0.01	1000.0	linear	0.9174985656913368	0.9336254227969955	0.9086399286987522
10.0	0.01	rbf	0.9390849110728627	0.9318248491967658	0.9365864527629235
100.0	0.01	rbf	0.9414945496270797	0.9311990619806085	0.9396167557932262
1000.0	0.01	rbf	0.9414945496270797	0.9311990619806085	0.9396167557932262
1.0	0.1	rbf	0.6479202524383247	0.9309090909090909	0.5617308377896613
0.1	0.01	linear	0.9162937464142283	0.8944215024719565	0.9156345811051694
0.1	1000.0	linear	0.9162937464142283	0.8944215024719565	0.9156345811051694
0.1	0.1	linear	0.9162937464142283	0.8944215024719565	0.9156345811051694
0.1	100.0	linear	0.9162937464142283	0.8944215024719565	0.9156345811051694
0.1	1.0	linear	0.9162937464142283	0.8944215024719565	0.9156345811051694
1000.0	0.01	linear	0.9079604130808951	0.8925136685427709	0.9046862745098039
100.0	1000.0	linear	0.9079604130808951	0.8925136685427709	0.9046862745098039
100.0	100.0	linear	0.9079604130808951	0.8925136685427709	0.9046862745098039
1000.0	1.0	linear	0.9079604130808951	0.8925136685427709	0.9046862745098039
100.0	1.0	linear	0.9079604130808951	0.8925136685427709	0.9046862745098039
1000.0	1000.0	linear	0.9079604130808951	0.8925136685427709	0.9046862745098039
100.0	0.1	linear	0.9079604130808951	0.8925136685427709	0.9046862745098039
1000.0	0.1	linear	0.9079604130808951	0.8925136685427709	0.9046862745098039
100.0	0.01	linear	0.9079604130808951	0.8925136685427709	0.9046862745098039
10.0	1000.0	linear	0.9079604130808951	0.8925136685427709	0.9046862745098039
10.0	100.0	linear	0.9079604130808951	0.8925136685427709	0.9046862745098039
10.0	1.0	linear	0.9079604130808951	0.8925136685427709	0.9046862745098039
1000.0	100.0	linear	0.9079604130808951	0.8925136685427709	0.9046862745098039
10.0	0.01	linear	0.9079604130808951	0.8925136685427709	0.9046862745098039
10.0	0.1	linear	0.9079604130808951	0.8925136685427709	0.9046862745098039
1.0	1000.0	linear	0.9067555938037867	0.892312055639545	0.9031711229946524
1.0	0.1	linear	0.9067555938037867	0.892312055639545	0.9031711229946524
1.0	1.0	linear	0.9067555938037867	0.892312055639545	0.9031711229946524
1.0	100.0	linear	0.9067555938037867	0.892312055639545	0.9031711229946524
1.0	0.01	linear	0.9067555938037867	0.892312055639545	0.9031711229946524
10.0	1000.0	rbf	0.6000143430866324	0.0	0.5
0.1	100.0	rbf	0.6000143430866324	0.0	0.5
0.01	0.1	rbf	0.6000143430866324	0.0	0.5
1000.0	100.0	rbf	0.6000143430866324	0.0	0.5
0.01	1.0	rbf	0.6000143430866324	0.0	0.5
1000.0	1.0	rbf	0.6000143430866324	0.0	0.5
0.01	100.0	rbf	0.6000143430866324	0.0	0.5
0.01	1000.0	rbf	0.6000143430866324	0.0	0.5
0.1	0.1	rbf	0.6000143430866324	0.0	0.5
0.1	1.0	rbf	0.6000143430866324	0.0	0.5
100.0	1000.0	rbf	0.6000143430866324	0.0	0.5
1.0	100.0	rbf	0.6000143430866324	0.0	0.5
0.1	1000.0	rbf	0.6000143430866324	0.0	0.5
100.0	100.0	rbf	0.6000143430866324	0.0	0.5
0.01	0.01	rbf	0.6000143430866324	0.0	0.5
100.0	1.0	rbf	0.6000143430866324	0.0	0.5
10.0	1.0	rbf	0.6000143430866324	0.0	0.5
1.0	1000.0	rbf	0.6000143430866324	0.0	0.5
1.0	1.0	rbf	0.6000143430866324	0.0	0.5
10.0	100.0	rbf	0.6000143430866324	0.0	0.5
1000.0	1000.0	rbf	0.6000143430866324	0.0	0.5
