activation	alpha	early_stopping	hidden_layer_sizes	learning_rate	max_iter	solver	mean_valid_accuracy	mean_valid_precision	mean_valid_auc
relu	0.1	True	(100,)	constant	1000	lbfgs	0.7441176470588236	0.7109015252254913	0.7402298850574712
relu	0.1	True	(100,)	constant	500	lbfgs	0.7441176470588236	0.7109015252254913	0.7402298850574712
relu	0.1	True	(100,)	invscaling	500	lbfgs	0.7441176470588236	0.7109015252254913	0.7402298850574712
relu	0.1	True	(100,)	invscaling	1000	lbfgs	0.7441176470588236	0.7109015252254913	0.7402298850574712
relu	0.1	True	(100,)	adaptive	1000	lbfgs	0.7441176470588236	0.7109015252254913	0.7402298850574712
relu	0.1	True	(100,)	adaptive	500	lbfgs	0.7441176470588236	0.7109015252254913	0.7402298850574712
relu	0.1	True	(100, 100)	adaptive	500	lbfgs	0.7411764705882353	0.7056024309256109	0.7367816091954023
relu	0.1	True	(100, 100)	constant	1000	lbfgs	0.7411764705882353	0.7056024309256109	0.7367816091954023
relu	0.1	True	(100, 100)	invscaling	500	lbfgs	0.7411764705882353	0.7056024309256109	0.7367816091954023
relu	0.1	True	(100, 100)	invscaling	1000	lbfgs	0.7411764705882353	0.7056024309256109	0.7367816091954023
relu	0.1	True	(100, 100)	constant	500	lbfgs	0.7411764705882353	0.7056024309256109	0.7367816091954023
relu	0.1	True	(100, 100)	adaptive	1000	lbfgs	0.7411764705882353	0.7056024309256109	0.7367816091954023
logistic	0.1	True	(50, 50)	invscaling	1000	adam	0.7161764705882353	0.7009752861664406	0.6977453580901857
logistic	0.1	True	(50, 50)	invscaling	500	adam	0.7161764705882353	0.7009752861664406	0.6977453580901857
logistic	0.1	True	(50, 50)	adaptive	1000	adam	0.7161764705882353	0.7009752861664406	0.6977453580901857
logistic	0.1	True	(50, 50)	constant	1000	adam	0.7161764705882353	0.7009752861664406	0.6977453580901857
logistic	0.1	True	(50, 50)	adaptive	500	adam	0.7161764705882353	0.7009752861664406	0.6977453580901857
logistic	0.1	True	(50, 50)	constant	500	adam	0.7161764705882353	0.7009752861664406	0.6977453580901857
logistic	0.001	True	(50, 50)	constant	500	adam	0.7147058823529411	0.698574558874409	0.6960212201591511
logistic	0.001	True	(50, 50)	invscaling	500	adam	0.7147058823529411	0.698574558874409	0.6960212201591511
logistic	0.001	True	(50, 50)	constant	1000	adam	0.7147058823529411	0.698574558874409	0.6960212201591511
logistic	0.001	True	(50, 50)	adaptive	1000	adam	0.7147058823529411	0.698574558874409	0.6960212201591511
logistic	0.001	True	(50, 50)	invscaling	1000	adam	0.7147058823529411	0.698574558874409	0.6960212201591511
logistic	0.001	True	(50, 50)	adaptive	500	adam	0.7147058823529411	0.698574558874409	0.6960212201591511
relu	0.01	True	(50,)	invscaling	500	lbfgs	0.7294117647058824	0.6979876490528665	0.7234305923961097
relu	0.01	True	(50,)	adaptive	500	lbfgs	0.7294117647058824	0.6979876490528665	0.7234305923961097
relu	0.01	True	(50,)	invscaling	1000	lbfgs	0.7294117647058824	0.6979876490528665	0.7234305923961097
relu	0.01	True	(50,)	constant	500	lbfgs	0.7294117647058824	0.6979876490528665	0.7234305923961097
relu	0.01	True	(50,)	constant	1000	lbfgs	0.7294117647058824	0.6979876490528665	0.7234305923961097
relu	0.01	True	(50,)	adaptive	1000	lbfgs	0.7294117647058824	0.6979876490528665	0.7234305923961097
logistic	0.01	True	(100, 100)	constant	1000	lbfgs	0.7352941176470588	0.6972924846471359	0.7316534040671971
logistic	0.01	True	(100, 100)	invscaling	500	lbfgs	0.7352941176470588	0.6972924846471359	0.7316534040671971
logistic	0.01	True	(100, 100)	invscaling	1000	lbfgs	0.7352941176470588	0.6972924846471359	0.7316534040671971
logistic	0.01	True	(100, 100)	adaptive	500	lbfgs	0.7352941176470588	0.6972924846471359	0.7316534040671971
logistic	0.01	True	(100, 100)	adaptive	1000	lbfgs	0.7352941176470588	0.6972924846471359	0.7316534040671971
logistic	0.01	True	(100, 100)	constant	500	lbfgs	0.7352941176470588	0.6972924846471359	0.7316534040671971
relu	0.001	True	(50,)	constant	500	lbfgs	0.7279411764705883	0.695565996631214	0.7221485411140585
relu	0.001	True	(50,)	invscaling	500	lbfgs	0.7279411764705883	0.695565996631214	0.7221485411140585
relu	0.001	True	(50,)	invscaling	1000	lbfgs	0.7279411764705883	0.695565996631214	0.7221485411140585
