C	gamma	kernel	mean_valid_accuracy	mean_valid_precision	mean_valid_auc
1.0	0.01	rbf	0.7646153846153846	0.930944055944056	0.7108974358974358
100.0	0.01	rbf	0.7953846153846155	0.9264127702362996	0.7512820512820513
10.0	0.01	rbf	0.7953846153846155	0.9264127702362996	0.7512820512820513
1000.0	0.01	rbf	0.7953846153846155	0.9264127702362996	0.7512820512820513
0.01	0.01	linear	0.7538461538461538	0.7159157961603613	0.7391025641025643
0.01	0.1	linear	0.7538461538461538	0.7159157961603613	0.7391025641025643
0.01	1.0	linear	0.7538461538461538	0.7159157961603613	0.7391025641025643
0.01	100.0	linear	0.7538461538461538	0.7159157961603613	0.7391025641025643
0.01	1000.0	linear	0.7538461538461538	0.7159157961603613	0.7391025641025643
0.1	0.1	linear	0.7261538461538463	0.6539126734044759	0.7237179487179488
0.1	1000.0	linear	0.7261538461538463	0.6539126734044759	0.7237179487179488
0.1	100.0	linear	0.7261538461538463	0.6539126734044759	0.7237179487179488
0.1	1.0	linear	0.7261538461538463	0.6539126734044759	0.7237179487179488
0.1	0.01	linear	0.7261538461538463	0.6539126734044759	0.7237179487179488
1000.0	0.01	linear	0.7092307692307693	0.6280613465552287	0.707051282051282
100.0	1000.0	linear	0.7092307692307693	0.6280613465552287	0.707051282051282
1000.0	0.1	linear	0.7092307692307693	0.6280613465552287	0.707051282051282
100.0	100.0	linear	0.7092307692307693	0.6280613465552287	0.707051282051282
1000.0	1.0	linear	0.7092307692307693	0.6280613465552287	0.707051282051282
100.0	1.0	linear	0.7092307692307693	0.6280613465552287	0.707051282051282
100.0	0.1	linear	0.7092307692307693	0.6280613465552287	0.707051282051282
1000.0	100.0	linear	0.7092307692307693	0.6280613465552287	0.707051282051282
1000.0	1000.0	linear	0.7092307692307693	0.6280613465552287	0.707051282051282
100.0	0.01	linear	0.7092307692307693	0.6280613465552287	0.707051282051282
10.0	1000.0	linear	0.7092307692307693	0.6280613465552287	0.707051282051282
10.0	100.0	linear	0.7092307692307693	0.6280613465552287	0.707051282051282
10.0	1.0	linear	0.7092307692307693	0.6280613465552287	0.707051282051282
10.0	0.1	linear	0.7092307692307693	0.6280613465552287	0.707051282051282
10.0	0.01	linear	0.7092307692307693	0.6280613465552287	0.707051282051282
1.0	1.0	linear	0.7076923076923078	0.6274455830084307	0.7051282051282051
1.0	1000.0	linear	0.7076923076923078	0.6274455830084307	0.7051282051282051
1.0	100.0	linear	0.7076923076923078	0.6274455830084307	0.7051282051282051
1.0	0.01	linear	0.7076923076923078	0.6274455830084307	0.7051282051282051
1.0	0.1	linear	0.7076923076923078	0.6274455830084307	0.7051282051282051
1000.0	0.1	rbf	0.5999999999999999	0.0	0.5
100.0	1000.0	rbf	0.5999999999999999	0.0	0.5
0.1	0.1	rbf	0.5999999999999999	0.0	0.5
0.1	0.01	rbf	0.5999999999999999	0.0	0.5
0.01	1000.0	rbf	0.5999999999999999	0.0	0.5
1.0	1000.0	rbf	0.5999999999999999	0.0	0.5
100.0	100.0	rbf	0.5999999999999999	0.0	0.5
0.01	100.0	rbf	0.5999999999999999	0.0	0.5
1000.0	1.0	rbf	0.5999999999999999	0.0	0.5
0.01	1.0	rbf	0.5999999999999999	0.0	0.5
1000.0	100.0	rbf	0.5999999999999999	0.0	0.5
0.01	0.1	rbf	0.5999999999999999	0.0	0.5
0.1	1.0	rbf	0.5999999999999999	0.0	0.5
0.1	1000.0	rbf	0.5999999999999999	0.0	0.5
0.1	100.0	rbf	0.5999999999999999	0.0	0.5
100.0	1.0	rbf	0.5999999999999999	0.0	0.5
0.01	0.01	rbf	0.5999999999999999	0.0	0.5
100.0	0.1	rbf	0.5999999999999999	0.0	0.5
1.0	0.1	rbf	0.5999999999999999	0.0	0.5
10.0	1000.0	rbf	0.5999999999999999	0.0	0.5
10.0	100.0	rbf	0.5999999999999999	0.0	0.5
1.0	1.0	rbf	0.5999999999999999	0.0	0.5
10.0	1.0	rbf	0.5999999999999999	0.0	0.5
10.0	0.1	rbf	0.5999999999999999	0.0	0.5
1.0	100.0	rbf	0.5999999999999999	0.0	0.5
1000.0	1000.0	rbf	0.5999999999999999	0.0	0.5
