C	gamma	kernel	mean_valid_accuracy	mean_valid_precision	mean_valid_auc
1.0	0.01	rbf	0.8	0.8059274781320143	0.7634336677814938
0.01	0.01	linear	0.7790322580645161	0.7966432178932179	0.7333890746934223
0.01	0.1	linear	0.7790322580645161	0.7966432178932179	0.7333890746934223
0.01	1.0	linear	0.7790322580645161	0.7966432178932179	0.7333890746934223
0.01	100.0	linear	0.7790322580645161	0.7966432178932179	0.7333890746934223
0.01	1000.0	linear	0.7790322580645161	0.7966432178932179	0.7333890746934223
1000.0	0.01	rbf	0.817741935483871	0.7758822076947225	0.8016164994425864
100.0	0.01	rbf	0.817741935483871	0.7758822076947225	0.8016164994425864
10.0	0.01	rbf	0.8161290322580645	0.7730364098144419	0.8003344481605351
0.1	1000.0	linear	0.764516129032258	0.6958128654970761	0.7459308807134893
0.1	100.0	linear	0.764516129032258	0.6958128654970761	0.7459308807134893
0.1	1.0	linear	0.764516129032258	0.6958128654970761	0.7459308807134893
0.1	0.1	linear	0.764516129032258	0.6958128654970761	0.7459308807134893
0.1	0.01	linear	0.764516129032258	0.6958128654970761	0.7459308807134893
1000.0	0.1	rbf	0.6516129032258065	0.6666666666666666	0.5313266443701226
100.0	0.1	rbf	0.6516129032258065	0.6666666666666666	0.5313266443701226
10.0	0.1	rbf	0.6516129032258065	0.6666666666666666	0.5313266443701226
1.0	0.1	rbf	0.6419354838709677	0.6	0.5173913043478261
1.0	100.0	linear	0.7	0.5959694146433276	0.6910813823857302
1.0	1000.0	linear	0.7	0.5959694146433276	0.6910813823857302
1.0	0.01	linear	0.7	0.5959694146433276	0.6910813823857302
1.0	0.1	linear	0.7	0.5959694146433276	0.6910813823857302
1.0	1.0	linear	0.7	0.5959694146433276	0.6910813823857302
100.0	0.1	linear	0.6903225806451614	0.5806480148204285	0.6824972129319955
100.0	0.01	linear	0.6903225806451614	0.5806480148204285	0.6824972129319955
100.0	1000.0	linear	0.6903225806451614	0.5806480148204285	0.6824972129319955
100.0	1.0	linear	0.6903225806451614	0.5806480148204285	0.6824972129319955
100.0	100.0	linear	0.6903225806451614	0.5806480148204285	0.6824972129319955
10.0	100.0	linear	0.6903225806451614	0.5806480148204285	0.6824972129319955
1000.0	0.01	linear	0.6903225806451614	0.5806480148204285	0.6824972129319955
1000.0	0.1	linear	0.6903225806451614	0.5806480148204285	0.6824972129319955
1000.0	1.0	linear	0.6903225806451614	0.5806480148204285	0.6824972129319955
1000.0	100.0	linear	0.6903225806451614	0.5806480148204285	0.6824972129319955
1000.0	1000.0	linear	0.6903225806451614	0.5806480148204285	0.6824972129319955
10.0	1000.0	linear	0.6903225806451614	0.5806480148204285	0.6824972129319955
10.0	0.01	linear	0.6903225806451614	0.5806480148204285	0.6824972129319955
10.0	1.0	linear	0.6903225806451614	0.5806480148204285	0.6824972129319955
10.0	0.1	linear	0.6903225806451614	0.5806480148204285	0.6824972129319955
10.0	1.0	rbf	0.6290322580645161	0.0	0.5
100.0	1000.0	rbf	0.6290322580645161	0.0	0.5
0.01	0.1	rbf	0.6290322580645161	0.0	0.5
1000.0	100.0	rbf	0.6290322580645161	0.0	0.5
0.01	1.0	rbf	0.6290322580645161	0.0	0.5
1000.0	1.0	rbf	0.6290322580645161	0.0	0.5
0.01	100.0	rbf	0.6290322580645161	0.0	0.5
0.01	1000.0	rbf	0.6290322580645161	0.0	0.5
0.1	0.01	rbf	0.6290322580645161	0.0	0.5
0.1	0.1	rbf	0.6290322580645161	0.0	0.5
0.1	1.0	rbf	0.6290322580645161	0.0	0.5
0.1	100.0	rbf	0.6290322580645161	0.0	0.5
10.0	100.0	rbf	0.6290322580645161	0.0	0.5
100.0	100.0	rbf	0.6290322580645161	0.0	0.5
0.1	1000.0	rbf	0.6290322580645161	0.0	0.5
100.0	1.0	rbf	0.6290322580645161	0.0	0.5
1.0	1.0	rbf	0.6290322580645161	0.0	0.5
1.0	100.0	rbf	0.6290322580645161	0.0	0.5
1.0	1000.0	rbf	0.6290322580645161	0.0	0.5
0.01	0.01	rbf	0.6290322580645161	0.0	0.5
10.0	1000.0	rbf	0.6290322580645161	0.0	0.5
1000.0	1000.0	rbf	0.6290322580645161	0.0	0.5
