activation	alpha	early_stopping	hidden_layer_sizes	learning_rate	max_iter	solver	mean_valid_accuracy	mean_valid_precision	mean_valid_auc
logistic	0.1	True	(100,)	adaptive	500	adam	0.7564516129032258	0.7794264069264069	0.7047380156075808
logistic	0.1	True	(100,)	adaptive	1000	adam	0.7564516129032258	0.7794264069264069	0.7047380156075808
logistic	0.1	True	(100,)	constant	500	adam	0.7564516129032258	0.7794264069264069	0.7047380156075808
logistic	0.1	True	(100,)	constant	1000	adam	0.7564516129032258	0.7794264069264069	0.7047380156075808
logistic	0.1	True	(100,)	invscaling	500	adam	0.7564516129032258	0.7794264069264069	0.7047380156075808
logistic	0.1	True	(100,)	invscaling	1000	adam	0.7564516129032258	0.7794264069264069	0.7047380156075808
relu	0.01	True	(50, 50)	adaptive	1000	adam	0.7870967741935484	0.7715956897281175	0.7549609810479375
relu	0.01	True	(50, 50)	constant	1000	adam	0.7870967741935484	0.7715956897281175	0.7549609810479375
relu	0.01	True	(50, 50)	invscaling	1000	adam	0.7870967741935484	0.7715956897281175	0.7549609810479375
relu	0.01	True	(50, 50)	invscaling	500	adam	0.7870967741935484	0.7715956897281175	0.7549609810479375
relu	0.1	True	(50, 50)	constant	500	adam	0.7870967741935484	0.7715956897281175	0.7549609810479375
relu	0.01	True	(50, 50)	constant	500	adam	0.7870967741935484	0.7715956897281175	0.7549609810479375
relu	0.1	True	(50, 50)	constant	1000	adam	0.7870967741935484	0.7715956897281175	0.7549609810479375
relu	0.1	True	(50, 50)	invscaling	500	adam	0.7870967741935484	0.7715956897281175	0.7549609810479375
relu	0.1	True	(50, 50)	invscaling	1000	adam	0.7870967741935484	0.7715956897281175	0.7549609810479375
relu	0.1	True	(50, 50)	adaptive	500	adam	0.7870967741935484	0.7715956897281175	0.7549609810479375
relu	0.01	True	(50, 50)	adaptive	500	adam	0.7870967741935484	0.7715956897281175	0.7549609810479375
relu	0.1	True	(50, 50)	adaptive	1000	adam	0.7870967741935484	0.7715956897281175	0.7549609810479375
logistic	0.001	True	(100,)	constant	1000	adam	0.7483870967741935	0.7669264069264068	0.6929765886287625
logistic	0.001	True	(100,)	adaptive	500	adam	0.7483870967741935	0.7669264069264068	0.6929765886287625
logistic	0.001	True	(100,)	invscaling	500	adam	0.7483870967741935	0.7669264069264068	0.6929765886287625
logistic	0.01	True	(100,)	constant	500	adam	0.7467741935483871	0.7669264069264068	0.6899108138238572
logistic	0.01	True	(100,)	constant	1000	adam	0.7467741935483871	0.7669264069264068	0.6899108138238572
logistic	0.001	True	(100,)	constant	500	adam	0.7483870967741935	0.7669264069264068	0.6929765886287625
logistic	0.01	True	(100,)	invscaling	500	adam	0.7467741935483871	0.7669264069264068	0.6899108138238572
logistic	0.001	True	(100,)	adaptive	1000	adam	0.7483870967741935	0.7669264069264068	0.6929765886287625
logistic	0.01	True	(100,)	invscaling	1000	adam	0.7467741935483871	0.7669264069264068	0.6899108138238572
logistic	0.001	True	(100,)	invscaling	1000	adam	0.7483870967741935	0.7669264069264068	0.6929765886287625
logistic	0.01	True	(100,)	adaptive	500	adam	0.7467741935483871	0.7669264069264068	0.6899108138238572
logistic	0.01	True	(100,)	adaptive	1000	adam	0.7467741935483871	0.7669264069264068	0.6899108138238572
relu	0.001	True	(50, 50)	constant	500	adam	0.7822580645161291	0.7638881798466948	0.7502229654403567
relu	0.001	True	(50, 50)	adaptive	1000	adam	0.7822580645161291	0.7638881798466948	0.7502229654403567
relu	0.001	True	(50, 50)	adaptive	500	adam	0.7822580645161291	0.7638881798466948	0.7502229654403567
relu	0.001	True	(50, 50)	constant	1000	adam	0.7822580645161291	0.7638881798466948	0.7502229654403567
relu	0.001	True	(50, 50)	invscaling	500	adam	0.7822580645161291	0.7638881798466948	0.7502229654403567
relu	0.001	True	(50, 50)	invscaling	1000	adam	0.7822580645161291	0.7638881798466948	0.7502229654403567
logistic	0.001	True	(100, 100)	constant	1000	adam	0.7693548387096774	0.7510975980790222	0.7363991081382386
logistic	0.001	True	(100, 100)	adaptive	500	adam	0.7693548387096774	0.7510975980790222	0.7363991081382386
logistic	0.001	True	(100, 100)	invscaling	1000	adam	0.7693548387096774	0.7510975980790222	0.7363991081382386
logistic	0.001	True	(100, 100)	invscaling	500	adam	0.7693548387096774	0.7510975980790222	0.7363991081382386
logistic	0.001	True	(100, 100)	adaptive	1000	adam	0.7693548387096774	0.7510975980790222	0.7363991081382386
logistic	0.001	True	(100, 100)	constant	500	adam	0.7693548387096774	0.7510975980790222	0.7363991081382386
logistic	0.01	True	(100, 100)	invscaling	500	adam	0.7677419354838709	0.7484660191316538	0.7351170568561873
logistic	0.01	True	(100, 100)	constant	1000	adam	0.7677419354838709	0.7484660191316538	0.7351170568561873
logistic	0.01	True	(100, 100)	constant	500	adam	0.7677419354838709	0.7484660191316538	0.7351170568561873
logistic	0.01	True	(100, 100)	invscaling	1000	adam	0.7677419354838709	0.7484660191316538	0.7351170568561873
logistic	0.01	True	(100, 100)	adaptive	500	adam	0.7677419354838709	0.7484660191316538	0.7351170568561873
logistic	0.01	True	(100, 100)	adaptive	1000	adam	0.7677419354838709	0.7484660191316538	0.7351170568561873
logistic	0.001	True	(50,)	adaptive	1000	adam	0.7516129032258064	0.7443894993894993	0.7017837235228539
logistic	0.001	True	(50,)	adaptive	500	adam	0.7516129032258064	0.7443894993894993	0.7017837235228539
logistic	0.001	True	(50,)	constant	500	adam	0.7516129032258064	0.7443894993894993	0.7017837235228539
logistic	0.001	True	(50,)	invscaling	1000	adam	0.7516129032258064	0.7443894993894993	0.7017837235228539
logistic	0.001	True	(50,)	invscaling	500	adam	0.7516129032258064	0.7443894993894993	0.7017837235228539
logistic	0.001	True	(50,)	constant	1000	adam	0.7516129032258064	0.7443894993894993	0.7017837235228539
relu	0.1	True	(50,)	constant	500	lbfgs	0.7870967741935483	0.7326192628706593	0.774581939799331
