max_depth	max_features	min_samples_leaf	min_samples_split	n_estimators	mean_valid_accuracy	mean_valid_precision	mean_valid_auc
12	log2	2	2	200	0.8516129032258064	0.9065009173832704	0.8151616499442585
12	log2	2	4	200	0.8516129032258064	0.9065009173832704	0.8151616499442585
12	log2	2	4	1000	0.8532258064516128	0.9044468589097745	0.81644370122631
12	log2	2	2	1000	0.8532258064516128	0.9044468589097745	0.81644370122631
12	log2	2	2	600	0.846774193548387	0.8986925723466644	0.808639910813824
12	log2	2	4	600	0.846774193548387	0.8986925723466644	0.808639910813824
10	log2	2	4	200	0.85	0.896985168426345	0.8156633221850612
10	log2	2	2	200	0.85	0.896985168426345	0.8156633221850612
12	sqrt	2	4	200	0.8483870967741934	0.8926807549175969	0.812597547380156
12	sqrt	2	2	200	0.8483870967741934	0.8926807549175969	0.812597547380156
10	log2	2	4	1000	0.846774193548387	0.8890757575757575	0.8113154960981049
10	log2	2	2	1000	0.846774193548387	0.8890757575757575	0.8113154960981049
12	log2	2	8	200	0.8451612903225806	0.8883474613808442	0.8091415830546266
10	log2	2	4	600	0.846774193548387	0.8881926041794463	0.8122073578595318
10	log2	2	2	600	0.846774193548387	0.8881926041794463	0.8122073578595318
12	sqrt	2	2	1000	0.85	0.8867153885845835	0.8165551839464882
12	sqrt	2	4	1000	0.85	0.8867153885845835	0.8165551839464882
12	log2	2	8	600	0.8516129032258064	0.8864366147679513	0.8187290969899665
8	log2	2	8	600	0.846774193548387	0.8858676470588236	0.8122073578595318
12	log2	2	10	200	0.8499999999999999	0.8851138044961575	0.8183389074693423
8	log2	2	4	200	0.85	0.8844280928647936	0.8174470457079153
8	log2	2	2	200	0.85	0.8844280928647936	0.8174470457079153
8	log2	2	8	1000	0.846774193548387	0.8829838217338217	0.8130992196209588
10	sqrt	2	8	200	0.8564516129032258	0.8828655103066868	0.8261426978818284
12	log2	2	10	1000	0.8516129032258064	0.882230691421868	0.8205128205128205
8	log2	2	4	1000	0.8483870967741934	0.8810528908478092	0.816164994425864
8	log2	2	2	1000	0.8483870967741934	0.8810528908478092	0.816164994425864
8	log2	2	8	200	0.8403225806451612	0.8805347306146538	0.8044035674470458
10	log2	2	8	1000	0.8435483870967742	0.880157995599172	0.8087513935340022
12	log2	2	8	1000	0.8483870967741934	0.8799018350930116	0.8161649944258638
10	sqrt	2	4	1000	0.85	0.8789430438842203	0.8174470457079153
10	sqrt	2	2	1000	0.85	0.8789430438842203	0.8174470457079153
12	sqrt	2	10	1000	0.8548387096774194	0.8787747545711941	0.825752508361204
8	log2	2	10	600	0.85	0.8774721384280207	0.8192307692307692
12	sqrt	2	2	600	0.8483870967741934	0.8765953246287073	0.8170568561872908
12	sqrt	2	4	600	0.8483870967741934	0.8765953246287073	0.8170568561872908
8	log2	2	10	1000	0.846774193548387	0.8757008943928449	0.8148829431438127
10	sqrt	2	8	1000	0.8532258064516128	0.875564447506398	0.8235785953177258
10	log2	2	8	200	0.8435483870967742	0.8748951048951049	0.8096432552954292
8	sqrt	2	4	1000	0.8499999999999999	0.8746478580758767	0.8192307692307692
8	sqrt	2	2	1000	0.8499999999999999	0.8746478580758767	0.8192307692307692
12	sqrt	2	10	600	0.8564516129032258	0.873680737477177	0.8297101449275364
8	log2	2	10	200	0.8419354838709676	0.8734639265962796	0.808361204013378
12	sqrt	2	8	600	0.8532258064516128	0.8730099730850505	0.8244704570791527
8	log2	2	2	600	0.846774193548387	0.8723262108262109	0.8157748049052398
8	log2	2	4	600	0.846774193548387	0.8723262108262109	0.8157748049052398
10	sqrt	2	4	200	0.85	0.8720332080200501	0.8201226309921962
10	sqrt	2	2	200	0.85	0.8720332080200501	0.8201226309921962
10	log2	4	4	600	0.85	0.8718527354711565	0.821014492753623
10	log2	4	8	600	0.85	0.8718527354711565	0.821014492753623
10	log2	4	2	600	0.85	0.8718527354711565	0.821014492753623
12	log2	2	10	600	0.8467741935483872	0.8713829095740862	0.8157748049052398
8	sqrt	2	8	200	0.8596774193548388	0.8710084490386348	0.8340579710144926
8	sqrt	2	2	600	0.8532258064516128	0.8709687680740312	0.8253623188405796
8	sqrt	2	4	600	0.8532258064516128	0.8709687680740312	0.8253623188405796
12	sqrt	2	8	200	0.8451612903225806	0.8708127045240049	0.8153846153846154
10	log2	2	8	600	0.8451612903225806	0.8702168534080299	0.8136008918617614
10	sqrt	2	2	600	0.846774193548387	0.8696232988144752	0.8157748049052398
10	sqrt	2	4	600	0.846774193548387	0.8696232988144752	0.8157748049052398
10	sqrt	2	10	200	0.8564516129032256	0.8689476346093994	0.8306020066889632
12	sqrt	2	10	200	0.853225806451613	0.8687697442558392	0.8262541806020067
10	log2	2	10	600	0.843548387096774	0.867150324592275	0.8123188405797102
12	sqrt	2	8	1000	0.8483870967741935	0.8666747919263399	0.8188405797101449
12	log2	4	10	1000	0.8435483870967742	0.8660999209353806	0.8141025641025641
10	sqrt	4	10	200	0.8548387096774193	0.8655461738124277	0.829319955406912
10	sqrt	2	10	600	0.8532258064516128	0.8649412542794895	0.8271460423634336
10	log2	2	10	1000	0.8451612903225806	0.8633982738394502	0.8153846153846154
8	sqrt	2	8	1000	0.85	0.8615871954842543	0.8227982162764771
8	sqrt	2	8	600	0.85	0.8614519450277964	0.8219063545150501
10	log2	2	10	200	0.8354838709677418	0.8601556368468133	0.8014492753623188
12	log2	4	4	600	0.8419354838709678	0.8596479462230237	0.8128205128205128
12	log2	4	2	600	0.8419354838709678	0.8596479462230237	0.8128205128205128
12	log2	4	8	600	0.8419354838709678	0.8596479462230237	0.8128205128205128
12	log2	4	10	600	0.8419354838709676	0.8595431420431421	0.8128205128205128
10	sqrt	2	8	600	0.846774193548387	0.8594415708812262	0.8184503901895207
8	sqrt	2	2	200	0.8419354838709676	0.8585561002178649	0.8119286510590857
8	sqrt	2	4	200	0.8419354838709676	0.8585561002178649	0.8119286510590857
12	log2	4	2	1000	0.8419354838709676	0.85795000478824	0.8128205128205128
12	log2	4	4	1000	0.8419354838709676	0.85795000478824	0.8128205128205128
12	log2	4	8	1000	0.8419354838709676	0.85795000478824	0.8128205128205128
10	log2	4	4	1000	0.8451612903225806	0.8578221154362128	0.8180602006688963
10	log2	4	8	1000	0.8451612903225806	0.8578221154362128	0.8180602006688963
10	log2	4	2	1000	0.8451612903225806	0.8578221154362128	0.8180602006688963
12	sqrt	4	2	200	0.8451612903225806	0.8575172147540568	0.8171683389074694
12	sqrt	4	4	200	0.8451612903225806	0.8575172147540568	0.8171683389074694
12	sqrt	4	8	200	0.8451612903225806	0.8575172147540568	0.8171683389074694
6	log2	2	8	600	0.8338709677419354	0.8562891737891739	0.8019509476031214
8	log2	4	10	1000	0.8419354838709676	0.8558963585434173	0.8128205128205128
6	log2	2	8	1000	0.832258064516129	0.8556354026090869	0.7997770345596431
8	sqrt	2	10	1000	0.8483870967741935	0.8555694408790384	0.8232998885172798
6	log2	2	2	600	0.835483870967742	0.8552035115549315	0.8041248606465997
