max_depth	max_features	min_samples_leaf	min_samples_split	n_estimators	mean_valid_accuracy	mean_valid_precision	mean_valid_auc
12	log2	2	2	200	0.917364657814096	0.9322402081225609	0.9105954281263878
12	log2	2	4	200	0.917364657814096	0.9322402081225609	0.9105954281263878
12	log2	2	2	600	0.9185137895812051	0.930899586884307	0.9123177386722279
12	log2	2	4	600	0.9185137895812051	0.930899586884307	0.9123177386722279
12	log2	2	2	1000	0.9162538304392236	0.9275987053576188	0.9099859951640138
12	log2	2	4	1000	0.9162538304392236	0.9275987053576188	0.9099859951640138
10	log2	2	8	1000	0.9060520939734422	0.9231542843135403	0.8982303540740073
12	log2	2	8	600	0.9140066394279878	0.9231209150326798	0.9080252108502883
10	log2	2	4	600	0.9060265577119508	0.923088532856535	0.8982115003786832
10	log2	2	2	600	0.9060265577119508	0.923088532856535	0.8982115003786832
10	log2	2	4	200	0.9094228804902962	0.9220760228980168	0.9026009517495586
10	log2	2	2	200	0.9094228804902962	0.9220760228980168	0.9026009517495586
12	sqrt	2	2	1000	0.9117211440245147	0.9218473944170537	0.9053580700252526
12	sqrt	2	4	1000	0.9117211440245147	0.9218473944170537	0.9053580700252526
10	log2	2	8	600	0.9094611848825332	0.9213966555413924	0.90265536732255
12	log2	2	8	1000	0.9117466802860061	0.9207581299682819	0.9056934673420743
10	log2	2	10	1000	0.9003830439223697	0.9199396943785489	0.8918445565117391
10	log2	2	8	200	0.9060393258426966	0.9198482194633577	0.898601313268496
10	sqrt	2	2	600	0.9106103166496423	0.919682040932041	0.9043776778683901
10	sqrt	2	4	600	0.9106103166496423	0.919682040932041	0.9043776778683901
12	sqrt	2	2	600	0.9128575076608785	0.9195899459831347	0.9070803805710927
12	sqrt	2	4	600	0.9128575076608785	0.9195899459831347	0.9070803805710927
10	sqrt	2	4	1000	0.9083503575076607	0.9194012647998717	0.9016749751656873
10	sqrt	2	2	1000	0.9083503575076607	0.9194012647998717	0.9016749751656873
8	sqrt	2	4	600	0.9015066394279877	0.9192466280662875	0.8931959078630903
8	sqrt	2	2	600	0.9015066394279877	0.9192466280662875	0.8931959078630903
12	log2	2	8	200	0.9094739530132788	0.9189951679303601	0.9033428701385358
12	log2	4	8	200	0.90261746680286	0.9187709490935297	0.894863802835939
12	log2	4	2	200	0.90261746680286	0.9187709490935297	0.894863802835939
12	log2	4	4	200	0.90261746680286	0.9187709490935297	0.894863802835939
10	log2	2	2	1000	0.902655771195097	0.9178984180979217	0.8949182184089306
10	log2	2	4	1000	0.902655771195097	0.9178984180979217	0.8949182184089306
12	sqrt	2	8	1000	0.9094739530132788	0.9178523510141157	0.9033972857115271
12	sqrt	2	8	600	0.909461184882533	0.9171878765996413	0.9033972857115271
12	sqrt	2	2	200	0.9128447395301327	0.9171200412318834	0.9074346315832384
12	sqrt	2	4	200	0.9128447395301327	0.9171200412318834	0.9074346315832384
12	log2	2	10	200	0.9060265577119508	0.9159514131027413	0.8992721079021389
10	log2	2	10	200	0.898123084780388	0.9155064559729874	0.889902625893338
12	log2	2	10	600	0.9026046986721143	0.9152841809033759	0.895218053848085
10	log2	4	10	200	0.8947012257405514	0.915275649418264	0.8858297181439596
10	sqrt	4	8	200	0.8980847803881511	0.9148765338548621	0.8898837721980136
10	sqrt	4	4	200	0.8980847803881511	0.9148765338548621	0.8898837721980136
10	sqrt	4	2	200	0.8980847803881511	0.9148765338548621	0.8898837721980136
12	sqrt	2	8	200	0.9038049029622062	0.9148373268226209	0.897011488149259
8	sqrt	2	10	200	0.8947012257405517	0.9147217738357512	0.8855298827048053
12	log2	4	8	600	0.9015066394279877	0.9144110011851948	0.894254369873565
12	log2	4	4	600	0.9015066394279877	0.9144110011851948	0.894254369873565
12	log2	4	2	600	0.9015066394279877	0.9144110011851948	0.894254369873565
12	sqrt	4	2	600	0.8992722165474973	0.9139584424427877	0.8916060827438537
12	sqrt	4	8	600	0.8992722165474973	0.9139584424427877	0.8916060827438537
12	sqrt	4	4	600	0.8992722165474973	0.9139584424427877	0.8916060827438537
8	sqrt	2	4	1000	0.896973953013279	0.9132957857564188	0.8885324208466623
8	sqrt	2	2	1000	0.896973953013279	0.9132957857564188	0.8885324208466623
10	sqrt	2	4	200	0.9083503575076609	0.9132894573254605	0.9028067064444774
10	sqrt	2	2	200	0.9083503575076609	0.9132894573254605	0.9028067064444774
10	sqrt	2	10	600	0.9026685393258427	0.913262693299458	0.8956601367979076
12	sqrt	4	8	200	0.8980975485188969	0.9132161339231045	0.8902191695148352
12	sqrt	4	2	200	0.8980975485188969	0.9132161339231045	0.8902191695148352
12	sqrt	4	4	200	0.8980975485188969	0.9132161339231045	0.8902191695148352
10	sqrt	2	8	600	0.9003830439223698	0.913208539263306	0.8929574340952049
10	sqrt	2	10	1000	0.8992722165474973	0.9130663006398299	0.8916060827438536
12	log2	4	10	600	0.9015194075587333	0.9126755184489459	0.8946441827633779
8	sqrt	4	8	200	0.8935520939734424	0.9125348940435147	0.8845327823655996
8	sqrt	4	4	200	0.8935520939734424	0.9125348940435147	0.8845327823655996
8	sqrt	4	2	200	0.8935520939734424	0.9125348940435147	0.8845327823655996
8	sqrt	4	2	600	0.8879085801838611	0.911959778067857	0.8777571719135187
8	sqrt	4	8	600	0.8879085801838611	0.911959778067857	0.8777571719135187
8	sqrt	4	4	600	0.8879085801838611	0.911959778067857	0.8777571719135187
10	log2	2	10	600	0.9015321756894791	0.9118053165829936	0.8946985983363692
8	sqrt	2	10	600	0.8947139938712972	0.9114991514333621	0.8862362392161154
10	sqrt	2	8	200	0.9015194075587335	0.9114620559378753	0.894679744641045
8	sqrt	2	8	600	0.8958375893769152	0.9113573793720853	0.8875520286897997
8	sqrt	2	8	1000	0.8981103166496422	0.9109997371723377	0.8902547313925023
12	sqrt	4	4	1000	0.8992594484167518	0.9108840792664321	0.8919770419383422
12	sqrt	4	8	1000	0.8992594484167518	0.9108840792664321	0.8919770419383422
12	sqrt	4	2	1000	0.8992594484167518	0.9108840792664321	0.8919770419383422
12	sqrt	2	10	1000	0.9060776302349336	0.9108766268737574	0.9004561092409389
12	sqrt	2	10	200	0.9049284984678243	0.9108754170273462	0.8991047578895875
10	log2	4	4	600	0.8924540347293156	0.9107670999021618	0.8838689338302341
10	log2	4	2	600	0.8924540347293156	0.9107670999021618	0.8838689338302341
10	log2	4	8	600	0.8924540347293156	0.9107670999021618	0.8838689338302341
8	sqrt	2	8	200	0.8901685393258427	0.9106740614385804	0.88083083381071
12	log2	2	10	1000	0.9037921348314606	0.9106360166228589	0.8973657391614049
10	log2	4	10	1000	0.8935903983656791	0.9105220942022475	0.8852202851815856
10	sqrt	2	8	1000	0.9003830439223698	0.9104276716326052	0.8933283932896936
6	sqrt	2	4	1000	0.8867594484167519	0.910328281589037	0.8764225287445102
6	sqrt	2	2	1000	0.8867594484167519	0.910328281589037	0.8764225287445102
6	sqrt	2	4	600	0.8856103166496425	0.910071936478483	0.8750711773931588
6	sqrt	2	2	600	0.8856103166496425	0.910071936478483	0.8750711773931588
12	sqrt	2	10	600	0.9060903983656793	0.9099045187280481	0.9008270684354276
8	sqrt	4	2	1000	0.8856486210418794	0.9097863484273221	0.8754254284053046
8	sqrt	4	4	1000	0.8856486210418794	0.9097863484273221	0.8754254284053046
8	sqrt	4	8	1000	0.8856486210418794	0.9097863484273221	0.8754254284053046
8	log2	2	4	1000	0.8946884576098059	0.909721237283357	0.8865360746552697
8	log2	2	2	1000	0.8946884576098059	0.909721237283357	0.8865360746552697
8	sqrt	4	10	200	0.8867849846782431	0.9096654717320354	0.8768290498166659
10	log2	4	2	1000	0.8969739530132788	0.9096291116833116	0.8896097365524611
10	log2	4	8	1000	0.8969739530132788	0.9096291116833116	0.8896097365524611
10	log2	4	4	1000	0.8969739530132788	0.9096291116833116	0.8896097365524611
10	sqrt	4	2	1000	0.8924540347293158	0.9093755908842116	0.8838689338302341
