colsample_bytree	eval_metric	gamma	learning_rate	max_depth	min_child_weight	n_estimators	objective	subsample	mean_valid_accuracy	mean_valid_precision	mean_valid_auc
0.5	auc	0	0.01	6	1	600	binary:logitraw	0.5	0.8992594484167519	0.935425994817848	0.8882318881157889
0.5	error	0	0.01	6	1	600	binary:logitraw	0.5	0.8992594484167519	0.935425994817848	0.8882318881157889
0.5	auc	0	0.01	6	1	1000	binary:logitraw	0.5	0.9139683350357506	0.932988872725715	0.9065413740723338
0.5	error	0	0.01	6	1	1000	binary:logitraw	0.5	0.9139683350357506	0.932988872725715	0.9065413740723338
0.5	auc	0	0.01	8	1	1000	binary:logitraw	0.5	0.9150919305413687	0.9304849645968067	0.9082636846181737
0.5	error	0	0.01	8	1	1000	binary:logitraw	0.5	0.9150919305413687	0.9304849645968067	0.9082636846181737
1.0	auc	0	0.2	4	3	1000	binary:logitraw	1.0	0.9264427987742595	0.9297628987799266	0.9220937417531847
1.0	error	0	0.2	4	3	1000	binary:logitraw	1.0	0.9264427987742595	0.9297628987799266	0.9220937417531847
0.5	auc	0	0.2	8	1	1000	binary:logitraw	1.0	0.9298391215526047	0.9296617216586256	0.92620221138023
0.5	error	0	0.2	8	1	1000	binary:logitraw	1.0	0.9298391215526047	0.9296617216586256	0.92620221138023
0.5	auc	0	0.01	8	1	600	binary:logitraw	0.5	0.9060393258426964	0.9294462115785646	0.8974528738073628
0.5	error	0	0.01	8	1	600	binary:logitraw	0.5	0.9060393258426964	0.9294462115785646	0.8974528738073628
0.5	error	0	0.01	8	3	600	binary:logitraw	0.5	0.8913559754851889	0.9287600040742829	0.8792500734838196
0.5	auc	0	0.01	8	3	600	binary:logitraw	0.5	0.8913559754851889	0.9287600040742829	0.8792500734838196
0.5	auc	0	0.2	6	1	600	binary:logitraw	0.5	0.9173901940755874	0.9282329077540992	0.9116727438321867
0.5	error	0	0.2	6	1	600	binary:logitraw	0.5	0.9173901940755874	0.9282329077540992	0.9116727438321867
0.5	error	0	0.01	8	3	200	binary:logitraw	0.5	0.8675944841675178	0.9276845869441809	0.8503075861047998
0.5	auc	0	0.01	8	3	200	binary:logitraw	0.5	0.8675944841675178	0.9276845869441809	0.8503075861047998
0.5	error	0	0.01	6	3	1000	binary:logitraw	1.0	0.9072012257405516	0.9274403127748778	0.89921074623087
0.5	auc	0	0.01	6	3	1000	binary:logitraw	1.0	0.9072012257405516	0.9274403127748778	0.89921074623087
0.5	auc	0	0.01	6	1	200	binary:logitraw	0.5	0.8710163432073544	0.9272074915824916	0.854397202036521
