activation	alpha	early_stopping	hidden_layer_sizes	learning_rate	max_iter	solver	mean_valid_accuracy	mean_valid_precision	mean_valid_auc
logistic	0.01	True	(50,)	invscaling	500	adam	0.8721016343207355	0.9150837885906015	0.857922038494794
logistic	0.01	True	(50,)	constant	500	adam	0.8721016343207355	0.9150837885906015	0.857922038494794
logistic	0.01	True	(50,)	constant	1000	adam	0.8721016343207355	0.9150837885906015	0.857922038494794
logistic	0.01	True	(50,)	adaptive	1000	adam	0.8721016343207355	0.9150837885906015	0.857922038494794
logistic	0.01	True	(50,)	adaptive	500	adam	0.8721016343207355	0.9150837885906015	0.857922038494794
logistic	0.01	True	(50,)	invscaling	1000	adam	0.8721016343207355	0.9150837885906015	0.857922038494794
logistic	0.1	True	(50,)	constant	500	adam	0.8721016343207355	0.9128493228875758	0.8582929976892825
logistic	0.1	True	(50,)	constant	1000	adam	0.8721016343207355	0.9128493228875758	0.8582929976892825
logistic	0.1	True	(50,)	invscaling	500	adam	0.8721016343207355	0.9128493228875758	0.8582929976892825
logistic	0.1	True	(50,)	invscaling	1000	adam	0.8721016343207355	0.9128493228875758	0.8582929976892825
logistic	0.1	True	(50,)	adaptive	1000	adam	0.8721016343207355	0.9128493228875758	0.8582929976892825
logistic	0.1	True	(50,)	adaptive	500	adam	0.8721016343207355	0.9128493228875758	0.8582929976892825
logistic	0.001	True	(50,)	constant	500	adam	0.8709652706843718	0.9123947129603494	0.8569416463379312
logistic	0.001	True	(50,)	invscaling	500	adam	0.8709652706843718	0.9123947129603494	0.8569416463379312
logistic	0.001	True	(50,)	invscaling	1000	adam	0.8709652706843718	0.9123947129603494	0.8569416463379312
logistic	0.001	True	(50,)	adaptive	500	adam	0.8709652706843718	0.9123947129603494	0.8569416463379312
logistic	0.001	True	(50,)	adaptive	1000	adam	0.8709652706843718	0.9123947129603494	0.8569416463379312
logistic	0.001	True	(50,)	constant	1000	adam	0.8709652706843718	0.9123947129603494	0.8569416463379312
relu	0.01	True	(50,)	adaptive	1000	adam	0.8913559754851889	0.8987763991032243	0.8847266294634716
relu	0.01	True	(50,)	invscaling	500	adam	0.8913559754851889	0.8987763991032243	0.8847266294634716
relu	0.01	True	(50,)	invscaling	1000	adam	0.8913559754851889	0.8987763991032243	0.8847266294634716
relu	0.01	True	(50,)	adaptive	500	adam	0.8913559754851889	0.8987763991032243	0.8847266294634716
relu	0.01	True	(50,)	constant	1000	adam	0.8913559754851889	0.8987763991032243	0.8847266294634716
relu	0.01	True	(50,)	constant	500	adam	0.8913559754851889	0.8987763991032243	0.8847266294634716
relu	0.001	True	(50,)	constant	1000	adam	0.8902323799795709	0.8985630278372213	0.8833752781121202
relu	0.001	True	(50,)	constant	500	adam	0.8902323799795709	0.8985630278372213	0.8833752781121202
relu	0.001	True	(50,)	invscaling	500	adam	0.8902323799795709	0.8985630278372213	0.8833752781121202
relu	0.001	True	(50,)	adaptive	500	adam	0.8902323799795709	0.8985630278372213	0.8833752781121202
relu	0.001	True	(50,)	adaptive	1000	adam	0.8902323799795709	0.8985630278372213	0.8833752781121202
relu	0.001	True	(50,)	invscaling	1000	adam	0.8902323799795709	0.8985630278372213	0.8833752781121202
relu	0.1	True	(50,)	constant	500	adam	0.8913687436159347	0.8965823707095055	0.8850975886579601
relu	0.1	True	(50,)	adaptive	1000	adam	0.8913687436159347	0.8965823707095055	0.8850975886579601
relu	0.1	True	(50,)	constant	1000	adam	0.8913687436159347	0.8965823707095055	0.8850975886579601
relu	0.1	True	(50,)	adaptive	500	adam	0.8913687436159347	0.8965823707095055	0.8850975886579601
relu	0.1	True	(50,)	invscaling	1000	adam	0.8913687436159347	0.8965823707095055	0.8850975886579601
relu	0.1	True	(50,)	invscaling	500	adam	0.8913687436159347	0.8965823707095055	0.8850975886579601
logistic	0.1	True	(100,)	invscaling	1000	adam	0.8608529111338099	0.8932301191786486	0.8473427821725036
logistic	0.1	True	(100,)	constant	500	adam	0.8608529111338099	0.8932301191786486	0.8473427821725036
logistic	0.1	True	(100,)	adaptive	500	adam	0.8608529111338099	0.8932301191786486	0.8473427821725036
logistic	0.1	True	(100,)	adaptive	1000	adam	0.8608529111338099	0.8932301191786486	0.8473427821725036
logistic	0.1	True	(100,)	constant	1000	adam	0.8608529111338099	0.8932301191786486	0.8473427821725036
logistic	0.1	True	(100,)	invscaling	500	adam	0.8608529111338099	0.8932301191786486	0.8473427821725036
logistic	0.01	True	(100,)	invscaling	1000	adam	0.857443820224719	0.8925035519225762	0.843624125435271
