activation	alpha	early_stopping	hidden_layer_sizes	learning_rate	max_iter	solver	mean_valid_accuracy	mean_valid_precision	mean_valid_auc
relu	0.1	True	(100, 100)	constant	500	adam	0.9128575076608785	0.9075310954722721	0.90923501198269
relu	0.001	True	(100, 100)	invscaling	1000	adam	0.9128575076608785	0.9075310954722721	0.90923501198269
relu	0.1	True	(100, 100)	adaptive	1000	adam	0.9128575076608785	0.9075310954722721	0.90923501198269
relu	0.1	True	(100, 100)	adaptive	500	adam	0.9128575076608785	0.9075310954722721	0.90923501198269
relu	0.01	True	(100, 100)	constant	500	adam	0.9128575076608785	0.9075310954722721	0.90923501198269
relu	0.01	True	(100, 100)	constant	1000	adam	0.9128575076608785	0.9075310954722721	0.90923501198269
relu	0.01	True	(100, 100)	invscaling	500	adam	0.9128575076608785	0.9075310954722721	0.90923501198269
relu	0.001	True	(100, 100)	adaptive	1000	adam	0.9128575076608785	0.9075310954722721	0.90923501198269
relu	0.01	True	(100, 100)	invscaling	1000	adam	0.9128575076608785	0.9075310954722721	0.90923501198269
relu	0.01	True	(100, 100)	adaptive	500	adam	0.9128575076608785	0.9075310954722721	0.90923501198269
relu	0.001	True	(100, 100)	adaptive	500	adam	0.9128575076608785	0.9075310954722721	0.90923501198269
relu	0.01	True	(100, 100)	adaptive	1000	adam	0.9128575076608785	0.9075310954722721	0.90923501198269
relu	0.001	True	(100, 100)	invscaling	500	adam	0.9128575076608785	0.9075310954722721	0.90923501198269
relu	0.001	True	(100, 100)	constant	1000	adam	0.9128575076608785	0.9075310954722721	0.90923501198269
relu	0.001	True	(100, 100)	constant	500	adam	0.9128575076608785	0.9075310954722721	0.90923501198269
relu	0.1	True	(100, 100)	invscaling	1000	adam	0.9128575076608785	0.9075310954722721	0.90923501198269
relu	0.1	True	(100, 100)	invscaling	500	adam	0.9128575076608785	0.9075310954722721	0.90923501198269
relu	0.1	True	(100, 100)	constant	1000	adam	0.9128575076608785	0.9075310954722721	0.90923501198269
relu	0.1	True	(100, 100)	invscaling	500	lbfgs	0.9048901940755874	0.8931360402258234	0.9019657458124952
relu	0.1	True	(100, 100)	invscaling	1000	lbfgs	0.9048901940755874	0.8931360402258234	0.9019657458124952
relu	0.1	True	(100, 100)	constant	1000	lbfgs	0.9048901940755874	0.8931360402258234	0.9019657458124952
relu	0.1	True	(100, 100)	adaptive	500	lbfgs	0.9048901940755874	0.8931360402258234	0.9019657458124952
relu	0.1	True	(100, 100)	constant	500	lbfgs	0.9048901940755874	0.8931360402258234	0.9019657458124952
relu	0.1	True	(100, 100)	adaptive	1000	lbfgs	0.9048901940755874	0.8931360402258234	0.9019657458124952
logistic	0.1	True	(50,)	adaptive	500	adam	0.8754851889683349	0.8922949150055297	0.8661786697390413
logistic	0.1	True	(50,)	constant	500	adam	0.8754851889683349	0.8922949150055297	0.8661786697390413
logistic	0.1	True	(50,)	invscaling	500	adam	0.8754851889683349	0.8922949150055297	0.8661786697390413
logistic	0.1	True	(50,)	invscaling	1000	adam	0.8754851889683349	0.8922949150055297	0.8661786697390413
logistic	0.1	True	(50,)	constant	1000	adam	0.8754851889683349	0.8922949150055297	0.8661786697390413
logistic	0.1	True	(50,)	adaptive	1000	adam	0.8754851889683349	0.8922949150055297	0.8661786697390413
relu	0.001	True	(50, 50)	constant	500	lbfgs	0.9049029622063332	0.8903457553575796	0.9026931015321107
relu	0.001	True	(50, 50)	constant	1000	lbfgs	0.9049029622063332	0.8903457553575796	0.9026931015321107
relu	0.001	True	(50, 50)	invscaling	500	lbfgs	0.9049029622063332	0.8903457553575796	0.9026931015321107
relu	0.001	True	(50, 50)	invscaling	1000	lbfgs	0.9049029622063332	0.8903457553575796	0.9026931015321107
relu	0.001	True	(50, 50)	adaptive	500	lbfgs	0.9049029622063332	0.8903457553575796	0.9026931015321107
relu	0.001	True	(50, 50)	adaptive	1000	lbfgs	0.9049029622063332	0.8903457553575796	0.9026931015321107
relu	0.01	True	(50, 50)	constant	500	lbfgs	0.9037665985699694	0.8880380630498873	0.901712709375248
relu	0.01	True	(50, 50)	invscaling	500	lbfgs	0.9037665985699694	0.8880380630498873	0.901712709375248
relu	0.1	True	(50, 50)	adaptive	500	lbfgs	0.9037665985699694	0.8880380630498873	0.901712709375248
relu	0.1	True	(50, 50)	invscaling	1000	lbfgs	0.9037665985699694	0.8880380630498873	0.901712709375248
relu	0.1	True	(50, 50)	invscaling	500	lbfgs	0.9037665985699694	0.8880380630498873	0.901712709375248
relu	0.1	True	(50, 50)	constant	1000	lbfgs	0.9037665985699694	0.8880380630498873	0.901712709375248
relu	0.01	True	(50, 50)	adaptive	1000	lbfgs	0.9037665985699694	0.8880380630498873	0.901712709375248
relu	0.01	True	(50, 50)	invscaling	1000	lbfgs	0.9037665985699694	0.8880380630498873	0.901712709375248
relu	0.1	True	(50, 50)	constant	500	lbfgs	0.9037665985699694	0.8880380630498873	0.901712709375248
relu	0.01	True	(50, 50)	constant	1000	lbfgs	0.9037665985699694	0.8880380630498873	0.901712709375248
relu	0.01	True	(50, 50)	adaptive	500	lbfgs	0.9037665985699694	0.8880380630498873	0.901712709375248
relu	0.1	True	(50, 50)	adaptive	1000	lbfgs	0.9037665985699694	0.8880380630498873	0.901712709375248
logistic	0.01	True	(50,)	constant	500	adam	0.8720760980592441	0.8870848309719163	0.8628665340739644
logistic	0.01	True	(50,)	adaptive	1000	adam	0.8720760980592441	0.8870848309719163	0.8628665340739644
logistic	0.01	True	(50,)	adaptive	500	adam	0.8720760980592441	0.8870848309719163	0.8628665340739644
logistic	0.01	True	(50,)	invscaling	500	adam	0.8720760980592441	0.8870848309719163	0.8628665340739644
logistic	0.01	True	(50,)	constant	1000	adam	0.8720760980592441	0.8870848309719163	0.8628665340739644
logistic	0.01	True	(50,)	invscaling	1000	adam	0.8720760980592441	0.8870848309719163	0.8628665340739644
logistic	0.001	True	(50,)	adaptive	1000	adam	0.8720760980592441	0.8870848309719163	0.8628665340739644
logistic	0.001	True	(50,)	adaptive	500	adam	0.8720760980592441	0.8870848309719163	0.8628665340739644
logistic	0.001	True	(50,)	constant	500	adam	0.8720760980592441	0.8870848309719163	0.8628665340739644
logistic	0.001	True	(50,)	invscaling	1000	adam	0.8720760980592441	0.8870848309719163	0.8628665340739644
logistic	0.001	True	(50,)	constant	1000	adam	0.8720760980592441	0.8870848309719163	0.8628665340739644
logistic	0.001	True	(50,)	invscaling	500	adam	0.8720760980592441	0.8870848309719163	0.8628665340739644
relu	0.1	True	(100,)	constant	1000	lbfgs	0.9071629213483146	0.8858885169105488	0.9061711389884766
relu	0.1	True	(100,)	constant	500	lbfgs	0.9071629213483146	0.8858885169105488	0.9061711389884766
relu	0.1	True	(100,)	invscaling	1000	lbfgs	0.9071629213483146	0.8858885169105488	0.9061711389884766
relu	0.1	True	(100,)	adaptive	1000	lbfgs	0.9071629213483146	0.8858885169105488	0.9061711389884766
relu	0.1	True	(100,)	invscaling	500	lbfgs	0.9071629213483146	0.8858885169105488	0.9061711389884766
relu	0.1	True	(100,)	adaptive	500	lbfgs	0.9071629213483146	0.8858885169105488	0.9061711389884766
relu	0.01	True	(100,)	constant	500	lbfgs	0.9049029622063329	0.8813260147421417	0.9042292083700753
relu	0.01	True	(100,)	adaptive	500	lbfgs	0.9049029622063329	0.8813260147421417	0.9042292083700753
relu	0.01	True	(100,)	constant	1000	lbfgs	0.9049029622063329	0.8813260147421417	0.9042292083700753
relu	0.001	True	(100,)	constant	1000	lbfgs	0.9049029622063329	0.8813260147421417	0.9042292083700753
relu	0.01	True	(100,)	invscaling	500	lbfgs	0.9049029622063329	0.8813260147421417	0.9042292083700753
relu	0.001	True	(100,)	adaptive	1000	lbfgs	0.9049029622063329	0.8813260147421417	0.9042292083700753
relu	0.001	True	(100,)	constant	500	lbfgs	0.9049029622063329	0.8813260147421417	0.9042292083700753
relu	0.01	True	(100,)	adaptive	1000	lbfgs	0.9049029622063329	0.8813260147421417	0.9042292083700753
relu	0.001	True	(100,)	invscaling	1000	lbfgs	0.9049029622063329	0.8813260147421417	0.9042292083700753
relu	0.01	True	(100,)	invscaling	1000	lbfgs	0.9049029622063329	0.8813260147421417	0.9042292083700753
relu	0.001	True	(100,)	adaptive	500	lbfgs	0.9049029622063329	0.8813260147421417	0.9042292083700753
relu	0.001	True	(100,)	invscaling	500	lbfgs	0.9049029622063329	0.8813260147421417	0.9042292083700753
logistic	0.1	True	(50, 50)	constant	500	adam	0.8766598569969357	0.8804203614072035	0.8691561053790157
logistic	0.1	True	(50, 50)	adaptive	1000	adam	0.8766598569969357	0.8804203614072035	0.8691561053790157
logistic	0.1	True	(50, 50)	invscaling	1000	adam	0.8766598569969357	0.8804203614072035	0.8691561053790157
logistic	0.1	True	(50, 50)	invscaling	500	adam	0.8766598569969357	0.8804203614072035	0.8691561053790157
logistic	0.1	True	(50, 50)	constant	1000	adam	0.8766598569969357	0.8804203614072035	0.8691561053790157
logistic	0.1	True	(50, 50)	adaptive	500	adam	0.8766598569969357	0.8804203614072035	0.8691561053790157
relu	0.01	True	(100, 100)	invscaling	1000	lbfgs	0.8980847803881511	0.8802695317343151	0.8957312873721544
relu	0.01	True	(100, 100)	adaptive	500	lbfgs	0.8980847803881511	0.8802695317343151	0.8957312873721544
relu	0.001	True	(100, 100)	adaptive	1000	lbfgs	0.8980847803881511	0.8802695317343151	0.8957312873721544
relu	0.001	True	(100, 100)	constant	500	lbfgs	0.8980847803881511	0.8802695317343151	0.8957312873721544
relu	0.001	True	(100, 100)	constant	1000	lbfgs	0.8980847803881511	0.8802695317343151	0.8957312873721544
relu	0.01	True	(100, 100)	constant	1000	lbfgs	0.8980847803881511	0.8802695317343151	0.8957312873721544
relu	0.001	True	(100, 100)	invscaling	500	lbfgs	0.8980847803881511	0.8802695317343151	0.8957312873721544
relu	0.01	True	(100, 100)	adaptive	1000	lbfgs	0.8980847803881511	0.8802695317343151	0.8957312873721544
relu	0.01	True	(100, 100)	invscaling	500	lbfgs	0.8980847803881511	0.8802695317343151	0.8957312873721544
relu	0.001	True	(100, 100)	invscaling	1000	lbfgs	0.8980847803881511	0.8802695317343151	0.8957312873721544
relu	0.001	True	(100, 100)	adaptive	500	lbfgs	0.8980847803881511	0.8802695317343151	0.8957312873721544
relu	0.01	True	(100, 100)	constant	500	lbfgs	0.8980847803881511	0.8802695317343151	0.8957312873721544
relu	0.01	True	(100,)	adaptive	1000	adam	0.8925817160367722	0.8798065315501018	0.8891377773343718
relu	0.001	True	(100,)	constant	1000	adam	0.8925817160367722	0.8798065315501018	0.8891377773343718
relu	0.001	True	(100,)	constant	500	adam	0.8925817160367722	0.8798065315501018	0.8891377773343718
relu	0.001	True	(100,)	invscaling	500	adam	0.8925817160367722	0.8798065315501018	0.8891377773343718
relu	0.01	True	(100,)	adaptive	500	adam	0.8925817160367722	0.8798065315501018	0.8891377773343718
relu	0.01	True	(100,)	invscaling	1000	adam	0.8925817160367722	0.8798065315501018	0.8891377773343718
relu	0.001	True	(100,)	invscaling	1000	adam	0.8925817160367722	0.8798065315501018	0.8891377773343718
relu	0.001	True	(100,)	adaptive	1000	adam	0.8925817160367722	0.8798065315501018	0.8891377773343718
relu	0.001	True	(100,)	adaptive	500	adam	0.8925817160367722	0.8798065315501018	0.8891377773343718
relu	0.01	True	(100,)	invscaling	500	adam	0.8925817160367722	0.8798065315501018	0.8891377773343718
relu	0.01	True	(100,)	constant	500	adam	0.8925817160367722	0.8798065315501018	0.8891377773343718
relu	0.01	True	(100,)	constant	1000	adam	0.8925817160367722	0.8798065315501018	0.8891377773343718
logistic	0.001	True	(100,)	constant	500	adam	0.8789325842696629	0.8792918339085849	0.8727938762768483
logistic	0.01	True	(100,)	adaptive	500	adam	0.8789325842696629	0.8792918339085849	0.8727938762768483
logistic	0.001	True	(100,)	adaptive	1000	adam	0.8789325842696629	0.8792918339085849	0.8727938762768483
logistic	0.01	True	(100,)	invscaling	1000	adam	0.8789325842696629	0.8792918339085849	0.8727938762768483
logistic	0.001	True	(100,)	constant	1000	adam	0.8789325842696629	0.8792918339085849	0.8727938762768483
logistic	0.01	True	(100,)	invscaling	500	adam	0.8789325842696629	0.8792918339085849	0.8727938762768483
logistic	0.001	True	(100,)	adaptive	500	adam	0.8789325842696629	0.8792918339085849	0.8727938762768483
logistic	0.01	True	(100,)	constant	1000	adam	0.8789325842696629	0.8792918339085849	0.8727938762768483
logistic	0.01	True	(100,)	adaptive	1000	adam	0.8789325842696629	0.8792918339085849	0.8727938762768483
logistic	0.001	True	(100,)	invscaling	500	adam	0.8789325842696629	0.8792918339085849	0.8727938762768483
logistic	0.001	True	(100,)	invscaling	1000	adam	0.8789325842696629	0.8792918339085849	0.8727938762768483
logistic	0.01	True	(100,)	constant	500	adam	0.8789325842696629	0.8792918339085849	0.8727938762768483
relu	0.001	True	(50,)	invscaling	500	lbfgs	0.9037665985699694	0.8792224037259677	0.9028611488363811
relu	0.001	True	(50,)	invscaling	1000	lbfgs	0.9037665985699694	0.8792224037259677	0.9028611488363811
relu	0.001	True	(50,)	adaptive	500	lbfgs	0.9037665985699694	0.8792224037259677	0.9028611488363811
relu	0.01	True	(50,)	constant	500	lbfgs	0.9037665985699694	0.8792224037259677	0.9028611488363811
relu	0.001	True	(50,)	adaptive	1000	lbfgs	0.9037665985699694	0.8792224037259677	0.9028611488363811
relu	0.001	True	(50,)	constant	500	lbfgs	0.9037665985699694	0.8792224037259677	0.9028611488363811
relu	0.001	True	(50,)	constant	1000	lbfgs	0.9037665985699694	0.8792224037259677	0.9028611488363811
relu	0.01	True	(50,)	constant	1000	lbfgs	0.9037665985699694	0.8792224037259677	0.9028611488363811
relu	0.01	True	(50,)	invscaling	500	lbfgs	0.9037665985699694	0.8792224037259677	0.9028611488363811
relu	0.01	True	(50,)	adaptive	1000	lbfgs	0.9037665985699694	0.8792224037259677	0.9028611488363811
relu	0.01	True	(50,)	adaptive	500	lbfgs	0.9037665985699694	0.8792224037259677	0.9028611488363811
relu	0.01	True	(50,)	invscaling	1000	lbfgs	0.9037665985699694	0.8792224037259677	0.9028611488363811
relu	0.1	True	(100,)	adaptive	1000	adam	0.890308988764045	0.8790560625069499	0.8864350746316692
relu	0.1	True	(100,)	adaptive	500	adam	0.890308988764045	0.8790560625069499	0.8864350746316692
relu	0.1	True	(100,)	invscaling	500	adam	0.890308988764045	0.8790560625069499	0.8864350746316692
relu	0.1	True	(100,)	constant	1000	adam	0.890308988764045	0.8790560625069499	0.8864350746316692
relu	0.1	True	(100,)	invscaling	1000	adam	0.890308988764045	0.8790560625069499	0.8864350746316692
relu	0.1	True	(100,)	constant	500	adam	0.890308988764045	0.8790560625069499	0.8864350746316692
logistic	0.01	True	(50, 50)	invscaling	500	adam	0.8789070480081715	0.8778339989123044	0.8722486209715313
logistic	0.01	True	(50, 50)	invscaling	1000	adam	0.8789070480081715	0.8778339989123044	0.8722486209715313
logistic	0.01	True	(50, 50)	adaptive	500	adam	0.8789070480081715	0.8778339989123044	0.8722486209715313
logistic	0.01	True	(50, 50)	adaptive	1000	adam	0.8789070480081715	0.8778339989123044	0.8722486209715313
logistic	0.01	True	(50, 50)	constant	1000	adam	0.8789070480081715	0.8778339989123044	0.8722486209715313
logistic	0.01	True	(50, 50)	constant	500	adam	0.8789070480081715	0.8778339989123044	0.8722486209715313
relu	0.1	True	(50,)	constant	1000	lbfgs	0.9048901940755874	0.8775008203557775	0.9045834593822211
relu	0.1	True	(50,)	constant	500	lbfgs	0.9048901940755874	0.8775008203557775	0.9045834593822211
relu	0.1	True	(50,)	invscaling	500	lbfgs	0.9048901940755874	0.8775008203557775	0.9045834593822211
relu	0.1	True	(50,)	invscaling	1000	lbfgs	0.9048901940755874	0.8775008203557775	0.9045834593822211
relu	0.1	True	(50,)	adaptive	1000	lbfgs	0.9048901940755874	0.8775008203557775	0.9045834593822211
relu	0.1	True	(50,)	adaptive	500	lbfgs	0.9048901940755874	0.8775008203557775	0.9045834593822211
logistic	0.1	True	(100,)	invscaling	1000	adam	0.8823033707865168	0.8764302205420627	0.8772565969160396
logistic	0.1	True	(100,)	constant	500	adam	0.8823033707865168	0.8764302205420627	0.8772565969160396
logistic	0.1	True	(100,)	adaptive	1000	adam	0.8823033707865168	0.8764302205420627	0.8772565969160396
