C	gamma	kernel	mean_valid_accuracy	mean_valid_precision	mean_valid_auc
10.0	0.1	rbf	0.6775923392612859	1.0	0.596890756302521
1000.0	0.1	rbf	0.6775923392612859	1.0	0.596890756302521
100.0	0.1	rbf	0.6775923392612859	1.0	0.596890756302521
1.0	0.1	rbf	0.638891928864569	1.0	0.5484033613445378
0.1	0.01	rbf	0.6272093023255814	0.9	0.5336554621848739
1.0	0.01	rbf	0.8780984952120383	0.8784416278166278	0.8670782159017453
1000.0	0.01	rbf	0.8816005471956224	0.8525243369196854	0.8773448610213315
100.0	0.01	rbf	0.8816005471956224	0.8525243369196854	0.8773448610213315
10.0	0.01	rbf	0.8816005471956224	0.8525243369196854	0.8773448610213315
0.01	0.01	linear	0.8545964432284542	0.8449337461621944	0.8426104287868995
0.01	0.1	linear	0.8545964432284542	0.8449337461621944	0.8426104287868995
0.01	1.0	linear	0.8545964432284542	0.8449337461621944	0.8426104287868995
0.01	100.0	linear	0.8545964432284542	0.8449337461621944	0.8426104287868995
0.01	1000.0	linear	0.8545964432284542	0.8449337461621944	0.8426104287868995
0.1	100.0	linear	0.8288782489740081	0.7923888979467073	0.8206749622926093
0.1	1000.0	linear	0.8288782489740081	0.7923888979467073	0.8206749622926093
0.1	1.0	linear	0.8288782489740081	0.7923888979467073	0.8206749622926093
0.1	0.01	linear	0.8288782489740081	0.7923888979467073	0.8206749622926093
0.1	0.1	linear	0.8288782489740081	0.7923888979467073	0.8206749622926093
1.0	0.1	linear	0.7866894664842681	0.7241566338160765	0.7811893988364577
1.0	1000.0	linear	0.7866894664842681	0.7241566338160765	0.7811893988364577
1.0	1.0	linear	0.7866894664842681	0.7241566338160765	0.7811893988364577
1.0	100.0	linear	0.7866894664842681	0.7241566338160765	0.7811893988364577
1.0	0.01	linear	0.7866894664842681	0.7241566338160765	0.7811893988364577
1000.0	0.1	linear	0.7737482900136798	0.7149031520493037	0.764527041585865
100.0	100.0	linear	0.7737482900136798	0.7149031520493037	0.764527041585865
1000.0	0.01	linear	0.7737482900136798	0.7149031520493037	0.764527041585865
100.0	1.0	linear	0.7737482900136798	0.7149031520493037	0.764527041585865
100.0	1000.0	linear	0.7737482900136798	0.7149031520493037	0.764527041585865
10.0	100.0	linear	0.7737482900136798	0.7149031520493037	0.764527041585865
100.0	0.1	linear	0.7737482900136798	0.7149031520493037	0.764527041585865
1000.0	1.0	linear	0.7737482900136798	0.7149031520493037	0.764527041585865
1000.0	100.0	linear	0.7737482900136798	0.7149031520493037	0.764527041585865
1000.0	1000.0	linear	0.7737482900136798	0.7149031520493037	0.764527041585865
100.0	0.01	linear	0.7737482900136798	0.7149031520493037	0.764527041585865
10.0	1000.0	linear	0.7737482900136798	0.7149031520493037	0.764527041585865
10.0	0.01	linear	0.7737482900136798	0.7149031520493037	0.764527041585865
10.0	1.0	linear	0.7737482900136798	0.7149031520493037	0.764527041585865
10.0	0.1	linear	0.7737482900136798	0.7149031520493037	0.764527041585865
10.0	100.0	rbf	0.6002325581395348	0.0	0.5
0.1	100.0	rbf	0.6002325581395348	0.0	0.5
0.01	0.1	rbf	0.6002325581395348	0.0	0.5
1000.0	100.0	rbf	0.6002325581395348	0.0	0.5
0.01	1.0	rbf	0.6002325581395348	0.0	0.5
1000.0	1.0	rbf	0.6002325581395348	0.0	0.5
0.01	100.0	rbf	0.6002325581395348	0.0	0.5
0.01	1000.0	rbf	0.6002325581395348	0.0	0.5
0.1	0.1	rbf	0.6002325581395348	0.0	0.5
0.1	1.0	rbf	0.6002325581395348	0.0	0.5
0.1	1000.0	rbf	0.6002325581395348	0.0	0.5
100.0	1000.0	rbf	0.6002325581395348	0.0	0.5
10.0	1.0	rbf	0.6002325581395348	0.0	0.5
100.0	100.0	rbf	0.6002325581395348	0.0	0.5
1.0	1.0	rbf	0.6002325581395348	0.0	0.5
100.0	1.0	rbf	0.6002325581395348	0.0	0.5
1.0	100.0	rbf	0.6002325581395348	0.0	0.5
1.0	1000.0	rbf	0.6002325581395348	0.0	0.5
0.01	0.01	rbf	0.6002325581395348	0.0	0.5
10.0	1000.0	rbf	0.6002325581395348	0.0	0.5
1000.0	1000.0	rbf	0.6002325581395348	0.0	0.5
