activation	alpha	early_stopping	hidden_layer_sizes	learning_rate	max_iter	solver	mean_valid_accuracy	mean_valid_precision	mean_valid_auc
logistic	0.1	True	(50, 50)	invscaling	500	adam	0.9101010101010101	0.9717857142857141	0.8995617110799439
logistic	0.1	True	(50, 50)	invscaling	1000	adam	0.9101010101010101	0.9717857142857141	0.8995617110799439
logistic	0.1	True	(50, 50)	adaptive	500	adam	0.9101010101010101	0.9717857142857141	0.8995617110799439
logistic	0.1	True	(50, 50)	constant	500	adam	0.9101010101010101	0.9717857142857141	0.8995617110799439
logistic	0.1	True	(50, 50)	adaptive	1000	adam	0.9101010101010101	0.9717857142857141	0.8995617110799439
logistic	0.1	True	(50, 50)	constant	1000	adam	0.9101010101010101	0.9717857142857141	0.8995617110799439
logistic	0.001	True	(100, 100)	adaptive	500	adam	0.9137710437710439	0.9698945981554677	0.9036746143057502
logistic	0.001	True	(100, 100)	invscaling	1000	adam	0.9137710437710439	0.9698945981554677	0.9036746143057502
logistic	0.001	True	(100, 100)	adaptive	1000	adam	0.9137710437710439	0.9698945981554677	0.9036746143057502
logistic	0.001	True	(100, 100)	constant	1000	adam	0.9137710437710439	0.9698945981554677	0.9036746143057502
logistic	0.001	True	(100, 100)	constant	500	adam	0.9137710437710439	0.9698945981554677	0.9036746143057502
logistic	0.01	True	(100, 100)	adaptive	1000	adam	0.9137710437710439	0.9698945981554677	0.9036746143057502
logistic	0.01	True	(100, 100)	invscaling	1000	adam	0.9137710437710439	0.9698945981554677	0.9036746143057502
logistic	0.01	True	(100, 100)	invscaling	500	adam	0.9137710437710439	0.9698945981554677	0.9036746143057502
logistic	0.01	True	(100, 100)	constant	1000	adam	0.9137710437710439	0.9698945981554677	0.9036746143057502
logistic	0.01	True	(100, 100)	constant	500	adam	0.9137710437710439	0.9698945981554677	0.9036746143057502
logistic	0.001	True	(100, 100)	invscaling	500	adam	0.9137710437710439	0.9698945981554677	0.9036746143057502
logistic	0.01	True	(100, 100)	adaptive	500	adam	0.9137710437710439	0.9698945981554677	0.9036746143057502
logistic	0.001	True	(50, 50)	invscaling	1000	adam	0.9138047138047138	0.963758234519104	0.904615474520804
logistic	0.01	True	(50, 50)	constant	500	adam	0.9138047138047138	0.963758234519104	0.904615474520804
logistic	0.01	True	(50, 50)	invscaling	500	adam	0.9138047138047138	0.963758234519104	0.904615474520804
logistic	0.01	True	(50, 50)	invscaling	1000	adam	0.9138047138047138	0.963758234519104	0.904615474520804
logistic	0.01	True	(50, 50)	adaptive	500	adam	0.9138047138047138	0.963758234519104	0.904615474520804
logistic	0.01	True	(50, 50)	adaptive	1000	adam	0.9138047138047138	0.963758234519104	0.904615474520804
logistic	0.001	True	(50, 50)	adaptive	1000	adam	0.9138047138047138	0.963758234519104	0.904615474520804
logistic	0.001	True	(50, 50)	adaptive	500	adam	0.9138047138047138	0.963758234519104	0.904615474520804
logistic	0.01	True	(50, 50)	constant	1000	adam	0.9138047138047138	0.963758234519104	0.904615474520804
logistic	0.001	True	(50, 50)	invscaling	500	adam	0.9138047138047138	0.963758234519104	0.904615474520804
