C	gamma	kernel	mean_valid_accuracy	mean_valid_precision	mean_valid_auc
0.1	0.01	rbf	0.7787414965986394	1.0	0.6954248366013072
1000.0	0.1	rbf	0.9010629251700679	0.9818181818181818	0.866708834071263
1.0	0.1	rbf	0.8782738095238095	0.9818181818181818	0.8356630824372762
100.0	0.1	rbf	0.9010629251700679	0.9818181818181818	0.866708834071263
10.0	0.1	rbf	0.9010629251700679	0.9818181818181818	0.866708834071263
1.0	0.01	rbf	0.9548044217687075	0.9705473856209149	0.9440596668775036
10.0	0.01	rbf	0.9712159863945578	0.9662710698314413	0.9679369597301285
100.0	0.01	rbf	0.9650085034013605	0.9603887168902648	0.9606051022559562
1000.0	0.01	rbf	0.9650085034013605	0.9603887168902648	0.9606051022559562
0.01	1.0	linear	0.9381802721088436	0.9539215686274509	0.9250052709255746
0.01	100.0	linear	0.9381802721088436	0.9539215686274509	0.9250052709255746
0.01	1000.0	linear	0.9381802721088436	0.9539215686274509	0.9250052709255746
0.01	0.1	linear	0.9381802721088436	0.9539215686274509	0.9250052709255746
0.01	0.01	linear	0.9381802721088436	0.9539215686274509	0.9250052709255746
10.0	1.0	linear	0.9587585034013605	0.9503594771241829	0.9545477545857052
10.0	100.0	linear	0.9587585034013605	0.9503594771241829	0.9545477545857052
10.0	1000.0	linear	0.9587585034013605	0.9503594771241829	0.9545477545857052
100.0	0.01	linear	0.9587585034013605	0.9503594771241829	0.9545477545857052
100.0	1000.0	linear	0.9587585034013605	0.9503594771241829	0.9545477545857052
100.0	0.1	linear	0.9587585034013605	0.9503594771241829	0.9545477545857052
100.0	1.0	linear	0.9587585034013605	0.9503594771241829	0.9545477545857052
100.0	100.0	linear	0.9587585034013605	0.9503594771241829	0.9545477545857052
1000.0	0.01	linear	0.9587585034013605	0.9503594771241829	0.9545477545857052
1000.0	0.1	linear	0.9587585034013605	0.9503594771241829	0.9545477545857052
1000.0	1.0	linear	0.9587585034013605	0.9503594771241829	0.9545477545857052
1000.0	100.0	linear	0.9587585034013605	0.9503594771241829	0.9545477545857052
1000.0	1000.0	linear	0.9587585034013605	0.9503594771241829	0.9545477545857052
10.0	0.1	linear	0.9587585034013605	0.9503594771241829	0.9545477545857052
10.0	0.01	linear	0.9587585034013605	0.9503594771241829	0.9545477545857052
1.0	0.1	linear	0.9587585034013605	0.9503594771241829	0.9545477545857052
1.0	1000.0	linear	0.9587585034013605	0.9503594771241829	0.9545477545857052
1.0	100.0	linear	0.9587585034013605	0.9503594771241829	0.9545477545857052
1.0	1.0	linear	0.9587585034013605	0.9503594771241829	0.9545477545857052
1.0	0.01	linear	0.9587585034013605	0.9503594771241829	0.9545477545857052
0.1	1.0	linear	0.9650085034013605	0.9502579979360165	0.9630982500527093
0.1	0.1	linear	0.9650085034013605	0.9502579979360165	0.9630982500527093
0.1	0.01	linear	0.9650085034013605	0.9502579979360165	0.9630982500527093
0.1	1000.0	linear	0.9650085034013605	0.9502579979360165	0.9630982500527093
0.1	100.0	linear	0.9650085034013605	0.9502579979360165	0.9630982500527093
0.01	100.0	rbf	0.6377125850340135	0.0	0.5
1000.0	1.0	rbf	0.6377125850340135	0.0	0.5
0.01	1000.0	rbf	0.6377125850340135	0.0	0.5
0.01	1.0	rbf	0.6377125850340135	0.0	0.5
1000.0	100.0	rbf	0.6377125850340135	0.0	0.5
0.01	0.1	rbf	0.6377125850340135	0.0	0.5
0.1	0.1	rbf	0.6377125850340135	0.0	0.5
100.0	1000.0	rbf	0.6377125850340135	0.0	0.5
1.0	1000.0	rbf	0.6377125850340135	0.0	0.5
100.0	100.0	rbf	0.6377125850340135	0.0	0.5
0.1	1.0	rbf	0.6377125850340135	0.0	0.5
100.0	1.0	rbf	0.6377125850340135	0.0	0.5
0.01	0.01	rbf	0.6377125850340135	0.0	0.5
0.1	100.0	rbf	0.6377125850340135	0.0	0.5
0.1	1000.0	rbf	0.6377125850340135	0.0	0.5
10.0	1000.0	rbf	0.6377125850340135	0.0	0.5
10.0	100.0	rbf	0.6377125850340135	0.0	0.5
10.0	1.0	rbf	0.6377125850340135	0.0	0.5
1.0	1.0	rbf	0.6377125850340135	0.0	0.5
1.0	100.0	rbf	0.6377125850340135	0.0	0.5
1000.0	1000.0	rbf	0.6377125850340135	0.0	0.5
