activation	alpha	early_stopping	hidden_layer_sizes	learning_rate	max_iter	solver	mean_valid_accuracy	mean_valid_precision	mean_valid_auc
logistic	0.1	True	(50, 50)	constant	500	adam	0.8864795918367347	0.9715277777777779	0.850595614589922
logistic	0.1	True	(50, 50)	adaptive	1000	adam	0.8864795918367347	0.9715277777777779	0.850595614589922
logistic	0.1	True	(50, 50)	invscaling	500	adam	0.8864795918367347	0.9715277777777779	0.850595614589922
logistic	0.1	True	(50, 50)	invscaling	1000	adam	0.8864795918367347	0.9715277777777779	0.850595614589922
logistic	0.1	True	(50, 50)	adaptive	500	adam	0.8864795918367347	0.9715277777777779	0.850595614589922
logistic	0.1	True	(50, 50)	constant	1000	adam	0.8864795918367347	0.9715277777777779	0.850595614589922
logistic	0.001	True	(50, 50)	constant	500	adam	0.8823554421768709	0.9702205882352942	0.845203457727177
logistic	0.001	True	(50, 50)	constant	1000	adam	0.8823554421768709	0.9702205882352942	0.845203457727177
logistic	0.01	True	(50, 50)	invscaling	500	adam	0.8906462585034014	0.9702205882352942	0.856314568838288
logistic	0.001	True	(50, 50)	invscaling	1000	adam	0.8823554421768709	0.9702205882352942	0.845203457727177
logistic	0.001	True	(50, 50)	adaptive	500	adam	0.8823554421768709	0.9702205882352942	0.845203457727177
logistic	0.001	True	(50, 50)	adaptive	1000	adam	0.8823554421768709	0.9702205882352942	0.845203457727177
logistic	0.01	True	(50, 50)	constant	500	adam	0.8906462585034014	0.9702205882352942	0.856314568838288
logistic	0.01	True	(50, 50)	constant	1000	adam	0.8906462585034014	0.9702205882352942	0.856314568838288
logistic	0.01	True	(50, 50)	adaptive	1000	adam	0.8906462585034014	0.9702205882352942	0.856314568838288
logistic	0.01	True	(50, 50)	adaptive	500	adam	0.8906462585034014	0.9702205882352942	0.856314568838288
logistic	0.001	True	(50, 50)	invscaling	500	adam	0.8823554421768709	0.9702205882352942	0.845203457727177
logistic	0.01	True	(50, 50)	invscaling	1000	adam	0.8906462585034014	0.9702205882352942	0.856314568838288
logistic	0.1	True	(100, 100)	invscaling	1000	adam	0.9215986394557824	0.9656454248366014	0.8999631035209784
logistic	0.1	True	(100, 100)	constant	1000	adam	0.9215986394557824	0.9656454248366014	0.8999631035209784
logistic	0.1	True	(100, 100)	invscaling	500	adam	0.9215986394557824	0.9656454248366014	0.8999631035209784
logistic	0.1	True	(100, 100)	adaptive	500	adam	0.9215986394557824	0.9656454248366014	0.8999631035209784
logistic	0.1	True	(100, 100)	adaptive	1000	adam	0.9215986394557824	0.9656454248366014	0.8999631035209784
logistic	0.001	True	(100, 100)	adaptive	1000	adam	0.9174744897959183	0.9656454248366014	0.8944075479654228
logistic	0.001	True	(100, 100)	adaptive	500	adam	0.9174744897959183	0.9656454248366014	0.8944075479654228
logistic	0.001	True	(100, 100)	invscaling	1000	adam	0.9174744897959183	0.9656454248366014	0.8944075479654228
logistic	0.001	True	(100, 100)	invscaling	500	adam	0.9174744897959183	0.9656454248366014	0.8944075479654228
logistic	0.001	True	(100, 100)	constant	1000	adam	0.9174744897959183	0.9656454248366014	0.8944075479654228
logistic	0.001	True	(100, 100)	constant	500	adam	0.9174744897959183	0.9656454248366014	0.8944075479654228
logistic	0.1	True	(100, 100)	constant	500	adam	0.9215986394557824	0.9656454248366014	0.8999631035209784
logistic	0.01	True	(100, 100)	adaptive	500	adam	0.919515306122449	0.9656454248366014	0.8971853257432005
logistic	0.01	True	(100, 100)	adaptive	1000	adam	0.919515306122449	0.9656454248366014	0.8971853257432005
logistic	0.01	True	(100, 100)	constant	500	adam	0.919515306122449	0.9656454248366014	0.8971853257432005
logistic	0.01	True	(100, 100)	constant	1000	adam	0.919515306122449	0.9656454248366014	0.8971853257432005
logistic	0.01	True	(100, 100)	invscaling	500	adam	0.919515306122449	0.9656454248366014	0.8971853257432005
logistic	0.01	True	(100, 100)	invscaling	1000	adam	0.919515306122449	0.9656454248366014	0.8971853257432005
logistic	0.1	True	(100,)	adaptive	1000	adam	0.9071428571428571	0.9599465811965813	0.880574530887624
logistic	0.1	True	(100,)	adaptive	500	adam	0.9071428571428571	0.9599465811965813	0.880574530887624
logistic	0.1	True	(100,)	invscaling	1000	adam	0.9071428571428571	0.9599465811965813	0.880574530887624
logistic	0.1	True	(100,)	invscaling	500	adam	0.9071428571428571	0.9599465811965813	0.880574530887624
logistic	0.1	True	(100,)	constant	1000	adam	0.9071428571428571	0.9599465811965813	0.880574530887624
logistic	0.1	True	(100,)	constant	500	adam	0.9071428571428571	0.9599465811965813	0.880574530887624
logistic	0.001	True	(50,)	constant	500	adam	0.9011054421768708	0.9546732026143792	0.8718047649167193
logistic	0.001	True	(50,)	invscaling	1000	adam	0.9011054421768708	0.9546732026143792	0.8718047649167193
logistic	0.001	True	(50,)	constant	1000	adam	0.9011054421768708	0.9546732026143792	0.8718047649167193
logistic	0.001	True	(50,)	invscaling	500	adam	0.9011054421768708	0.9546732026143792	0.8718047649167193
logistic	0.01	True	(50,)	invscaling	500	adam	0.903188775510204	0.9546732026143792	0.8747459413873075
logistic	0.01	True	(50,)	adaptive	500	adam	0.903188775510204	0.9546732026143792	0.8747459413873075
logistic	0.01	True	(50,)	constant	1000	adam	0.903188775510204	0.9546732026143792	0.8747459413873075
logistic	0.01	True	(50,)	constant	500	adam	0.903188775510204	0.9546732026143792	0.8747459413873075
logistic	0.01	True	(50,)	adaptive	1000	adam	0.903188775510204	0.9546732026143792	0.8747459413873075
logistic	0.001	True	(50,)	adaptive	1000	adam	0.9011054421768708	0.9546732026143792	0.8718047649167193
logistic	0.001	True	(50,)	adaptive	500	adam	0.9011054421768708	0.9546732026143792	0.8718047649167193
logistic	0.01	True	(50,)	invscaling	1000	adam	0.903188775510204	0.9546732026143792	0.8747459413873075
logistic	0.1	True	(50,)	constant	500	adam	0.903188775510204	0.9546732026143792	0.8747459413873078
logistic	0.1	True	(50,)	constant	1000	adam	0.903188775510204	0.9546732026143792	0.8747459413873078
logistic	0.1	True	(50,)	adaptive	1000	adam	0.903188775510204	0.9546732026143792	0.8747459413873078
logistic	0.1	True	(50,)	adaptive	500	adam	0.903188775510204	0.9546732026143792	0.8747459413873078
logistic	0.1	True	(50,)	invscaling	1000	adam	0.903188775510204	0.9546732026143792	0.8747459413873078
logistic	0.1	True	(50,)	invscaling	500	adam	0.903188775510204	0.9546732026143792	0.8747459413873078
tanh	0.001	True	(100,)	constant	1000	lbfgs	0.9628826530612246	0.9511351909184727	0.9598861480075902
tanh	0.001	True	(100,)	constant	500	lbfgs	0.9628826530612246	0.9511351909184727	0.9598861480075902
tanh	0.001	True	(100,)	invscaling	500	lbfgs	0.9628826530612246	0.9511351909184727	0.9598861480075902
tanh	0.001	True	(100,)	invscaling	1000	lbfgs	0.9628826530612246	0.9511351909184727	0.9598861480075902
tanh	0.001	True	(100,)	adaptive	500	lbfgs	0.9628826530612246	0.9511351909184727	0.9598861480075902
tanh	0.001	True	(100,)	adaptive	1000	lbfgs	0.9628826530612246	0.9511351909184727	0.9598861480075902
tanh	0.01	True	(50,)	constant	500	lbfgs	0.9566751700680272	0.9489852081183351	0.9515528146742568
tanh	0.01	True	(50,)	invscaling	1000	lbfgs	0.9566751700680272	0.9489852081183351	0.9515528146742568
tanh	0.01	True	(50,)	constant	1000	lbfgs	0.9566751700680272	0.9489852081183351	0.9515528146742568
tanh	0.01	True	(50,)	adaptive	1000	lbfgs	0.9566751700680272	0.9489852081183351	0.9515528146742568
tanh	0.01	True	(50,)	adaptive	500	lbfgs	0.9566751700680272	0.9489852081183351	0.9515528146742568
tanh	0.01	True	(50,)	invscaling	500	lbfgs	0.9566751700680272	0.9489852081183351	0.9515528146742568
tanh	0.001	True	(100, 100)	adaptive	1000	adam	0.9091411564625851	0.947159090909091	0.8852456251317731
tanh	0.001	True	(100, 100)	adaptive	500	adam	0.9091411564625851	0.947159090909091	0.8852456251317731
tanh	0.001	True	(100, 100)	constant	500	adam	0.9091411564625851	0.947159090909091	0.8852456251317731
tanh	0.001	True	(100, 100)	invscaling	1000	adam	0.9091411564625851	0.947159090909091	0.8852456251317731
tanh	0.001	True	(100, 100)	invscaling	500	adam	0.9091411564625851	0.947159090909091	0.8852456251317731
