activation	alpha	early_stopping	hidden_layer_sizes	learning_rate	max_iter	solver	mean_valid_accuracy	mean_valid_precision	mean_valid_auc
logistic	0.01	True	(100,)	invscaling	1000	adam	0.8929421768707483	0.9669736842105262	0.860236137465739
logistic	0.001	True	(100,)	constant	500	adam	0.8929421768707483	0.9669736842105262	0.860236137465739
logistic	0.1	True	(100,)	invscaling	500	adam	0.8929421768707483	0.9669736842105262	0.860236137465739
logistic	0.1	True	(100,)	adaptive	1000	adam	0.8929421768707483	0.9669736842105262	0.860236137465739
logistic	0.01	True	(100,)	adaptive	1000	adam	0.8929421768707483	0.9669736842105262	0.860236137465739
logistic	0.01	True	(100,)	adaptive	500	adam	0.8929421768707483	0.9669736842105262	0.860236137465739
logistic	0.01	True	(100,)	invscaling	500	adam	0.8929421768707483	0.9669736842105262	0.860236137465739
logistic	0.01	True	(100,)	constant	1000	adam	0.8929421768707483	0.9669736842105262	0.860236137465739
logistic	0.1	True	(100,)	constant	500	adam	0.8929421768707483	0.9669736842105262	0.860236137465739
logistic	0.01	True	(100,)	constant	500	adam	0.8929421768707483	0.9669736842105262	0.860236137465739
logistic	0.1	True	(100,)	invscaling	1000	adam	0.8929421768707483	0.9669736842105262	0.860236137465739
logistic	0.1	True	(100,)	constant	1000	adam	0.8929421768707483	0.9669736842105262	0.860236137465739
logistic	0.001	True	(100,)	constant	1000	adam	0.8929421768707483	0.9669736842105262	0.860236137465739
logistic	0.001	True	(100,)	invscaling	500	adam	0.8929421768707483	0.9669736842105262	0.860236137465739
logistic	0.1	True	(100,)	adaptive	500	adam	0.8929421768707483	0.9669736842105262	0.860236137465739
logistic	0.001	True	(100,)	invscaling	1000	adam	0.8929421768707483	0.9669736842105262	0.860236137465739
logistic	0.001	True	(100,)	adaptive	500	adam	0.8929421768707483	0.9669736842105262	0.860236137465739
logistic	0.001	True	(100,)	adaptive	1000	adam	0.8929421768707483	0.9669736842105262	0.860236137465739
logistic	0.1	True	(100,)	adaptive	1000	lbfgs	0.9567602040816328	0.9560715514275886	0.9504417035631457
logistic	0.1	True	(100,)	constant	500	lbfgs	0.9567602040816328	0.9560715514275886	0.9504417035631457
logistic	0.1	True	(100,)	constant	1000	lbfgs	0.9567602040816328	0.9560715514275886	0.9504417035631457
logistic	0.1	True	(100,)	invscaling	1000	lbfgs	0.9567602040816328	0.9560715514275886	0.9504417035631457
logistic	0.1	True	(100,)	adaptive	500	lbfgs	0.9567602040816328	0.9560715514275886	0.9504417035631457
logistic	0.1	True	(100,)	invscaling	500	lbfgs	0.9567602040816328	0.9560715514275886	0.9504417035631457
logistic	0.01	True	(100, 100)	constant	500	lbfgs	0.9546768707482993	0.9555555555555555	0.9477176892262282
logistic	0.01	True	(100, 100)	constant	1000	lbfgs	0.9546768707482993	0.9555555555555555	0.9477176892262282
logistic	0.01	True	(100, 100)	adaptive	1000	lbfgs	0.9546768707482993	0.9555555555555555	0.9477176892262282
logistic	0.01	True	(100, 100)	adaptive	500	lbfgs	0.9546768707482993	0.9555555555555555	0.9477176892262282
logistic	0.01	True	(100, 100)	invscaling	500	lbfgs	0.9546768707482993	0.9555555555555555	0.9477176892262282
logistic	0.01	True	(100, 100)	invscaling	1000	lbfgs	0.9546768707482993	0.9555555555555555	0.9477176892262282
relu	0.1	True	(50, 50)	constant	1000	lbfgs	0.9505102040816326	0.9545343137254901	0.9417815728441916
relu	0.1	True	(50, 50)	constant	500	lbfgs	0.9505102040816326	0.9545343137254901	0.9417815728441916
relu	0.1	True	(50, 50)	adaptive	1000	lbfgs	0.9505102040816326	0.9545343137254901	0.9417815728441916
relu	0.1	True	(50, 50)	adaptive	500	lbfgs	0.9505102040816326	0.9545343137254901	0.9417815728441916
relu	0.1	True	(50, 50)	invscaling	1000	lbfgs	0.9505102040816326	0.9545343137254901	0.9417815728441916
relu	0.1	True	(50, 50)	invscaling	500	lbfgs	0.9505102040816326	0.9545343137254901	0.9417815728441916
tanh	0.001	True	(100,)	constant	500	lbfgs	0.9525935374149661	0.9524165806673548	0.9455608264811302
tanh	0.001	True	(100,)	constant	1000	lbfgs	0.9525935374149661	0.9524165806673548	0.9455608264811302
tanh	0.001	True	(100,)	adaptive	500	lbfgs	0.9525935374149661	0.9524165806673548	0.9455608264811302
tanh	0.001	True	(100,)	adaptive	1000	lbfgs	0.9525935374149661	0.9524165806673548	0.9455608264811302
tanh	0.001	True	(100,)	invscaling	500	lbfgs	0.9525935374149661	0.9524165806673548	0.9455608264811302
tanh	0.001	True	(100,)	invscaling	1000	lbfgs	0.9525935374149661	0.9524165806673548	0.9455608264811302
logistic	0.1	True	(100, 100)	invscaling	500	adam	0.933971088435374	0.9512792397660819	0.9193421884882987
logistic	0.1	True	(100, 100)	invscaling	1000	adam	0.933971088435374	0.9512792397660819	0.9193421884882987
logistic	0.1	True	(100, 100)	adaptive	500	adam	0.933971088435374	0.9512792397660819	0.9193421884882987
logistic	0.1	True	(100, 100)	constant	500	adam	0.933971088435374	0.9512792397660819	0.9193421884882987
logistic	0.1	True	(100, 100)	constant	1000	adam	0.933971088435374	0.9512792397660819	0.9193421884882987
logistic	0.1	True	(100, 100)	adaptive	1000	adam	0.933971088435374	0.9512792397660819	0.9193421884882987
logistic	0.1	True	(50, 50)	invscaling	500	lbfgs	0.9588010204081632	0.9511351909184727	0.9543305924520347
logistic	0.1	True	(50, 50)	constant	500	lbfgs	0.9588010204081632	0.9511351909184727	0.9543305924520347
logistic	0.1	True	(50, 50)	invscaling	1000	lbfgs	0.9588010204081632	0.9511351909184727	0.9543305924520347
logistic	0.1	True	(50, 50)	adaptive	500	lbfgs	0.9588010204081632	0.9511351909184727	0.9543305924520347
logistic	0.1	True	(50, 50)	constant	1000	lbfgs	0.9588010204081632	0.9511351909184727	0.9543305924520347
logistic	0.1	True	(50, 50)	adaptive	1000	lbfgs	0.9588010204081632	0.9511351909184727	0.9543305924520347
tanh	0.1	True	(50,)	invscaling	500	lbfgs	0.9505952380952382	0.9511007911936705	0.9431098460889734
tanh	0.1	True	(50,)	adaptive	1000	lbfgs	0.9505952380952382	0.9511007911936705	0.9431098460889734
tanh	0.1	True	(50,)	constant	1000	lbfgs	0.9505952380952382	0.9511007911936705	0.9431098460889734
relu	0.1	True	(100,)	adaptive	1000	lbfgs	0.954719387755102	0.9511007911936705	0.9487750368964791
tanh	0.1	True	(50,)	invscaling	1000	lbfgs	0.9505952380952382	0.9511007911936705	0.9431098460889734
relu	0.1	True	(100,)	adaptive	500	lbfgs	0.954719387755102	0.9511007911936705	0.9487750368964791
relu	0.1	True	(100,)	invscaling	1000	lbfgs	0.954719387755102	0.9511007911936705	0.9487750368964791
relu	0.1	True	(100,)	invscaling	500	lbfgs	0.954719387755102	0.9511007911936705	0.9487750368964791
relu	0.1	True	(100,)	constant	1000	lbfgs	0.954719387755102	0.9511007911936705	0.9487750368964791
relu	0.1	True	(100,)	constant	500	lbfgs	0.954719387755102	0.9511007911936705	0.9487750368964791
tanh	0.1	True	(50,)	constant	500	lbfgs	0.9505952380952382	0.9511007911936705	0.9431098460889734
tanh	0.1	True	(50,)	adaptive	500	lbfgs	0.9505952380952382	0.9511007911936705	0.9431098460889734
relu	0.01	True	(50,)	constant	500	lbfgs	0.948469387755102	0.9504815961472308	0.9400052709255746
relu	0.01	True	(50,)	constant	1000	lbfgs	0.948469387755102	0.9504815961472308	0.9400052709255746
relu	0.01	True	(50,)	invscaling	500	lbfgs	0.948469387755102	0.9504815961472308	0.9400052709255746
relu	0.01	True	(50,)	invscaling	1000	lbfgs	0.948469387755102	0.9504815961472308	0.9400052709255746
relu	0.01	True	(50,)	adaptive	1000	lbfgs	0.948469387755102	0.9504815961472308	0.9400052709255746
relu	0.001	True	(50,)	constant	500	lbfgs	0.9505102040816327	0.9504815961472308	0.9427830487033525
relu	0.001	True	(50,)	constant	1000	lbfgs	0.9505102040816327	0.9504815961472308	0.9427830487033525
relu	0.001	True	(50,)	invscaling	500	lbfgs	0.9505102040816327	0.9504815961472308	0.9427830487033525
relu	0.001	True	(50,)	invscaling	1000	lbfgs	0.9505102040816327	0.9504815961472308	0.9427830487033525
relu	0.001	True	(50,)	adaptive	500	lbfgs	0.9505102040816327	0.9504815961472308	0.9427830487033525
relu	0.001	True	(50,)	adaptive	1000	lbfgs	0.9505102040816327	0.9504815961472308	0.9427830487033525
relu	0.01	True	(50,)	adaptive	500	lbfgs	0.948469387755102	0.9504815961472308	0.9400052709255746
identity	0.1	True	(100, 100)	adaptive	1000	lbfgs	0.9566751700680272	0.95	0.9512797807294963
identity	0.1	True	(100, 100)	adaptive	500	lbfgs	0.9566751700680272	0.95	0.9512797807294963
identity	0.1	True	(100, 100)	invscaling	1000	lbfgs	0.9566751700680272	0.95	0.9512797807294963
identity	0.1	True	(100, 100)	invscaling	500	lbfgs	0.9566751700680272	0.95	0.9512797807294963
identity	0.1	True	(100, 100)	constant	1000	lbfgs	0.9566751700680272	0.95	0.9512797807294963
identity	0.1	True	(100, 100)	constant	500	lbfgs	0.9566751700680272	0.95	0.9512797807294963
identity	0.1	True	(50,)	adaptive	1000	lbfgs	0.9526785714285715	0.9496388028895769	0.9459972591187013
identity	0.1	True	(50,)	constant	500	lbfgs	0.9526785714285715	0.9496388028895769	0.9459972591187013
identity	0.1	True	(50,)	adaptive	500	lbfgs	0.9526785714285715	0.9496388028895769	0.9459972591187013
identity	0.1	True	(50,)	constant	1000	lbfgs	0.9526785714285715	0.9496388028895769	0.9459972591187013
identity	0.1	True	(50,)	invscaling	500	lbfgs	0.9526785714285715	0.9496388028895769	0.9459972591187013
identity	0.1	True	(50,)	invscaling	1000	lbfgs	0.9526785714285715	0.9496388028895769	0.9459972591187013
relu	0.1	True	(100,)	invscaling	500	adam	0.9321853741496599	0.9492711558307534	0.918056082648113
relu	0.1	True	(100,)	invscaling	1000	adam	0.9321853741496599	0.9492711558307534	0.918056082648113
relu	0.1	True	(100,)	constant	1000	adam	0.9321853741496599	0.9492711558307534	0.918056082648113
relu	0.1	True	(100,)	constant	500	adam	0.9321853741496599	0.9492711558307534	0.918056082648113
relu	0.1	True	(100,)	adaptive	500	adam	0.9321853741496599	0.9492711558307534	0.918056082648113
relu	0.1	True	(100,)	adaptive	1000	adam	0.9321853741496599	0.9492711558307534	0.918056082648113
relu	0.01	True	(100, 100)	constant	1000	adam	0.9505527210884352	0.9481944444444445	0.9434366434745943
relu	0.01	True	(100, 100)	adaptive	500	adam	0.9505527210884352	0.9481944444444445	0.9434366434745943
relu	0.01	True	(100, 100)	invscaling	500	adam	0.9505527210884352	0.9481944444444445	0.9434366434745943
relu	0.01	True	(100, 100)	invscaling	1000	adam	0.9505527210884352	0.9481944444444445	0.9434366434745943
