activation	alpha	early_stopping	hidden_layer_sizes	learning_rate	max_iter	solver	mean_valid_accuracy	mean_valid_precision	mean_valid_auc
logistic	0.001	True	(50, 50)	invscaling	1000	adam	0.9069019607843138	0.9305136370337609	0.9000597104045379
logistic	0.001	True	(50, 50)	invscaling	500	adam	0.9069019607843138	0.9305136370337609	0.9000597104045379
logistic	0.001	True	(50, 50)	adaptive	500	adam	0.9069019607843138	0.9305136370337609	0.9000597104045379
logistic	0.001	True	(50, 50)	constant	1000	adam	0.9069019607843138	0.9305136370337609	0.9000597104045379
logistic	0.001	True	(50, 50)	constant	500	adam	0.9069019607843138	0.9305136370337609	0.9000597104045379
logistic	0.001	True	(50, 50)	adaptive	1000	adam	0.9069019607843138	0.9305136370337609	0.9000597104045379
logistic	0.01	True	(50, 50)	adaptive	1000	adam	0.9029411764705882	0.9261846327047565	0.8960012688460963
logistic	0.01	True	(50, 50)	adaptive	500	adam	0.9029411764705882	0.9261846327047565	0.8960012688460963
logistic	0.01	True	(50, 50)	invscaling	1000	adam	0.9029411764705882	0.9261846327047565	0.8960012688460963
logistic	0.01	True	(50, 50)	invscaling	500	adam	0.9029411764705882	0.9261846327047565	0.8960012688460963
logistic	0.01	True	(50, 50)	constant	1000	adam	0.9029411764705882	0.9261846327047565	0.8960012688460963
logistic	0.01	True	(50, 50)	constant	500	adam	0.9029411764705882	0.9261846327047565	0.8960012688460963
logistic	0.001	True	(100,)	adaptive	500	sgd	0.8253333333333334	0.9195750654574184	0.8063367666815943
logistic	0.001	True	(100,)	adaptive	1000	sgd	0.8253333333333334	0.9195750654574184	0.8063367666815943
logistic	0.01	True	(100,)	adaptive	1000	sgd	0.8253333333333334	0.9195750654574184	0.8063367666815943
logistic	0.1	True	(100,)	adaptive	500	sgd	0.8253333333333334	0.9195750654574184	0.8063367666815943
logistic	0.01	True	(100,)	adaptive	500	sgd	0.8253333333333334	0.9195750654574184	0.8063367666815943
logistic	0.1	True	(100,)	adaptive	1000	sgd	0.8253333333333334	0.9195750654574184	0.8063367666815943
relu	0.001	True	(50,)	constant	500	lbfgs	0.9250588235294117	0.919393898603752	0.9258844603672192
relu	0.001	True	(50,)	constant	1000	lbfgs	0.9250588235294117	0.919393898603752	0.9258844603672192
relu	0.001	True	(50,)	invscaling	500	lbfgs	0.9250588235294117	0.919393898603752	0.9258844603672192
relu	0.001	True	(50,)	invscaling	1000	lbfgs	0.9250588235294117	0.919393898603752	0.9258844603672192
relu	0.01	True	(50,)	invscaling	500	lbfgs	0.9250588235294117	0.919393898603752	0.9258844603672192
relu	0.001	True	(50,)	adaptive	500	lbfgs	0.9250588235294117	0.919393898603752	0.9258844603672192
relu	0.01	True	(50,)	constant	500	lbfgs	0.9250588235294117	0.919393898603752	0.9258844603672192
relu	0.01	True	(50,)	constant	1000	lbfgs	0.9250588235294117	0.919393898603752	0.9258844603672192
relu	0.001	True	(50,)	adaptive	1000	lbfgs	0.9250588235294117	0.919393898603752	0.9258844603672192
relu	0.01	True	(50,)	invscaling	1000	lbfgs	0.9250588235294117	0.919393898603752	0.9258844603672192
relu	0.01	True	(50,)	adaptive	500	lbfgs	0.9250588235294117	0.919393898603752	0.9258844603672192
relu	0.01	True	(50,)	adaptive	1000	lbfgs	0.9250588235294117	0.919393898603752	0.9258844603672192
logistic	0.001	True	(100, 100)	adaptive	1000	adam	0.8930588235294117	0.9181823106152478	0.888037393640842
logistic	0.001	True	(100, 100)	adaptive	500	adam	0.8930588235294117	0.9181823106152478	0.888037393640842
logistic	0.001	True	(100, 100)	invscaling	1000	adam	0.8930588235294117	0.9181823106152478	0.888037393640842
logistic	0.001	True	(100, 100)	constant	500	adam	0.8930588235294117	0.9181823106152478	0.888037393640842
logistic	0.001	True	(100, 100)	invscaling	500	adam	0.8930588235294117	0.9181823106152478	0.888037393640842
logistic	0.001	True	(100, 100)	constant	1000	adam	0.8930588235294117	0.9181823106152478	0.888037393640842
logistic	0.001	True	(100,)	constant	1000	sgd	0.8153725490196079	0.918088773971127	0.7944245409762651
logistic	0.001	True	(100,)	constant	500	sgd	0.8153725490196079	0.918088773971127	0.7944245409762651
logistic	0.1	True	(100,)	constant	500	sgd	0.8153725490196079	0.918088773971127	0.7944245409762651
logistic	0.01	True	(100,)	constant	1000	sgd	0.8153725490196079	0.918088773971127	0.7944245409762651
logistic	0.01	True	(100,)	constant	500	sgd	0.8153725490196079	0.918088773971127	0.7944245409762651
logistic	0.1	True	(100,)	constant	1000	sgd	0.8153725490196079	0.918088773971127	0.7944245409762651
logistic	0.1	True	(100, 100)	adaptive	500	adam	0.9050588235294118	0.9176168743537165	0.9013416181519631
logistic	0.1	True	(100, 100)	constant	500	adam	0.9050588235294118	0.9176168743537165	0.9013416181519631
logistic	0.1	True	(100, 100)	adaptive	1000	adam	0.9050588235294118	0.9176168743537165	0.9013416181519631
logistic	0.1	True	(100, 100)	invscaling	1000	adam	0.9050588235294118	0.9176168743537165	0.9013416181519631
logistic	0.1	True	(100, 100)	invscaling	500	adam	0.9050588235294118	0.9176168743537165	0.9013416181519631
logistic	0.1	True	(100, 100)	constant	1000	adam	0.9050588235294118	0.9176168743537165	0.9013416181519631
logistic	0.01	True	(100, 100)	invscaling	1000	adam	0.8970980392156862	0.9122390066074276	0.8930698611733096
logistic	0.01	True	(100, 100)	constant	500	adam	0.8970980392156862	0.9122390066074276	0.8930698611733096
logistic	0.01	True	(100, 100)	constant	1000	adam	0.8970980392156862	0.9122390066074276	0.8930698611733096
logistic	0.01	True	(100, 100)	adaptive	500	adam	0.8970980392156862	0.9122390066074276	0.8930698611733096
logistic	0.01	True	(100, 100)	invscaling	500	adam	0.8970980392156862	0.9122390066074276	0.8930698611733096
logistic	0.01	True	(100, 100)	adaptive	1000	adam	0.8970980392156862	0.9122390066074276	0.8930698611733096
tanh	0.1	True	(50, 50)	adaptive	1000	lbfgs	0.9230196078431373	0.9069444967271055	0.9250727720555307
tanh	0.1	True	(50, 50)	adaptive	500	lbfgs	0.9230196078431373	0.9069444967271055	0.9250727720555307
tanh	0.1	True	(50, 50)	invscaling	1000	lbfgs	0.9230196078431373	0.9069444967271055	0.9250727720555307
tanh	0.1	True	(50, 50)	invscaling	500	lbfgs	0.9230196078431373	0.9069444967271055	0.9250727720555307
tanh	0.1	True	(50, 50)	constant	1000	lbfgs	0.9230196078431373	0.9069444967271055	0.9250727720555307
tanh	0.1	True	(50, 50)	constant	500	lbfgs	0.9230196078431373	0.9069444967271055	0.9250727720555307
relu	0.1	True	(100,)	constant	1000	lbfgs	0.9169411764705883	0.9045720945720946	0.9167711598746081
relu	0.1	True	(100,)	invscaling	1000	lbfgs	0.9169411764705883	0.9045720945720946	0.9167711598746081
relu	0.1	True	(100,)	adaptive	500	lbfgs	0.9169411764705883	0.9045720945720946	0.9167711598746081
