max_depth	max_features	min_samples_leaf	min_samples_split	n_estimators	mean_valid_accuracy	mean_valid_precision	mean_valid_auc
12	sqrt	2	4	600	0.9538563829787234	0.9580645161290322	0.9537557975398265
12	sqrt	2	2	600	0.9538563829787234	0.9580645161290322	0.9537557975398265
10	log2	2	10	600	0.9538120567375886	0.9549999999999998	0.9536942211851468
10	log2	2	8	600	0.9559397163120567	0.9549999999999998	0.9563258001325151
12	log2	2	4	600	0.9559397163120567	0.9549999999999998	0.9563258001325151
12	log2	2	10	600	0.9559397163120567	0.9549999999999998	0.9563258001325151
12	log2	2	2	1000	0.9580230496453901	0.9549999999999998	0.9589573790798835
12	log2	2	2	600	0.9559397163120567	0.9549999999999998	0.9563258001325151
12	log2	2	4	1000	0.9580230496453901	0.9549999999999998	0.9589573790798835
12	log2	2	8	1000	0.9559397163120567	0.9549999999999998	0.9563258001325151
10	log2	2	4	1000	0.9538563829787234	0.9530645161290321	0.9546016622014806
10	log2	2	2	1000	0.9538563829787234	0.9530645161290321	0.9546016622014806
8	sqrt	2	2	200	0.9559840425531915	0.9530645161290321	0.9573794399792585
12	sqrt	2	2	200	0.9538563829787234	0.9530645161290321	0.9547478610318901
8	sqrt	2	4	200	0.9559840425531915	0.9530645161290321	0.9573794399792585
12	sqrt	2	2	1000	0.9517287234042554	0.9530645161290321	0.9519700832541123
12	sqrt	2	4	200	0.9538563829787234	0.9530645161290321	0.9547478610318901
10	sqrt	2	4	1000	0.9517287234042554	0.9530645161290321	0.9519700832541123
12	sqrt	2	4	1000	0.9517287234042554	0.9530645161290321	0.9519700832541123
10	sqrt	2	4	200	0.9538563829787234	0.9530645161290321	0.9547478610318901
10	sqrt	2	2	1000	0.9517287234042554	0.9530645161290321	0.9519700832541123
8	log2	2	8	600	0.9559397163120569	0.9530645161290321	0.9572332411488491
8	log2	2	8	1000	0.9559397163120569	0.9530645161290321	0.9572332411488491
10	log2	2	10	1000	0.9517287234042554	0.9530645161290321	0.9519700832541123
10	sqrt	2	2	200	0.9538563829787234	0.9530645161290321	0.9547478610318901
12	log2	2	10	1000	0.9538120567375887	0.9530645161290321	0.9546016622014806
12	log2	4	10	1000	0.9538120567375887	0.9530645161290321	0.9546016622014806
12	sqrt	2	8	600	0.9496010638297874	0.9528013582342953	0.9493385043067437
10	log2	2	4	200	0.9517287234042554	0.9512499999999999	0.9528775242704463
10	log2	2	2	200	0.9517287234042554	0.9512499999999999	0.9528775242704463
10	log2	2	8	1000	0.949645390070922	0.9512499999999999	0.9502459453230777
12	log2	2	8	200	0.955895390070922	0.9497368421052631	0.9571716647941692
12	sqrt	2	10	200	0.9580230496453901	0.9497368421052631	0.959949442571947
10	log2	2	4	600	0.955895390070922	0.9497368421052631	0.9571716647941692
8	log2	2	10	600	0.955895390070922	0.9497368421052631	0.9571716647941692
10	log2	2	2	600	0.955895390070922	0.9497368421052631	0.9571716647941692
12	log2	2	8	600	0.9538120567375886	0.9497368421052631	0.9545400858468008
12	log2	2	10	200	0.9537677304964539	0.9491118421052631	0.9553013280327255
10	log2	2	10	200	0.9517287234042554	0.9483575317604356	0.9519085068994324
8	log2	2	10	200	0.9516843971631207	0.9483575317604356	0.9517623080690232
12	sqrt	4	4	600	0.9538120567375887	0.9478013582342953	0.9554475268631346
8	log2	2	4	600	0.9538120567375887	0.9478013582342953	0.9554475268631346
8	sqrt	4	4	600	0.9538120567375887	0.9478013582342953	0.9554475268631346
8	sqrt	4	2	600	0.9538120567375887	0.9478013582342953	0.9554475268631346
8	sqrt	2	4	1000	0.9517287234042554	0.9478013582342953	0.9528159479157663
8	sqrt	2	4	600	0.9538120567375887	0.9478013582342953	0.9554475268631346
8	sqrt	2	2	1000	0.9517287234042554	0.9478013582342953	0.9528159479157663
8	sqrt	2	2	600	0.9538120567375887	0.9478013582342953	0.9554475268631346
10	sqrt	4	8	1000	0.9538120567375887	0.9478013582342953	0.9554475268631346
12	log2	4	4	1000	0.9495567375886527	0.9478013582342953	0.9500381701379886
10	sqrt	4	10	600	0.9516843971631206	0.9478013582342953	0.9528159479157663
12	log2	4	2	1000	0.9495567375886527	0.9478013582342953	0.9500381701379886
8	log2	2	4	1000	0.9538120567375887	0.9478013582342953	0.9554475268631346
8	log2	2	8	200	0.9538120567375887	0.9478013582342953	0.9554475268631346
10	log2	4	8	1000	0.9516843971631206	0.9478013582342953	0.9528159479157663
10	log2	4	4	1000	0.9516843971631206	0.9478013582342953	0.9528159479157663
10	log2	4	2	1000	0.9516843971631206	0.9478013582342953	0.9528159479157663
8	log2	2	10	1000	0.9516843971631206	0.9478013582342953	0.9528159479157663
12	log2	4	8	1000	0.9495567375886527	0.9478013582342953	0.9500381701379886
8	log2	2	2	600	0.9538120567375887	0.9478013582342953	0.9554475268631346
8	sqrt	4	8	600	0.9538120567375887	0.9478013582342953	0.9554475268631346
10	sqrt	4	8	600	0.9538120567375887	0.9478013582342953	0.9554475268631346
6	log2	2	2	600	0.9538120567375887	0.9478013582342953	0.9554475268631346
8	log2	2	2	200	0.9516843971631207	0.9478013582342953	0.952669749085357
12	sqrt	4	2	600	0.9538120567375887	0.9478013582342953	0.9554475268631346
10	sqrt	2	2	600	0.9496010638297874	0.9478013582342953	0.9501843689683979
10	sqrt	2	4	600	0.9496010638297874	0.9478013582342953	0.9501843689683979
12	sqrt	2	10	600	0.9517287234042554	0.9478013582342953	0.9528159479157663
8	log2	2	2	1000	0.9538120567375887	0.9478013582342953	0.9554475268631346
12	sqrt	2	8	1000	0.9517287234042554	0.9478013582342953	0.9528159479157663
10	sqrt	4	4	1000	0.9538120567375887	0.9478013582342953	0.9554475268631346
8	log2	2	4	200	0.9516843971631207	0.9478013582342953	0.952669749085357
10	sqrt	2	8	600	0.9496010638297874	0.9478013582342953	0.9501843689683979
10	sqrt	2	10	200	0.9559397163120569	0.9478013582342953	0.9582253046409125
6	log2	2	4	600	0.9538120567375887	0.9478013582342953	0.9554475268631346
10	sqrt	2	10	600	0.9496010638297874	0.9478013582342953	0.9501843689683979
12	sqrt	4	8	600	0.9538120567375887	0.9478013582342953	0.9554475268631346
10	sqrt	4	2	1000	0.9538120567375887	0.9478013582342953	0.9554475268631346
10	sqrt	4	4	600	0.9538120567375887	0.9478013582342953	0.9554475268631346
10	sqrt	4	2	600	0.9538120567375887	0.9478013582342953	0.9554475268631346
6	log2	2	8	1000	0.9517287234042554	0.9464035087719298	0.9528159479157663
10	log2	2	8	200	0.9517287234042554	0.9464035087719298	0.9528159479157663
12	log2	4	10	200	0.9517287234042554	0.9459868421052631	0.9537233889321003
10	sqrt	4	10	200	0.9538563829787234	0.9459868421052631	0.9565011667098782
12	sqrt	4	2	200	0.9517287234042554	0.9459868421052631	0.9537233889321003
12	sqrt	4	8	200	0.9517287234042554	0.9459868421052631	0.9537233889321003
6	log2	2	10	600	0.9517287234042554	0.9459868421052631	0.9538695877625096
12	sqrt	4	4	200	0.9517287234042554	0.9459868421052631	0.9537233889321003
6	log2	2	4	1000	0.9517287234042554	0.9459868421052631	0.9537233889321003
12	sqrt	4	10	600	0.9517287234042554	0.9459868421052631	0.9537233889321003
12	sqrt	4	10	200	0.9517287234042554	0.9459868421052631	0.9537233889321003
6	log2	2	2	1000	0.9517287234042554	0.9459868421052631	0.9537233889321003
6	sqrt	2	8	200	0.9537677304964539	0.944736842105263	0.955385950508455
8	log2	4	10	1000	0.9475177304964539	0.9445755517826825	0.9483140322069541
8	log2	4	10	200	0.949645390070922	0.9445755517826825	0.9510918099847319
6	log2	4	2	600	0.9475177304964539	0.9445755517826825	0.9484602310373635
6	log2	4	4	600	0.9475177304964539	0.9445755517826825	0.9484602310373635
6	log2	4	4	1000	0.949645390070922	0.9445755517826825	0.9510918099847319
6	log2	4	8	600	0.9475177304964539	0.9445755517826825	0.9484602310373635
6	log2	4	2	1000	0.949645390070922	0.9445755517826825	0.9510918099847319
6	log2	4	8	1000	0.949645390070922	0.9445755517826825	0.9510918099847319
6	log2	2	10	1000	0.949645390070922	0.9445755517826825	0.9512380088151413
6	log2	2	10	200	0.949645390070922	0.9442822966507176	0.9519992510010657
12	log2	2	2	200	0.9475177304964539	0.9439898989898989	0.9493676720536973
12	log2	2	4	200	0.9475177304964539	0.9439898989898989	0.9493676720536973
8	sqrt	2	10	200	0.9538120567375886	0.9438544891640867	0.9555321493388644
10	sqrt	2	8	1000	0.9474734042553192	0.9425382003395585	0.9483986546826836
10	sqrt	2	10	1000	0.9474734042553192	0.9425382003395585	0.9483986546826836
12	sqrt	2	10	1000	0.9496010638297874	0.9425382003395585	0.9510302336300521
10	sqrt	4	2	200	0.9516843971631207	0.9425382003395585	0.9536618125774204
6	sqrt	2	4	1000	0.9538120567375887	0.9425382003395585	0.9564395903551983
8	log2	4	8	1000	0.9495567375886524	0.9425382003395585	0.9510302336300521
6	sqrt	2	4	600	0.9538120567375887	0.9425382003395585	0.9564395903551983
6	sqrt	2	2	600	0.9538120567375887	0.9425382003395585	0.9564395903551983
8	log2	4	10	600	0.9453014184397162	0.9425382003395585	0.9454746780744966
6	log2	2	8	600	0.9516843971631207	0.9425382003395585	0.9536618125774204
12	sqrt	4	2	1000	0.9516843971631207	0.9425382003395585	0.9536618125774204
12	sqrt	4	4	1000	0.9516843971631207	0.9425382003395585	0.9536618125774204
12	sqrt	4	8	1000	0.9516843971631207	0.9425382003395585	0.9536618125774204
6	sqrt	2	2	1000	0.9538120567375887	0.9425382003395585	0.9564395903551983
8	log2	4	2	600	0.9474290780141844	0.9425382003395585	0.9482524558522745
8	log2	4	2	1000	0.9495567375886524	0.9425382003395585	0.9510302336300521
8	log2	4	4	600	0.9474290780141844	0.9425382003395585	0.9482524558522745
8	log2	4	4	1000	0.9495567375886524	0.9425382003395585	0.9510302336300521
12	log2	4	2	600	0.9474290780141844	0.9425382003395585	0.9482524558522745
8	log2	4	8	600	0.9474290780141844	0.9425382003395585	0.9482524558522745
10	sqrt	4	4	200	0.9516843971631207	0.9425382003395585	0.9536618125774204
8	sqrt	2	10	600	0.9517287234042554	0.9425382003395585	0.95380801140783
6	sqrt	2	10	600	0.9516843971631207	0.9425382003395585	0.9536618125774204
10	log2	4	2	600	0.9474290780141844	0.9425382003395585	0.9482524558522745
10	log2	4	4	600	0.9474290780141844	0.9425382003395585	0.9482524558522745
10	log2	4	8	600	0.9474290780141844	0.9425382003395585	0.9482524558522745
10	log2	4	10	600	0.9474290780141844	0.9425382003395585	0.9482524558522745
10	log2	4	10	1000	0.9495567375886524	0.9425382003395585	0.9510302336300521
10	sqrt	4	10	1000	0.9516843971631207	0.9425382003395585	0.9536618125774204
12	log2	4	10	600	0.9474290780141844	0.9425382003395585	0.9482524558522745
12	log2	4	4	600	0.9474290780141844	0.9425382003395585	0.9482524558522745
6	sqrt	2	8	600	0.9516843971631207	0.9425382003395585	0.9536618125774204
8	sqrt	2	8	200	0.9517287234042554	0.9425382003395585	0.95380801140783
12	log2	4	8	600	0.9474290780141844	0.9425382003395585	0.9482524558522745
8	sqrt	2	8	1000	0.9517287234042554	0.9425382003395585	0.95380801140783
8	sqrt	2	8	600	0.9517287234042554	0.9425382003395585	0.95380801140783
