colsample_bytree	eval_metric	gamma	learning_rate	max_depth	min_child_weight	n_estimators	objective	subsample	mean_valid_accuracy	mean_valid_precision	mean_valid_auc
0.5	error	0	0.01	4	1	600	binary:logitraw	0.5	0.9517287234042554	0.9565134099616859	0.9501552012214443
0.5	auc	0	0.01	4	1	600	binary:logitraw	0.5	0.9517287234042554	0.9565134099616859	0.9501552012214443
1.0	error	0	0.01	8	3	600	binary:logitraw	0.5	0.9495567375886524	0.9534033613445377	0.9474620459193961
1.0	auc	0	0.01	8	3	600	binary:logitraw	0.5	0.9495567375886524	0.9534033613445377	0.9474620459193961
0.5	auc	0	0.2	6	1	600	binary:logitraw	1.0	0.9559840425531915	0.9530645161290323	0.9573794399792586
0.5	error	0	0.2	6	1	600	binary:logitraw	1.0	0.9559840425531915	0.9530645161290323	0.9573794399792586
0.5	auc	0	0.01	4	1	1000	binary:logitraw	0.5	0.9517287234042554	0.9530645161290321	0.9519700832541123
0.5	error	0	0.01	4	1	1000	binary:logitraw	0.5	0.9517287234042554	0.9530645161290321	0.9519700832541123
1.0	error	0	0.2	6	1	600	binary:logitraw	0.5	0.9580230496453901	0.9520689655172413	0.9590420015556133
1.0	auc	0	0.2	6	1	600	binary:logitraw	0.5	0.9580230496453901	0.9520689655172413	0.9590420015556133
0.5	error	0	0.01	6	1	600	binary:logitraw	0.5	0.9537677304964539	0.9515134099616859	0.9536326448304668
0.5	error	0	0.01	8	1	600	binary:logitraw	0.5	0.9537677304964539	0.9515134099616859	0.9536326448304668
1.0	error	0	0.01	8	1	600	binary:logitraw	0.5	0.9537677304964539	0.9515134099616859	0.9536326448304668
0.5	auc	0	0.01	8	1	600	binary:logitraw	0.5	0.9537677304964539	0.9515134099616859	0.9536326448304668
0.5	auc	0	0.01	6	1	600	binary:logitraw	0.5	0.9537677304964539	0.9515134099616859	0.9536326448304668
1.0	auc	0	0.01	8	1	600	binary:logitraw	0.5	0.9537677304964539	0.9515134099616859	0.9536326448304668
1.0	error	0	0.01	4	3	600	binary:logitraw	0.5	0.9474290780141844	0.951186612576065	0.9455917091579524
1.0	error	0	0.01	6	3	600	binary:logitraw	0.5	0.9474734042553191	0.951186612576065	0.9457379079883615
1.0	auc	0	0.01	6	3	600	binary:logitraw	0.5	0.9474734042553191	0.951186612576065	0.9457379079883615
1.0	auc	0	0.01	4	3	600	binary:logitraw	0.5	0.9474290780141844	0.951186612576065	0.9455917091579524
0.5	auc	0	0.01	4	3	1000	binary:logitraw	0.5	0.9516400709219859	0.951186612576065	0.9508548670526892
0.5	error	0	0.01	4	3	1000	binary:logitraw	0.5	0.9516400709219859	0.951186612576065	0.9508548670526892
1.0	auc	0	0.01	8	1	200	binary:logitraw	0.5	0.9474290780141844	0.9506310570205093	0.9455917091579524
1.0	auc	0	0.01	6	1	200	binary:logitraw	0.5	0.9474290780141844	0.9506310570205093	0.9455917091579524
1.0	error	0	0.01	4	1	200	binary:logitraw	0.5	0.9368794326241134	0.9506310570205093	0.9321414167602915
1.0	error	0	0.01	6	1	200	binary:logitraw	0.5	0.9474290780141844	0.9506310570205093	0.9455917091579524
1.0	auc	0	0.01	4	1	200	binary:logitraw	0.5	0.9368794326241134	0.9506310570205093	0.9321414167602915
1.0	error	0	0.01	8	1	200	binary:logitraw	0.5	0.9474290780141844	0.9506310570205093	0.9455917091579524
1.0	error	0	0.01	4	1	1000	binary:logitraw	1.0	0.9517287234042554	0.9504761904761905	0.9520547057298417
1.0	auc	0	0.01	4	1	600	binary:logitraw	1.0	0.9496010638297874	0.9504761904761905	0.9494231267824734
1.0	auc	0	0.01	4	1	1000	binary:logitraw	1.0	0.9517287234042554	0.9504761904761905	0.9520547057298417
