activation	alpha	early_stopping	hidden_layer_sizes	learning_rate	max_iter	solver	mean_valid_accuracy	mean_valid_precision	mean_valid_auc
logistic	0.1	True	(100,)	adaptive	1000	adam	0.9345744680851065	0.9585507246376812	0.9257954512718578
logistic	0.1	True	(100,)	constant	1000	adam	0.9345744680851065	0.9585507246376812	0.9257954512718578
logistic	0.001	True	(100,)	adaptive	500	adam	0.9345744680851065	0.9585507246376812	0.9257954512718578
logistic	0.01	True	(100,)	invscaling	500	adam	0.9345744680851065	0.9585507246376812	0.9257954512718578
logistic	0.01	True	(100,)	invscaling	1000	adam	0.9345744680851065	0.9585507246376812	0.9257954512718578
logistic	0.01	True	(100,)	adaptive	500	adam	0.9345744680851065	0.9585507246376812	0.9257954512718578
logistic	0.001	True	(100,)	invscaling	1000	adam	0.9345744680851065	0.9585507246376812	0.9257954512718578
logistic	0.001	True	(100,)	adaptive	1000	adam	0.9345744680851065	0.9585507246376812	0.9257954512718578
logistic	0.01	True	(100,)	adaptive	1000	adam	0.9345744680851065	0.9585507246376812	0.9257954512718578
logistic	0.1	True	(100,)	adaptive	500	adam	0.9345744680851065	0.9585507246376812	0.9257954512718578
logistic	0.1	True	(100,)	invscaling	1000	adam	0.9345744680851065	0.9585507246376812	0.9257954512718578
logistic	0.01	True	(100,)	constant	500	adam	0.9345744680851065	0.9585507246376812	0.9257954512718578
logistic	0.1	True	(100,)	invscaling	500	adam	0.9345744680851065	0.9585507246376812	0.9257954512718578
logistic	0.1	True	(100,)	constant	500	adam	0.9345744680851065	0.9585507246376812	0.9257954512718578
logistic	0.001	True	(100,)	constant	1000	adam	0.9345744680851065	0.9585507246376812	0.9257954512718578
logistic	0.001	True	(100,)	constant	500	adam	0.9345744680851065	0.9585507246376812	0.9257954512718578
logistic	0.001	True	(100,)	invscaling	500	adam	0.9345744680851065	0.9585507246376812	0.9257954512718578
logistic	0.01	True	(100,)	constant	1000	adam	0.9345744680851065	0.9585507246376812	0.9257954512718578
relu	0.1	True	(100, 100)	invscaling	1000	lbfgs	0.9539893617021276	0.9545454545454545	0.9557168784029038
relu	0.1	True	(100, 100)	invscaling	500	lbfgs	0.9539893617021276	0.9545454545454545	0.9557168784029038
relu	0.1	True	(100, 100)	adaptive	500	lbfgs	0.9539893617021276	0.9545454545454545	0.9557168784029038
relu	0.1	True	(100, 100)	constant	1000	lbfgs	0.9539893617021276	0.9545454545454545	0.9557168784029038
relu	0.1	True	(100, 100)	constant	500	lbfgs	0.9539893617021276	0.9545454545454545	0.9557168784029038
relu	0.1	True	(100, 100)	adaptive	1000	lbfgs	0.9539893617021276	0.9545454545454545	0.9557168784029038
relu	0.01	True	(50, 50)	constant	500	lbfgs	0.9559840425531915	0.9530645161290321	0.9572332411488491
