C	gamma	kernel	mean_valid_accuracy	mean_valid_precision	mean_valid_auc
1.0	0.01	rbf	0.7043434343434344	1.0	0.588125
100.0	0.01	rbf	0.7315151515151516	0.975	0.6270258620689655
10.0	0.01	rbf	0.7315151515151516	0.975	0.6270258620689655
1000.0	0.01	rbf	0.7315151515151516	0.975	0.6270258620689655
1.0	100.0	linear	0.9553535353535352	0.9533333333333334	0.9569037356321839
1.0	1000.0	linear	0.9553535353535352	0.9533333333333334	0.9569037356321839
10.0	0.1	linear	0.9553535353535352	0.9533333333333334	0.9569037356321839
10.0	1.0	linear	0.9553535353535352	0.9533333333333334	0.9569037356321839
10.0	100.0	linear	0.9553535353535352	0.9533333333333334	0.9569037356321839
10.0	1000.0	linear	0.9553535353535352	0.9533333333333334	0.9569037356321839
100.0	0.01	linear	0.9553535353535352	0.9533333333333334	0.9569037356321839
0.01	0.01	linear	0.9553535353535352	0.9533333333333334	0.9569037356321839
1.0	1.0	linear	0.9553535353535352	0.9533333333333334	0.9569037356321839
100.0	1.0	linear	0.9553535353535352	0.9533333333333334	0.9569037356321839
100.0	100.0	linear	0.9553535353535352	0.9533333333333334	0.9569037356321839
100.0	1000.0	linear	0.9553535353535352	0.9533333333333334	0.9569037356321839
1000.0	0.01	linear	0.9553535353535352	0.9533333333333334	0.9569037356321839
1000.0	0.1	linear	0.9553535353535352	0.9533333333333334	0.9569037356321839
1000.0	1.0	linear	0.9553535353535352	0.9533333333333334	0.9569037356321839
1000.0	100.0	linear	0.9553535353535352	0.9533333333333334	0.9569037356321839
1000.0	1000.0	linear	0.9553535353535352	0.9533333333333334	0.9569037356321839
100.0	0.1	linear	0.9553535353535352	0.9533333333333334	0.9569037356321839
10.0	0.01	linear	0.9553535353535352	0.9533333333333334	0.9569037356321839
0.1	0.1	linear	0.9553535353535352	0.9533333333333334	0.9569037356321839
0.01	0.1	linear	0.9553535353535352	0.9533333333333334	0.9569037356321839
1.0	0.01	linear	0.9553535353535352	0.9533333333333334	0.9569037356321839
1.0	0.1	linear	0.9553535353535352	0.9533333333333334	0.9569037356321839
0.01	1.0	linear	0.9553535353535352	0.9533333333333334	0.9569037356321839
0.1	1000.0	linear	0.9553535353535352	0.9533333333333334	0.9569037356321839
0.01	1000.0	linear	0.9553535353535352	0.9533333333333334	0.9569037356321839
0.1	0.01	linear	0.9553535353535352	0.9533333333333334	0.9569037356321839
0.1	100.0	linear	0.9553535353535352	0.9533333333333334	0.9569037356321839
0.01	100.0	linear	0.9553535353535352	0.9533333333333334	0.9569037356321839
0.1	1.0	linear	0.9553535353535352	0.9533333333333334	0.9569037356321839
100.0	1000.0	rbf	0.6410606060606061	0.0	0.5
0.01	1000.0	rbf	0.6410606060606061	0.0	0.5
100.0	100.0	rbf	0.6410606060606061	0.0	0.5
0.01	1.0	rbf	0.6410606060606061	0.0	0.5
0.01	100.0	rbf	0.6410606060606061	0.0	0.5
1000.0	0.1	rbf	0.6410606060606061	0.0	0.5
1000.0	1.0	rbf	0.6410606060606061	0.0	0.5
0.01	0.1	rbf	0.6410606060606061	0.0	0.5
1000.0	100.0	rbf	0.6410606060606061	0.0	0.5
100.0	1.0	rbf	0.6410606060606061	0.0	0.5
1.0	0.1	rbf	0.6410606060606061	0.0	0.5
100.0	0.1	rbf	0.6410606060606061	0.0	0.5
0.1	0.01	rbf	0.6410606060606061	0.0	0.5
0.1	0.1	rbf	0.6410606060606061	0.0	0.5
10.0	1000.0	rbf	0.6410606060606061	0.0	0.5
10.0	100.0	rbf	0.6410606060606061	0.0	0.5
0.1	1.0	rbf	0.6410606060606061	0.0	0.5
10.0	1.0	rbf	0.6410606060606061	0.0	0.5
10.0	0.1	rbf	0.6410606060606061	0.0	0.5
0.1	100.0	rbf	0.6410606060606061	0.0	0.5
0.01	0.01	rbf	0.6410606060606061	0.0	0.5
1.0	1000.0	rbf	0.6410606060606061	0.0	0.5
0.1	1000.0	rbf	0.6410606060606061	0.0	0.5
1.0	100.0	rbf	0.6410606060606061	0.0	0.5
1.0	1.0	rbf	0.6410606060606061	0.0	0.5
1000.0	1000.0	rbf	0.6410606060606061	0.0	0.5
