colsample_bytree	eval_metric	gamma	learning_rate	max_depth	min_child_weight	n_estimators	objective	subsample	mean_valid_accuracy	mean_valid_precision	mean_valid_auc
0.5	error	0	0.01	6	3	200	binary:logitraw	0.5	0.8799999999999999	0.9545299145299146	0.8429591704395397
0.5	auc	0	0.01	6	3	200	binary:logitraw	0.5	0.8799999999999999	0.9545299145299146	0.8429591704395397
1.0	error	0	0.01	6	1	600	binary:logitraw	0.5	0.922	0.9512569581261532	0.9031382640067912
1.0	auc	0	0.01	6	1	600	binary:logitraw	0.5	0.922	0.9512569581261532	0.9031382640067912
0.5	auc	0	0.01	8	3	200	binary:logitraw	0.5	0.876	0.9482799145299147	0.8386188926617619
0.5	error	0	0.01	8	3	200	binary:logitraw	0.5	0.876	0.9482799145299147	0.8386188926617619
0.5	error	0	0.01	8	3	600	binary:logitraw	0.5	0.9040000000000001	0.9473039215686274	0.87843066166761
0.5	error	0	0.01	4	3	600	binary:logitraw	0.5	0.9020000000000001	0.9473039215686274	0.8756528838898321
0.5	auc	0	0.01	4	3	600	binary:logitraw	0.5	0.9020000000000001	0.9473039215686274	0.8756528838898321
0.5	error	0	0.01	6	3	600	binary:logitraw	0.5	0.9000000000000001	0.9473039215686274	0.8728751061120542
0.5	auc	0	0.01	8	3	600	binary:logitraw	0.5	0.9040000000000001	0.9473039215686274	0.87843066166761
0.5	auc	0	0.01	6	3	600	binary:logitraw	0.5	0.9000000000000001	0.9473039215686274	0.8728751061120542
1.0	error	0	0.01	8	1	600	binary:logitraw	0.5	0.9199999999999999	0.9442075163398693	0.9015253607809848
1.0	auc	0	0.01	8	1	600	binary:logitraw	0.5	0.9199999999999999	0.9442075163398693	0.9015253607809848
0.5	auc	0	0.01	8	1	600	binary:logitraw	0.5	0.9119999999999999	0.9440054961378491	0.8904646528956801
0.5	error	0	0.01	8	1	600	binary:logitraw	0.5	0.9119999999999999	0.9440054961378491	0.8904646528956801
1.0	error	0	0.01	8	3	600	binary:logitraw	0.5	0.908	0.9438502673796793	0.8850048929447274
1.0	auc	0	0.01	8	3	600	binary:logitraw	0.5	0.908	0.9438502673796793	0.8850048929447274
0.5	auc	0	0.01	6	1	600	binary:logitraw	0.5	0.9099999999999999	0.943264533883729	0.8878330739483117
0.5	error	0	0.01	6	1	600	binary:logitraw	0.5	0.9099999999999999	0.943264533883729	0.8878330739483117
0.5	auc	0	0.01	6	1	200	binary:logitraw	0.5	0.8880000000000001	0.9432142857142857	0.8563546382757969
0.5	error	0	0.01	6	1	200	binary:logitraw	0.5	0.8880000000000001	0.9432142857142857	0.8563546382757969
0.5	auc	0	0.01	8	3	200	binary:logitraw	1.0	0.9019999999999999	0.9419246646026831	0.8769639572722128
0.5	error	0	0.01	8	3	200	binary:logitraw	1.0	0.9019999999999999	0.9419246646026831	0.8769639572722128
0.5	auc	0	0.01	6	3	200	binary:logitraw	1.0	0.8960000000000001	0.9405964052287581	0.8686306239388795
0.5	error	0	0.01	6	3	200	binary:logitraw	1.0	0.8960000000000001	0.9405964052287581	0.8686306239388795
0.5	auc	0	0.01	8	1	200	binary:logitraw	0.5	0.8959999999999999	0.9394362745098039	0.8686810271646859
0.5	error	0	0.01	8	1	200	binary:logitraw	0.5	0.8959999999999999	0.9394362745098039	0.8686810271646859
0.5	error	0	0.01	6	1	1000	binary:logitraw	1.0	0.9199999999999999	0.9385831613347093	0.9029372406149785
0.5	auc	0	0.01	6	1	1000	binary:logitraw	1.0	0.9199999999999999	0.9385831613347093	0.9029372406149785
0.5	error	0	0.01	8	1	1000	binary:logitraw	0.5	0.9199999999999999	0.9381256449948401	0.9027406385587625
0.5	auc	0	0.01	8	1	1000	binary:logitraw	0.5	0.9199999999999999	0.9381256449948401	0.9027406385587625
0.5	auc	0	0.01	6	1	1000	binary:logitraw	0.5	0.916	0.9375408496732026	0.897185083003207
0.5	error	0	0.01	6	1	1000	binary:logitraw	0.5	0.916	0.9375408496732026	0.897185083003207
0.5	auc	0	0.01	8	1	1000	binary:logitraw	1.0	0.9259999999999999	0.9352900492180678	0.9120926476136578
0.5	error	0	0.01	8	1	1000	binary:logitraw	1.0	0.9259999999999999	0.9352900492180678	0.9120926476136578
0.5	error	0	0.01	8	1	200	binary:logitraw	1.0	0.9019999999999999	0.9351959723283253	0.8780330362195812
0.5	auc	0	0.01	8	1	200	binary:logitraw	1.0	0.9019999999999999	0.9351959723283253	0.8780330362195812
0.5	error	0	0.01	6	1	200	binary:logitraw	1.0	0.898	0.9347738007606431	0.8724774806640256
0.5	auc	0	0.01	6	1	200	binary:logitraw	1.0	0.898	0.9347738007606431	0.8724774806640256
1.0	error	0	0.01	4	1	1000	binary:logitraw	1.0	0.9119999999999999	0.9345967414078868	0.8929910040558384
1.0	auc	0	0.01	4	1	1000	binary:logitraw	1.0	0.9119999999999999	0.9345967414078868	0.8929910040558384
0.5	error	0	0.01	6	1	600	binary:logitraw	1.0	0.9139999999999999	0.9341362150920975	0.8956729862290134
0.5	auc	0	0.01	6	1	600	binary:logitraw	1.0	0.9139999999999999	0.9341362150920975	0.8956729862290134
0.5	error	0	0.01	4	1	600	binary:logitraw	0.5	0.9040000000000001	0.9335256981580512	0.880810813997359
0.5	auc	0	0.01	4	1	600	binary:logitraw	0.5	0.9040000000000001	0.9335256981580512	0.880810813997359
1.0	error	0	0.2	8	1	200	binary:logitraw	0.5	0.9219999999999999	0.9313449300097908	0.9076061710054708
1.0	auc	0	0.2	8	1	200	binary:logitraw	0.5	0.9219999999999999	0.9313449300097908	0.9076061710054708
0.5	error	0	0.01	4	1	1000	binary:logitraw	0.5	0.9139999999999999	0.9304459064327485	0.8956679753820035
0.5	auc	0	0.01	4	1	1000	binary:logitraw	0.5	0.9139999999999999	0.9304459064327485	0.8956679753820035
1.0	auc	0	0.01	4	1	600	binary:logitraw	0.5	0.906	0.9301307189542485	0.8846072674966987
1.0	error	0	0.01	4	1	600	binary:logitraw	0.5	0.906	0.9301307189542485	0.8846072674966987
0.5	error	0	0.01	8	3	600	binary:logitraw	1.0	0.9040000000000001	0.9297443977591037	0.8821722906055461
0.5	auc	0	0.01	8	3	600	binary:logitraw	1.0	0.9040000000000001	0.9297443977591037	0.8821722906055461
1.0	error	0	0.01	8	3	200	binary:logitraw	0.5	0.8880000000000001	0.9295029239766082	0.8601466704395397
1.0	auc	0	0.01	8	3	200	binary:logitraw	0.5	0.8880000000000001	0.9295029239766082	0.8601466704395397
