C	gamma	kernel	mean_valid_accuracy	mean_valid_precision	mean_valid_auc
1.0	0.01	rbf	0.9259999999999999	0.9603070175438597	0.9075289450103753
0.01	0.01	linear	0.9119999999999999	0.9516363826232247	0.8894459771741181
0.01	0.1	linear	0.9119999999999999	0.9516363826232247	0.8894459771741181
0.01	1.0	linear	0.9119999999999999	0.9516363826232247	0.8894459771741181
0.01	100.0	linear	0.9119999999999999	0.9516363826232247	0.8894459771741181
0.01	1000.0	linear	0.9119999999999999	0.9516363826232247	0.8894459771741181
10.0	0.01	rbf	0.93	0.9215664774681803	0.920900832390115
1000.0	0.01	rbf	0.93	0.9215664774681803	0.920900832390115
100.0	0.01	rbf	0.93	0.9215664774681803	0.920900832390115
100.0	0.1	linear	0.9119999999999999	0.8864460837729448	0.9051290440482929
10.0	0.1	linear	0.9119999999999999	0.8864460837729448	0.9051290440482929
10.0	1.0	linear	0.9119999999999999	0.8864460837729448	0.9051290440482929
10.0	100.0	linear	0.9119999999999999	0.8864460837729448	0.9051290440482929
10.0	1000.0	linear	0.9119999999999999	0.8864460837729448	0.9051290440482929
100.0	0.01	linear	0.9119999999999999	0.8864460837729448	0.9051290440482929
100.0	1000.0	linear	0.9119999999999999	0.8864460837729448	0.9051290440482929
100.0	1.0	linear	0.9119999999999999	0.8864460837729448	0.9051290440482929
100.0	100.0	linear	0.9119999999999999	0.8864460837729448	0.9051290440482929
1.0	100.0	linear	0.9119999999999999	0.8864460837729448	0.9051290440482929
1000.0	0.01	linear	0.9119999999999999	0.8864460837729448	0.9051290440482929
1000.0	0.1	linear	0.9119999999999999	0.8864460837729448	0.9051290440482929
1000.0	1.0	linear	0.9119999999999999	0.8864460837729448	0.9051290440482929
1000.0	100.0	linear	0.9119999999999999	0.8864460837729448	0.9051290440482929
1000.0	1000.0	linear	0.9119999999999999	0.8864460837729448	0.9051290440482929
1.0	1000.0	linear	0.9119999999999999	0.8864460837729448	0.9051290440482929
10.0	0.01	linear	0.9119999999999999	0.8864460837729448	0.9051290440482929
1.0	1.0	linear	0.9119999999999999	0.8864460837729448	0.9051290440482929
1.0	0.1	linear	0.9119999999999999	0.8864460837729448	0.9051290440482929
1.0	0.01	linear	0.9119999999999999	0.8864460837729448	0.9051290440482929
0.1	0.1	linear	0.916	0.8855489715822534	0.9107350028296548
0.1	1.0	linear	0.916	0.8855489715822534	0.9107350028296548
0.1	100.0	linear	0.916	0.8855489715822534	0.9107350028296548
0.1	0.01	linear	0.916	0.8855489715822534	0.9107350028296548
0.1	1000.0	linear	0.916	0.8855489715822534	0.9107350028296548
1000.0	0.1	rbf	0.642	0.3	0.508187134502924
100.0	0.1	rbf	0.642	0.3	0.508187134502924
10.0	0.1	rbf	0.642	0.3	0.508187134502924
100.0	100.0	rbf	0.6359999999999999	0.0	0.5
1000.0	1.0	rbf	0.6359999999999999	0.0	0.5
0.01	1000.0	rbf	0.6359999999999999	0.0	0.5
0.01	1.0	rbf	0.6359999999999999	0.0	0.5
1000.0	100.0	rbf	0.6359999999999999	0.0	0.5
0.1	0.01	rbf	0.6359999999999999	0.0	0.5
100.0	1000.0	rbf	0.6359999999999999	0.0	0.5
0.01	0.1	rbf	0.6359999999999999	0.0	0.5
0.01	100.0	rbf	0.6359999999999999	0.0	0.5
1.0	1.0	rbf	0.6359999999999999	0.0	0.5
0.1	0.1	rbf	0.6359999999999999	0.0	0.5
100.0	1.0	rbf	0.6359999999999999	0.0	0.5
1.0	100.0	rbf	0.6359999999999999	0.0	0.5
0.1	1.0	rbf	0.6359999999999999	0.0	0.5
0.1	100.0	rbf	0.6359999999999999	0.0	0.5
10.0	1000.0	rbf	0.6359999999999999	0.0	0.5
10.0	100.0	rbf	0.6359999999999999	0.0	0.5
0.1	1000.0	rbf	0.6359999999999999	0.0	0.5
10.0	1.0	rbf	0.6359999999999999	0.0	0.5
1.0	0.1	rbf	0.6359999999999999	0.0	0.5
0.01	0.01	rbf	0.6359999999999999	0.0	0.5
1.0	1000.0	rbf	0.6359999999999999	0.0	0.5
1000.0	1000.0	rbf	0.6359999999999999	0.0	0.5
