activation	alpha	early_stopping	hidden_layer_sizes	learning_rate	max_iter	solver	mean_valid_accuracy	mean_valid_precision	mean_valid_auc
logistic	0.001	True	(100, 100)	adaptive	500	adam	0.892332099418297	0.9069573769880874	0.8860006224712107
logistic	0.001	True	(100, 100)	invscaling	1000	adam	0.892332099418297	0.9069573769880874	0.8860006224712107
logistic	0.001	True	(100, 100)	invscaling	500	adam	0.892332099418297	0.9069573769880874	0.8860006224712107
logistic	0.001	True	(100, 100)	constant	1000	adam	0.892332099418297	0.9069573769880874	0.8860006224712107
logistic	0.001	True	(100, 100)	constant	500	adam	0.892332099418297	0.9069573769880874	0.8860006224712107
logistic	0.001	True	(100, 100)	adaptive	1000	adam	0.892332099418297	0.9069573769880874	0.8860006224712107
logistic	0.1	True	(50,)	adaptive	1000	adam	0.8760179799048122	0.902151633973223	0.8673816706169648
logistic	0.1	True	(50,)	constant	500	adam	0.8760179799048122	0.902151633973223	0.8673816706169648
logistic	0.1	True	(50,)	adaptive	500	adam	0.8760179799048122	0.902151633973223	0.8673816706169648
logistic	0.1	True	(50,)	invscaling	1000	adam	0.8760179799048122	0.902151633973223	0.8673816706169648
logistic	0.1	True	(50,)	invscaling	500	adam	0.8760179799048122	0.902151633973223	0.8673816706169648
logistic	0.1	True	(50,)	constant	1000	adam	0.8760179799048122	0.902151633973223	0.8673816706169648
logistic	0.1	True	(100,)	constant	500	adam	0.8711528291909042	0.9020361168622036	0.8618261150614093
logistic	0.1	True	(100,)	constant	1000	adam	0.8711528291909042	0.9020361168622036	0.8618261150614093
logistic	0.1	True	(100,)	invscaling	500	adam	0.8711528291909042	0.9020361168622036	0.8618261150614093
logistic	0.1	True	(100,)	invscaling	1000	adam	0.8711528291909042	0.9020361168622036	0.8618261150614093
logistic	0.1	True	(100,)	adaptive	500	adam	0.8711528291909042	0.9020361168622036	0.8618261150614093
logistic	0.1	True	(100,)	adaptive	1000	adam	0.8711528291909042	0.9020361168622036	0.8618261150614093
logistic	0.01	True	(100, 100)	constant	500	adam	0.892332099418297	0.9010286106020498	0.8869184083889967
logistic	0.01	True	(100, 100)	invscaling	1000	adam	0.892332099418297	0.9010286106020498	0.8869184083889967
logistic	0.01	True	(100, 100)	adaptive	500	adam	0.892332099418297	0.9010286106020498	0.8869184083889967
logistic	0.01	True	(100, 100)	constant	1000	adam	0.892332099418297	0.9010286106020498	0.8869184083889967
logistic	0.01	True	(100, 100)	adaptive	1000	adam	0.892332099418297	0.9010286106020498	0.8869184083889967
logistic	0.01	True	(100, 100)	invscaling	500	adam	0.892332099418297	0.9010286106020498	0.8869184083889967
logistic	0.001	True	(100,)	constant	1000	adam	0.876044420941301	0.9008803760512907	0.8680186262539203
logistic	0.01	True	(100,)	constant	500	adam	0.876044420941301	0.9008803760512907	0.8680186262539203
logistic	0.01	True	(100,)	adaptive	1000	adam	0.876044420941301	0.9008803760512907	0.8680186262539203
logistic	0.01	True	(100,)	adaptive	500	adam	0.876044420941301	0.9008803760512907	0.8680186262539203
logistic	0.01	True	(100,)	constant	1000	adam	0.876044420941301	0.9008803760512907	0.8680186262539203
logistic	0.001	True	(100,)	adaptive	1000	adam	0.876044420941301	0.9008803760512907	0.8680186262539203
logistic	0.001	True	(100,)	adaptive	500	adam	0.876044420941301	0.9008803760512907	0.8680186262539203
logistic	0.001	True	(100,)	invscaling	1000	adam	0.876044420941301	0.9008803760512907	0.8680186262539203
logistic	0.001	True	(100,)	invscaling	500	adam	0.876044420941301	0.9008803760512907	0.8680186262539203
logistic	0.01	True	(100,)	invscaling	500	adam	0.876044420941301	0.9008803760512907	0.8680186262539203
logistic	0.001	True	(100,)	constant	500	adam	0.876044420941301	0.9008803760512907	0.8680186262539203
logistic	0.01	True	(100,)	invscaling	1000	adam	0.876044420941301	0.9008803760512907	0.8680186262539203
logistic	0.1	True	(100, 100)	adaptive	500	adam	0.8907456372289794	0.898317752587243	0.8854898369604252
logistic	0.1	True	(100, 100)	invscaling	1000	adam	0.8907456372289794	0.898317752587243	0.8854898369604252
logistic	0.1	True	(100, 100)	invscaling	500	adam	0.8907456372289794	0.898317752587243	0.8854898369604252
logistic	0.1	True	(100, 100)	constant	1000	adam	0.8907456372289794	0.898317752587243	0.8854898369604252
logistic	0.1	True	(100, 100)	constant	500	adam	0.8907456372289794	0.898317752587243	0.8854898369604252
logistic	0.1	True	(100, 100)	adaptive	1000	adam	0.8907456372289794	0.898317752587243	0.8854898369604252
relu	0.01	True	(100,)	adaptive	500	adam	0.8940507667900581	0.8979504014504014	0.8890551605257488
relu	0.01	True	(100,)	constant	1000	adam	0.8940507667900581	0.8979504014504014	0.8890551605257488
relu	0.01	True	(100,)	invscaling	500	adam	0.8940507667900581	0.8979504014504014	0.8890551605257488
relu	0.01	True	(100,)	invscaling	1000	adam	0.8940507667900581	0.8979504014504014	0.8890551605257488
relu	0.01	True	(100,)	adaptive	1000	adam	0.8940507667900581	0.8979504014504014	0.8890551605257488
relu	0.01	True	(100,)	constant	500	adam	0.8940507667900581	0.8979504014504014	0.8890551605257488
logistic	0.001	True	(50,)	invscaling	1000	adam	0.8711263881544156	0.8976849744458442	0.8621069453422395
logistic	0.001	True	(50,)	adaptive	1000	adam	0.8711263881544156	0.8976849744458442	0.8621069453422395
logistic	0.001	True	(50,)	constant	1000	adam	0.8711263881544156	0.8976849744458442	0.8621069453422395
logistic	0.001	True	(50,)	constant	500	adam	0.8711263881544156	0.8976849744458442	0.8621069453422395
logistic	0.001	True	(50,)	invscaling	500	adam	0.8711263881544156	0.8976849744458442	0.8621069453422395
logistic	0.001	True	(50,)	adaptive	500	adam	0.8711263881544156	0.8976849744458442	0.8621069453422395
logistic	0.01	True	(50,)	invscaling	1000	adam	0.8694870438921205	0.897487345987346	0.8602550934903876
