activation	alpha	early_stopping	hidden_layer_sizes	learning_rate	max_iter	solver	mean_valid_accuracy	mean_valid_precision	mean_valid_auc
logistic	0.1	True	(50, 50)	constant	500	adam	0.9005260081823495	0.9424279348102876	0.8853234989648033
logistic	0.1	True	(50, 50)	adaptive	500	adam	0.9005260081823495	0.9424279348102876	0.8853234989648033
logistic	0.1	True	(50, 50)	invscaling	1000	adam	0.9005260081823495	0.9424279348102876	0.8853234989648033
logistic	0.1	True	(50, 50)	invscaling	500	adam	0.9005260081823495	0.9424279348102876	0.8853234989648033
logistic	0.1	True	(50, 50)	constant	1000	adam	0.9005260081823495	0.9424279348102876	0.8853234989648033
logistic	0.1	True	(50, 50)	adaptive	1000	adam	0.9005260081823495	0.9424279348102876	0.8853234989648033
logistic	0.01	True	(100,)	constant	1000	adam	0.9056984219754529	0.9325438596491228	0.8932725916453539
logistic	0.001	True	(100,)	constant	1000	adam	0.9056984219754529	0.9325438596491228	0.8932725916453539
logistic	0.001	True	(100,)	invscaling	500	adam	0.9056984219754529	0.9325438596491228	0.8932725916453539
logistic	0.001	True	(100,)	invscaling	1000	adam	0.9056984219754529	0.9325438596491228	0.8932725916453539
logistic	0.001	True	(100,)	adaptive	500	adam	0.9056984219754529	0.9325438596491228	0.8932725916453539
logistic	0.001	True	(100,)	adaptive	1000	adam	0.9056984219754529	0.9325438596491228	0.8932725916453539
logistic	0.001	True	(100,)	constant	500	adam	0.9056984219754529	0.9325438596491228	0.8932725916453539
logistic	0.1	True	(100,)	adaptive	1000	adam	0.9056984219754529	0.9325438596491228	0.8932725916453539
logistic	0.1	True	(100,)	adaptive	500	adam	0.9056984219754529	0.9325438596491228	0.8932725916453539
logistic	0.1	True	(100,)	invscaling	1000	adam	0.9056984219754529	0.9325438596491228	0.8932725916453539
logistic	0.1	True	(100,)	invscaling	500	adam	0.9056984219754529	0.9325438596491228	0.8932725916453539
logistic	0.1	True	(100,)	constant	1000	adam	0.9056984219754529	0.9325438596491228	0.8932725916453539
logistic	0.1	True	(100,)	constant	500	adam	0.9056984219754529	0.9325438596491228	0.8932725916453539
logistic	0.01	True	(100,)	invscaling	500	adam	0.9056984219754529	0.9325438596491228	0.8932725916453539
logistic	0.01	True	(100,)	invscaling	1000	adam	0.9056984219754529	0.9325438596491228	0.8932725916453539
logistic	0.01	True	(100,)	adaptive	500	adam	0.9056984219754529	0.9325438596491228	0.8932725916453539
logistic	0.01	True	(100,)	adaptive	1000	adam	0.9056984219754529	0.9325438596491228	0.8932725916453539
