colsample_bytree	eval_metric	gamma	learning_rate	max_depth	min_child_weight	n_estimators	objective	subsample	mean_valid_accuracy	mean_valid_precision	mean_valid_auc
0.5	error	0	0.01	6	1	200	binary:logitraw	0.5	0.9296902396259498	0.9627330316742082	0.9185740165631469
0.5	auc	0	0.01	6	1	200	binary:logitraw	0.5	0.9296902396259498	0.9627330316742082	0.9185740165631469
0.5	error	0	0.01	8	1	200	binary:logitraw	0.5	0.9314436002337814	0.9626361655773419	0.9208385093167702
0.5	auc	0	0.01	8	1	200	binary:logitraw	0.5	0.9314436002337814	0.9626361655773419	0.9208385093167702
0.5	error	0	0.01	8	3	600	binary:logitraw	0.5	0.9314728229105788	0.9604724080267559	0.9209290890269151
0.5	error	0	0.01	6	3	600	binary:logitraw	0.5	0.9331677381648159	0.9604724080267559	0.9230124223602484
0.5	auc	0	0.01	8	3	600	binary:logitraw	0.5	0.9314728229105788	0.9604724080267559	0.9209290890269151
0.5	auc	0	0.01	6	3	600	binary:logitraw	0.5	0.9331677381648159	0.9604724080267559	0.9230124223602484
0.5	error	0	0.01	8	1	1000	binary:logitraw	0.5	0.9365867913500876	0.9586151368760063	0.9280150103519669
0.5	auc	0	0.01	8	1	1000	binary:logitraw	0.5	0.9365867913500876	0.9586151368760063	0.9280150103519669
0.5	auc	0	0.01	6	1	600	binary:logitraw	0.5	0.9348626534190532	0.9582883394903854	0.9258410973084885
0.5	error	0	0.01	8	1	600	binary:logitraw	0.5	0.9365867913500876	0.9582883394903854	0.9280150103519669
0.5	error	0	0.01	6	1	600	binary:logitraw	0.5	0.9348626534190532	0.9582883394903854	0.9258410973084885
0.5	auc	0	0.01	8	1	600	binary:logitraw	0.5	0.9365867913500876	0.9582883394903854	0.9280150103519669
0.5	error	0	0.01	4	1	600	binary:logitraw	0.5	0.9365867913500876	0.9582883394903854	0.9280150103519669
0.5	auc	0	0.01	4	1	600	binary:logitraw	0.5	0.9365867913500876	0.9582883394903854	0.9280150103519669
0.5	error	0	0.01	6	1	1000	binary:logitraw	0.5	0.9383109292811221	0.957905982905983	0.9301889233954451
0.5	auc	0	0.01	6	1	1000	binary:logitraw	0.5	0.9383109292811221	0.957905982905983	0.9301889233954451
1.0	auc	0	0.01	8	1	600	binary:logitraw	0.5	0.9331969608416131	0.9578904991948469	0.9238483436853002
1.0	error	0	0.01	8	1	600	binary:logitraw	0.5	0.9331969608416131	0.9578904991948469	0.9238483436853002
0.5	error	0	0.01	4	1	600	binary:logitraw	1.0	0.9349210987726476	0.9565527065527064	0.9265864389233954
0.5	auc	0	0.01	4	1	600	binary:logitraw	1.0	0.9349210987726476	0.9565527065527064	0.9265864389233954
0.5	error	0	0.01	8	1	200	binary:logitraw	1.0	0.9245762711864407	0.9563712121212122	0.9129367616611862
0.5	auc	0	0.01	8	1	200	binary:logitraw	1.0	0.9245762711864407	0.9563712121212122	0.9129367616611862
0.5	error	0	0.01	8	1	600	binary:logitraw	1.0	0.9400350672121567	0.9562321937321936	0.9328850018268178
0.5	auc	0	0.01	8	1	600	binary:logitraw	1.0	0.9400350672121567	0.9562321937321936	0.9328850018268178
1.0	error	0	0.01	6	1	600	binary:logitraw	0.5	0.9331677381648158	0.9555728088336783	0.9245936853002071
1.0	auc	0	0.01	6	1	600	binary:logitraw	0.5	0.9331677381648158	0.9555728088336783	0.9245936853002071
0.5	auc	0	0.01	4	1	1000	binary:logitraw	0.5	0.9366160140268848	0.9549550061570521	0.9287603519668737
0.5	error	0	0.01	4	1	1000	binary:logitraw	0.5	0.9366160140268848	0.9549550061570521	0.9287603519668737
1.0	auc	0	0.01	4	1	600	binary:logitraw	0.5	0.9280245470485096	0.954521373766898	0.9180719461697722
1.0	error	0	0.01	4	1	600	binary:logitraw	0.5	0.9280245470485096	0.954521373766898	0.9180719461697722
1.0	auc	0	0.01	6	3	600	binary:logitraw	0.5	0.9263296317942723	0.9541216728237188	0.915898033126294
1.0	error	0	0.01	6	3	600	binary:logitraw	0.5	0.9263296317942723	0.9541216728237188	0.915898033126294
1.0	error	0	0.01	8	3	600	binary:logitraw	0.5	0.9263296317942723	0.9541216728237188	0.915898033126294
1.0	auc	0	0.01	8	3	600	binary:logitraw	0.5	0.9263296317942723	0.9541216728237188	0.915898033126294
0.5	error	0	0.01	8	3	200	binary:logitraw	0.5	0.9159848042080654	0.9540175585284281	0.9029451345755695
0.5	auc	0	0.01	6	3	200	binary:logitraw	0.5	0.9177089421390999	0.9540175585284281	0.9051190476190476
0.5	auc	0	0.01	8	3	200	binary:logitraw	0.5	0.9159848042080654	0.9540175585284281	0.9029451345755695
0.5	error	0	0.01	6	3	200	binary:logitraw	0.5	0.9177089421390999	0.9540175585284281	0.9051190476190476
1.0	error	0	0.01	6	3	1000	binary:logitraw	0.5	0.9331677381648159	0.9539049919484702	0.924503105590062
1.0	error	0	0.01	4	3	1000	binary:logitraw	0.5	0.9314436002337814	0.9539049919484702	0.9223291925465839
1.0	auc	0	0.01	8	3	1000	binary:logitraw	0.5	0.9331677381648159	0.9539049919484702	0.924503105590062
0.5	auc	0	0.01	6	3	1000	binary:logitraw	0.5	0.9348918760958504	0.9539049919484702	0.9266770186335404
1.0	error	0	0.01	6	1	1000	binary:logitraw	0.5	0.9331677381648159	0.9539049919484702	0.9245936853002069
0.5	error	0	0.01	4	3	1000	binary:logitraw	0.5	0.9314436002337814	0.9539049919484702	0.9223291925465839
1.0	auc	0	0.01	8	1	1000	binary:logitraw	0.5	0.9348918760958504	0.9539049919484702	0.9266770186335404
1.0	auc	0	0.01	6	1	1000	binary:logitraw	0.5	0.9331677381648159	0.9539049919484702	0.9245936853002069
0.5	error	0	0.01	6	3	1000	binary:logitraw	0.5	0.9348918760958504	0.9539049919484702	0.9266770186335404
0.5	auc	0	0.01	4	3	1000	binary:logitraw	0.5	0.9314436002337814	0.9539049919484702	0.9223291925465839
1.0	error	0	0.01	8	1	1000	binary:logitraw	0.5	0.9348918760958504	0.9539049919484702	0.9266770186335404
1.0	error	0	0.01	8	3	1000	binary:logitraw	0.5	0.9331677381648159	0.9539049919484702	0.924503105590062
1.0	auc	0	0.01	6	3	1000	binary:logitraw	0.5	0.9331677381648159	0.9539049919484702	0.924503105590062
0.5	error	0	0.01	8	3	1000	binary:logitraw	0.5	0.9348918760958504	0.9539049919484702	0.9266770186335404
1.0	auc	0	0.01	4	3	1000	binary:logitraw	0.5	0.9314436002337814	0.9539049919484702	0.9223291925465839
0.5	auc	0	0.01	8	3	1000	binary:logitraw	0.5	0.9348918760958504	0.9539049919484702	0.9266770186335404
0.5	error	0	0.01	4	3	600	binary:logitraw	0.5	0.9263004091174751	0.9537540257648953	0.9158074534161491
0.5	auc	0	0.01	4	3	600	binary:logitraw	0.5	0.9263004091174751	0.9537540257648953	0.9158074534161491
1.0	auc	0	0.01	4	1	1000	binary:logitraw	0.5	0.9331677381648159	0.9535781945628493	0.924503105590062
1.0	error	0	0.01	4	1	1000	binary:logitraw	0.5	0.9331677381648159	0.9535781945628493	0.924503105590062
0.5	error	0	0.01	6	1	600	binary:logitraw	1.0	0.9400642898889539	0.9532407407407406	0.9336303434417245
0.5	auc	0	0.01	6	1	600	binary:logitraw	1.0	0.9400642898889539	0.9532407407407406	0.9336303434417245
0.5	error	0	0.01	6	1	200	binary:logitraw	1.0	0.9245470485096435	0.9524021739130436	0.913500943855803
0.5	auc	0	0.01	6	1	200	binary:logitraw	1.0	0.9245470485096435	0.9524021739130436	0.913500943855803
0.5	error	0	0.2	4	1	200	binary:logitraw	1.0	0.9383401519579195	0.9523579247263457	0.9316796066252587
0.5	auc	0	0.2	4	1	200	binary:logitraw	1.0	0.9383401519579195	0.9523579247263457	0.9316796066252587
0.5	auc	0	0.2	8	1	200	binary:logitraw	1.0	0.9331092928112215	0.9522539682539681	0.9250672877846791
0.5	error	0	0.2	8	1	200	binary:logitraw	1.0	0.9331092928112215	0.9522539682539681	0.9250672877846791
1.0	error	0	0.01	8	1	200	binary:logitraw	0.5	0.9279953243717125	0.9522411156095366	0.9178907867494823
1.0	auc	0	0.01	8	1	200	binary:logitraw	0.5	0.9279953243717125	0.9522411156095366	0.9178907867494823
0.5	error	0	0.2	4	3	200	binary:logitraw	1.0	0.9365575686732905	0.9519271708683472	0.9293245341614907
0.5	auc	0	0.2	4	3	200	binary:logitraw	1.0	0.9365575686732905	0.9519271708683472	0.9293245341614907
0.5	auc	0	0.01	6	3	1000	binary:logitraw	1.0	0.9348918760958504	0.9512962962962963	0.9272412008281574
0.5	auc	0	0.01	4	3	1000	binary:logitraw	1.0	0.9331677381648159	0.9512962962962963	0.9250672877846791
0.5	error	0	0.01	4	3	1000	binary:logitraw	1.0	0.9331677381648159	0.9512962962962963	0.9250672877846791
0.5	error	0	0.01	6	3	1000	binary:logitraw	1.0	0.9348918760958504	0.9512962962962963	0.9272412008281574
1.0	auc	0	0.01	4	1	1000	binary:logitraw	1.0	0.9349210987726476	0.9507927427263813	0.9275129399585922
1.0	error	0	0.01	4	1	1000	binary:logitraw	1.0	0.9349210987726476	0.9507927427263813	0.9275129399585922
0.5	auc	0	0.01	8	3	600	binary:logitraw	1.0	0.9348918760958502	0.9500172532781228	0.9278959627329192
0.5	error	0	0.01	8	3	600	binary:logitraw	1.0	0.9348918760958502	0.9500172532781228	0.9278959627329192
0.5	auc	0	0.01	6	3	200	binary:logitraw	1.0	0.9210987726475744	0.9498415527827293	0.9100796188040434
0.5	error	0	0.01	6	3	200	binary:logitraw	1.0	0.9210987726475744	0.9498415527827293	0.9100796188040434
0.5	error	0	0.01	8	3	200	binary:logitraw	1.0	0.9210987726475744	0.9496251025662792	0.9100796188040434
0.5	auc	0	0.01	8	3	200	binary:logitraw	1.0	0.9210987726475744	0.9496251025662792	0.9100796188040434
0.5	error	0	0.2	6	1	600	binary:logitraw	1.0	0.9417592051431912	0.9495787545787545	0.9365916149068323
