C	gamma	kernel	mean_valid_accuracy	mean_valid_precision	mean_valid_auc
1.0	0.01	rbf	0.9132467532467533	0.927249299137171	0.8976960784313726
100.0	0.01	rbf	0.9313961038961038	0.9206101409197384	0.9264285714285714
1000.0	0.01	rbf	0.9313961038961038	0.9206101409197384	0.9264285714285714
0.01	100.0	linear	0.9023376623376624	0.9170362665557172	0.8847969187675069
0.01	1000.0	linear	0.9023376623376624	0.9170362665557172	0.8847969187675069
0.01	0.01	linear	0.9023376623376624	0.9170362665557172	0.8847969187675069
0.01	1.0	linear	0.9023376623376624	0.9170362665557172	0.8847969187675069
0.01	0.1	linear	0.9023376623376624	0.9170362665557172	0.8847969187675069
10.0	0.01	rbf	0.929577922077922	0.9158482361578336	0.925
1000.0	0.1	rbf	0.6649025974025975	0.9	0.5444047619047618
100.0	0.1	rbf	0.6649025974025975	0.9	0.5444047619047618
10.0	0.1	rbf	0.6649025974025975	0.9	0.5444047619047618
0.1	0.01	linear	0.8770129870129869	0.8541118929950947	0.8674929971988796
0.1	0.1	linear	0.8770129870129869	0.8541118929950947	0.8674929971988796
0.1	1.0	linear	0.8770129870129869	0.8541118929950947	0.8674929971988796
0.1	100.0	linear	0.8770129870129869	0.8541118929950947	0.8674929971988796
0.1	1000.0	linear	0.8770129870129869	0.8541118929950947	0.8674929971988796
10.0	1.0	linear	0.8680194805194805	0.8289473684210525	0.8627731092436974
10.0	100.0	linear	0.8680194805194805	0.8289473684210525	0.8627731092436974
100.0	0.01	linear	0.8680194805194805	0.8289473684210525	0.8627731092436974
100.0	0.1	linear	0.8680194805194805	0.8289473684210525	0.8627731092436974
10.0	1000.0	linear	0.8680194805194805	0.8289473684210525	0.8627731092436974
1000.0	0.01	linear	0.8680194805194805	0.8289473684210525	0.8627731092436974
100.0	1.0	linear	0.8680194805194805	0.8289473684210525	0.8627731092436974
100.0	100.0	linear	0.8680194805194805	0.8289473684210525	0.8627731092436974
100.0	1000.0	linear	0.8680194805194805	0.8289473684210525	0.8627731092436974
1000.0	0.1	linear	0.8680194805194805	0.8289473684210525	0.8627731092436974
1000.0	1.0	linear	0.8680194805194805	0.8289473684210525	0.8627731092436974
1000.0	100.0	linear	0.8680194805194805	0.8289473684210525	0.8627731092436974
1000.0	1000.0	linear	0.8680194805194805	0.8289473684210525	0.8627731092436974
10.0	0.1	linear	0.8680194805194805	0.8289473684210525	0.8627731092436974
10.0	0.01	linear	0.8680194805194805	0.8289473684210525	0.8627731092436974
1.0	1000.0	linear	0.8680194805194805	0.8289473684210525	0.8627731092436974
1.0	100.0	linear	0.8680194805194805	0.8289473684210525	0.8627731092436974
1.0	0.01	linear	0.8680194805194805	0.8289473684210525	0.8627731092436974
1.0	0.1	linear	0.8680194805194805	0.8289473684210525	0.8627731092436974
1.0	1.0	linear	0.8680194805194805	0.8289473684210525	0.8627731092436974
1.0	0.1	rbf	0.639512987012987	0.3	0.5098809523809524
0.01	0.01	rbf	0.6322727272727273	0.0	0.5
0.1	0.1	rbf	0.6322727272727273	0.0	0.5
0.1	0.01	rbf	0.6322727272727273	0.0	0.5
0.01	1000.0	rbf	0.6322727272727273	0.0	0.5
0.01	100.0	rbf	0.6322727272727273	0.0	0.5
100.0	1000.0	rbf	0.6322727272727273	0.0	0.5
1000.0	1.0	rbf	0.6322727272727273	0.0	0.5
0.01	1.0	rbf	0.6322727272727273	0.0	0.5
1000.0	100.0	rbf	0.6322727272727273	0.0	0.5
0.01	0.1	rbf	0.6322727272727273	0.0	0.5
0.1	1.0	rbf	0.6322727272727273	0.0	0.5
0.1	1000.0	rbf	0.6322727272727273	0.0	0.5
0.1	100.0	rbf	0.6322727272727273	0.0	0.5
100.0	100.0	rbf	0.6322727272727273	0.0	0.5
1.0	1000.0	rbf	0.6322727272727273	0.0	0.5
100.0	1.0	rbf	0.6322727272727273	0.0	0.5
1.0	1.0	rbf	0.6322727272727273	0.0	0.5
10.0	1000.0	rbf	0.6322727272727273	0.0	0.5
10.0	100.0	rbf	0.6322727272727273	0.0	0.5
1.0	100.0	rbf	0.6322727272727273	0.0	0.5
10.0	1.0	rbf	0.6322727272727273	0.0	0.5
1000.0	1000.0	rbf	0.6322727272727273	0.0	0.5
