activation	alpha	early_stopping	hidden_layer_sizes	learning_rate	max_iter	solver	mean_valid_accuracy	mean_valid_precision	mean_valid_auc
logistic	0.1	True	(100, 100)	constant	1000	adam	0.8462289562289562	0.9228439897698208	0.828742987377279
logistic	0.1	True	(100, 100)	adaptive	1000	adam	0.8462289562289562	0.9228439897698208	0.828742987377279
logistic	0.1	True	(100, 100)	adaptive	500	adam	0.8462289562289562	0.9228439897698208	0.828742987377279
logistic	0.1	True	(100, 100)	invscaling	1000	adam	0.8462289562289562	0.9228439897698208	0.828742987377279
logistic	0.1	True	(100, 100)	invscaling	500	adam	0.8462289562289562	0.9228439897698208	0.828742987377279
logistic	0.1	True	(100, 100)	constant	500	adam	0.8462289562289562	0.9228439897698208	0.828742987377279
logistic	0.01	True	(100, 100)	constant	500	adam	0.8443434343434344	0.9138464052287582	0.8276005142589995
logistic	0.01	True	(100, 100)	adaptive	1000	adam	0.8443434343434344	0.9138464052287582	0.8276005142589995
logistic	0.01	True	(100, 100)	adaptive	500	adam	0.8443434343434344	0.9138464052287582	0.8276005142589995
logistic	0.01	True	(100, 100)	invscaling	1000	adam	0.8443434343434344	0.9138464052287582	0.8276005142589995
logistic	0.01	True	(100, 100)	invscaling	500	adam	0.8443434343434344	0.9138464052287582	0.8276005142589995
logistic	0.01	True	(100, 100)	constant	1000	adam	0.8443434343434344	0.9138464052287582	0.8276005142589995
logistic	0.001	True	(100, 100)	adaptive	1000	adam	0.8443097643097642	0.9089444444444444	0.8280709443665264
logistic	0.001	True	(100, 100)	adaptive	500	adam	0.8443097643097642	0.9089444444444444	0.8280709443665264
logistic	0.001	True	(100, 100)	constant	500	adam	0.8443097643097642	0.9089444444444444	0.8280709443665264
logistic	0.001	True	(100, 100)	constant	1000	adam	0.8443097643097642	0.9089444444444444	0.8280709443665264
logistic	0.001	True	(100, 100)	invscaling	500	adam	0.8443097643097642	0.9089444444444444	0.8280709443665264
logistic	0.001	True	(100, 100)	invscaling	1000	adam	0.8443097643097642	0.9089444444444444	0.8280709443665264
relu	0.1	True	(100,)	constant	1000	lbfgs	0.9046801346801345	0.9087395061079272	0.9005493221131371
relu	0.1	True	(100,)	adaptive	1000	lbfgs	0.9046801346801345	0.9087395061079272	0.9005493221131371
relu	0.1	True	(100,)	adaptive	500	lbfgs	0.9046801346801345	0.9087395061079272	0.9005493221131371
relu	0.1	True	(100,)	invscaling	500	lbfgs	0.9046801346801345	0.9087395061079272	0.9005493221131371
relu	0.1	True	(100,)	invscaling	1000	lbfgs	0.9046801346801345	0.9087395061079272	0.9005493221131371
relu	0.1	True	(100,)	constant	500	lbfgs	0.9046801346801345	0.9087395061079272	0.9005493221131371
logistic	0.1	True	(100,)	constant	500	adam	0.8370707070707072	0.9085521279508694	0.82020804114072
logistic	0.1	True	(100,)	adaptive	1000	adam	0.8370707070707072	0.9085521279508694	0.82020804114072
logistic	0.001	True	(100,)	constant	1000	adam	0.8370707070707072	0.9085521279508694	0.82020804114072
logistic	0.001	True	(100,)	invscaling	500	adam	0.8370707070707072	0.9085521279508694	0.82020804114072
logistic	0.001	True	(100,)	invscaling	1000	adam	0.8370707070707072	0.9085521279508694	0.82020804114072
logistic	0.001	True	(100,)	adaptive	500	adam	0.8370707070707072	0.9085521279508694	0.82020804114072
logistic	0.001	True	(100,)	adaptive	1000	adam	0.8370707070707072	0.9085521279508694	0.82020804114072
logistic	0.1	True	(100,)	constant	1000	adam	0.8370707070707072	0.9085521279508694	0.82020804114072
logistic	0.1	True	(100,)	invscaling	500	adam	0.8370707070707072	0.9085521279508694	0.82020804114072
logistic	0.1	True	(100,)	invscaling	1000	adam	0.8370707070707072	0.9085521279508694	0.82020804114072
logistic	0.1	True	(100,)	adaptive	500	adam	0.8370707070707072	0.9085521279508694	0.82020804114072
logistic	0.001	True	(100,)	constant	500	adam	0.8370707070707072	0.9085521279508694	0.82020804114072
logistic	0.01	True	(100,)	adaptive	1000	adam	0.8370707070707072	0.9085521279508694	0.82020804114072
logistic	0.01	True	(100,)	adaptive	500	adam	0.8370707070707072	0.9085521279508694	0.82020804114072
logistic	0.01	True	(100,)	invscaling	1000	adam	0.8370707070707072	0.9085521279508694	0.82020804114072
logistic	0.01	True	(100,)	invscaling	500	adam	0.8370707070707072	0.9085521279508694	0.82020804114072
logistic	0.01	True	(100,)	constant	1000	adam	0.8370707070707072	0.9085521279508694	0.82020804114072
logistic	0.01	True	(100,)	constant	500	adam	0.8370707070707072	0.9085521279508694	0.82020804114072
logistic	0.001	True	(50,)	adaptive	1000	adam	0.8662289562289562	0.9074122575051368	0.8551338242169237
logistic	0.1	True	(50,)	adaptive	500	adam	0.8644107744107744	0.9074122575051368	0.8530504908835905
logistic	0.1	True	(50,)	invscaling	1000	adam	0.8644107744107744	0.9074122575051368	0.8530504908835905
