activation	alpha	early_stopping	hidden_layer_sizes	learning_rate	max_iter	solver	mean_valid_accuracy	mean_valid_precision	mean_valid_auc
logistic	0.01	True	(100, 100)	adaptive	1000	adam	0.8276767676767678	0.8994300144300145	0.8086874707807385
logistic	0.001	True	(100, 100)	adaptive	1000	adam	0.8276767676767678	0.8994300144300145	0.8086874707807385
logistic	0.001	True	(100, 100)	adaptive	500	adam	0.8276767676767678	0.8994300144300145	0.8086874707807385
logistic	0.001	True	(100, 100)	invscaling	1000	adam	0.8276767676767678	0.8994300144300145	0.8086874707807385
logistic	0.001	True	(100, 100)	invscaling	500	adam	0.8276767676767678	0.8994300144300145	0.8086874707807385
logistic	0.01	True	(100, 100)	constant	500	adam	0.8276767676767678	0.8994300144300145	0.8086874707807385
logistic	0.01	True	(100, 100)	constant	1000	adam	0.8276767676767678	0.8994300144300145	0.8086874707807385
logistic	0.01	True	(100, 100)	invscaling	500	adam	0.8276767676767678	0.8994300144300145	0.8086874707807385
logistic	0.01	True	(100, 100)	invscaling	1000	adam	0.8276767676767678	0.8994300144300145	0.8086874707807385
logistic	0.01	True	(100, 100)	adaptive	500	adam	0.8276767676767678	0.8994300144300145	0.8086874707807385
logistic	0.001	True	(100, 100)	constant	500	adam	0.8276767676767678	0.8994300144300145	0.8086874707807385
logistic	0.001	True	(100, 100)	constant	1000	adam	0.8276767676767678	0.8994300144300145	0.8086874707807385
logistic	0.1	True	(100, 100)	invscaling	1000	adam	0.8221885521885521	0.8967086834733893	0.802256311360449
logistic	0.1	True	(100, 100)	adaptive	500	adam	0.8221885521885521	0.8967086834733893	0.802256311360449
logistic	0.1	True	(100, 100)	adaptive	1000	adam	0.8221885521885521	0.8967086834733893	0.802256311360449
logistic	0.1	True	(100, 100)	invscaling	500	adam	0.8221885521885521	0.8967086834733893	0.802256311360449
logistic	0.1	True	(100, 100)	constant	1000	adam	0.8221885521885521	0.8967086834733893	0.802256311360449
logistic	0.1	True	(100, 100)	constant	500	adam	0.8221885521885521	0.8967086834733893	0.802256311360449
logistic	0.1	True	(50, 50)	constant	500	adam	0.8259932659932661	0.8796548308932209	0.8090293361383825
logistic	0.1	True	(50, 50)	constant	1000	adam	0.8259932659932661	0.8796548308932209	0.8090293361383825
logistic	0.1	True	(50, 50)	invscaling	500	adam	0.8259932659932661	0.8796548308932209	0.8090293361383825
logistic	0.1	True	(50, 50)	invscaling	1000	adam	0.8259932659932661	0.8796548308932209	0.8090293361383825
logistic	0.1	True	(50, 50)	adaptive	500	adam	0.8259932659932661	0.8796548308932209	0.8090293361383825
logistic	0.1	True	(50, 50)	adaptive	1000	adam	0.8259932659932661	0.8796548308932209	0.8090293361383825
logistic	0.01	True	(50, 50)	adaptive	1000	adam	0.8223569023569024	0.8745263144783605	0.8053868630201029
logistic	0.01	True	(50, 50)	constant	500	adam	0.8223569023569024	0.8745263144783605	0.8053868630201029
logistic	0.01	True	(50, 50)	constant	1000	adam	0.8223569023569024	0.8745263144783605	0.8053868630201029
logistic	0.01	True	(50, 50)	invscaling	500	adam	0.8223569023569024	0.8745263144783605	0.8053868630201029
logistic	0.01	True	(50, 50)	invscaling	1000	adam	0.8223569023569024	0.8745263144783605	0.8053868630201029
logistic	0.01	True	(50, 50)	adaptive	500	adam	0.8223569023569024	0.8745263144783605	0.8053868630201029
relu	0.01	True	(100, 100)	invscaling	1000	lbfgs	0.8679797979797979	0.8729639266149564	0.8611985741000467
relu	0.01	True	(100, 100)	adaptive	1000	lbfgs	0.8679797979797979	0.8729639266149564	0.8611985741000467
relu	0.01	True	(100, 100)	invscaling	500	lbfgs	0.8679797979797979	0.8729639266149564	0.8611985741000467
relu	0.01	True	(100, 100)	constant	1000	lbfgs	0.8679797979797979	0.8729639266149564	0.8611985741000467
relu	0.01	True	(100, 100)	constant	500	lbfgs	0.8679797979797979	0.8729639266149564	0.8611985741000467
relu	0.01	True	(100, 100)	adaptive	500	lbfgs	0.8679797979797979	0.8729639266149564	0.8611985741000467
relu	0.001	True	(100, 100)	constant	500	lbfgs	0.8643434343434343	0.8677258313768611	0.8575023375409069
relu	0.001	True	(100, 100)	invscaling	500	lbfgs	0.8643434343434343	0.8677258313768611	0.8575023375409069
relu	0.001	True	(100, 100)	invscaling	1000	lbfgs	0.8643434343434343	0.8677258313768611	0.8575023375409069
relu	0.001	True	(100, 100)	adaptive	500	lbfgs	0.8643434343434343	0.8677258313768611	0.8575023375409069
relu	0.001	True	(100, 100)	constant	1000	lbfgs	0.8643434343434343	0.8677258313768611	0.8575023375409069
relu	0.001	True	(100, 100)	adaptive	1000	lbfgs	0.8643434343434343	0.8677258313768611	0.8575023375409069
logistic	0.001	True	(50, 50)	adaptive	1000	adam	0.8223569023569024	0.8664235476799416	0.8065088826554465
