activation	alpha	early_stopping	hidden_layer_sizes	learning_rate	max_iter	solver	mean_valid_accuracy	mean_valid_precision	mean_valid_auc
logistic	0.01	True	(100,)	constant	500	adam	0.8737179487179487	0.9764705882352942	0.8449769585253456
logistic	0.001	True	(100,)	invscaling	1000	adam	0.8737179487179487	0.9764705882352942	0.8449769585253456
logistic	0.1	True	(100,)	constant	500	adam	0.8659502262443439	0.9764705882352942	0.8352150537634409
logistic	0.1	True	(100,)	constant	1000	adam	0.8659502262443439	0.9764705882352942	0.8352150537634409
logistic	0.1	True	(100,)	invscaling	500	adam	0.8659502262443439	0.9764705882352942	0.8352150537634409
logistic	0.1	True	(100,)	invscaling	1000	adam	0.8659502262443439	0.9764705882352942	0.8352150537634409
logistic	0.1	True	(100,)	adaptive	500	adam	0.8659502262443439	0.9764705882352942	0.8352150537634409
logistic	0.1	True	(100,)	adaptive	1000	adam	0.8659502262443439	0.9764705882352942	0.8352150537634409
logistic	0.001	True	(100,)	constant	1000	adam	0.8737179487179487	0.9764705882352942	0.8449769585253456
logistic	0.001	True	(100,)	invscaling	500	adam	0.8737179487179487	0.9764705882352942	0.8449769585253456
logistic	0.001	True	(100,)	adaptive	500	adam	0.8737179487179487	0.9764705882352942	0.8449769585253456
logistic	0.001	True	(100,)	adaptive	1000	adam	0.8737179487179487	0.9764705882352942	0.8449769585253456
logistic	0.01	True	(100,)	adaptive	1000	adam	0.8737179487179487	0.9764705882352942	0.8449769585253456
logistic	0.01	True	(100,)	adaptive	500	adam	0.8737179487179487	0.9764705882352942	0.8449769585253456
logistic	0.01	True	(100,)	invscaling	1000	adam	0.8737179487179487	0.9764705882352942	0.8449769585253456
logistic	0.01	True	(100,)	invscaling	500	adam	0.8737179487179487	0.9764705882352942	0.8449769585253456
logistic	0.01	True	(100,)	constant	1000	adam	0.8737179487179487	0.9764705882352942	0.8449769585253456
logistic	0.001	True	(100,)	constant	500	adam	0.8737179487179487	0.9764705882352942	0.8449769585253456
relu	0.001	True	(100, 100)	adaptive	500	adam	0.918476621417798	0.9739130434782609	0.9023463901689708
relu	0.001	True	(100, 100)	constant	500	adam	0.918476621417798	0.9739130434782609	0.9023463901689708
relu	0.001	True	(100, 100)	invscaling	1000	adam	0.918476621417798	0.9739130434782609	0.9023463901689708
relu	0.001	True	(100, 100)	invscaling	500	adam	0.918476621417798	0.9739130434782609	0.9023463901689708
relu	0.1	True	(100, 100)	constant	500	adam	0.9184012066365008	0.9739130434782609	0.9022273425499231
relu	0.001	True	(100, 100)	constant	1000	adam	0.918476621417798	0.9739130434782609	0.9023463901689708
relu	0.001	True	(100, 100)	adaptive	1000	adam	0.918476621417798	0.9739130434782609	0.9023463901689708
relu	0.1	True	(100, 100)	constant	1000	adam	0.9184012066365008	0.9739130434782609	0.9022273425499231
relu	0.1	True	(100, 100)	invscaling	500	adam	0.9184012066365008	0.9739130434782609	0.9022273425499231
relu	0.01	True	(100, 100)	adaptive	1000	adam	0.918476621417798	0.9739130434782609	0.9023463901689708
relu	0.1	True	(100, 100)	invscaling	1000	adam	0.9184012066365008	0.9739130434782609	0.9022273425499231
relu	0.01	True	(100, 100)	adaptive	500	adam	0.918476621417798	0.9739130434782609	0.9023463901689708
relu	0.1	True	(100, 100)	adaptive	500	adam	0.9184012066365008	0.9739130434782609	0.9022273425499231
relu	0.01	True	(100, 100)	invscaling	1000	adam	0.918476621417798	0.9739130434782609	0.9023463901689708
relu	0.1	True	(100, 100)	adaptive	1000	adam	0.9184012066365008	0.9739130434782609	0.9022273425499231
relu	0.01	True	(100, 100)	invscaling	500	adam	0.918476621417798	0.9739130434782609	0.9023463901689708
relu	0.01	True	(100, 100)	constant	1000	adam	0.918476621417798	0.9739130434782609	0.9023463901689708
relu	0.01	True	(100, 100)	constant	500	adam	0.918476621417798	0.9739130434782609	0.9023463901689708
logistic	0.001	True	(100, 100)	invscaling	1000	adam	0.893212669683258	0.9727272727272727	0.8707987711213517
logistic	0.001	True	(100, 100)	adaptive	1000	adam	0.893212669683258	0.9727272727272727	0.8707987711213517
logistic	0.001	True	(100, 100)	adaptive	500	adam	0.893212669683258	0.9727272727272727	0.8707987711213517
logistic	0.001	True	(100, 100)	invscaling	500	adam	0.893212669683258	0.9727272727272727	0.8707987711213517
logistic	0.01	True	(100, 100)	adaptive	1000	adam	0.8893665158371041	0.9727272727272727	0.866036866359447
logistic	0.01	True	(100, 100)	constant	1000	adam	0.8893665158371041	0.9727272727272727	0.866036866359447
logistic	0.001	True	(100, 100)	constant	1000	adam	0.893212669683258	0.9727272727272727	0.8707987711213517
logistic	0.01	True	(100, 100)	adaptive	500	adam	0.8893665158371041	0.9727272727272727	0.866036866359447
logistic	0.01	True	(100, 100)	constant	500	adam	0.8893665158371041	0.9727272727272727	0.866036866359447
logistic	0.01	True	(100, 100)	invscaling	1000	adam	0.8893665158371041	0.9727272727272727	0.866036866359447
logistic	0.01	True	(100, 100)	invscaling	500	adam	0.8893665158371041	0.9727272727272727	0.866036866359447
logistic	0.001	True	(100, 100)	constant	500	adam	0.893212669683258	0.9727272727272727	0.8707987711213517
relu	0.01	True	(100, 100)	adaptive	500	sgd	0.7982277526395174	0.9690476190476189	0.7507565284178186
relu	0.1	True	(100, 100)	adaptive	500	sgd	0.7982277526395174	0.9690476190476189	0.7507565284178186
relu	0.001	True	(100, 100)	adaptive	500	sgd	0.7982277526395174	0.9690476190476189	0.7507565284178186
relu	0.01	True	(100, 100)	adaptive	1000	sgd	0.7982277526395174	0.9690476190476189	0.7507565284178186
relu	0.001	True	(100, 100)	adaptive	1000	sgd	0.7982277526395174	0.9690476190476189	0.7507565284178186
relu	0.1	True	(100, 100)	adaptive	1000	sgd	0.7982277526395174	0.9690476190476189	0.7507565284178186
tanh	0.001	True	(100, 100)	invscaling	1000	adam	0.9125565610859729	0.9686498855835239	0.8956144393241168
tanh	0.01	True	(100, 100)	invscaling	500	adam	0.9125565610859729	0.9686498855835239	0.8956144393241168
tanh	0.001	True	(100, 100)	adaptive	500	adam	0.9125565610859729	0.9686498855835239	0.8956144393241168
tanh	0.01	True	(100, 100)	invscaling	1000	adam	0.9125565610859729	0.9686498855835239	0.8956144393241168
tanh	0.001	True	(100, 100)	adaptive	1000	adam	0.9125565610859729	0.9686498855835239	0.8956144393241168
tanh	0.001	True	(100, 100)	invscaling	500	adam	0.9125565610859729	0.9686498855835239	0.8956144393241168
tanh	0.01	True	(100, 100)	adaptive	1000	adam	0.9125565610859729	0.9686498855835239	0.8956144393241168
tanh	0.01	True	(100, 100)	constant	500	adam	0.9125565610859729	0.9686498855835239	0.8956144393241168
tanh	0.01	True	(100, 100)	constant	1000	adam	0.9125565610859729	0.9686498855835239	0.8956144393241168
tanh	0.001	True	(100, 100)	constant	1000	adam	0.9125565610859729	0.9686498855835239	0.8956144393241168
tanh	0.001	True	(100, 100)	constant	500	adam	0.9125565610859729	0.9686498855835239	0.8956144393241168
tanh	0.01	True	(100, 100)	adaptive	500	adam	0.9125565610859729	0.9686498855835239	0.8956144393241168
tanh	0.1	True	(100, 100)	adaptive	1000	adam	0.9125565610859729	0.9647368421052631	0.8956144393241168
tanh	0.1	True	(100, 100)	adaptive	500	adam	0.9125565610859729	0.9647368421052631	0.8956144393241168
tanh	0.1	True	(100, 100)	invscaling	1000	adam	0.9125565610859729	0.9647368421052631	0.8956144393241168
tanh	0.1	True	(100, 100)	invscaling	500	adam	0.9125565610859729	0.9647368421052631	0.8956144393241168
tanh	0.1	True	(100, 100)	constant	1000	adam	0.9125565610859729	0.9647368421052631	0.8956144393241168
tanh	0.1	True	(100, 100)	constant	500	adam	0.9125565610859729	0.9647368421052631	0.8956144393241168
logistic	0.1	True	(50,)	adaptive	1000	adam	0.8483785822021117	0.961996336996337	0.8141973886328726
logistic	0.1	True	(50,)	adaptive	500	adam	0.8483785822021117	0.961996336996337	0.8141973886328726
logistic	0.1	True	(50,)	invscaling	1000	adam	0.8483785822021117	0.961996336996337	0.8141973886328726
logistic	0.1	True	(50,)	invscaling	500	adam	0.8483785822021117	0.961996336996337	0.8141973886328726
logistic	0.1	True	(50,)	constant	1000	adam	0.8483785822021117	0.961996336996337	0.8141973886328726
logistic	0.1	True	(50,)	constant	500	adam	0.8483785822021117	0.961996336996337	0.8141973886328726
relu	0.1	True	(100,)	constant	500	adam	0.9165912518853695	0.9605916305916307	0.9019777265745008
relu	0.1	True	(100,)	constant	1000	adam	0.9165912518853695	0.9605916305916307	0.9019777265745008
relu	0.1	True	(100,)	adaptive	500	adam	0.9165912518853695	0.9605916305916307	0.9019777265745008
