max_depth	max_features	min_samples_leaf	min_samples_split	n_estimators	mean_valid_accuracy	mean_valid_precision	mean_valid_auc
10	sqrt	2	10	200	0.9128205128205128	0.9823529411764707	0.8936136712749615
10	sqrt	2	8	200	0.9166666666666667	0.9783333333333333	0.8991436251920122
12	sqrt	2	8	200	0.9127828054298643	0.9783333333333333	0.89426267281106
10	sqrt	2	2	200	0.9166666666666667	0.9779605263157893	0.8992626728110599
10	sqrt	2	4	200	0.9166666666666667	0.9779605263157893	0.8992626728110599
10	log2	2	8	200	0.9166289592760182	0.9779605263157893	0.8991436251920122
12	sqrt	2	10	200	0.910897435897436	0.9770897832817337	0.8920007680491551
8	log2	2	8	200	0.9068627450980392	0.9770833333333334	0.88676267281106
10	sqrt	2	2	600	0.9147058823529413	0.9770833333333334	0.8967626728110598
10	sqrt	2	4	600	0.9147058823529413	0.9770833333333334	0.8967626728110598
10	sqrt	2	4	1000	0.9166666666666667	0.9770833333333334	0.8992626728110599
12	sqrt	2	2	600	0.9166289592760182	0.9770833333333334	0.8991436251920124
12	sqrt	2	4	600	0.9166289592760182	0.9770833333333334	0.8991436251920124
10	sqrt	2	2	1000	0.9166666666666667	0.9770833333333334	0.8992626728110599
12	log2	2	4	1000	0.9166289592760182	0.9770833333333334	0.8991436251920124
12	log2	2	2	1000	0.9166289592760182	0.9770833333333334	0.8991436251920124
12	log2	2	8	200	0.9166289592760182	0.9770833333333334	0.8991436251920124
12	sqrt	4	4	600	0.9030920060331825	0.9767973856209149	0.8821198156682026
10	sqrt	4	2	600	0.9030920060331825	0.9767973856209149	0.8821198156682026
10	sqrt	4	4	600	0.9030920060331825	0.9767973856209149	0.8821198156682026
10	sqrt	4	8	600	0.9030920060331825	0.9767973856209149	0.8821198156682026
12	sqrt	4	2	600	0.9030920060331825	0.9767973856209149	0.8821198156682026
12	sqrt	4	8	600	0.9030920060331825	0.9767973856209149	0.8821198156682026
6	log2	2	4	600	0.899057315233786	0.9761029411764707	0.8768817204301076
12	log2	4	10	1000	0.8990950226244344	0.9761029411764707	0.8770007680491553
8	log2	4	2	600	0.9029411764705882	0.9761029411764707	0.88176267281106
8	log2	4	2	200	0.9010935143288086	0.9761029411764707	0.8796198156682028
8	log2	2	10	1000	0.9010558069381599	0.9761029411764707	0.8795007680491551
8	log2	2	10	600	0.8991327300150831	0.9761029411764707	0.8771198156682027
8	log2	2	10	200	0.9030165912518854	0.9761029411764707	0.8820007680491552
8	log2	2	8	1000	0.8991327300150831	0.9761029411764707	0.8771198156682027
6	log2	2	2	200	0.9048642533936653	0.9761029411764707	0.8841436251920124
6	log2	2	2	600	0.899057315233786	0.9761029411764707	0.8768817204301076
8	log2	2	8	600	0.8991327300150831	0.9761029411764707	0.8771198156682027
6	log2	4	2	600	0.899057315233786	0.9761029411764707	0.8768817204301076
8	log2	4	4	200	0.9010935143288086	0.9761029411764707	0.8796198156682028
6	log2	2	4	200	0.9048642533936653	0.9761029411764707	0.8841436251920124
6	log2	2	10	1000	0.8971342383107089	0.9761029411764707	0.8745007680491552
6	log2	2	8	200	0.899057315233786	0.9761029411764707	0.8768817204301076
8	log2	4	2	1000	0.8990950226244344	0.9761029411764707	0.8770007680491553
8	log2	4	4	1000	0.8990950226244344	0.9761029411764707	0.8770007680491553
8	log2	4	4	600	0.9029411764705882	0.9761029411764707	0.88176267281106
12	log2	2	8	600	0.9127450980392158	0.9761029411764707	0.89426267281106
12	log2	2	2	600	0.9147058823529413	0.9761029411764707	0.8967626728110598
10	log2	4	10	1000	0.9010558069381599	0.9761029411764707	0.8795007680491551
10	log2	4	10	600	0.8990950226244344	0.9761029411764707	0.8770007680491553
10	log2	2	8	1000	0.9108220211161389	0.9761029411764707	0.8918817204301075
8	log2	4	8	200	0.9010935143288086	0.9761029411764707	0.8796198156682028
12	log2	2	4	600	0.9147058823529413	0.9761029411764707	0.8967626728110598
10	log2	2	8	600	0.9108220211161389	0.9761029411764707	0.8918817204301075
