C	gamma	kernel	mean_valid_accuracy	mean_valid_precision	mean_valid_auc
100.0	0.1	rbf	0.8970663265306122	0.97	0.8615011596036265
1000.0	0.1	rbf	0.8970663265306122	0.97	0.8615011596036265
10.0	0.1	rbf	0.8970663265306122	0.97	0.8615011596036265
1.0	0.1	rbf	0.8764455782312925	0.9625	0.8329063883617964
0.1	0.01	rbf	0.7956632653061225	0.96	0.7201402066202826
1.0	0.01	rbf	0.9198554421768709	0.9511363636363637	0.8970219270503901
0.01	0.01	linear	0.9053996598639455	0.9412499999999999	0.8784155597722959
0.01	0.1	linear	0.9053996598639455	0.9412499999999999	0.8784155597722959
0.01	1.0	linear	0.9053996598639455	0.9412499999999999	0.8784155597722959
0.01	100.0	linear	0.9053996598639455	0.9412499999999999	0.8784155597722959
0.01	1000.0	linear	0.9053996598639455	0.9412499999999999	0.8784155597722959
0.1	1.0	linear	0.9464710884353742	0.9366072042852229	0.9399378030782206
0.1	1000.0	linear	0.9464710884353742	0.9366072042852229	0.9399378030782206
0.1	100.0	linear	0.9464710884353742	0.9366072042852229	0.9399378030782206
0.1	0.1	linear	0.9464710884353742	0.9366072042852229	0.9399378030782206
0.1	0.01	linear	0.9464710884353742	0.9366072042852229	0.9399378030782206
10.0	0.01	rbf	0.9506802721088435	0.9327976804756991	0.9458201560193971
100.0	0.01	rbf	0.9506802721088435	0.9327976804756991	0.9458201560193971
1000.0	0.01	rbf	0.9506802721088435	0.9327976804756991	0.9458201560193971
100.0	0.1	linear	0.9422619047619047	0.9281349820630007	0.9352203246890156
10.0	1.0	linear	0.9422619047619047	0.9281349820630007	0.9352203246890156
10.0	100.0	linear	0.9422619047619047	0.9281349820630007	0.9352203246890156
10.0	1000.0	linear	0.9422619047619047	0.9281349820630007	0.9352203246890156
100.0	0.01	linear	0.9422619047619047	0.9281349820630007	0.9352203246890156
1000.0	0.1	linear	0.9422619047619047	0.9281349820630007	0.9352203246890156
1000.0	1000.0	linear	0.9422619047619047	0.9281349820630007	0.9352203246890156
100.0	1.0	linear	0.9422619047619047	0.9281349820630007	0.9352203246890156
1000.0	1.0	linear	0.9422619047619047	0.9281349820630007	0.9352203246890156
100.0	100.0	linear	0.9422619047619047	0.9281349820630007	0.9352203246890156
100.0	1000.0	linear	0.9422619047619047	0.9281349820630007	0.9352203246890156
1000.0	0.01	linear	0.9422619047619047	0.9281349820630007	0.9352203246890156
1000.0	100.0	linear	0.9422619047619047	0.9281349820630007	0.9352203246890156
10.0	0.01	linear	0.9422619047619047	0.9281349820630007	0.9352203246890156
10.0	0.1	linear	0.9422619047619047	0.9281349820630007	0.9352203246890156
1.0	1000.0	linear	0.9422619047619047	0.9281349820630007	0.9352203246890156
1.0	0.1	linear	0.9422619047619047	0.9281349820630007	0.9352203246890156
1.0	1.0	linear	0.9422619047619047	0.9281349820630007	0.9352203246890156
1.0	100.0	linear	0.9422619047619047	0.9281349820630007	0.9352203246890156
1.0	0.01	linear	0.9422619047619047	0.9281349820630007	0.9352203246890156
10.0	1000.0	rbf	0.6384778911564626	0.0	0.5
0.1	100.0	rbf	0.6384778911564626	0.0	0.5
0.01	0.1	rbf	0.6384778911564626	0.0	0.5
1000.0	100.0	rbf	0.6384778911564626	0.0	0.5
0.01	1.0	rbf	0.6384778911564626	0.0	0.5
1000.0	1.0	rbf	0.6384778911564626	0.0	0.5
0.01	100.0	rbf	0.6384778911564626	0.0	0.5
0.01	1000.0	rbf	0.6384778911564626	0.0	0.5
0.1	0.1	rbf	0.6384778911564626	0.0	0.5
0.1	1.0	rbf	0.6384778911564626	0.0	0.5
100.0	1000.0	rbf	0.6384778911564626	0.0	0.5
1.0	100.0	rbf	0.6384778911564626	0.0	0.5
0.1	1000.0	rbf	0.6384778911564626	0.0	0.5
100.0	100.0	rbf	0.6384778911564626	0.0	0.5
0.01	0.01	rbf	0.6384778911564626	0.0	0.5
100.0	1.0	rbf	0.6384778911564626	0.0	0.5
10.0	1.0	rbf	0.6384778911564626	0.0	0.5
1.0	1000.0	rbf	0.6384778911564626	0.0	0.5
1.0	1.0	rbf	0.6384778911564626	0.0	0.5
10.0	100.0	rbf	0.6384778911564626	0.0	0.5
1000.0	1000.0	rbf	0.6384778911564626	0.0	0.5
