max_depth	max_features	min_samples_leaf	min_samples_split	n_estimators	mean_valid_accuracy	mean_valid_precision	mean_valid_auc
10	log2	4	4	1000	0.9327586206896552	0.9845238095238095	0.9286401098901098
12	log2	4	2	1000	0.9360919540229885	0.9845238095238095	0.9322115384615385
10	sqrt	2	8	600	0.9494252873563218	0.9845238095238095	0.9464972527472527
8	log2	2	4	1000	0.9294252873563218	0.9845238095238095	0.9250686813186814
8	log2	2	2	1000	0.9294252873563218	0.9845238095238095	0.9250686813186814
10	sqrt	4	2	200	0.9427586206896551	0.9845238095238095	0.9393543956043956
12	sqrt	2	8	600	0.9494252873563218	0.9845238095238095	0.9464972527472527
10	log2	4	2	1000	0.9327586206896552	0.9845238095238095	0.9286401098901098
12	sqrt	4	10	600	0.9360919540229885	0.9845238095238095	0.9322115384615385
10	sqrt	4	4	200	0.9427586206896551	0.9845238095238095	0.9393543956043956
12	log2	4	4	1000	0.9360919540229885	0.9845238095238095	0.9322115384615385
10	sqrt	4	8	200	0.9427586206896551	0.9845238095238095	0.9393543956043956
12	log2	4	8	1000	0.9360919540229885	0.9845238095238095	0.9322115384615385
10	log2	4	8	1000	0.9327586206896552	0.9845238095238095	0.9286401098901098
10	sqrt	4	4	600	0.9293103448275863	0.9783333333333333	0.9255151098901099
10	sqrt	4	2	600	0.9293103448275863	0.9783333333333333	0.9255151098901099
10	sqrt	4	8	600	0.9293103448275863	0.9783333333333333	0.9255151098901099
12	sqrt	4	2	600	0.9359770114942529	0.9783333333333333	0.932657967032967
12	sqrt	4	4	600	0.9359770114942529	0.9783333333333333	0.932657967032967
10	sqrt	2	8	200	0.9426436781609195	0.9783333333333333	0.9398008241758242
12	sqrt	2	8	200	0.9426436781609195	0.9783333333333333	0.9398008241758242
12	sqrt	4	8	600	0.9359770114942529	0.9783333333333333	0.932657967032967
8	sqrt	4	2	600	0.9259770114942529	0.9783333333333333	0.9219436813186814
8	sqrt	4	8	600	0.9259770114942529	0.9783333333333333	0.9219436813186814
8	sqrt	4	4	600	0.9259770114942529	0.9783333333333333	0.9219436813186814
8	sqrt	2	8	1000	0.9393103448275861	0.9778571428571429	0.9360210622710623
10	log2	4	2	600	0.9326436781609194	0.9778571428571429	0.9288782051282052
8	sqrt	2	2	600	0.9359770114942527	0.9778571428571429	0.9324496336996336
10	log2	2	10	1000	0.9359770114942527	0.9778571428571429	0.9324496336996336
10	sqrt	4	10	1000	0.9426436781609194	0.9778571428571429	0.939592490842491
8	sqrt	2	4	600	0.9359770114942527	0.9778571428571429	0.9324496336996336
8	sqrt	2	4	1000	0.9393103448275861	0.9778571428571429	0.9360210622710623
8	sqrt	2	8	200	0.9359770114942527	0.9778571428571429	0.9324496336996336
8	sqrt	2	8	600	0.9359770114942527	0.9778571428571429	0.9324496336996336
10	sqrt	2	4	600	0.9426436781609195	0.9778571428571429	0.939592490842491
10	sqrt	2	4	1000	0.9393103448275861	0.9778571428571429	0.9360210622710623
10	sqrt	2	10	1000	0.9426436781609195	0.9778571428571429	0.939592490842491
10	sqrt	2	10	200	0.9393103448275861	0.9778571428571429	0.9360210622710623
6	sqrt	2	2	600	0.9326436781609194	0.9778571428571429	0.9288782051282052
10	sqrt	2	8	1000	0.9426436781609195	0.9778571428571429	0.939592490842491
10	sqrt	2	2	600	0.9426436781609195	0.9778571428571429	0.939592490842491
10	sqrt	2	2	1000	0.9393103448275861	0.9778571428571429	0.9360210622710623
10	sqrt	2	4	200	0.9393103448275861	0.9778571428571429	0.9360210622710623
10	sqrt	2	2	200	0.9393103448275861	0.9778571428571429	0.9360210622710623
8	sqrt	2	2	1000	0.9393103448275861	0.9778571428571429	0.9360210622710623
10	log2	4	4	600	0.9326436781609194	0.9778571428571429	0.9288782051282052
6	sqrt	2	10	600	0.9326436781609194	0.9778571428571429	0.9288782051282052
10	log2	4	8	600	0.9326436781609194	0.9778571428571429	0.9288782051282052
6	sqrt	4	4	200	0.9293103448275861	0.9778571428571429	0.9253067765567765
6	sqrt	4	2	200	0.9293103448275861	0.9778571428571429	0.9253067765567765
12	sqrt	2	10	1000	0.945977011494253	0.9778571428571429	0.9431639194139194
12	sqrt	2	10	200	0.9393103448275861	0.9778571428571429	0.9360210622710623
12	sqrt	2	8	1000	0.945977011494253	0.9778571428571429	0.9431639194139194
6	sqrt	2	10	1000	0.9326436781609194	0.9778571428571429	0.9288782051282052
12	sqrt	2	4	1000	0.9426436781609195	0.9778571428571429	0.939592490842491
6	sqrt	4	8	200	0.9293103448275861	0.9778571428571429	0.9253067765567765
12	sqrt	2	4	600	0.9359770114942527	0.9778571428571429	0.9324496336996339
12	sqrt	2	4	200	0.9393103448275861	0.9778571428571429	0.9360210622710623
12	sqrt	2	2	1000	0.9426436781609195	0.9778571428571429	0.939592490842491
6	sqrt	2	4	1000	0.9326436781609194	0.9778571428571429	0.9288782051282052
6	sqrt	2	4	600	0.9326436781609194	0.9778571428571429	0.9288782051282052
6	sqrt	2	2	1000	0.9326436781609194	0.9778571428571429	0.9288782051282052
12	sqrt	2	2	600	0.9359770114942527	0.9778571428571429	0.9324496336996339
12	sqrt	2	2	200	0.9393103448275861	0.9778571428571429	0.9360210622710623
12	sqrt	4	10	1000	0.9426436781609194	0.9778571428571429	0.939592490842491
12	log2	4	4	200	0.9326436781609194	0.9773809523809524	0.9290865384615385
12	log2	4	8	200	0.9326436781609194	0.9773809523809524	0.9290865384615385
8	sqrt	2	2	200	0.9393103448275861	0.9773809523809524	0.9362293956043957
12	log2	4	2	200	0.9326436781609194	0.9773809523809524	0.9290865384615385
12	log2	2	8	1000	0.9426436781609195	0.9773809523809524	0.9398008241758241
12	log2	2	4	1000	0.9393103448275861	0.9773809523809524	0.9362293956043957
12	log2	2	2	1000	0.9393103448275861	0.9773809523809524	0.9362293956043957
8	sqrt	2	4	200	0.9393103448275861	0.9773809523809524	0.9362293956043957
8	sqrt	8	10	200	0.9155172413793103	0.977099567099567	0.9099221611721612
8	sqrt	8	8	200	0.9155172413793103	0.977099567099567	0.9099221611721612
8	sqrt	8	4	200	0.9155172413793103	0.977099567099567	0.9099221611721612
8	sqrt	8	2	200	0.9155172413793103	0.977099567099567	0.9099221611721612
6	log2	2	2	600	0.9225287356321837	0.9768315018315018	0.9180975274725276
