max_depth	max_features	min_samples_leaf	min_samples_split	n_estimators	mean_valid_accuracy	mean_valid_precision	mean_valid_auc
8	log2	2	2	200	0.9259770114942528	0.9857142857142858	0.9212225274725275
8	log2	2	4	200	0.9259770114942528	0.9857142857142858	0.9212225274725275
10	log2	2	4	200	0.9360919540229885	0.9851648351648352	0.9322115384615385
8	log2	2	4	1000	0.9295402298850574	0.9851648351648352	0.9253434065934065
10	log2	2	2	200	0.9360919540229885	0.9851648351648352	0.9322115384615385
8	log2	2	2	1000	0.9295402298850574	0.9851648351648352	0.9253434065934065
12	log2	2	10	200	0.9327586206896552	0.9795238095238096	0.9293612637362637
12	log2	2	10	600	0.9360919540229885	0.9795238095238096	0.9329326923076924
12	log2	2	4	200	0.9326436781609196	0.9783333333333333	0.9290865384615385
12	log2	2	2	200	0.9326436781609196	0.9783333333333333	0.9290865384615385
6	log2	2	8	1000	0.9191954022988504	0.9780219780219781	0.9145260989010989
8	log2	4	10	200	0.9158620689655171	0.9780219780219781	0.9109546703296703
6	log2	4	2	1000	0.9191954022988504	0.9780219780219781	0.9145260989010989
6	log2	4	4	1000	0.9191954022988504	0.9780219780219781	0.9145260989010989
6	log2	4	8	1000	0.9191954022988504	0.9780219780219781	0.9145260989010989
6	log2	4	10	200	0.9124137931034483	0.9780219780219781	0.9071085164835166
6	log2	4	10	1000	0.9225287356321837	0.9780219780219781	0.9180975274725276
10	log2	2	2	600	0.9326436781609194	0.9780219780219781	0.9290865384615385
12	log2	2	8	600	0.9427586206896551	0.9780219780219781	0.9400755494505495
10	log2	2	10	200	0.9326436781609194	0.9780219780219781	0.9290865384615385
12	log2	2	4	1000	0.9293103448275861	0.9780219780219781	0.9255151098901099
12	log2	2	4	600	0.9293103448275861	0.9780219780219781	0.9255151098901099
10	log2	2	8	200	0.9294252873563217	0.9780219780219781	0.9257898351648353
10	log2	2	4	600	0.9326436781609194	0.9780219780219781	0.9290865384615385
12	log2	2	2	1000	0.9293103448275861	0.9780219780219781	0.9255151098901099
12	log2	2	2	600	0.9293103448275861	0.9780219780219781	0.9255151098901099
8	log2	2	10	200	0.9224137931034482	0.9774725274725276	0.9178228021978022
6	log2	4	8	600	0.9157471264367816	0.9774725274725276	0.9106799450549451
6	log2	4	8	200	0.9090804597701148	0.9774725274725276	0.903537087912088
6	log2	4	4	600	0.9157471264367816	0.9774725274725276	0.9106799450549451
6	log2	4	4	200	0.9090804597701148	0.9774725274725276	0.903537087912088
6	log2	4	2	600	0.9157471264367816	0.9774725274725276	0.9106799450549451
6	log2	2	10	200	0.9089655172413792	0.9774725274725276	0.9032623626373626
6	log2	2	8	600	0.9190804597701149	0.9774725274725276	0.9142513736263738
6	log2	4	2	200	0.9090804597701148	0.9774725274725276	0.903537087912088
8	log2	2	4	600	0.9293103448275861	0.9773809523809524	0.9255151098901099
8	log2	2	2	600	0.9293103448275861	0.9773809523809524	0.9255151098901099
12	log2	8	2	200	0.9089655172413794	0.9718315018315019	0.9039835164835164
10	log2	8	10	200	0.9124137931034483	0.9718315018315019	0.9078296703296702
12	log2	8	4	200	0.9089655172413794	0.9718315018315019	0.9039835164835164
10	log2	4	10	1000	0.922528735632184	0.9718315018315019	0.9188186813186814
10	log2	4	10	200	0.9191954022988507	0.9718315018315019	0.9152472527472527
12	log2	8	8	200	0.9089655172413794	0.9718315018315019	0.9039835164835164
6	log2	4	10	600	0.915632183908046	0.9718315018315019	0.9111263736263737
6	log2	8	2	600	0.9122988505747127	0.9718315018315019	0.907554945054945
6	log2	8	4	600	0.9122988505747127	0.9718315018315019	0.907554945054945
10	log2	8	8	200	0.9124137931034483	0.9718315018315019	0.9078296703296702
8	log2	8	10	200	0.9124137931034483	0.9718315018315019	0.9078296703296702
10	log2	8	4	200	0.9124137931034483	0.9718315018315019	0.9078296703296702
8	log2	8	4	200	0.9124137931034483	0.9718315018315019	0.9078296703296702
6	log2	8	8	600	0.9122988505747127	0.9718315018315019	0.907554945054945
6	log2	8	10	600	0.9122988505747127	0.9718315018315019	0.907554945054945
12	log2	2	10	1000	0.9293103448275861	0.9718315018315019	0.9262362637362637
10	log2	8	2	200	0.9124137931034483	0.9718315018315019	0.9078296703296702
12	log2	8	10	200	0.9089655172413794	0.9718315018315019	0.9039835164835164
8	log2	4	10	1000	0.922528735632184	0.9718315018315019	0.9188186813186814
8	log2	8	2	200	0.9124137931034483	0.9718315018315019	0.9078296703296702
8	log2	8	8	200	0.9124137931034483	0.9718315018315019	0.9078296703296702
8	log2	2	8	200	0.9258620689655173	0.9713553113553113	0.9221817765567766
6	log2	2	2	200	0.9089655172413794	0.9712820512820514	0.9039835164835166
6	log2	2	4	200	0.9089655172413794	0.9712820512820514	0.9039835164835166
12	sqrt	2	2	600	0.9258620689655173	0.9711904761904762	0.9223901098901098
12	sqrt	2	4	600	0.9258620689655173	0.9711904761904762	0.9223901098901098
8	sqrt	2	10	200	0.9291954022988506	0.9707142857142858	0.9257532051282051
12	log2	4	2	600	0.9259770114942528	0.9703296703296704	0.9226648351648352
10	log2	2	8	600	0.9326436781609194	0.9703296703296704	0.9298076923076923
12	log2	4	8	600	0.9259770114942528	0.9703296703296704	0.9226648351648352
12	log2	2	8	1000	0.9326436781609194	0.9703296703296704	0.9298076923076923
12	log2	2	8	200	0.9293103448275861	0.9703296703296704	0.9262362637362637
12	log2	4	4	600	0.9259770114942528	0.9703296703296704	0.9226648351648352
10	log2	2	8	1000	0.9259770114942528	0.9703296703296704	0.9226648351648352
6	log2	2	8	200	0.9088505747126436	0.9701648351648352	0.903500457875458
6	log2	2	4	600	0.9225287356321837	0.9696886446886447	0.9188186813186814
10	log2	2	4	1000	0.9325287356321837	0.9696886446886447	0.929532967032967
6	log2	2	2	600	0.9225287356321837	0.9696886446886447	0.9188186813186814
8	sqrt	2	2	200	0.925862068965517	0.9696886446886447	0.9223901098901098
8	sqrt	2	2	600	0.9325287356321837	0.9696886446886447	0.929532967032967
8	sqrt	2	2	1000	0.9325287356321837	0.9696886446886447	0.929532967032967
8	sqrt	2	4	200	0.925862068965517	0.9696886446886447	0.9223901098901098
10	sqrt	2	8	1000	0.9325287356321837	0.9696886446886447	0.929532967032967
8	sqrt	2	4	600	0.9325287356321837	0.9696886446886447	0.929532967032967
10	sqrt	2	8	600	0.9325287356321837	0.9696886446886447	0.929532967032967
8	sqrt	2	4	1000	0.9325287356321837	0.9696886446886447	0.929532967032967
10	sqrt	2	4	1000	0.9291954022988504	0.9696886446886447	0.9259615384615385
12	log2	4	8	1000	0.9225287356321837	0.9696886446886447	0.9188186813186814
10	sqrt	2	2	1000	0.9291954022988504	0.9696886446886447	0.9259615384615385
8	sqrt	2	8	1000	0.9325287356321837	0.9696886446886447	0.929532967032967
12	log2	4	4	1000	0.9225287356321837	0.9696886446886447	0.9188186813186814
12	sqrt	2	8	1000	0.9325287356321837	0.9696886446886447	0.929532967032967
12	log2	4	2	1000	0.9225287356321837	0.9696886446886447	0.9188186813186814
10	log2	2	2	1000	0.9325287356321837	0.9696886446886447	0.929532967032967
6	sqrt	2	10	200	0.9289655172413793	0.9690476190476192	0.9252037545787546
6	sqrt	2	8	200	0.9222988505747127	0.9690476190476192	0.9180608974358975
10	log2	4	4	1000	0.9190804597701149	0.9690476190476189	0.9149725274725276
10	log2	4	2	1000	0.9190804597701149	0.9690476190476189	0.9149725274725276
10	log2	4	8	1000	0.9190804597701149	0.9690476190476189	0.9149725274725276
12	sqrt	2	8	600	0.9290804597701149	0.968931068931069	0.9256868131868131
10	log2	4	4	600	0.9190804597701149	0.968931068931069	0.9149725274725276
12	sqrt	2	2	200	0.9224137931034482	0.968931068931069	0.918543956043956
10	log2	4	2	600	0.9190804597701149	0.968931068931069	0.9149725274725276
12	sqrt	2	4	200	0.9224137931034482	0.968931068931069	0.918543956043956
6	log2	2	10	1000	0.9190804597701149	0.968931068931069	0.9149725274725276
10	log2	4	8	600	0.9190804597701149	0.968931068931069	0.9149725274725276
6	log2	2	10	600	0.9156321839080459	0.9683816183816184	0.9111263736263737
6	log2	8	8	200	0.9089655172413792	0.9664148351648352	0.9047046703296703
6	log2	8	10	200	0.9089655172413792	0.9664148351648352	0.9047046703296703
6	log2	8	4	200	0.9089655172413792	0.9664148351648352	0.9047046703296703
6	log2	8	2	200	0.9089655172413792	0.9664148351648352	0.9047046703296703
8	log2	4	10	600	0.9190804597701149	0.9664148351648352	0.9156936813186813
6	sqrt	2	4	1000	0.9224137931034484	0.9645238095238096	0.9190567765567765
6	sqrt	2	4	600	0.9190804597701151	0.9645238095238096	0.9154853479853481
10	sqrt	4	10	200	0.9224137931034484	0.9645238095238096	0.9190567765567765
6	sqrt	2	2	1000	0.9224137931034484	0.9645238095238096	0.9190567765567765
6	sqrt	2	2	600	0.9190804597701151	0.9645238095238096	0.9154853479853481
12	sqrt	4	10	200	0.9257471264367817	0.9645238095238096	0.9226282051282052
8	sqrt	4	10	200	0.9190804597701151	0.9645238095238096	0.9154853479853481
12	sqrt	2	10	200	0.929080459770115	0.9645238095238096	0.9261996336996337
8	log2	4	2	200	0.9191954022988507	0.9641391941391942	0.9159684065934066
8	log2	4	4	200	0.9191954022988507	0.9641391941391942	0.9159684065934066
8	log2	4	8	200	0.9191954022988507	0.9641391941391942	0.9159684065934066
12	log2	4	10	600	0.9258620689655173	0.9641391941391942	0.9231112637362637
6	sqrt	2	2	200	0.9290804597701149	0.964047619047619	0.9259913003663003
6	sqrt	2	4	200	0.9290804597701149	0.964047619047619	0.9259913003663003
8	sqrt	2	8	200	0.925632183908046	0.9637662337662338	0.9223534798534798
12	log2	4	2	200	0.9124137931034483	0.9634981684981685	0.9085508241758242
8	log2	4	4	600	0.9190804597701149	0.9634981684981685	0.9156936813186813
8	log2	2	8	1000	0.9257471264367816	0.9634981684981685	0.9228365384615385
8	log2	2	10	600	0.9190804597701149	0.9634981684981685	0.9156936813186813
8	log2	2	10	1000	0.9224137931034482	0.9634981684981685	0.9192651098901099
8	log2	4	2	600	0.9190804597701149	0.9634981684981685	0.9156936813186813
8	log2	4	2	1000	0.9157471264367816	0.9634981684981685	0.9121222527472528
6	log2	2	4	1000	0.9157471264367816	0.9634981684981685	0.9121222527472528
8	log2	4	4	1000	0.9157471264367816	0.9634981684981685	0.9121222527472528
6	log2	2	2	1000	0.9157471264367816	0.9634981684981685	0.9121222527472528
8	log2	4	8	600	0.9190804597701149	0.9634981684981685	0.9156936813186813
8	log2	4	8	1000	0.9157471264367816	0.9634981684981685	0.9121222527472528
12	log2	4	10	1000	0.9190804597701149	0.9634981684981685	0.9156936813186813
12	log2	4	4	200	0.9124137931034483	0.9634981684981685	0.9085508241758242
12	log2	4	8	200	0.9124137931034483	0.9634981684981685	0.9085508241758242
8	log2	2	8	600	0.9224137931034482	0.9634981684981685	0.9192651098901099
12	sqrt	2	4	1000	0.9257471264367816	0.9634981684981685	0.9228365384615385
10	sqrt	2	2	600	0.9257471264367816	0.9634981684981685	0.9228365384615385
12	sqrt	2	2	1000	0.9257471264367816	0.9634981684981685	0.9228365384615385
10	log2	2	10	600	0.9257471264367816	0.9634981684981685	0.9228365384615385
10	log2	2	10	1000	0.9290804597701149	0.9634981684981685	0.926407967032967
10	sqrt	2	4	600	0.9257471264367816	0.9634981684981685	0.9228365384615385
