activation	alpha	early_stopping	hidden_layer_sizes	learning_rate	max_iter	solver	mean_valid_accuracy	mean_valid_precision	mean_valid_auc
logistic	0.001	True	(100, 100)	adaptive	500	adam	0.8753561253561253	1.0	0.8445454545454545
logistic	0.01	True	(100, 100)	invscaling	1000	adam	0.8716524216524217	1.0	0.8400000000000001
logistic	0.1	True	(100, 100)	invscaling	500	adam	0.8793447293447294	1.0	0.8495454545454546
logistic	0.1	True	(100, 100)	invscaling	1000	adam	0.8793447293447294	1.0	0.8495454545454546
logistic	0.1	True	(100, 100)	adaptive	500	adam	0.8793447293447294	1.0	0.8495454545454546
logistic	0.1	True	(100, 100)	adaptive	1000	adam	0.8793447293447294	1.0	0.8495454545454546
logistic	0.01	True	(100, 100)	constant	500	adam	0.8716524216524217	1.0	0.8400000000000001
logistic	0.001	True	(100, 100)	adaptive	1000	adam	0.8753561253561253	1.0	0.8445454545454545
logistic	0.01	True	(100, 100)	constant	1000	adam	0.8716524216524217	1.0	0.8400000000000001
logistic	0.001	True	(100, 100)	invscaling	1000	adam	0.8753561253561253	1.0	0.8445454545454545
logistic	0.001	True	(100, 100)	invscaling	500	adam	0.8753561253561253	1.0	0.8445454545454545
logistic	0.01	True	(100, 100)	invscaling	500	adam	0.8716524216524217	1.0	0.8400000000000001
logistic	0.001	True	(100, 100)	constant	1000	adam	0.8753561253561253	1.0	0.8445454545454545
logistic	0.001	True	(100, 100)	constant	500	adam	0.8753561253561253	1.0	0.8445454545454545
logistic	0.01	True	(100, 100)	adaptive	500	adam	0.8716524216524217	1.0	0.8400000000000001
logistic	0.1	True	(100, 100)	constant	500	adam	0.8793447293447294	1.0	0.8495454545454546
logistic	0.01	True	(100, 100)	adaptive	1000	adam	0.8716524216524217	1.0	0.8400000000000001
logistic	0.1	True	(100, 100)	constant	1000	adam	0.8793447293447294	1.0	0.8495454545454546
identity	0.1	True	(50, 50)	constant	500	lbfgs	0.9364672364672364	0.990909090909091	0.9230303030303031
identity	0.1	True	(50, 50)	constant	1000	lbfgs	0.9364672364672364	0.990909090909091	0.9230303030303031
identity	0.1	True	(50, 50)	invscaling	500	lbfgs	0.9364672364672364	0.990909090909091	0.9230303030303031
identity	0.1	True	(50, 50)	invscaling	1000	lbfgs	0.9364672364672364	0.990909090909091	0.9230303030303031
identity	0.1	True	(50, 50)	adaptive	500	lbfgs	0.9364672364672364	0.990909090909091	0.9230303030303031
identity	0.1	True	(50, 50)	adaptive	1000	lbfgs	0.9364672364672364	0.990909090909091	0.9230303030303031
identity	0.1	True	(100, 100)	adaptive	1000	lbfgs	0.9095441595441596	0.99	0.8893939393939394
identity	0.1	True	(100, 100)	adaptive	500	lbfgs	0.9095441595441596	0.99	0.8893939393939394
identity	0.1	True	(100, 100)	constant	500	lbfgs	0.9095441595441596	0.99	0.8893939393939394
identity	0.1	True	(100, 100)	constant	1000	lbfgs	0.9095441595441596	0.99	0.8893939393939394
identity	0.1	True	(100, 100)	invscaling	500	lbfgs	0.9095441595441596	0.99	0.8893939393939394
identity	0.1	True	(100, 100)	invscaling	1000	lbfgs	0.9095441595441596	0.99	0.8893939393939394
relu	0.01	True	(50, 50)	constant	500	lbfgs	0.9589743589743589	0.9825757575757577	0.9523863636363636
relu	0.001	True	(50, 50)	constant	500	lbfgs	0.9589743589743589	0.9825757575757577	0.9523863636363636
