activation	alpha	early_stopping	hidden_layer_sizes	learning_rate	max_iter	solver	mean_valid_accuracy	mean_valid_precision	mean_valid_auc
logistic	0.01	True	(100,)	constant	500	adam	0.7888888888888889	0.95	0.7420265151515151
logistic	0.001	True	(100,)	adaptive	1000	adam	0.7888888888888889	0.95	0.7420265151515151
logistic	0.001	True	(100,)	invscaling	1000	adam	0.7888888888888889	0.95	0.7420265151515151
logistic	0.001	True	(100,)	invscaling	500	adam	0.7888888888888889	0.95	0.7420265151515151
logistic	0.001	True	(100,)	constant	1000	adam	0.7888888888888889	0.95	0.7420265151515151
logistic	0.001	True	(100,)	constant	500	adam	0.7888888888888889	0.95	0.7420265151515151
logistic	0.01	True	(100,)	adaptive	1000	adam	0.7888888888888889	0.95	0.7420265151515151
logistic	0.01	True	(100,)	adaptive	500	adam	0.7888888888888889	0.95	0.7420265151515151
logistic	0.01	True	(100,)	invscaling	1000	adam	0.7888888888888889	0.95	0.7420265151515151
logistic	0.01	True	(100,)	invscaling	500	adam	0.7888888888888889	0.95	0.7420265151515151
logistic	0.01	True	(100,)	constant	1000	adam	0.7888888888888889	0.95	0.7420265151515151
logistic	0.001	True	(100,)	adaptive	500	adam	0.7888888888888889	0.95	0.7420265151515151
logistic	0.1	True	(100,)	adaptive	1000	adam	0.7888888888888889	0.95	0.7420265151515151
logistic	0.1	True	(100,)	adaptive	500	adam	0.7888888888888889	0.95	0.7420265151515151
logistic	0.1	True	(100,)	invscaling	1000	adam	0.7888888888888889	0.95	0.7420265151515151
logistic	0.1	True	(100,)	invscaling	500	adam	0.7888888888888889	0.95	0.7420265151515151
logistic	0.1	True	(100,)	constant	1000	adam	0.7888888888888889	0.95	0.7420265151515151
logistic	0.1	True	(100,)	constant	500	adam	0.7888888888888889	0.95	0.7420265151515151
logistic	0.01	True	(50,)	constant	1000	adam	0.818945868945869	0.9341666666666667	0.7835606060606061
logistic	0.01	True	(50,)	invscaling	1000	adam	0.818945868945869	0.9341666666666667	0.7835606060606061
logistic	0.01	True	(50,)	adaptive	500	adam	0.818945868945869	0.9341666666666667	0.7835606060606061
logistic	0.01	True	(50,)	adaptive	1000	adam	0.818945868945869	0.9341666666666667	0.7835606060606061
logistic	0.01	True	(50,)	constant	500	adam	0.818945868945869	0.9341666666666667	0.7835606060606061
logistic	0.01	True	(50,)	invscaling	500	adam	0.818945868945869	0.9341666666666667	0.7835606060606061
logistic	0.001	True	(50,)	adaptive	1000	adam	0.8113960113960113	0.9230555555555556	0.7758901515151516
logistic	0.1	True	(50,)	invscaling	1000	adam	0.8150997150997151	0.9230555555555556	0.7804356060606061
logistic	0.1	True	(50,)	adaptive	500	adam	0.8150997150997151	0.9230555555555556	0.7804356060606061
logistic	0.1	True	(50,)	adaptive	1000	adam	0.8150997150997151	0.9230555555555556	0.7804356060606061
logistic	0.001	True	(50,)	constant	500	adam	0.8113960113960113	0.9230555555555556	0.7758901515151516
logistic	0.1	True	(50,)	constant	1000	adam	0.8150997150997151	0.9230555555555556	0.7804356060606061
