C	gamma	kernel	mean_valid_accuracy	mean_valid_precision	mean_valid_auc
10.0	0.01	rbf	0.8334757834757835	0.9	0.7927272727272727
1.0	0.01	rbf	0.8183760683760685	0.9	0.7740909090909092
1000.0	0.01	rbf	0.8334757834757835	0.9	0.7927272727272727
100.0	0.01	rbf	0.8334757834757835	0.9	0.7927272727272727
0.01	0.01	linear	0.9168091168091168	0.8944300144300146	0.9148484848484847
0.01	0.1	linear	0.9168091168091168	0.8944300144300146	0.9148484848484847
0.01	1.0	linear	0.9168091168091168	0.8944300144300146	0.9148484848484847
0.01	100.0	linear	0.9168091168091168	0.8944300144300146	0.9148484848484847
0.01	1000.0	linear	0.9168091168091168	0.8944300144300146	0.9148484848484847
100.0	0.1	linear	0.8786324786324787	0.8533372183372183	0.8747159090909091
10.0	0.1	linear	0.8786324786324787	0.8533372183372183	0.8747159090909091
10.0	1.0	linear	0.8786324786324787	0.8533372183372183	0.8747159090909091
10.0	100.0	linear	0.8786324786324787	0.8533372183372183	0.8747159090909091
10.0	1000.0	linear	0.8786324786324787	0.8533372183372183	0.8747159090909091
100.0	0.01	linear	0.8786324786324787	0.8533372183372183	0.8747159090909091
100.0	1000.0	linear	0.8786324786324787	0.8533372183372183	0.8747159090909091
100.0	1.0	linear	0.8786324786324787	0.8533372183372183	0.8747159090909091
100.0	100.0	linear	0.8786324786324787	0.8533372183372183	0.8747159090909091
1.0	100.0	linear	0.8786324786324787	0.8533372183372183	0.8747159090909091
1000.0	0.01	linear	0.8786324786324787	0.8533372183372183	0.8747159090909091
1000.0	0.1	linear	0.8786324786324787	0.8533372183372183	0.8747159090909091
1000.0	1.0	linear	0.8786324786324787	0.8533372183372183	0.8747159090909091
1000.0	100.0	linear	0.8786324786324787	0.8533372183372183	0.8747159090909091
1000.0	1000.0	linear	0.8786324786324787	0.8533372183372183	0.8747159090909091
1.0	1000.0	linear	0.8786324786324787	0.8533372183372183	0.8747159090909091
10.0	0.01	linear	0.8786324786324787	0.8533372183372183	0.8747159090909091
0.1	1000.0	linear	0.8786324786324787	0.8533372183372183	0.8747159090909091
1.0	1.0	linear	0.8786324786324787	0.8533372183372183	0.8747159090909091
0.1	1.0	linear	0.8786324786324787	0.8533372183372183	0.8747159090909091
0.1	0.1	linear	0.8786324786324787	0.8533372183372183	0.8747159090909091
1.0	0.1	linear	0.8786324786324787	0.8533372183372183	0.8747159090909091
0.1	100.0	linear	0.8786324786324787	0.8533372183372183	0.8747159090909091
1.0	0.01	linear	0.8786324786324787	0.8533372183372183	0.8747159090909091
0.1	0.01	linear	0.8786324786324787	0.8533372183372183	0.8747159090909091
1.0	1.0	rbf	0.5985754985754985	0.0	0.5
100.0	1000.0	rbf	0.5985754985754985	0.0	0.5
0.1	0.01	rbf	0.5985754985754985	0.0	0.5
1000.0	0.1	rbf	0.5985754985754985	0.0	0.5
0.01	1000.0	rbf	0.5985754985754985	0.0	0.5
0.1	0.1	rbf	0.5985754985754985	0.0	0.5
0.01	100.0	rbf	0.5985754985754985	0.0	0.5
1000.0	1.0	rbf	0.5985754985754985	0.0	0.5
0.01	1.0	rbf	0.5985754985754985	0.0	0.5
1000.0	100.0	rbf	0.5985754985754985	0.0	0.5
0.01	0.1	rbf	0.5985754985754985	0.0	0.5
100.0	100.0	rbf	0.5985754985754985	0.0	0.5
100.0	0.1	rbf	0.5985754985754985	0.0	0.5
100.0	1.0	rbf	0.5985754985754985	0.0	0.5
1.0	100.0	rbf	0.5985754985754985	0.0	0.5
0.1	1.0	rbf	0.5985754985754985	0.0	0.5
0.1	100.0	rbf	0.5985754985754985	0.0	0.5
10.0	1000.0	rbf	0.5985754985754985	0.0	0.5
10.0	100.0	rbf	0.5985754985754985	0.0	0.5
0.1	1000.0	rbf	0.5985754985754985	0.0	0.5
10.0	1.0	rbf	0.5985754985754985	0.0	0.5
10.0	0.1	rbf	0.5985754985754985	0.0	0.5
1.0	0.1	rbf	0.5985754985754985	0.0	0.5
0.01	0.01	rbf	0.5985754985754985	0.0	0.5
1.0	1000.0	rbf	0.5985754985754985	0.0	0.5
1000.0	1000.0	rbf	0.5985754985754985	0.0	0.5
